secid,tradedate,open,close,low,high,capitalization
RTSTR,2004-12-31,614.11,614.11,614.11,614.11,49648420387.2886
RTSTR,2005-01-11,607.57,607.57,607.57,607.57,48069480873.8237
RTSTR,2005-01-12,605.46,605.46,605.46,605.46,47902309458.8581
RTSTR,2005-01-13,605.21,605.21,605.21,605.21,47882614673.4234
RTSTR,2005-01-14,611.74,611.74,611.74,611.74,48399517148.4017
RTSTR,2005-01-17,613.62,613.62,613.62,613.62,48548105371.0528
RTSTR,2005-01-18,601.76,601.76,601.76,601.76,47616179404.2358
RTSTR,2005-01-19,599.52,599.52,599.52,599.52,47438445264.8461
RTSTR,2005-01-20,591.67,591.67,591.67,591.67,46817306541.3141
RTSTR,2005-01-21,593.22,593.22,593.22,593.22,46940354282.192
RTSTR,2005-01-24,599.71,599.71,599.71,599.71,47454256465.7027
RTSTR,2005-01-25,607.14,607.14,607.14,607.14,48041505325.8468
RTSTR,2005-01-26,605.31,605.31,605.31,605.31,47896897742.7655
RTSTR,2005-01-27,612.24,612.24,612.24,612.24,48445564208.4942
RTSTR,2005-01-28,625.15,625.15,625.15,625.15,49467156700.3421
RTSTR,2005-01-31,637.21,637.21,637.21,637.21,50420930065.7934
RTSTR,2005-02-01,640.32,640.32,640.32,640.32,50667172197.0268
RTSTR,2005-02-02,650.98,650.98,650.98,650.98,51511137486.8972
RTSTR,2005-02-03,654.84,654.84,654.84,654.84,51816047806.705
RTSTR,2005-02-04,654.63,654.63,654.63,654.63,51799293799.5235
RTSTR,2005-02-07,656.59,656.59,656.59,656.59,51954740505.8877
RTSTR,2005-02-08,654.96,654.96,654.96,654.96,51825387650.5552
RTSTR,2005-02-09,656.59,656.59,656.59,656.59,51954975527.1311
RTSTR,2005-02-10,654.6,654.6,654.6,654.6,51796974772.6234
RTSTR,2005-02-11,655.04,655.04,655.04,655.04,51832073577.976
RTSTR,2005-02-14,653.65,653.65,653.65,653.65,51721790840.8332
RTSTR,2005-02-15,658.66,658.66,658.66,658.66,52118330366.5606
RTSTR,2005-02-16,661.99,661.99,661.99,661.99,52381688324.3424
RTSTR,2005-02-17,665.69,665.69,665.69,665.69,52674922064.8979
RTSTR,2005-02-18,669.08,669.08,669.08,669.08,52943291306.0543
RTSTR,2005-02-21,674.62,674.62,674.62,674.62,53381159150.243
RTSTR,2005-02-22,673.13,673.13,673.13,673.13,53263632046.6631
RTSTR,2005-02-24,690.23,690.23,690.23,690.23,54616379493.2698
RTSTR,2005-02-25,701.35,701.35,701.35,701.35,55496573613.0148
RTSTR,2005-02-28,716.42,716.42,716.42,716.42,56688755052.1542
RTSTR,2005-03-01,714.1,714.1,714.1,714.1,56505114316.8182
RTSTR,2005-03-02,704.05,704.05,704.05,704.05,55710127431.5147
RTSTR,2005-03-03,702.58,702.58,702.58,702.58,55594090167.5422
RTSTR,2005-03-04,706.76,706.76,706.76,706.76,55924508291.2352
RTSTR,2005-03-05,712.03,712.03,712.03,712.03,56341295775.4955
RTSTR,2005-03-09,716.83,716.83,716.83,716.83,56721586235.4732
RTSTR,2005-03-10,705.95,705.95,705.95,705.95,55860771544.3286
RTSTR,2005-03-11,704.54,704.54,704.54,704.54,55748270690.2092
RTSTR,2005-03-14,697.54,697.54,697.54,697.54,55195082693.4216
RTSTR,2005-03-15,698.71,698.71,698.71,698.71,55287063345.0657
RTSTR,2005-03-16,677.12,677.12,677.12,677.12,53579096096.3836
RTSTR,2005-03-17,680.21,680.21,680.21,680.21,53823725754.0552
RTSTR,2005-03-18,679.27,679.27,679.27,679.27,53749150310.7827
RTSTR,2005-03-21,667.23,667.23,667.23,667.23,52796348211.3547
RTSTR,2005-03-22,674.29,674.29,674.29,674.29,53354886335.3599
RTSTR,2005-03-23,661.95,661.95,661.95,661.95,52378694998.9795
RTSTR,2005-03-24,678.7,678.7,678.7,678.7,53703897259.0378
RTSTR,2005-03-25,686.54,686.54,686.54,686.54,54324503737.8789
RTSTR,2005-03-28,680.52,680.52,680.52,680.52,53847734145.1245
RTSTR,2005-03-29,674.48,674.48,674.48,674.48,53370282817.7762
RTSTR,2005-03-30,665.33,665.33,665.33,665.33,52645889931.0684
RTSTR,2005-03-31,669.07,669.07,669.07,669.07,52941630864.6268
RTSTR,2005-04-01,680.38,680.38,680.38,680.38,54004848846.1904
RTSTR,2005-04-04,688.74,688.74,688.74,688.74,54668072543.1703
RTSTR,2005-04-05,691.52,691.52,691.52,691.52,54888766593.3501
RTSTR,2005-04-06,708.34,708.34,708.34,708.34,56224351202.1458
RTSTR,2005-04-07,710.75,710.75,710.75,710.75,56415032850.5962
RTSTR,2005-04-08,719.74,719.74,719.74,719.74,57129052920.997
RTSTR,2005-04-11,701.61,701.61,701.61,701.61,55689742816.1732
RTSTR,2005-04-12,698.18,698.18,698.18,698.18,55417541109.8813
RTSTR,2005-04-13,705.84,705.84,705.84,705.84,56025465348.5351
RTSTR,2005-04-14,692.92,692.92,692.92,692.92,55000037942.9966
RTSTR,2005-04-15,688.9,688.9,688.9,688.9,54681329166.4433
RTSTR,2005-04-18,674.96,674.96,674.96,674.96,53574657290.5124
RTSTR,2005-04-19,673.05,673.05,673.05,673.05,53423121115.4476
RTSTR,2005-04-20,675.75,675.75,675.75,675.75,53636964231.0222
RTSTR,2005-04-21,681.74,681.74,681.74,681.74,54112839108.293
RTSTR,2005-04-22,686.72,686.72,686.72,686.72,54508198311.2429
RTSTR,2005-04-25,687.24,687.24,687.24,687.24,54549538720.4702
RTSTR,2005-04-26,685.38,685.38,685.38,685.38,54401624427.299
RTSTR,2005-04-27,675.11,675.11,675.11,675.11,53586384015.9748
RTSTR,2005-04-28,669.18,669.18,669.18,669.18,53115386040.002
RTSTR,2005-04-29,670.36,670.36,670.36,670.36,53209813691.0685
RTSTR,2005-05-03,669.36,669.36,669.36,669.36,53129924856.3616
RTSTR,2005-05-04,669.13,669.13,669.13,669.13,53111850055.2102
RTSTR,2005-05-05,671.12,671.12,671.12,671.12,53269795768.0706
RTSTR,2005-05-06,670.33,670.33,670.33,670.33,53207024526.9325
RTSTR,2005-05-11,662.84,662.84,662.84,662.84,52612680304.8115
RTSTR,2005-05-12,648.8,648.8,648.8,648.8,51498475703.1807
RTSTR,2005-05-13,639.9,639.9,639.9,639.9,50791637896.2026
RTSTR,2005-05-14,642.48,642.48,642.48,642.48,50996328202.75
RTSTR,2005-05-16,633.69,633.69,633.69,633.69,50298802102.6551
RTSTR,2005-05-17,637.71,637.71,637.71,637.71,50617967977.6994
RTSTR,2005-05-18,647.38,647.38,647.38,647.38,51385687310.9016
RTSTR,2005-05-19,647.08,647.08,647.08,647.08,51361634403.9663
RTSTR,2005-05-20,646.5,646.5,646.5,646.5,51315705500.5982
RTSTR,2005-05-23,646.22,646.22,646.22,646.22,51293570780.2412
RTSTR,2005-05-24,669.65,669.65,669.65,669.65,53153365230.3489
RTSTR,2005-05-25,669.24,669.24,669.24,669.24,53120749953.7112
RTSTR,2005-05-26,670.65,670.65,670.65,670.65,53232437004.5711
RTSTR,2005-05-27,671.4,671.4,671.4,671.4,53292361302.3788
RTSTR,2005-05-30,666.79,666.79,666.79,666.79,52926133918.8128
RTSTR,2005-05-31,674.44,674.44,674.44,674.44,53533438207.638
RTSTR,2005-06-01,667.23,667.23,667.23,667.23,52952675486.987
RTSTR,2005-06-02,676.38,676.38,676.38,676.38,53679061784.9258
RTSTR,2005-06-03,676.27,676.27,676.27,676.27,53670384849.6637
RTSTR,2005-06-06,676.28,676.28,676.28,676.28,53671246321.2444
RTSTR,2005-06-07,673.13,673.13,673.13,673.13,53421435851.6595
RTSTR,2005-06-08,672.01,672.01,672.01,672.01,53332523339.9607
RTSTR,2005-06-09,673.82,673.82,673.82,673.82,53476378480.0295
RTSTR,2005-06-10,676.88,676.88,676.88,676.88,53719310857.4644
RTSTR,2005-06-14,685.33,685.33,685.33,685.33,54389361320.2347
RTSTR,2005-06-15,681.61,681.61,681.61,681.61,54094173932.8476
RTSTR,2005-06-16,679.45,679.45,679.45,679.45,53923163608.1547
RTSTR,2005-06-17,685.51,685.51,685.51,685.51,54403748327.544
RTSTR,2005-06-20,690.33,690.33,690.33,690.33,54786504162.3231
RTSTR,2005-06-21,690.14,690.14,690.14,690.14,54771382632.6966
RTSTR,2005-06-22,696.04,696.04,696.04,696.04,55239928408.7322
RTSTR,2005-06-23,702.38,702.38,702.38,702.38,55743191245.9392
RTSTR,2005-06-24,702.08,702.08,702.08,702.08,55719462249.1489
RTSTR,2005-06-27,700.1,700.1,700.1,700.1,55561719014.2695
RTSTR,2005-06-28,699.03,699.03,699.03,699.03,55477262401.8962
RTSTR,2005-06-29,701.52,701.52,701.52,701.52,55435268403.7831
RTSTR,2005-06-30,709.54,709.54,709.54,709.54,56068345855.8382
RTSTR,2005-07-01,721.08,721.08,721.08,721.08,56980435155.0298
RTSTR,2005-07-04,723.73,723.73,723.73,723.73,57189691661.5817
RTSTR,2005-07-05,722.42,722.42,722.42,722.42,57086859818.4025
RTSTR,2005-07-06,743.56,743.56,743.56,743.56,58756927056.3224
RTSTR,2005-07-07,740.64,740.64,740.64,740.64,58527086861.3797
RTSTR,2005-07-08,752.41,752.41,752.41,752.41,59455971860.291
RTSTR,2005-07-11,754.32,754.32,754.32,754.32,59606737377.0219
RTSTR,2005-07-12,755.14,755.14,755.14,755.14,59672183320.2073
RTSTR,2005-07-13,761.45,761.45,761.45,761.45,60170947131.166
RTSTR,2005-07-14,758.66,758.66,758.66,758.66,59950901366.4149
RTSTR,2005-07-15,749.5,749.5,749.5,749.5,39206392248.9821
RTSTR,2005-07-18,746.33,746.33,746.33,746.33,39040023936.7823
RTSTR,2005-07-19,748.88,748.88,748.88,748.88,39173445112.4203
RTSTR,2005-07-20,761.22,761.22,761.22,761.22,39818646674.2448
RTSTR,2005-07-21,760.22,760.22,760.22,760.22,39766599789.7906
RTSTR,2005-07-22,773.54,773.54,773.54,773.54,40463284381.1197
RTSTR,2005-07-25,783.68,783.68,783.68,783.68,40941080074.9025
RTSTR,2005-07-26,772.56,772.56,772.56,772.56,40360060491.899
RTSTR,2005-07-27,775.01,775.01,775.01,775.01,40488150124.9169
RTSTR,2005-07-28,783.67,783.67,783.67,783.67,40940532459.8946
RTSTR,2005-07-29,783.99,783.99,783.99,783.99,40927475866.6072
RTSTR,2005-08-01,791.47,791.47,791.47,791.47,41109756515.7964
RTSTR,2005-08-02,799.8,799.8,799.8,799.8,41542383922.6128
RTSTR,2005-08-03,790.0,790.0,790.0,790.0,41032936607.1634
RTSTR,2005-08-04,803.23,803.23,803.23,803.23,41720260492.1028
RTSTR,2005-08-05,812.75,812.75,812.75,812.75,42203927568.5849
RTSTR,2005-08-08,819.61,819.61,819.61,819.61,42559805812.2159
RTSTR,2005-08-09,822.86,822.86,822.86,822.86,42727838049.4146
RTSTR,2005-08-10,824.83,824.83,824.83,824.83,42829688661.374
RTSTR,2005-08-11,814.71,814.71,814.71,814.71,42303903966.3281
RTSTR,2005-08-12,815.29,815.29,815.29,815.29,42334200923.8236
RTSTR,2005-08-15,821.96,821.96,821.96,821.96,42681016901.2082
RTSTR,2005-08-16,846.2,846.2,846.2,846.2,43939020770.9975
RTSTR,2005-08-17,856.61,856.61,856.61,856.61,44479822932.3594
RTSTR,2005-08-18,850.91,850.91,850.91,850.91,44159347077.7922
RTSTR,2005-08-19,863.32,863.32,863.32,863.32,44803630590.3462
RTSTR,2005-08-22,869.33,869.33,869.33,869.33,45107978342.9673
RTSTR,2005-08-23,872.28,872.28,872.28,872.28,45261137299.648
RTSTR,2005-08-24,874.43,874.43,874.43,874.43,45372553783.596
RTSTR,2005-08-25,875.87,875.87,875.87,875.87,45447318575.9877
RTSTR,2005-08-26,884.07,884.07,884.07,884.07,45870735964.9176
RTSTR,2005-08-29,887.18,887.18,887.18,887.18,46030464822.0032
RTSTR,2005-08-30,892.06,892.06,892.06,892.06,46283738669.074
RTSTR,2005-08-31,893.23,893.23,893.23,893.23,46344585725.041
RTSTR,2005-09-01,905.93,905.93,905.93,905.93,47003518629.7767
RTSTR,2005-09-02,921.44,921.44,921.44,921.44,47808150265.786
RTSTR,2005-09-05,921.7,921.7,921.7,921.7,47821891585.5382
RTSTR,2005-09-06,893.79,893.79,893.79,893.79,46373532803.6051
RTSTR,2005-09-07,877.58,877.58,877.58,877.58,45532136134.3343
RTSTR,2005-09-08,894.36,894.36,894.36,894.36,46403214527.8646
RTSTR,2005-09-09,917.4,917.4,917.4,917.4,47598434854.6571
RTSTR,2005-09-12,915.35,915.35,915.35,915.35,47492099527.2885
RTSTR,2005-09-13,911.59,911.59,911.59,911.59,47297322768.9125
RTSTR,2005-09-14,907.48,907.48,907.48,907.48,47083762921.2496
RTSTR,2005-09-15,918.38,918.38,918.38,918.38,49639741681.9082
RTSTR,2005-09-16,934.76,934.76,934.76,934.76,50524698063.9508
RTSTR,2005-09-19,958.35,958.35,958.35,958.35,51799945996.4053
RTSTR,2005-09-20,956.99,956.99,956.99,956.99,51726612211.4378
RTSTR,2005-09-21,972.7,972.7,972.7,972.7,52575842705.4251
RTSTR,2005-09-22,978.29,978.29,978.29,978.29,52877748600.1316
RTSTR,2005-09-23,977.56,977.56,977.56,977.56,52838725933.56
RTSTR,2005-09-26,966.92,966.92,966.92,966.92,52262932659.821
RTSTR,2005-09-27,997.03,997.03,997.03,997.03,53890511044.408
RTSTR,2005-09-28,1000.83,1000.83,1000.83,1000.83,54096593213.0984
RTSTR,2005-09-29,1003.72,1003.72,1003.72,1003.72,54252367652.1352
RTSTR,2005-09-30,1020.56,1020.56,1020.56,1020.56,55162733119.7623
RTSTR,2005-10-03,1051.96,1051.96,1051.96,1051.96,56859626098.3718
RTSTR,2005-10-04,1058.29,1058.29,1058.29,1058.29,57202090715.1412
RTSTR,2005-10-05,1022.47,1022.47,1022.47,1022.47,55265315273.6959
RTSTR,2005-10-06,966.7,966.7,966.7,966.7,52250972911.5838
RTSTR,2005-10-07,961.18,961.18,961.18,961.18,51952655558.8587
RTSTR,2005-10-10,982.62,982.62,982.62,982.62,53142020782.2484
RTSTR,2005-10-11,1007.52,1007.52,1007.52,1007.52,54488813339.494
RTSTR,2005-10-12,979.15,979.15,979.15,979.15,52954622947.5337
RTSTR,2005-10-13,947.03,947.03,947.03,947.03,51217299734.0138
RTSTR,2005-10-14,922.74,922.74,922.74,922.74,49904047119.1042
RTSTR,2005-10-17,927.04,927.04,927.04,927.04,50136673821.0742
RTSTR,2005-10-18,929.83,929.83,929.83,929.83,50287391739.0857
RTSTR,2005-10-19,893.31,893.31,893.31,893.31,48312212685.6317
RTSTR,2005-10-20,898.64,898.64,898.64,898.64,48600486770.5859
RTSTR,2005-10-21,899.16,899.16,899.16,899.16,48628460342.653
RTSTR,2005-10-24,920.11,920.11,920.11,920.11,49761944478.4408
RTSTR,2005-10-25,915.84,915.84,915.84,915.84,49530770200.8434
RTSTR,2005-10-26,921.99,921.99,921.99,921.99,49863062549.8693
