secid,tradedate,open,close,low,high,capitalization
RUCBHYTR,2021-03-26,114.95,114.95,114.95,114.95,88844448770.8
RUCBHYTR,2021-03-29,115.05,115.05,115.05,115.05,88816032834.4
RUCBHYTR,2021-03-30,115.02,115.02,115.02,115.02,88679015355.6
RUCBHYTR,2021-03-31,115.17,115.17,115.17,115.17,88901089876.8
RUCBHYTR,2021-04-01,115.13,115.13,115.13,115.13,88700273398.0
RUCBHYTR,2021-04-02,115.33,115.33,115.33,115.33,89058724919.2
RUCBHYTR,2021-04-05,115.38,115.38,115.38,115.38,88794284382.8
RUCBHYTR,2021-04-06,115.35,115.35,115.35,115.35,88557933904.0
RUCBHYTR,2021-04-07,115.4,115.4,115.4,115.4,88818609425.2
RUCBHYTR,2021-04-08,115.42,115.42,115.42,115.42,88463571446.4
RUCBHYTR,2021-04-09,115.41,115.41,115.41,115.41,88457399967.6
RUCBHYTR,2021-04-12,115.44,115.44,115.44,115.44,88476310531.2
RUCBHYTR,2021-04-13,115.49,115.49,115.49,115.49,88505171552.4
RUCBHYTR,2021-04-14,115.26,115.26,115.26,115.26,87769152205.6
RUCBHYTR,2021-04-15,115.29,115.29,115.29,115.29,87766661997.6
RUCBHYTR,2021-04-16,115.31,115.31,115.31,115.31,87503043018.8
RUCBHYTR,2021-04-19,115.43,115.43,115.43,115.43,87884113950.4
RUCBHYTR,2021-04-20,115.6,115.6,115.6,115.6,88280101471.6
RUCBHYTR,2021-04-21,115.67,115.67,115.67,115.67,88434677492.8
RUCBHYTR,2021-04-22,115.71,115.71,115.71,115.71,87684237182.0
RUCBHYTR,2021-04-23,115.71,115.71,115.71,115.71,87696399703.2
RUCBHYTR,2021-04-26,115.85,115.85,115.85,115.85,87757108766.8
RUCBHYTR,2021-04-27,115.85,115.85,115.85,115.85,87753813788.0
RUCBHYTR,2021-04-28,115.97,115.97,115.97,115.97,87733198809.2
RUCBHYTR,2021-04-29,116.0,116.0,116.0,116.0,87740855330.4
RUCBHYTR,2021-04-30,115.97,115.97,115.97,115.97,87801483351.6
RUCBHYTR,2021-05-04,116.05,116.05,116.05,116.05,87814705936.4
RUCBHYTR,2021-05-05,116.13,116.13,116.13,116.13,87958389457.6
RUCBHYTR,2021-05-06,116.28,116.28,116.28,116.28,88214507970.8
RUCBHYTR,2021-05-07,116.34,116.34,116.34,116.34,88386993112.0
RUCBHYTR,2021-05-10,116.36,116.36,116.36,116.36,88294959446.4
RUCBHYTR,2021-05-11,116.4,116.4,116.4,116.4,88286861967.6
RUCBHYTR,2021-05-12,116.44,116.44,116.44,116.44,88306101488.8
RUCBHYTR,2021-05-13,116.2,116.2,116.2,116.2,87643239794.0
RUCBHYTR,2021-05-14,116.29,116.29,116.29,116.29,87693144815.2
RUCBHYTR,2021-05-17,116.38,116.38,116.38,116.38,87704962878.8
RUCBHYTR,2021-05-18,116.48,116.48,116.48,116.48,88005645736.0
RUCBHYTR,2021-05-19,116.49,116.49,116.49,116.49,88001814257.2
RUCBHYTR,2021-05-20,116.48,116.48,116.48,116.48,88070382978.4
RUCBHYTR,2021-05-21,116.52,116.52,116.52,116.52,88100171691.6
RUCBHYTR,2021-05-24,116.59,116.59,116.59,116.59,88158960255.2
RUCBHYTR,2021-05-25,116.6,116.6,116.6,116.6,88023838776.4
RUCBHYTR,2021-05-26,116.69,116.69,116.69,116.69,88105632297.6
RUCBHYTR,2021-05-27,116.73,116.73,116.73,116.73,88121696818.8
RUCBHYTR,2021-05-28,116.78,116.78,116.78,116.78,88141158840.0
RUCBHYTR,2021-05-31,116.86,116.86,116.86,116.86,88217676711.6
RUCBHYTR,2021-06-01,116.89,116.89,116.89,116.89,75322303200.0
RUCBHYTR,2021-06-02,116.98,116.98,116.98,116.98,75382395900.0
RUCBHYTR,2021-06-03,116.95,116.95,116.95,116.95,75377368600.0
RUCBHYTR,2021-06-04,117.05,117.05,117.05,117.05,75454149000.0
RUCBHYTR,2021-06-07,117.01,117.01,117.01,117.01,75406696300.0
RUCBHYTR,2021-06-08,116.96,116.96,116.96,116.96,75377658000.0
RUCBHYTR,2021-06-09,116.89,116.89,116.89,116.89,75352410100.0
RUCBHYTR,2021-06-10,116.92,116.92,116.92,116.92,75259217500.0
RUCBHYTR,2021-06-11,117.11,117.11,117.11,117.11,75356101700.0
RUCBHYTR,2021-06-14,117.13,117.13,117.13,117.13,75257431500.0
RUCBHYTR,2021-06-15,117.17,117.17,117.17,117.17,75202676900.0
RUCBHYTR,2021-06-16,117.21,117.21,117.21,117.21,75210918900.0
RUCBHYTR,2021-06-17,117.26,117.26,117.26,117.26,75224594800.0
RUCBHYTR,2021-06-18,117.3,117.3,117.3,117.3,75241135450.0
RUCBHYTR,2021-06-21,117.37,117.37,117.37,117.37,75250156050.0
RUCBHYTR,2021-06-22,117.44,117.44,117.44,117.44,75150951750.0
RUCBHYTR,2021-06-23,117.57,117.57,117.57,117.57,75158034150.0
RUCBHYTR,2021-06-24,117.55,117.55,117.55,117.55,75119011150.0
RUCBHYTR,2021-06-25,117.62,117.62,117.62,117.62,75122996050.0
RUCBHYTR,2021-06-28,117.71,117.71,117.71,117.71,75076921600.0
RUCBHYTR,2021-06-29,117.71,117.71,117.71,117.71,75038168550.0
RUCBHYTR,2021-06-30,117.82,117.82,117.82,117.82,75075948700.0
RUCBHYTR,2021-07-01,117.84,117.84,117.84,117.84,75094122350.0
RUCBHYTR,2021-07-02,117.88,117.88,117.88,117.88,75127679600.0
RUCBHYTR,2021-07-05,118.0,118.0,118.0,118.0,74596058100.0
RUCBHYTR,2021-07-06,118.04,118.04,118.04,118.04,74613118800.0
RUCBHYTR,2021-07-07,118.05,118.05,118.05,118.05,74619792250.0
RUCBHYTR,2021-07-08,118.04,118.04,118.04,118.04,74607077150.0
RUCBHYTR,2021-07-09,118.11,118.11,118.11,118.11,74639856850.0
RUCBHYTR,2021-07-12,118.25,118.25,118.25,118.25,74685841150.0
RUCBHYTR,2021-07-13,118.25,118.25,118.25,118.25,74343822550.0
RUCBHYTR,2021-07-14,118.11,118.11,118.11,118.11,74248843750.0
RUCBHYTR,2021-07-15,118.09,118.09,118.09,118.09,74220969950.0
RUCBHYTR,2021-07-16,118.29,118.29,118.29,118.29,74347891350.0
RUCBHYTR,2021-07-19,118.26,118.26,118.26,118.26,74299875900.0
RUCBHYTR,2021-07-20,118.2,118.2,118.2,118.2,74087966600.0
RUCBHYTR,2021-07-21,118.34,118.34,118.34,118.34,74204378250.0
RUCBHYTR,2021-07-22,118.41,118.41,118.41,118.41,74218849500.0
RUCBHYTR,2021-07-23,118.41,118.41,118.41,118.41,74195957650.0
RUCBHYTR,2021-07-26,118.58,118.58,118.58,118.58,74292060950.0
RUCBHYTR,2021-07-27,118.6,118.6,118.6,118.6,74297509850.0
RUCBHYTR,2021-07-28,118.68,118.68,118.68,118.68,74330661300.0
RUCBHYTR,2021-07-29,118.67,118.67,118.67,118.67,74339722700.0
RUCBHYTR,2021-07-30,118.73,118.73,118.73,118.73,74390877450.0
RUCBHYTR,2021-08-02,118.94,118.94,118.94,118.94,74462209700.0
RUCBHYTR,2021-08-03,118.94,118.94,118.94,118.94,74457454900.0
RUCBHYTR,2021-08-04,119.0,119.0,119.0,119.0,74502174050.0
RUCBHYTR,2021-08-05,119.12,119.12,119.12,119.12,74572576750.0
RUCBHYTR,2021-08-06,119.24,119.24,119.24,119.24,74656309400.0
RUCBHYTR,2021-08-09,119.31,119.31,119.31,119.31,74659624700.0
RUCBHYTR,2021-08-10,119.41,119.41,119.41,119.41,74683994900.0
RUCBHYTR,2021-08-11,119.53,119.53,119.53,119.53,74729206850.0
RUCBHYTR,2021-08-12,119.56,119.56,119.56,119.56,74709586800.0
RUCBHYTR,2021-08-13,119.53,119.53,119.53,119.53,74698121450.0
RUCBHYTR,2021-08-16,119.61,119.61,119.61,119.61,74624279000.0
RUCBHYTR,2021-08-17,119.55,119.55,119.55,119.55,74604824150.0
RUCBHYTR,2021-08-18,119.75,119.75,119.75,119.75,74709065600.0
RUCBHYTR,2021-08-19,119.77,119.77,119.77,119.77,74704554300.0
RUCBHYTR,2021-08-20,119.83,119.83,119.83,119.83,74748491500.0
RUCBHYTR,2021-08-23,119.87,119.87,119.87,119.87,74760378000.0
RUCBHYTR,2021-08-24,119.96,119.96,119.96,119.96,74767938950.0
RUCBHYTR,2021-08-25,120.01,120.01,120.01,120.01,74775020150.0
RUCBHYTR,2021-08-26,120.04,120.04,120.04,120.04,74788657050.0
RUCBHYTR,2021-08-27,120.02,120.02,120.02,120.02,74772255200.0
RUCBHYTR,2021-08-30,120.05,120.05,120.05,120.05,74772179750.0
RUCBHYTR,2021-08-31,120.13,120.13,120.13,120.13,74825713950.0
RUCBHYTR,2021-09-01,120.21,120.21,120.21,120.21,35722558940.74
RUCBHYTR,2021-09-02,120.32,120.32,120.32,120.32,35744663421.88
RUCBHYTR,2021-09-03,120.34,120.34,120.34,120.34,35758483156.68
RUCBHYTR,2021-09-06,120.38,120.38,120.38,120.38,35753989478.56
RUCBHYTR,2021-09-07,120.16,120.16,120.16,120.16,35720986646.16
RUCBHYTR,2021-09-08,120.24,120.24,120.24,120.24,35732149019.7
RUCBHYTR,2021-09-09,120.28,120.28,120.28,120.28,35745072994.5
RUCBHYTR,2021-09-10,120.55,120.55,120.55,120.55,35777690205.24
RUCBHYTR,2021-09-13,120.68,120.68,120.68,120.68,35809725727.12
RUCBHYTR,2021-09-14,120.69,120.69,120.69,120.69,35781957106.72
RUCBHYTR,2021-09-15,120.66,120.66,120.66,120.66,35773508267.66
RUCBHYTR,2021-09-16,120.59,120.59,120.59,120.59,35748778204.66
RUCBHYTR,2021-09-17,120.61,120.61,120.61,120.61,35747988061.0
RUCBHYTR,2021-09-20,120.59,120.59,120.59,120.59,35744183682.88
RUCBHYTR,2021-09-21,120.6,120.6,120.6,120.6,35721307050.48
RUCBHYTR,2021-09-22,120.79,120.79,120.79,120.79,35711362681.22
RUCBHYTR,2021-09-23,120.85,120.85,120.85,120.85,35693543608.22
RUCBHYTR,2021-09-24,120.84,120.84,120.84,120.84,35674511981.76
RUCBHYTR,2021-09-27,120.93,120.93,120.93,120.93,35586943904.9
RUCBHYTR,2021-09-28,120.7,120.7,120.7,120.7,35364645209.04
RUCBHYTR,2021-09-29,120.96,120.96,120.96,120.96,35556082301.84
RUCBHYTR,2021-09-30,121.01,121.01,121.01,121.01,35529070675.38
RUCBHYTR,2021-10-01,121.05,121.05,121.05,121.05,35527269348.92
RUCBHYTR,2021-10-04,121.15,121.15,121.15,121.15,35563239049.46
RUCBHYTR,2021-10-05,121.17,121.17,121.17,121.17,35155579066.2
RUCBHYTR,2021-10-06,121.18,121.18,121.18,121.18,35055672841.0
RUCBHYTR,2021-10-07,121.27,121.27,121.27,121.27,35079322989.94
RUCBHYTR,2021-10-08,121.31,121.31,121.31,121.31,35047350264.74
RUCBHYTR,2021-10-11,121.34,121.34,121.34,121.34,35031478586.62
RUCBHYTR,2021-10-12,121.42,121.42,121.42,121.42,35036692968.76
RUCBHYTR,2021-10-13,121.46,121.46,121.46,121.46,35029495443.56
RUCBHYTR,2021-10-14,121.5,121.5,121.5,121.5,35030696117.1
RUCBHYTR,2021-10-15,121.45,121.45,121.45,121.45,35001132391.9
RUCBHYTR,2021-10-18,121.49,121.49,121.49,121.49,34976548413.78
RUCBHYTR,2021-10-19,121.42,121.42,121.42,121.42,34942434188.58
RUCBHYTR,2021-10-20,121.32,121.32,121.32,121.32,34884147862.12
RUCBHYTR,2021-10-21,121.42,121.42,121.42,121.42,34907365636.92
RUCBHYTR,2021-10-22,121.36,121.36,121.36,121.36,34905951010.46
RUCBHYTR,2021-10-25,120.87,120.87,120.87,120.87,34819474778.94
RUCBHYTR,2021-10-26,120.93,120.93,120.93,120.93,34787629999.54
RUCBHYTR,2021-10-27,120.7,120.7,120.7,120.7,34704313299.08
RUCBHYTR,2021-10-28,120.3,120.3,120.3,120.3,34610123073.88
RUCBHYTR,2021-10-29,120.69,120.69,120.69,120.69,34737539747.42
RUCBHYTR,2021-11-01,120.8,120.8,120.8,120.8,34723341313.3
RUCBHYTR,2021-11-02,120.69,120.69,120.69,120.69,34718762722.7
RUCBHYTR,2021-11-03,120.78,120.78,120.78,120.78,34725249596.24
RUCBHYTR,2021-11-05,120.94,120.94,120.94,120.94,34745452190.18
RUCBHYTR,2021-11-08,120.71,120.71,120.71,120.71,34738531610.92
RUCBHYTR,2021-11-09,121.38,121.38,121.38,121.38,34805470201.66
RUCBHYTR,2021-11-10,121.43,121.43,121.43,121.43,34817588976.46
RUCBHYTR,2021-11-11,121.39,121.39,121.39,121.39,34756406150.0
RUCBHYTR,2021-11-12,121.33,121.33,121.33,121.33,34735048523.54
RUCBHYTR,2021-11-15,121.4,121.4,121.4,121.4,34723726946.68
RUCBHYTR,2021-11-16,121.36,121.36,121.36,121.36,34687008320.22
