secid,tradedate,open,close,low,high,capitalization
RUCBITR,2002-12-31,,100.0,,,
RUCBITR,2003-01-04,,100.02,,,
RUCBITR,2003-01-05,,100.36,,,
RUCBITR,2003-01-08,,100.7,,,
RUCBITR,2003-01-09,,100.91,,,
RUCBITR,2003-01-10,,100.98,,,
RUCBITR,2003-01-13,,101.32,,,
RUCBITR,2003-01-14,,101.47,,,
RUCBITR,2003-01-15,,101.49,,,
RUCBITR,2003-01-16,,101.54,,,
RUCBITR,2003-01-17,,101.56,,,
RUCBITR,2003-01-20,,101.81,,,
RUCBITR,2003-01-21,,101.68,,,
RUCBITR,2003-01-22,,101.78,,,
RUCBITR,2003-01-23,,101.88,,,
RUCBITR,2003-01-24,,101.96,,,
RUCBITR,2003-01-27,,102.03,,,
RUCBITR,2003-01-28,,101.95,,,
RUCBITR,2003-01-29,,101.96,,,
RUCBITR,2003-01-30,,102.13,,,
RUCBITR,2003-01-31,,102.25,,,
RUCBITR,2003-02-03,,102.47,,,
RUCBITR,2003-02-04,,102.58,,,
RUCBITR,2003-02-05,,102.8,,,
RUCBITR,2003-02-06,,103.07,,,
RUCBITR,2003-02-07,,103.61,,,
RUCBITR,2003-02-10,,103.97,,,
RUCBITR,2003-02-11,,104.49,,,
RUCBITR,2003-02-12,,105.06,,,
RUCBITR,2003-02-13,,105.64,,,
RUCBITR,2003-02-14,,105.9,,,
RUCBITR,2003-02-17,,106.03,,,
RUCBITR,2003-02-18,,106.41,,,
RUCBITR,2003-02-19,,106.79,,,
RUCBITR,2003-02-20,,106.83,,,
RUCBITR,2003-02-21,,107.08,,,
RUCBITR,2003-02-25,,107.31,,,
RUCBITR,2003-02-26,,107.37,,,
RUCBITR,2003-02-27,,107.49,,,
RUCBITR,2003-02-28,,107.56,,,
RUCBITR,2003-03-03,,107.7,,,
RUCBITR,2003-03-04,,107.81,,,
RUCBITR,2003-03-05,,108.0,,,
RUCBITR,2003-03-06,,108.7,,,
RUCBITR,2003-03-07,,108.63,,,
RUCBITR,2003-03-11,,109.11,,,
RUCBITR,2003-03-12,,109.4,,,
RUCBITR,2003-03-13,,109.92,,,
RUCBITR,2003-03-14,,110.18,,,
RUCBITR,2003-03-17,,109.21,,,
RUCBITR,2003-03-18,,108.61,,,
RUCBITR,2003-03-19,,108.16,,,
RUCBITR,2003-03-20,,107.91,,,
RUCBITR,2003-03-21,,108.56,,,
RUCBITR,2003-03-24,,108.71,,,
RUCBITR,2003-03-25,,108.98,,,
RUCBITR,2003-03-26,,109.27,,,
RUCBITR,2003-03-27,,109.57,,,
RUCBITR,2003-03-28,,109.7,,,
RUCBITR,2003-03-31,,109.7,,,
RUCBITR,2003-04-01,,110.05,,,
RUCBITR,2003-04-02,,110.46,,,
RUCBITR,2003-04-03,,110.37,,,
RUCBITR,2003-04-04,,110.52,,,
RUCBITR,2003-04-07,,110.2,,,
RUCBITR,2003-04-08,,110.44,,,
RUCBITR,2003-04-09,,110.61,,,
RUCBITR,2003-04-10,,110.76,,,
RUCBITR,2003-04-11,,110.91,,,
RUCBITR,2003-04-14,,111.16,,,
RUCBITR,2003-04-15,,111.23,,,
RUCBITR,2003-04-16,,111.28,,,
RUCBITR,2003-04-17,,111.54,,,
RUCBITR,2003-04-18,,111.79,,,
RUCBITR,2003-04-21,,112.0,,,
RUCBITR,2003-04-22,,112.25,,,
RUCBITR,2003-04-23,,112.54,,,
RUCBITR,2003-04-24,,112.89,,,
RUCBITR,2003-04-25,,112.74,,,
RUCBITR,2003-04-28,,112.71,,,
RUCBITR,2003-04-29,,112.63,,,
RUCBITR,2003-04-30,,112.92,,,
RUCBITR,2003-05-05,,113.11,,,
RUCBITR,2003-05-06,,113.15,,,
RUCBITR,2003-05-07,,113.28,,,
RUCBITR,2003-05-08,,113.45,,,
RUCBITR,2003-05-12,,113.64,,,
RUCBITR,2003-05-13,,113.79,,,
RUCBITR,2003-05-14,,113.96,,,
RUCBITR,2003-05-15,,114.08,,,
RUCBITR,2003-05-16,,114.22,,,
RUCBITR,2003-05-19,,113.54,,,
RUCBITR,2003-05-20,,113.57,,,
RUCBITR,2003-05-21,,113.5,,,
