TRADEDATE,OPEN,CLOSE,LOW,HIGH,CAPITALIZATION,SECID
2010-12-30,100.0,100.0,100.0,100.0,0.0,RUCBITRL1
2011-01-11,100.41,100.41,100.41,100.41,393490897350.0,RUCBITRL1
2011-01-12,100.37,100.37,100.37,100.37,392988383470.0,RUCBITRL1
2011-01-13,100.41,100.41,100.41,100.41,393156882420.0,RUCBITRL1
2011-01-14,100.44,100.44,100.44,100.44,393290811140.0,RUCBITRL1
2011-01-17,100.46,100.46,100.46,100.46,393381267360.0,RUCBITRL1
2011-01-18,100.46,100.46,100.46,100.46,393341985010.0,RUCBITRL1
2011-01-19,100.53,100.53,100.53,100.53,393525287760.0,RUCBITRL1
2011-01-20,100.53,100.53,100.53,100.53,393527118480.0,RUCBITRL1
2011-01-21,100.51,100.51,100.51,100.51,393436646530.0,RUCBITRL1
2011-01-24,100.39,100.39,100.39,100.39,392984079150.0,RUCBITRL1
2011-01-25,100.36,100.36,100.36,100.36,392876283000.0,RUCBITRL1
2011-01-26,100.39,100.39,100.39,100.39,392977197920.0,RUCBITRL1
2011-01-27,100.5,100.5,100.5,100.5,393419500670.0,RUCBITRL1
2011-01-28,100.6,100.6,100.6,100.6,393521861120.0,RUCBITRL1
2011-01-31,100.68,100.68,100.68,100.68,393830710440.0,RUCBITRL1
2011-02-01,100.54,100.54,100.54,100.54,393283660360.0,RUCBITRL1
2011-02-02,100.54,100.54,100.54,100.54,393270992610.0,RUCBITRL1
2011-02-03,100.55,100.55,100.55,100.55,393329232560.0,RUCBITRL1
2011-02-04,100.59,100.59,100.59,100.59,393481871280.0,RUCBITRL1
2011-02-07,100.64,100.64,100.64,100.64,393658277000.0,RUCBITRL1
2011-02-08,100.72,100.72,100.72,100.72,393976018050.0,RUCBITRL1
2011-02-09,100.7,100.7,100.7,100.7,393880920900.0,RUCBITRL1
2011-02-10,100.84,100.84,100.84,100.84,394417861020.0,RUCBITRL1
2011-02-11,100.91,100.91,100.91,100.91,394683264170.0,RUCBITRL1
2011-02-14,101.01,101.01,101.01,101.01,395065566490.0,RUCBITRL1
2011-02-15,100.87,100.87,100.87,100.87,394515368840.0,RUCBITRL1
2011-02-16,100.87,100.87,100.87,100.87,393573889760.0,RUCBITRL1
2011-02-17,100.9,100.9,100.9,100.9,393709825110.0,RUCBITRL1
2011-02-18,101.03,101.03,101.03,101.03,393743817360.0,RUCBITRL1
2011-02-21,101.05,101.05,101.05,101.05,393821622350.0,RUCBITRL1
2011-02-22,101.06,101.06,101.06,101.06,393867853100.0,RUCBITRL1
2011-02-24,101.15,101.15,101.15,101.15,394225717570.0,RUCBITRL1
2011-02-25,101.05,101.05,101.05,101.05,393640315020.0,RUCBITRL1
2011-02-28,101.13,101.13,101.13,101.13,393937800040.0,RUCBITRL1
2011-03-01,101.16,101.16,101.16,101.16,393937478690.0,RUCBITRL1
2011-03-02,101.22,101.22,101.22,101.22,394186507410.0,RUCBITRL1
2011-03-03,101.32,101.32,101.32,101.32,394577243560.0,RUCBITRL1
