secid,tradedate,close,open,high,low,value,duration,yield,capitalization
RUCBTRNS,2018-12-29,100.0,100.0,100.0,100.0,,,,
RUCBTRNS,2019-01-03,100.32,100.32,100.32,100.32,,,,
RUCBTRNS,2019-01-04,100.51,100.51,100.51,100.51,,,,
RUCBTRNS,2019-01-08,100.46,100.46,100.46,100.46,,,,
RUCBTRNS,2019-01-09,100.49,100.49,100.49,100.49,,,,
RUCBTRNS,2019-01-10,100.63,100.63,100.63,100.63,,,,
RUCBTRNS,2019-01-11,100.82,100.82,100.82,100.82,,,,
RUCBTRNS,2019-01-14,100.87,100.87,100.87,100.87,,,,
RUCBTRNS,2019-01-15,100.88,100.88,100.88,100.88,,,,
RUCBTRNS,2019-01-16,100.98,100.98,100.98,100.98,,,,
RUCBTRNS,2019-01-17,100.99,100.99,100.99,100.99,,,,
RUCBTRNS,2019-01-18,100.98,100.98,100.98,100.98,,,,
RUCBTRNS,2019-01-21,101.08,101.08,101.08,101.08,,,,
RUCBTRNS,2019-01-22,101.1,101.1,101.1,101.1,,,,
RUCBTRNS,2019-01-23,101.18,101.18,101.18,101.18,,,,
RUCBTRNS,2019-01-24,101.11,101.11,101.11,101.11,,,,
RUCBTRNS,2019-01-25,101.24,101.24,101.24,101.24,,,,
RUCBTRNS,2019-01-28,101.31,101.31,101.31,101.31,,,,
RUCBTRNS,2019-01-29,101.23,101.23,101.23,101.23,,,,
RUCBTRNS,2019-01-30,101.38,101.38,101.38,101.38,,,,
RUCBTRNS,2019-01-31,101.38,101.38,101.38,101.38,,,,
RUCBTRNS,2019-02-01,101.39,101.39,101.39,101.39,,,,
RUCBTRNS,2019-02-04,101.5,101.5,101.5,101.5,,,,
RUCBTRNS,2019-02-05,101.52,101.52,101.52,101.52,,,,
RUCBTRNS,2019-02-06,101.61,101.61,101.61,101.61,,,,
RUCBTRNS,2019-02-07,101.6,101.6,101.6,101.6,,,,
RUCBTRNS,2019-02-08,101.57,101.57,101.57,101.57,,,,
RUCBTRNS,2019-02-11,101.68,101.68,101.68,101.68,,,,
RUCBTRNS,2019-02-12,101.73,101.73,101.73,101.73,,,,
RUCBTRNS,2019-02-13,101.71,101.71,101.71,101.71,,,,
RUCBTRNS,2019-02-14,101.75,101.75,101.75,101.75,,,,
RUCBTRNS,2019-02-15,101.63,101.63,101.63,101.63,,,,
RUCBTRNS,2019-02-18,101.81,101.81,101.81,101.81,,,,
RUCBTRNS,2019-02-19,101.75,101.75,101.75,101.75,,,,
RUCBTRNS,2019-02-20,101.81,101.81,101.81,101.81,,,,
RUCBTRNS,2019-02-21,101.84,101.84,101.84,101.84,,,,
RUCBTRNS,2019-02-22,101.89,101.89,101.89,101.89,,,,
RUCBTRNS,2019-02-25,101.75,101.75,101.75,101.75,,,,
RUCBTRNS,2019-02-26,101.93,101.93,101.93,101.93,,,,
RUCBTRNS,2019-02-27,101.98,101.98,101.98,101.98,,,,
RUCBTRNS,2019-02-28,102.04,102.04,102.04,102.04,,,,
RUCBTRNS,2019-03-01,102.14,102.14,102.14,102.14,,,,
RUCBTRNS,2019-03-04,102.26,102.26,102.26,102.26,,,,
RUCBTRNS,2019-03-05,102.29,102.29,102.29,102.29,,,,
RUCBTRNS,2019-03-06,102.3,102.3,102.3,102.3,,,,
RUCBTRNS,2019-03-07,102.34,102.34,102.34,102.34,,,,
RUCBTRNS,2019-03-11,102.49,102.49,102.49,102.49,,,,
RUCBTRNS,2019-03-12,102.58,102.58,102.58,102.58,,,,
RUCBTRNS,2019-03-13,102.49,102.49,102.49,102.49,,,,
RUCBTRNS,2019-03-14,102.5,102.5,102.5,102.5,,,,
RUCBTRNS,2019-03-15,102.59,102.59,102.59,102.59,,,,
RUCBTRNS,2019-03-18,102.74,102.74,102.74,102.74,,,,
RUCBTRNS,2019-03-19,102.77,102.77,102.77,102.77,,,,
RUCBTRNS,2019-03-20,102.81,102.81,102.81,102.81,,,,
RUCBTRNS,2019-03-21,102.94,102.94,102.94,102.94,,,,
RUCBTRNS,2019-03-22,103.02,103.02,103.02,103.02,,,,
RUCBTRNS,2019-03-25,103.01,103.01,103.01,103.01,,,,
RUCBTRNS,2019-03-26,103.13,103.13,103.13,103.13,,,,
RUCBTRNS,2019-03-27,103.16,103.16,103.16,103.16,,,,
RUCBTRNS,2019-03-28,103.14,103.14,103.14,103.14,,,,
RUCBTRNS,2019-03-29,103.17,103.17,103.17,103.17,,,,
RUCBTRNS,2019-04-01,103.18,103.18,103.18,103.18,,,,
RUCBTRNS,2019-04-02,103.23,103.23,103.23,103.23,,,,
RUCBTRNS,2019-04-03,103.21,103.21,103.21,103.21,,,,
RUCBTRNS,2019-04-04,103.33,103.33,103.33,103.33,,,,
RUCBTRNS,2019-04-05,103.33,103.33,103.33,103.33,,,,
RUCBTRNS,2019-04-08,103.46,103.46,103.46,103.46,,,,
RUCBTRNS,2019-04-09,103.53,103.53,103.53,103.53,,,,
RUCBTRNS,2019-04-10,103.59,103.59,103.59,103.59,,,,
RUCBTRNS,2019-04-11,104.1,104.1,104.1,104.1,,,,
RUCBTRNS,2019-04-12,104.11,104.11,104.11,104.11,,,,
RUCBTRNS,2019-04-15,104.25,104.25,104.25,104.25,,,,
RUCBTRNS,2019-04-16,103.85,103.85,103.85,103.85,,,,
RUCBTRNS,2019-04-17,103.85,103.85,103.85,103.85,,,,
RUCBTRNS,2019-04-18,103.88,103.88,103.88,103.88,,,,
RUCBTRNS,2019-04-19,104.01,104.01,104.01,104.01,,,,
RUCBTRNS,2019-04-22,104.08,104.08,104.08,104.08,,,,
RUCBTRNS,2019-04-23,104.01,104.01,104.01,104.01,,,,
RUCBTRNS,2019-04-24,104.06,104.06,104.06,104.06,,,,
RUCBTRNS,2019-04-25,104.07,104.07,104.07,104.07,,,,
RUCBTRNS,2019-04-26,104.11,104.11,104.11,104.11,,,,
RUCBTRNS,2019-04-29,104.27,104.27,104.27,104.27,,,,
RUCBTRNS,2019-04-30,104.48,104.48,104.48,104.48,,,,
RUCBTRNS,2019-05-02,104.48,104.48,104.48,104.48,,,,
RUCBTRNS,2019-05-03,104.64,104.64,104.64,104.64,,,,
RUCBTRNS,2019-05-06,104.57,104.57,104.57,104.57,,,,
RUCBTRNS,2019-05-07,104.6,104.6,104.6,104.6,,,,
RUCBTRNS,2019-05-08,104.63,104.63,104.63,104.63,,,,
RUCBTRNS,2019-05-10,104.73,104.73,104.73,104.73,,,,
RUCBTRNS,2019-05-13,104.67,104.67,104.67,104.67,,,,
RUCBTRNS,2019-05-14,104.7,104.7,104.7,104.7,,,,
