secid,tradedate,open,close,low,high,capitalization
RUCEU,2015-06-01,,100.0,,,
RUCEU,2015-06-02,,99.93,,,
RUCEU,2015-06-03,,99.97,,,
RUCEU,2015-06-04,,99.0,,,
RUCEU,2015-06-05,,98.46,,,
RUCEU,2015-06-08,,98.12,,,
RUCEU,2015-06-09,,98.32,,,
RUCEU,2015-06-10,,98.84,,,
RUCEU,2015-06-11,,99.03,,,
RUCEU,2015-06-15,,98.8,,,
RUCEU,2015-06-16,,98.29,,,
RUCEU,2015-06-17,,98.42,,,
RUCEU,2015-06-18,,98.73,,,
RUCEU,2015-06-19,,98.78,,,
RUCEU,2015-06-22,,99.34,,,
RUCEU,2015-06-23,,99.78,,,
RUCEU,2015-06-24,,100.08,,,
RUCEU,2015-06-25,,100.19,,,
RUCEU,2015-06-26,,100.06,,,
RUCEU,2015-06-29,,99.4,,,
RUCEU,2015-06-30,,99.35,,,
RUCEU,2015-07-01,,99.59,,,
RUCEU,2015-07-02,,99.68,,,
RUCEU,2015-07-03,,99.72,,,
RUCEU,2015-07-06,,99.58,,,
RUCEU,2015-07-07,,99.35,,,
RUCEU,2015-07-08,,99.1,,,
RUCEU,2015-07-09,,99.41,,,
RUCEU,2015-07-10,,99.84,,,
RUCEU,2015-07-13,,100.16,,,
RUCEU,2015-07-14,,100.24,,,
RUCEU,2015-07-15,,100.41,,,
RUCEU,2015-07-16,,100.95,,,
RUCEU,2015-07-17,,101.57,,,
RUCEU,2015-07-20,,101.57,,,
RUCEU,2015-07-21,,101.28,,,
RUCEU,2015-07-22,,101.23,,,
RUCEU,2015-07-23,,101.14,,,
RUCEU,2015-07-24,,100.93,,,
RUCEU,2015-07-27,,100.49,,,
RUCEU,2015-07-28,,100.33,,,
RUCEU,2015-07-29,,100.51,,,
RUCEU,2015-07-30,,100.63,,,
RUCEU,2015-07-31,,100.73,,,
RUCEU,2015-08-03,,100.57,,,
RUCEU,2015-08-04,,100.52,,,
RUCEU,2015-08-05,,100.56,,,
RUCEU,2015-08-06,,100.61,,,
RUCEU,2015-08-07,,100.53,,,
RUCEU,2015-08-10,,100.62,,,
RUCEU,2015-08-11,,100.48,,,
RUCEU,2015-08-12,,100.31,,,
RUCEU,2015-08-13,,100.22,,,
RUCEU,2015-08-14,,100.02,,,
RUCEU,2015-08-17,,99.77,,,
RUCEU,2015-08-18,,99.44,,,
RUCEU,2015-08-19,,99.18,,,
RUCEU,2015-08-20,,98.49,,,
RUCEU,2015-08-21,,98.29,,,
