secid,tradedate,open,close,low,high,capitalization
RUCNYTR,2022-11-14,99.55,99.55,99.55,99.55,31753409400.0
RUCNYTR,2022-11-15,99.55,99.55,99.55,99.55,31753782200.0
RUCNYTR,2022-11-16,99.59,99.59,99.59,99.59,31761680600.0
RUCNYTR,2022-11-17,99.58,99.58,99.58,99.58,31754725400.0
RUCNYTR,2022-11-18,99.6,99.6,99.6,99.6,31761065600.0
RUCNYTR,2022-11-21,99.63,99.63,99.63,99.63,31767898400.0
RUCNYTR,2022-11-22,99.58,99.58,99.58,99.58,31757450600.0
RUCNYTR,2022-11-23,99.6,99.6,99.6,99.6,31768791200.0
RUCNYTR,2022-11-24,99.6,99.6,99.6,99.6,31772589400.0
RUCNYTR,2022-11-25,99.65,99.65,99.65,99.65,31784359400.0
RUCNYTR,2022-11-28,99.55,99.55,99.55,99.55,31741459200.0
RUCNYTR,2022-11-29,99.6,99.6,99.6,99.6,31768251600.0
RUCNYTR,2022-11-30,99.59,99.59,99.59,99.59,31756661600.0
RUCNYTR,2022-12-01,99.62,99.62,99.62,99.62,32266113100.0
RUCNYTR,2022-12-02,99.63,99.63,99.63,99.63,32275113700.0
RUCNYTR,2022-12-05,99.66,99.66,99.66,99.66,32288202900.0
RUCNYTR,2022-12-06,99.69,99.69,99.69,99.69,32303760200.0
RUCNYTR,2022-12-07,99.64,99.64,99.64,99.64,32296748800.0
RUCNYTR,2022-12-08,99.67,99.67,99.67,99.67,32297686100.0
RUCNYTR,2022-12-09,99.67,99.67,99.67,99.67,32289846900.0
RUCNYTR,2022-12-12,99.71,99.71,99.71,99.71,32306049200.0
RUCNYTR,2022-12-13,99.75,99.75,99.75,99.75,32312677100.0
RUCNYTR,2022-12-14,99.75,99.75,99.75,99.75,32296290800.0
RUCNYTR,2022-12-15,99.76,99.76,99.76,99.76,32300309400.0
RUCNYTR,2022-12-16,99.77,99.77,99.77,99.77,32302829700.0
RUCNYTR,2022-12-19,99.3,99.3,99.3,99.3,32209453600.0
RUCNYTR,2022-12-20,99.2,99.2,99.2,99.2,32161429600.0
RUCNYTR,2022-12-21,99.09,99.09,99.09,99.09,32145122800.0
RUCNYTR,2022-12-22,99.1,99.1,99.1,99.1,32152163200.0
RUCNYTR,2022-12-23,99.39,99.39,99.39,99.39,32211145800.0
RUCNYTR,2022-12-26,99.49,99.49,99.49,99.49,32234905800.0
RUCNYTR,2022-12-27,99.37,99.37,99.37,99.37,32228372600.0
RUCNYTR,2022-12-28,99.26,99.26,99.26,99.26,32186496700.0
RUCNYTR,2022-12-29,99.53,99.53,99.53,99.53,32265600800.0
RUCNYTR,2022-12-30,99.67,99.67,99.67,99.67,32299843200.0
RUCNYTR,2023-01-03,99.81,99.81,99.81,99.81,32338822400.0
RUCNYTR,2023-01-04,99.76,99.76,99.76,99.76,32320318200.0
RUCNYTR,2023-01-05,99.68,99.68,99.68,99.68,32311882800.0
