secid,tradedate,open,close,low,high,capitalization
RUEUTR,2013-12-30,,79.59,,,
RUEUTR,2014-01-06,,77.97,,,
RUEUTR,2014-01-08,,79.21,,,
RUEUTR,2014-01-09,,79.29,,,
RUEUTR,2014-01-10,,79.03,,,
RUEUTR,2014-01-13,,79.28,,,
RUEUTR,2014-01-14,,78.6,,,
RUEUTR,2014-01-15,,78.77,,,
RUEUTR,2014-01-16,,78.15,,,
RUEUTR,2014-01-17,,79.22,,,
RUEUTR,2014-01-20,,78.52,,,
RUEUTR,2014-01-21,,78.27,,,
RUEUTR,2014-01-22,,78.81,,,
RUEUTR,2014-01-23,,79.49,,,
RUEUTR,2014-01-24,,77.56,,,
RUEUTR,2014-01-27,,76.65,,,
RUEUTR,2014-01-28,,75.73,,,
RUEUTR,2014-01-29,,73.83,,,
RUEUTR,2014-01-30,,74.04,,,
RUEUTR,2014-01-31,,72.06,,,
RUEUTR,2014-02-03,,71.83,,,
RUEUTR,2014-02-04,,71.67,,,
RUEUTR,2014-02-05,,73.28,,,
RUEUTR,2014-02-06,,73.84,,,
RUEUTR,2014-02-07,,74.79,,,
RUEUTR,2014-02-10,,74.51,,,
RUEUTR,2014-02-11,,74.49,,,
RUEUTR,2014-02-12,,74.52,,,
RUEUTR,2014-02-13,,72.94,,,
RUEUTR,2014-02-14,,73.16,,,
RUEUTR,2014-02-17,,73.14,,,
RUEUTR,2014-02-18,,72.77,,,
RUEUTR,2014-02-19,,70.72,,,
RUEUTR,2014-02-20,,70.34,,,
RUEUTR,2014-02-21,,70.65,,,
RUEUTR,2014-02-24,,71.43,,,
RUEUTR,2014-02-25,,71.13,,,
RUEUTR,2014-02-26,,69.86,,,
RUEUTR,2014-02-27,,67.6,,,
RUEUTR,2014-02-28,,67.88,,,
RUEUTR,2014-03-03,,56.32,,,
RUEUTR,2014-03-04,,61.35,,,
RUEUTR,2014-03-05,,60.68,,,
RUEUTR,2014-03-06,,58.95,,,
RUEUTR,2014-03-07,,58.69,,,
RUEUTR,2014-03-11,,58.02,,,
RUEUTR,2014-03-12,,57.4,,,
RUEUTR,2014-03-13,,55.45,,,
RUEUTR,2014-03-14,,52.72,,,
RUEUTR,2014-03-17,,55.9,,,
RUEUTR,2014-03-18,,59.08,,,
RUEUTR,2014-03-19,,59.87,,,
RUEUTR,2014-03-20,,60.0,,,
RUEUTR,2014-03-21,,58.79,,,
RUEUTR,2014-03-24,,60.55,,,
RUEUTR,2014-03-25,,63.11,,,
RUEUTR,2014-03-26,,63.48,,,
RUEUTR,2014-03-27,,63.47,,,
RUEUTR,2014-03-28,,63.58,,,
RUEUTR,2014-03-31,,66.14,,,
RUEUTR,2014-04-01,,66.69,,,
RUEUTR,2014-04-02,,65.93,,,
RUEUTR,2014-04-03,,65.62,,,
RUEUTR,2014-04-04,,65.98,,,
RUEUTR,2014-04-07,,62.95,,,
RUEUTR,2014-04-08,,63.45,,,
RUEUTR,2014-04-09,,63.66,,,
RUEUTR,2014-04-10,,65.61,,,
RUEUTR,2014-04-11,,65.01,,,
RUEUTR,2014-04-14,,63.88,,,
RUEUTR,2014-04-15,,60.5,,,
RUEUTR,2014-04-16,,61.78,,,
RUEUTR,2014-04-17,,62.81,,,
RUEUTR,2014-04-18,,63.73,,,
RUEUTR,2014-04-21,,63.54,,,
RUEUTR,2014-04-22,,62.75,,,
RUEUTR,2014-04-23,,61.8,,,
RUEUTR,2014-04-24,,60.03,,,
RUEUTR,2014-04-25,,58.55,,,
RUEUTR,2014-04-28,,60.72,,,
RUEUTR,2014-04-29,,60.9,,,
RUEUTR,2014-04-30,,60.93,,,
RUEUTR,2014-05-02,,60.77,,,
RUEUTR,2014-05-05,,60.66,,,
RUEUTR,2014-05-06,,62.04,,,
RUEUTR,2014-05-07,,63.48,,,
RUEUTR,2014-05-08,,63.62,,,
RUEUTR,2014-05-12,,63.9,,,
RUEUTR,2014-05-13,,65.25,,,
RUEUTR,2014-05-14,,65.69,,,
RUEUTR,2014-05-15,,65.13,,,
RUEUTR,2014-05-16,,65.33,,,
RUEUTR,2014-05-19,,66.42,,,
RUEUTR,2014-05-20,,68.83,,,
RUEUTR,2014-05-21,,69.69,,,
RUEUTR,2014-05-22,,70.64,,,
RUEUTR,2014-05-23,,71.09,,,
RUEUTR,2014-05-26,,71.77,,,
RUEUTR,2014-05-27,,69.6,,,
RUEUTR,2014-05-28,,71.19,,,
RUEUTR,2014-05-29,,72.03,,,
RUEUTR,2014-05-30,,70.7,,,
RUEUTR,2014-06-02,,72.34,,,
RUEUTR,2014-06-03,,72.12,,,
RUEUTR,2014-06-04,,71.62,,,
RUEUTR,2014-06-05,,72.26,,,
RUEUTR,2014-06-06,,74.21,,,
RUEUTR,2014-06-09,,73.65,,,
RUEUTR,2014-06-10,,73.52,,,
RUEUTR,2014-06-11,,74.5,,,
RUEUTR,2014-06-16,,73.98,,,
RUEUTR,2014-06-17,,73.22,,,
RUEUTR,2014-06-18,,74.75,,,
RUEUTR,2014-06-19,,74.92,,,
RUEUTR,2014-06-20,,72.68,,,
RUEUTR,2014-06-23,,73.64,,,
RUEUTR,2014-06-24,,76.8,,,
RUEUTR,2014-06-25,,75.43,,,
RUEUTR,2014-06-26,,75.51,,,
RUEUTR,2014-06-27,,74.83,,,
RUEUTR,2014-06-30,,74.02,,,
RUEUTR,2014-07-01,,73.54,,,
RUEUTR,2014-07-02,,74.61,,,
RUEUTR,2014-07-03,,74.92,,,
RUEUTR,2014-07-04,,75.19,,,
RUEUTR,2014-07-07,,76.04,,,
RUEUTR,2014-07-08,,76.14,,,
RUEUTR,2014-07-09,,76.62,,,
RUEUTR,2014-07-10,,75.14,,,
RUEUTR,2014-07-11,,75.51,,,
RUEUTR,2014-07-14,,74.58,,,
RUEUTR,2014-07-15,,74.0,,,
RUEUTR,2014-07-16,,73.43,,,
RUEUTR,2014-07-17,,70.77,,,
RUEUTR,2014-07-18,,69.64,,,
RUEUTR,2014-07-21,,68.07,,,
RUEUTR,2014-07-22,,69.55,,,
RUEUTR,2014-07-23,,69.31,,,
RUEUTR,2014-07-24,,68.77,,,
RUEUTR,2014-07-25,,68.32,,,
RUEUTR,2014-07-28,,65.72,,,
RUEUTR,2014-07-29,,66.32,,,
RUEUTR,2014-07-30,,67.51,,,
RUEUTR,2014-07-31,,67.35,,,
RUEUTR,2014-08-01,,67.46,,,
RUEUTR,2014-08-04,,67.34,,,
RUEUTR,2014-08-05,,66.83,,,
RUEUTR,2014-08-06,,65.85,,,
RUEUTR,2014-08-07,,65.29,,,
RUEUTR,2014-08-08,,66.62,,,
RUEUTR,2014-08-11,,68.35,,,
RUEUTR,2014-08-12,,67.92,,,
