secid,tradedate,close,open,high,low,value,duration,yield,capitalization
RUEYBCSTR,2019-12-30,100.0,100.0,100.0,100.0,,,,
RUEYBCSTR,2020-01-03,100.27,100.27,100.27,100.27,,,,
RUEYBCSTR,2020-01-06,100.51,100.51,100.51,100.51,,,,
RUEYBCSTR,2020-01-08,100.51,100.51,100.51,100.51,,,,
RUEYBCSTR,2020-01-09,100.45,100.45,100.45,100.45,,,,
RUEYBCSTR,2020-01-10,100.77,100.77,100.77,100.77,,,,
RUEYBCSTR,2020-01-13,100.85,100.85,100.85,100.85,,,,
RUEYBCSTR,2020-01-14,100.65,100.65,100.65,100.65,,,,
RUEYBCSTR,2020-01-15,100.6,100.6,100.6,100.6,,,,
RUEYBCSTR,2020-01-16,100.68,100.68,100.68,100.68,,,,
RUEYBCSTR,2020-01-17,100.79,100.79,100.79,100.79,,,,
RUEYBCSTR,2020-01-20,100.9,100.9,100.9,100.9,,,,
RUEYBCSTR,2020-01-21,101.0,101.0,101.0,101.0,,,,
RUEYBCSTR,2020-01-22,100.93,100.93,100.93,100.93,,,,
RUEYBCSTR,2020-01-23,101.05,101.05,101.05,101.05,,,,
RUEYBCSTR,2020-01-24,101.1,101.1,101.1,101.1,,,,
RUEYBCSTR,2020-01-27,101.11,101.11,101.11,101.11,,,,
RUEYBCSTR,2020-01-28,101.08,101.08,101.08,101.08,,,,
RUEYBCSTR,2020-01-29,101.22,101.22,101.22,101.22,,,,
RUEYBCSTR,2020-01-30,101.11,101.11,101.11,101.11,,,,
RUEYBCSTR,2020-01-31,101.34,101.34,101.34,101.34,,,,
RUEYBCSTR,2020-02-03,101.45,101.45,101.45,101.45,,,,
RUEYBCSTR,2020-02-04,101.56,101.56,101.56,101.56,,,,
RUEYBCSTR,2020-02-05,101.62,101.62,101.62,101.62,,,,
RUEYBCSTR,2020-02-06,101.74,101.74,101.74,101.74,,,,
RUEYBCSTR,2020-02-07,101.67,101.67,101.67,101.67,,,,
RUEYBCSTR,2020-02-10,101.67,101.67,101.67,101.67,,,,
RUEYBCSTR,2020-02-11,101.63,101.63,101.63,101.63,,,,
RUEYBCSTR,2020-02-12,101.83,101.83,101.83,101.83,,,,
RUEYBCSTR,2020-02-13,101.89,101.89,101.89,101.89,,,,
