secid,tradedate,close,open,high,low,value,duration,yield,capitalization
RUFNTR,2013-12-30,283.78,,,,,,,
RUFNTR,2014-01-06,273.67,,,,,,,
RUFNTR,2014-01-08,276.79,,,,,,,
RUFNTR,2014-01-09,277.64,,,,,,,
RUFNTR,2014-01-10,279.66,,,,,,,
RUFNTR,2014-01-13,280.46,,,,,,,
RUFNTR,2014-01-14,276.75,,,,,,,
RUFNTR,2014-01-15,276.77,,,,,,,
RUFNTR,2014-01-16,277.12,,,,,,,
RUFNTR,2014-01-17,276.68,,,,,,,
RUFNTR,2014-01-20,274.02,,,,,,,
RUFNTR,2014-01-21,272.5,,,,,,,
RUFNTR,2014-01-22,269.93,,,,,,,
RUFNTR,2014-01-23,264.64,,,,,,,
RUFNTR,2014-01-24,270.22,,,,,,,
RUFNTR,2014-01-27,252.1,,,,,,,
RUFNTR,2014-01-28,251.35,,,,,,,
RUFNTR,2014-01-29,247.88,,,,,,,
RUFNTR,2014-01-30,248.82,,,,,,,
RUFNTR,2014-01-31,246.47,,,,,,,
RUFNTR,2014-02-03,247.83,,,,,,,
RUFNTR,2014-02-04,246.6,,,,,,,
RUFNTR,2014-02-05,253.19,,,,,,,
RUFNTR,2014-02-06,256.57,,,,,,,
RUFNTR,2014-02-07,257.37,,,,,,,
RUFNTR,2014-02-10,254.52,,,,,,,
RUFNTR,2014-02-11,255.27,,,,,,,
RUFNTR,2014-02-12,257.02,,,,,,,
RUFNTR,2014-02-13,250.51,,,,,,,
RUFNTR,2014-02-14,254.73,,,,,,,
RUFNTR,2014-02-17,254.33,,,,,,,
RUFNTR,2014-02-18,252.43,,,,,,,
RUFNTR,2014-02-19,243.55,,,,,,,
RUFNTR,2014-02-20,240.0,,,,,,,
RUFNTR,2014-02-21,245.05,,,,,,,
RUFNTR,2014-02-24,246.14,,,,,,,
RUFNTR,2014-02-25,242.95,,,,,,,
RUFNTR,2014-02-26,238.98,,,,,,,
RUFNTR,2014-02-27,233.94,,,,,,,
RUFNTR,2014-02-28,235.86,,,,,,,
RUFNTR,2014-03-03,200.08,,,,,,,
RUFNTR,2014-03-04,210.5,,,,,,,
