secid,tradedate,open,close,low,high,capitalization
RUGOLD,2023-02-06,4229.17,4229.17,4229.17,4229.17,0.0
RUGOLD,2023-02-07,4250.26,4250.26,4250.26,4250.26,0.0
RUGOLD,2023-02-08,4296.72,4296.72,4296.72,4296.72,0.0
RUGOLD,2023-02-09,4355.97,4355.97,4355.97,4355.97,0.0
RUGOLD,2023-02-10,4316.42,4316.42,4316.42,4316.42,0.0
RUGOLD,2023-02-13,4359.75,4359.75,4359.75,4359.75,0.0
RUGOLD,2023-02-14,4357.36,4357.36,4357.36,4357.36,0.0
RUGOLD,2023-02-15,4346.37,4346.37,4346.37,4346.37,0.0
RUGOLD,2023-02-16,4380.57,4380.57,4380.57,4380.57,0.0
RUGOLD,2023-02-17,4358.52,4358.52,4358.52,4358.52,0.0
RUGOLD,2023-02-20,4345.85,4345.85,4345.85,4345.85,0.0
RUGOLD,2023-02-21,4363.03,4363.03,4363.03,4363.03,0.0
RUGOLD,2023-02-22,4353.51,4353.51,4353.51,4353.51,0.0
RUGOLD,2023-02-24,4362.44,4362.44,4362.44,4362.44,0.0
RUGOLD,2023-02-27,4359.28,4359.28,4359.28,4359.28,0.0
RUGOLD,2023-02-28,4334.01,4334.01,4334.01,4334.01,0.0
RUGOLD,2023-03-01,4389.86,4389.86,4389.86,4389.86,0.0
RUGOLD,2023-03-02,4416.21,4416.21,4416.21,4416.21,0.0
RUGOLD,2023-03-03,4447.68,4447.68,4447.68,4447.68,0.0
RUGOLD,2023-03-06,4475.3,4475.3,4475.3,4475.3,0.0
RUGOLD,2023-03-07,4471.02,4471.02,4471.02,4471.02,0.0
RUGOLD,2023-03-09,4442.84,4442.84,4442.84,4442.84,0.0
RUGOLD,2023-03-10,4469.15,4469.15,4469.15,4469.15,0.0
RUGOLD,2023-03-13,4554.08,4554.08,4554.08,4554.08,0.0
RUGOLD,2023-03-14,4605.96,4605.96,4605.96,4605.96,0.0
RUGOLD,2023-03-15,4658.05,4658.05,4658.05,4658.05,0.0
RUGOLD,2023-03-16,4723.71,4723.71,4723.71,4723.71,0.0
RUGOLD,2023-03-17,4781.43,4781.43,4781.43,4781.43,0.0
RUGOLD,2023-03-20,4977.45,4977.45,4977.45,4977.45,0.0
RUGOLD,2023-03-21,4888.88,4888.88,4888.88,4888.88,0.0
RUGOLD,2023-03-22,4845.41,4845.41,4845.41,4845.41,0.0
RUGOLD,2023-03-23,4875.02,4875.02,4875.02,4875.02,0.0
RUGOLD,2023-03-24,4864.38,4864.38,4864.38,4864.38,0.0
RUGOLD,2023-03-27,4844.58,4844.58,4844.58,4844.58,0.0
RUGOLD,2023-03-28,4836.77,4836.77,4836.77,4836.77,0.0
RUGOLD,2023-03-29,4878.94,4878.94,4878.94,4878.94,0.0
RUGOLD,2023-03-30,4878.15,4878.15,4878.15,4878.15,0.0
RUGOLD,2023-03-31,4934.36,4934.36,4934.36,4934.36,0.0
RUGOLD,2023-04-03,4913.26,4913.26,4913.26,4913.26,0.0
RUGOLD,2023-04-04,5027.58,5027.58,5027.58,5027.58,0.0
RUGOLD,2023-04-05,5101.2,5101.2,5101.2,5101.2,0.0
RUGOLD,2023-04-06,5152.74,5152.74,5152.74,5152.74,0.0
RUGOLD,2023-04-07,5242.13,5242.13,5242.13,5242.13,0.0
RUGOLD,2023-04-10,5181.89,5181.89,5181.89,5181.89,0.0
RUGOLD,2023-04-11,5269.14,5269.14,5269.14,5269.14,0.0
RUGOLD,2023-04-12,5284.61,5284.61,5284.61,5284.61,0.0
RUGOLD,2023-04-13,5299.8,5299.8,5299.8,5299.8,0.0
RUGOLD,2023-04-14,5314.45,5314.45,5314.45,5314.45,0.0
RUGOLD,2023-04-17,5264.1,5264.1,5264.1,5264.1,0.0
RUGOLD,2023-04-18,5234.13,5234.13,5234.13,5234.13,0.0
RUGOLD,2023-04-19,5197.55,5197.55,5197.55,5197.55,0.0
RUGOLD,2023-04-20,5243.74,5243.74,5243.74,5243.74,0.0
RUGOLD,2023-04-21,5197.22,5197.22,5197.22,5197.22,0.0
RUGOLD,2023-04-24,5174.51,5174.51,5174.51,5174.51,0.0
RUGOLD,2023-04-25,5200.49,5200.49,5200.49,5200.49,0.0
RUGOLD,2023-04-26,5223.8,5223.8,5223.8,5223.8,0.0
RUGOLD,2023-04-27,5234.2,5234.2,5234.2,5234.2,0.0
RUGOLD,2023-04-28,5134.24,5134.24,5134.24,5134.24,0.0
RUGOLD,2023-05-02,5098.17,5098.17,5098.17,5098.17,0.0
RUGOLD,2023-05-03,5139.45,5139.45,5139.45,5139.45,0.0
RUGOLD,2023-05-04,5171.86,5171.86,5171.86,5171.86,0.0
RUGOLD,2023-05-05,5053.81,5053.81,5053.81,5053.81,0.0
RUGOLD,2023-05-08,5068.0,5068.0,5068.0,5068.0,0.0
RUGOLD,2023-05-10,5031.9,5031.9,5031.9,5031.9,0.0
RUGOLD,2023-05-11,4991.79,4991.79,4991.79,4991.79,0.0
RUGOLD,2023-05-12,5029.63,5029.63,5029.63,5029.63,0.0
RUGOLD,2023-05-15,5129.18,5129.18,5129.18,5129.18,0.0
RUGOLD,2023-05-16,5159.61,5159.61,5159.61,5159.61,0.0
RUGOLD,2023-05-17,5159.63,5159.63,5159.63,5159.63,0.0
RUGOLD,2023-05-18,5088.43,5088.43,5088.43,5088.43,0.0
RUGOLD,2023-05-19,5050.52,5050.52,5050.52,5050.52,0.0
RUGOLD,2023-05-22,5066.25,5066.25,5066.25,5066.25,0.0
RUGOLD,2023-05-23,5042.56,5042.56,5042.56,5042.56,0.0
RUGOLD,2023-05-24,5070.27,5070.27,5070.27,5070.27,0.0
RUGOLD,2023-05-25,5055.83,5055.83,5055.83,5055.83,0.0
RUGOLD,2023-05-26,5024.06,5024.06,5024.06,5024.06,0.0
RUGOLD,2023-05-29,5007.67,5007.67,5007.67,5007.67,0.0
RUGOLD,2023-05-30,5045.31,5045.31,5045.31,5045.31,0.0
RUGOLD,2023-05-31,5080.73,5080.73,5080.73,5080.73,0.0
RUGOLD,2023-06-01,5093.71,5093.71,5093.71,5093.71,0.0
RUGOLD,2023-06-02,5125.32,5125.32,5125.32,5125.32,0.0
RUGOLD,2023-06-05,5081.46,5081.46,5081.46,5081.46,0.0
RUGOLD,2023-06-06,5106.64,5106.64,5106.64,5106.64,0.0
RUGOLD,2023-06-07,5119.15,5119.15,5119.15,5119.15,0.0
RUGOLD,2023-06-08,5112.15,5112.15,5112.15,5112.15,0.0
RUGOLD,2023-06-09,5188.27,5188.27,5188.27,5188.27,0.0
RUGOLD,2023-06-13,5243.67,5243.67,5243.67,5243.67,0.0
RUGOLD,2023-06-14,5273.3,5273.3,5273.3,5273.3,0.0
RUGOLD,2023-06-15,5186.14,5186.14,5186.14,5186.14,0.0
RUGOLD,2023-06-16,5230.25,5230.25,5230.25,5230.25,0.0
RUGOLD,2023-06-19,5228.91,5228.91,5228.91,5228.91,0.0
RUGOLD,2023-06-20,5241.1,5241.1,5241.1,5241.1,0.0
RUGOLD,2023-06-21,5209.08,5209.08,5209.08,5209.08,0.0
RUGOLD,2023-06-22,5154.83,5154.83,5154.83,5154.83,0.0
RUGOLD,2023-06-23,5156.47,5156.47,5156.47,5156.47,0.0
RUGOLD,2023-06-26,5204.9,5204.9,5204.9,5204.9,0.0
RUGOLD,2023-06-27,5226.27,5226.27,5226.27,5226.27,0.0
RUGOLD,2023-06-28,5223.78,5223.78,5223.78,5223.78,0.0
RUGOLD,2023-06-29,5274.01,5274.01,5274.01,5274.01,0.0
RUGOLD,2023-06-30,5330.2,5330.2,5330.2,5330.2,0.0
RUGOLD,2023-07-03,5409.08,5409.08,5409.08,5409.08,0.0
RUGOLD,2023-07-04,5433.86,5433.86,5433.86,5433.86,0.0
RUGOLD,2023-07-05,5464.6,5464.6,5464.6,5464.6,0.0
RUGOLD,2023-07-06,5580.73,5580.73,5580.73,5580.73,0.0
RUGOLD,2023-07-07,5539.94,5539.94,5539.94,5539.94,0.0
RUGOLD,2023-07-10,5525.15,5525.15,5525.15,5525.15,0.0
RUGOLD,2023-07-11,5482.46,5482.46,5482.46,5482.46,0.0
RUGOLD,2023-07-12,5500.37,5500.37,5500.37,5500.37,0.0
RUGOLD,2023-07-13,5521.21,5521.21,5521.21,5521.21,0.0
RUGOLD,2023-07-14,5512.24,5512.24,5512.24,5512.24,0.0
RUGOLD,2023-07-17,5535.94,5535.94,5535.94,5535.94,0.0
RUGOLD,2023-07-18,5584.04,5584.04,5584.04,5584.04,0.0
RUGOLD,2023-07-19,5658.5,5658.5,5658.5,5658.5,0.0
RUGOLD,2023-07-20,5677.42,5677.42,5677.42,5677.42,0.0
RUGOLD,2023-07-21,5638.63,5638.63,5638.63,5638.63,0.0
RUGOLD,2023-07-24,5629.44,5629.44,5629.44,5629.44,0.0
RUGOLD,2023-07-25,5579.55,5579.55,5579.55,5579.55,0.0
RUGOLD,2023-07-26,5597.21,5597.21,5597.21,5597.21,0.0
RUGOLD,2023-07-27,5606.83,5606.83,5606.83,5606.83,0.0
RUGOLD,2023-07-28,5617.93,5617.93,5617.93,5617.93,0.0
RUGOLD,2023-07-31,5657.06,5657.06,5657.06,5657.06,0.0
RUGOLD,2023-08-01,5689.52,5689.52,5689.52,5689.52,0.0
RUGOLD,2023-08-02,5733.78,5733.78,5733.78,5733.78,0.0
RUGOLD,2023-08-03,5746.65,5746.65,5746.65,5746.65,0.0
RUGOLD,2023-08-04,5798.31,5798.31,5798.31,5798.31,0.0
RUGOLD,2023-08-07,5914.94,5914.94,5914.94,5914.94,0.0
RUGOLD,2023-08-08,5882.79,5882.79,5882.79,5882.79,0.0
RUGOLD,2023-08-09,5959.56,5959.56,5959.56,5959.56,0.0
RUGOLD,2023-08-10,5943.3,5943.3,5943.3,5943.3,0.0
RUGOLD,2023-08-11,6008.76,6008.76,6008.76,6008.76,0.0
RUGOLD,2023-08-14,6154.78,6154.78,6154.78,6154.78,0.0
RUGOLD,2023-08-15,5894.04,5894.04,5894.04,5894.04,0.0
RUGOLD,2023-08-16,5840.41,5840.41,5840.41,5840.41,0.0
RUGOLD,2023-08-17,5660.11,5660.11,5660.11,5660.11,0.0
RUGOLD,2023-08-18,5645.58,5645.58,5645.58,5645.58,0.0
RUGOLD,2023-08-21,5695.84,5695.84,5695.84,5695.84,0.0
RUGOLD,2023-08-22,5729.55,5729.55,5729.55,5729.55,0.0
RUGOLD,2023-08-23,5760.71,5760.71,5760.71,5760.71,0.0
RUGOLD,2023-08-24,5832.88,5832.88,5832.88,5832.88,0.0
RUGOLD,2023-08-25,5850.83,5850.83,5850.83,5850.83,0.0
RUGOLD,2023-08-28,5908.74,5908.74,5908.74,5908.74,0.0
RUGOLD,2023-08-29,5948.85,5948.85,5948.85,5948.85,0.0
RUGOLD,2023-08-30,5989.72,5989.72,5989.72,5989.72,0.0
RUGOLD,2023-08-31,6028.77,6028.77,6028.77,6028.77,0.0
RUGOLD,2023-09-01,6012.32,6012.32,6012.32,6012.32,0.0
RUGOLD,2023-09-04,6025.6,6025.6,6025.6,6025.6,0.0
RUGOLD,2023-09-05,6046.18,6046.18,6046.18,6046.18,0.0
RUGOLD,2023-09-06,6059.45,6059.45,6059.45,6059.45,0.0
RUGOLD,2023-09-07,6065.57,6065.57,6065.57,6065.57,0.0
RUGOLD,2023-09-08,6048.97,6048.97,6048.97,6048.97,0.0
RUGOLD,2023-09-11,5951.76,5951.76,5951.76,5951.76,0.0
RUGOLD,2023-09-12,5823.91,5823.91,5823.91,5823.91,0.0
RUGOLD,2023-09-13,5868.63,5868.63,5868.63,5868.63,0.0
RUGOLD,2023-09-14,5865.87,5865.87,5865.87,5865.87,0.0
RUGOLD,2023-09-15,5931.68,5931.68,5931.68,5931.68,0.0
RUGOLD,2023-09-18,5965.99,5965.99,5965.99,5965.99,0.0
RUGOLD,2023-09-19,5953.91,5953.91,5953.91,5953.91,0.0
RUGOLD,2023-09-20,5958.11,5958.11,5958.11,5958.11,0.0
RUGOLD,2023-09-21,5866.15,5866.15,5866.15,5866.15,0.0
RUGOLD,2023-09-22,5872.87,5872.87,5872.87,5872.87,0.0
RUGOLD,2023-09-25,5846.07,5846.07,5846.07,5846.07,0.0
RUGOLD,2023-09-26,5846.98,5846.98,5846.98,5846.98,0.0
RUGOLD,2023-09-27,5806.21,5806.21,5806.21,5806.21,0.0
RUGOLD,2023-09-28,5802.69,5802.69,5802.69,5802.69,0.0
RUGOLD,2023-09-29,5827.27,5827.27,5827.27,5827.27,0.0
RUGOLD,2023-10-02,5803.93,5803.93,5803.93,5803.93,0.0
RUGOLD,2023-10-03,5814.56,5814.56,5814.56,5814.56,0.0
RUGOLD,2023-10-04,5799.83,5799.83,5799.83,5799.83,0.0
RUGOLD,2023-10-05,5811.1,5811.1,5811.1,5811.1,0.0
RUGOLD,2023-10-06,5804.11,5804.11,5804.11,5804.11,0.0
RUGOLD,2023-10-09,5934.89,5934.89,5934.89,5934.89,0.0
RUGOLD,2023-10-10,5878.57,5878.57,5878.57,5878.57,0.0
RUGOLD,2023-10-11,5937.83,5937.83,5937.83,5937.83,0.0
RUGOLD,2023-10-12,5778.43,5778.43,5778.43,5778.43,0.0
RUGOLD,2023-10-13,5773.08,5773.08,5773.08,5773.08,0.0
RUGOLD,2023-10-16,5865.17,5865.17,5865.17,5865.17,0.0
RUGOLD,2023-10-17,5894.87,5894.87,5894.87,5894.87,0.0
RUGOLD,2023-10-18,5934.63,5934.63,5934.63,5934.63,0.0
RUGOLD,2023-10-19,5912.16,5912.16,5912.16,5912.16,0.0
RUGOLD,2023-10-20,5925.89,5925.89,5925.89,5925.89,0.0
RUGOLD,2023-10-23,5865.34,5865.34,5865.34,5865.34,0.0
RUGOLD,2023-10-24,5839.93,5839.93,5839.93,5839.93,0.0
RUGOLD,2023-10-25,5792.08,5792.08,5792.08,5792.08,0.0
RUGOLD,2023-10-26,5848.32,5848.32,5848.32,5848.32,0.0
RUGOLD,2023-10-27,5842.61,5842.61,5842.61,5842.61,0.0
RUGOLD,2023-10-30,5826.17,5826.17,5826.17,5826.17,0.0
RUGOLD,2023-10-31,5767.73,5767.73,5767.73,5767.73,0.0
RUGOLD,2023-11-01,5781.95,5781.95,5781.95,5781.95,0.0
RUGOLD,2023-11-02,5768.0,5768.0,5768.0,5768.0,0.0
RUGOLD,2023-11-03,5784.28,5784.28,5784.28,5784.28,0.0
RUGOLD,2023-11-06,5743.03,5743.03,5743.03,5743.03,0.0
RUGOLD,2023-11-07,5722.7,5722.7,5722.7,5722.7,0.0
RUGOLD,2023-11-08,5708.68,5708.68,5708.68,5708.68,0.0
RUGOLD,2023-11-09,5627.53,5627.53,5627.53,5627.53,0.0
RUGOLD,2023-11-10,5671.4,5671.4,5671.4,5671.4,0.0
RUGOLD,2023-11-13,5655.11,5655.11,5655.11,5655.11,0.0
RUGOLD,2023-11-14,5630.57,5630.57,5630.57,5630.57,0.0
RUGOLD,2023-11-15,5614.32,5614.32,5614.32,5614.32,0.0
RUGOLD,2023-11-16,5580.41,5580.41,5580.41,5580.41,0.0
RUGOLD,2023-11-17,5554.25,5554.25,5554.25,5554.25,0.0
RUGOLD,2023-11-20,5523.56,5523.56,5523.56,5523.56,0.0
RUGOLD,2023-11-21,5517.23,5517.23,5517.23,5517.23,0.0
RUGOLD,2023-11-22,5562.38,5562.38,5562.38,5562.38,0.0
RUGOLD,2023-11-23,5525.41,5525.41,5525.41,5525.41,0.0
RUGOLD,2023-11-24,5562.76,5562.76,5562.76,5562.76,0.0
RUGOLD,2023-11-27,5594.29,5594.29,5594.29,5594.29,0.0
RUGOLD,2023-11-28,5600.21,5600.21,5600.21,5600.21,0.0
RUGOLD,2023-11-29,5673.81,5673.81,5673.81,5673.81,0.0
RUGOLD,2023-11-30,5681.99,5681.99,5681.99,5681.99,0.0
RUGOLD,2023-12-01,5758.27,5758.27,5758.27,5758.27,0.0
RUGOLD,2023-12-04,5864.98,5864.98,5864.98,5864.98,0.0
RUGOLD,2023-12-05,5838.82,5838.82,5838.82,5838.82,0.0
RUGOLD,2023-12-06,5887.75,5887.75,5887.75,5887.75,0.0
RUGOLD,2023-12-07,5868.01,5868.01,5868.01,5868.01,0.0
RUGOLD,2023-12-08,5789.96,5789.96,5789.96,5789.96,0.0
RUGOLD,2023-12-11,5652.25,5652.25,5652.25,5652.25,0.0
RUGOLD,2023-12-12,5602.69,5602.69,5602.69,5602.69,0.0
RUGOLD,2023-12-13,5560.94,5560.94,5560.94,5560.94,0.0
RUGOLD,2023-12-14,5691.96,5691.96,5691.96,5691.96,0.0
