secid,tradedate,open,close,low,high,capitalization
RUMMTR,2013-12-30,,144.99,,,
RUMMTR,2014-01-06,,138.92,,,
RUMMTR,2014-01-08,,138.48,,,
RUMMTR,2014-01-09,,138.18,,,
RUMMTR,2014-01-10,,139.6,,,
RUMMTR,2014-01-13,,141.11,,,
RUMMTR,2014-01-14,,139.49,,,
RUMMTR,2014-01-15,,138.58,,,
RUMMTR,2014-01-16,,138.97,,,
RUMMTR,2014-01-17,,139.77,,,
RUMMTR,2014-01-20,,140.96,,,
RUMMTR,2014-01-21,,142.62,,,
RUMMTR,2014-01-22,,142.92,,,
RUMMTR,2014-01-23,,142.43,,,
RUMMTR,2014-01-24,,141.96,,,
RUMMTR,2014-01-27,,141.01,,,
RUMMTR,2014-01-28,,139.93,,,
RUMMTR,2014-01-29,,136.51,,,
RUMMTR,2014-01-30,,137.83,,,
RUMMTR,2014-01-31,,135.19,,,
RUMMTR,2014-02-03,,134.02,,,
RUMMTR,2014-02-04,,133.21,,,
RUMMTR,2014-02-05,,138.05,,,
RUMMTR,2014-02-06,,139.4,,,
RUMMTR,2014-02-07,,140.39,,,
RUMMTR,2014-02-10,,140.12,,,
RUMMTR,2014-02-11,,140.55,,,
RUMMTR,2014-02-12,,142.42,,,
RUMMTR,2014-02-13,,139.06,,,
RUMMTR,2014-02-14,,142.52,,,
RUMMTR,2014-02-17,,144.13,,,
RUMMTR,2014-02-18,,143.18,,,
RUMMTR,2014-02-19,,139.17,,,
RUMMTR,2014-02-20,,138.38,,,
RUMMTR,2014-02-21,,140.54,,,
RUMMTR,2014-02-24,,141.05,,,
RUMMTR,2014-02-25,,139.48,,,
RUMMTR,2014-02-26,,138.19,,,
RUMMTR,2014-02-27,,136.53,,,
RUMMTR,2014-02-28,,137.89,,,
RUMMTR,2014-03-03,,122.49,,,
RUMMTR,2014-03-04,,127.38,,,
RUMMTR,2014-03-05,,127.94,,,
RUMMTR,2014-03-06,,128.8,,,
RUMMTR,2014-03-07,,127.82,,,
RUMMTR,2014-03-11,,124.75,,,
RUMMTR,2014-03-12,,120.23,,,
RUMMTR,2014-03-13,,117.88,,,
RUMMTR,2014-03-14,,113.72,,,
RUMMTR,2014-03-17,,120.54,,,
RUMMTR,2014-03-18,,124.58,,,
RUMMTR,2014-03-19,,124.32,,,
RUMMTR,2014-03-20,,122.86,,,
RUMMTR,2014-03-21,,123.05,,,
RUMMTR,2014-03-24,,123.79,,,
RUMMTR,2014-03-25,,125.56,,,
RUMMTR,2014-03-26,,127.06,,,
RUMMTR,2014-03-27,,125.87,,,
RUMMTR,2014-03-28,,126.6,,,
RUMMTR,2014-03-31,,130.58,,,
RUMMTR,2014-04-01,,132.68,,,
RUMMTR,2014-04-02,,131.61,,,
RUMMTR,2014-04-03,,129.68,,,
RUMMTR,2014-04-04,,132.91,,,
RUMMTR,2014-04-07,,129.62,,,
RUMMTR,2014-04-08,,131.2,,,
RUMMTR,2014-04-09,,132.32,,,
RUMMTR,2014-04-10,,136.48,,,
RUMMTR,2014-04-11,,136.32,,,
RUMMTR,2014-04-14,,133.11,,,
RUMMTR,2014-04-15,,129.75,,,
RUMMTR,2014-04-16,,131.41,,,
RUMMTR,2014-04-17,,132.71,,,
RUMMTR,2014-04-18,,134.59,,,
RUMMTR,2014-04-21,,133.32,,,
RUMMTR,2014-04-22,,132.83,,,
RUMMTR,2014-04-23,,132.66,,,
RUMMTR,2014-04-24,,129.99,,,
RUMMTR,2014-04-25,,127.85,,,
RUMMTR,2014-04-28,,129.61,,,
RUMMTR,2014-04-29,,130.11,,,
RUMMTR,2014-04-30,,129.56,,,
RUMMTR,2014-05-02,,128.52,,,
RUMMTR,2014-05-05,,128.22,,,
RUMMTR,2014-05-06,,131.32,,,
RUMMTR,2014-05-07,,137.76,,,
RUMMTR,2014-05-08,,138.89,,,
RUMMTR,2014-05-12,,139.8,,,
RUMMTR,2014-05-13,,142.88,,,
RUMMTR,2014-05-14,,144.04,,,
RUMMTR,2014-05-15,,143.25,,,
RUMMTR,2014-05-16,,143.7,,,
RUMMTR,2014-05-19,,144.27,,,
RUMMTR,2014-05-20,,144.49,,,
RUMMTR,2014-05-21,,144.81,,,
RUMMTR,2014-05-22,,143.79,,,
RUMMTR,2014-05-23,,144.78,,,
RUMMTR,2014-05-26,,145.83,,,
RUMMTR,2014-05-27,,142.33,,,
RUMMTR,2014-05-28,,142.55,,,
RUMMTR,2014-05-29,,143.91,,,
RUMMTR,2014-05-30,,142.4,,,
RUMMTR,2014-06-02,,144.58,,,
RUMMTR,2014-06-03,,145.27,,,
RUMMTR,2014-06-04,,145.44,,,
RUMMTR,2014-06-05,,146.12,,,
RUMMTR,2014-06-06,,148.74,,,
RUMMTR,2014-06-09,,148.63,,,
RUMMTR,2014-06-10,,148.48,,,
RUMMTR,2014-06-11,,149.57,,,
RUMMTR,2014-06-16,,147.54,,,
RUMMTR,2014-06-17,,145.86,,,
RUMMTR,2014-06-18,,147.95,,,
RUMMTR,2014-06-19,,150.8,,,
RUMMTR,2014-06-20,,148.88,,,
RUMMTR,2014-06-23,,149.96,,,
RUMMTR,2014-06-24,,154.25,,,
RUMMTR,2014-06-25,,150.84,,,
RUMMTR,2014-06-26,,150.76,,,
RUMMTR,2014-06-27,,150.47,,,
RUMMTR,2014-06-30,,149.19,,,
RUMMTR,2014-07-01,,150.03,,,
RUMMTR,2014-07-02,,153.48,,,
RUMMTR,2014-07-03,,154.39,,,
RUMMTR,2014-07-04,,153.13,,,
RUMMTR,2014-07-07,,155.24,,,
RUMMTR,2014-07-08,,156.76,,,
RUMMTR,2014-07-09,,158.29,,,
RUMMTR,2014-07-10,,153.81,,,
RUMMTR,2014-07-11,,153.32,,,
RUMMTR,2014-07-14,,152.41,,,
RUMMTR,2014-07-15,,153.44,,,
RUMMTR,2014-07-16,,156.23,,,
RUMMTR,2014-07-17,,152.33,,,
RUMMTR,2014-07-18,,150.5,,,
