secid,tradedate,close,open,high,low,value,duration,yield,capitalization
RUOGTR,2013-12-30,206.41,,,,,,,
RUOGTR,2014-01-06,198.55,,,,,,,
RUOGTR,2014-01-08,198.14,,,,,,,
RUOGTR,2014-01-09,198.47,,,,,,,
RUOGTR,2014-01-10,199.89,,,,,,,
RUOGTR,2014-01-13,200.84,,,,,,,
RUOGTR,2014-01-14,199.51,,,,,,,
RUOGTR,2014-01-15,200.58,,,,,,,
RUOGTR,2014-01-16,199.19,,,,,,,
RUOGTR,2014-01-17,199.45,,,,,,,
RUOGTR,2014-01-20,199.53,,,,,,,
RUOGTR,2014-01-21,200.13,,,,,,,
RUOGTR,2014-01-22,200.07,,,,,,,
RUOGTR,2014-01-23,199.51,,,,,,,
RUOGTR,2014-01-24,196.68,,,,,,,
RUOGTR,2014-01-27,195.94,,,,,,,
RUOGTR,2014-01-28,192.63,,,,,,,
RUOGTR,2014-01-29,189.39,,,,,,,
RUOGTR,2014-01-30,192.36,,,,,,,
RUOGTR,2014-01-31,188.71,,,,,,,
RUOGTR,2014-02-03,186.13,,,,,,,
RUOGTR,2014-02-04,186.14,,,,,,,
RUOGTR,2014-02-05,189.33,,,,,,,
RUOGTR,2014-02-06,191.41,,,,,,,
RUOGTR,2014-02-07,193.33,,,,,,,
RUOGTR,2014-02-10,193.61,,,,,,,
RUOGTR,2014-02-11,194.62,,,,,,,
RUOGTR,2014-02-12,196.54,,,,,,,
RUOGTR,2014-02-13,192.39,,,,,,,
RUOGTR,2014-02-14,195.31,,,,,,,
RUOGTR,2014-02-17,195.39,,,,,,,
RUOGTR,2014-02-18,195.14,,,,,,,
RUOGTR,2014-02-19,190.63,,,,,,,
RUOGTR,2014-02-20,190.39,,,,,,,
RUOGTR,2014-02-21,191.8,,,,,,,
RUOGTR,2014-02-24,192.46,,,,,,,
RUOGTR,2014-02-25,191.17,,,,,,,
RUOGTR,2014-02-26,189.54,,,,,,,
RUOGTR,2014-02-27,186.38,,,,,,,
RUOGTR,2014-02-28,186.96,,,,,,,
RUOGTR,2014-03-03,169.5,,,,,,,
RUOGTR,2014-03-04,178.02,,,,,,,
RUOGTR,2014-03-05,177.77,,,,,,,
RUOGTR,2014-03-06,175.04,,,,,,,
RUOGTR,2014-03-07,174.78,,,,,,,
RUOGTR,2014-03-11,171.47,,,,,,,
RUOGTR,2014-03-12,168.25,,,,,,,
RUOGTR,2014-03-13,165.81,,,,,,,
RUOGTR,2014-03-14,162.3,,,,,,,
RUOGTR,2014-03-17,168.16,,,,,,,
RUOGTR,2014-03-18,172.97,,,,,,,
RUOGTR,2014-03-19,172.44,,,,,,,
RUOGTR,2014-03-20,172.14,,,,,,,
RUOGTR,2014-03-21,169.63,,,,,,,
RUOGTR,2014-03-24,167.71,,,,,,,
RUOGTR,2014-03-25,172.92,,,,,,,
RUOGTR,2014-03-26,177.7,,,,,,,
RUOGTR,2014-03-27,175.17,,,,,,,
RUOGTR,2014-03-28,175.42,,,,,,,
RUOGTR,2014-03-31,181.08,,,,,,,
RUOGTR,2014-04-01,181.96,,,,,,,
RUOGTR,2014-04-02,179.82,,,,,,,
RUOGTR,2014-04-03,178.37,,,,,,,
RUOGTR,2014-04-04,181.85,,,,,,,
RUOGTR,2014-04-07,176.97,,,,,,,
RUOGTR,2014-04-08,177.96,,,,,,,
RUOGTR,2014-04-09,177.85,,,,,,,
RUOGTR,2014-04-10,181.58,,,,,,,
RUOGTR,2014-04-11,179.6,,,,,,,
RUOGTR,2014-04-14,176.96,,,,,,,
RUOGTR,2014-04-15,172.15,,,,,,,
RUOGTR,2014-04-16,173.51,,,,,,,
RUOGTR,2014-04-17,175.73,,,,,,,
RUOGTR,2014-04-18,179.98,,,,,,,
RUOGTR,2014-04-21,178.37,,,,,,,
RUOGTR,2014-04-22,177.43,,,,,,,
RUOGTR,2014-04-23,176.68,,,,,,,
RUOGTR,2014-04-24,173.9,,,,,,,
RUOGTR,2014-04-25,170.99,,,,,,,
RUOGTR,2014-04-28,173.47,,,,,,,
RUOGTR,2014-04-29,176.08,,,,,,,
RUOGTR,2014-04-30,175.7,,,,,,,
RUOGTR,2014-05-02,174.56,,,,,,,
RUOGTR,2014-05-05,173.81,,,,,,,
RUOGTR,2014-05-06,177.81,,,,,,,
RUOGTR,2014-05-07,185.31,,,,,,,
RUOGTR,2014-05-08,184.47,,,,,,,
RUOGTR,2014-05-12,184.71,,,,,,,
RUOGTR,2014-05-13,186.59,,,,,,,
RUOGTR,2014-05-14,188.07,,,,,,,
RUOGTR,2014-05-15,186.71,,,,,,,
RUOGTR,2014-05-16,188.36,,,,,,,
RUOGTR,2014-05-19,192.05,,,,,,,
RUOGTR,2014-05-20,193.53,,,,,,,
RUOGTR,2014-05-21,196.63,,,,,,,
RUOGTR,2014-05-22,196.01,,,,,,,
RUOGTR,2014-05-23,197.05,,,,,,,
RUOGTR,2014-05-26,198.04,,,,,,,
RUOGTR,2014-05-27,191.29,,,,,,,
RUOGTR,2014-05-28,190.4,,,,,,,
RUOGTR,2014-05-29,191.96,,,,,,,
RUOGTR,2014-05-30,187.84,,,,,,,
RUOGTR,2014-06-02,192.43,,,,,,,
RUOGTR,2014-06-03,192.18,,,,,,,
RUOGTR,2014-06-04,191.71,,,,,,,
RUOGTR,2014-06-05,193.98,,,,,,,
RUOGTR,2014-06-06,198.37,,,,,,,
RUOGTR,2014-06-09,199.09,,,,,,,
RUOGTR,2014-06-10,200.55,,,,,,,
RUOGTR,2014-06-11,202.09,,,,,,,
RUOGTR,2014-06-16,202.51,,,,,,,
RUOGTR,2014-06-17,201.45,,,,,,,
RUOGTR,2014-06-18,205.06,,,,,,,
RUOGTR,2014-06-19,204.71,,,,,,,
RUOGTR,2014-06-20,203.96,,,,,,,
RUOGTR,2014-06-23,206.09,,,,,,,
RUOGTR,2014-06-24,214.02,,,,,,,
RUOGTR,2014-06-25,207.78,,,,,,,
RUOGTR,2014-06-26,206.76,,,,,,,
RUOGTR,2014-06-27,207.31,,,,,,,
RUOGTR,2014-06-30,205.37,,,,,,,
RUOGTR,2014-07-01,204.16,,,,,,,
RUOGTR,2014-07-02,208.55,,,,,,,
RUOGTR,2014-07-03,207.85,,,,,,,
RUOGTR,2014-07-04,203.82,,,,,,,
RUOGTR,2014-07-07,208.13,,,,,,,
RUOGTR,2014-07-08,209.59,,,,,,,
RUOGTR,2014-07-09,210.36,,,,,,,
RUOGTR,2014-07-10,207.7,,,,,,,
RUOGTR,2014-07-11,207.55,,,,,,,
RUOGTR,2014-07-14,204.77,,,,,,,
RUOGTR,2014-07-15,205.1,,,,,,,
RUOGTR,2014-07-16,206.46,,,,,,,
RUOGTR,2014-07-17,197.71,,,,,,,
RUOGTR,2014-07-18,194.06,,,,,,,
RUOGTR,2014-07-21,189.11,,,,,,,
RUOGTR,2014-07-22,193.6,,,,,,,
RUOGTR,2014-07-23,193.02,,,,,,,
RUOGTR,2014-07-24,192.11,,,,,,,
RUOGTR,2014-07-25,190.02,,,,,,,
RUOGTR,2014-07-28,184.32,,,,,,,
RUOGTR,2014-07-29,184.43,,,,,,,
RUOGTR,2014-07-30,187.22,,,,,,,
RUOGTR,2014-07-31,186.75,,,,,,,
RUOGTR,2014-08-01,186.12,,,,,,,
RUOGTR,2014-08-04,185.89,,,,,,,
RUOGTR,2014-08-05,182.45,,,,,,,
RUOGTR,2014-08-06,178.94,,,,,,,
RUOGTR,2014-08-07,179.51,,,,,,,
RUOGTR,2014-08-08,180.4,,,,,,,
RUOGTR,2014-08-11,184.56,,,,,,,
RUOGTR,2014-08-12,184.35,,,,,,,
RUOGTR,2014-08-13,187.91,,,,,,,
RUOGTR,2014-08-14,190.53,,,,,,,
RUOGTR,2014-08-15,190.48,,,,,,,
RUOGTR,2014-08-18,192.03,,,,,,,
RUOGTR,2014-08-19,192.6,,,,,,,
RUOGTR,2014-08-20,194.09,,,,,,,
RUOGTR,2014-08-21,197.14,,,,,,,
