secid,tradedate,open,close,low,high,capitalization
RURETR,2020-03-20,150.0,150.0,150.0,150.0,
RURETR,2020-03-23,149.02,149.02,149.02,149.02,
RURETR,2020-03-24,161.88,161.88,161.88,161.88,
RURETR,2020-03-25,163.93,163.93,163.93,163.93,
RURETR,2020-03-26,167.22,167.22,167.22,167.22,
RURETR,2020-03-27,160.91,160.91,160.91,160.91,
RURETR,2020-03-30,157.97,157.97,157.97,157.97,
RURETR,2020-03-31,166.49,166.49,166.49,166.49,
RURETR,2020-04-01,163.29,163.29,163.29,163.29,
RURETR,2020-04-02,167.61,167.61,167.61,167.61,
RURETR,2020-04-03,167.2,167.2,167.2,167.2,
RURETR,2020-04-06,168.99,168.99,168.99,168.99,
RURETR,2020-04-07,168.4,168.4,168.4,168.4,
RURETR,2020-04-08,169.47,169.47,169.47,169.47,
RURETR,2020-04-09,172.19,172.19,172.19,172.19,
RURETR,2020-04-10,171.6,171.6,171.6,171.6,
RURETR,2020-04-13,169.43,169.43,169.43,169.43,
RURETR,2020-04-14,170.87,170.87,170.87,170.87,
RURETR,2020-04-15,160.27,160.27,160.27,160.27,
RURETR,2020-04-16,163.84,163.84,163.84,163.84,
RURETR,2020-04-17,163.26,163.26,163.26,163.26,
RURETR,2020-04-20,163.05,163.05,163.05,163.05,
RURETR,2020-04-21,153.54,153.54,153.54,153.54,
RURETR,2020-04-22,158.57,158.57,158.57,158.57,
RURETR,2020-04-23,162.6,162.6,162.6,162.6,
RURETR,2020-04-24,161.43,161.43,161.43,161.43,
RURETR,2020-04-27,161.88,161.88,161.88,161.88,
RURETR,2020-04-28,165.93,165.93,165.93,165.93,
RURETR,2020-04-29,168.7,168.7,168.7,168.7,
RURETR,2020-04-30,166.99,166.99,166.99,166.99,
RURETR,2020-05-04,164.71,164.71,164.71,164.71,
RURETR,2020-05-05,168.05,168.05,168.05,168.05,
RURETR,2020-05-06,165.35,165.35,165.35,165.35,
RURETR,2020-05-07,167.17,167.17,167.17,167.17,
RURETR,2020-05-08,168.15,168.15,168.15,168.15,
RURETR,2020-05-12,165.78,165.78,165.78,165.78,
RURETR,2020-05-13,162.7,162.7,162.7,162.7,
RURETR,2020-05-14,159.74,159.74,159.74,159.74,
RURETR,2020-05-15,161.19,161.19,161.19,161.19,
RURETR,2020-05-18,166.62,166.62,166.62,166.62,
RURETR,2020-05-19,167.61,167.61,167.61,167.61,
RURETR,2020-05-20,169.54,169.54,169.54,169.54,
RURETR,2020-05-21,170.53,170.53,170.53,170.53,
RURETR,2020-05-22,168.7,168.7,168.7,168.7,
RURETR,2020-05-25,171.03,171.03,171.03,171.03,
RURETR,2020-05-26,173.05,173.05,173.05,173.05,
RURETR,2020-05-27,172.08,172.08,172.08,172.08,
RURETR,2020-05-28,176.35,176.35,176.35,176.35,
RURETR,2020-05-29,175.52,175.52,175.52,175.52,
RURETR,2020-06-01,177.05,177.05,177.05,177.05,
RURETR,2020-06-02,179.32,179.32,179.32,179.32,
RURETR,2020-06-03,185.9,185.9,185.9,185.9,
RURETR,2020-06-04,184.14,184.14,184.14,184.14,
RURETR,2020-06-05,189.77,189.77,189.77,189.77,
RURETR,2020-06-08,193.58,193.58,193.58,193.58,
RURETR,2020-06-09,190.84,190.84,190.84,190.84,
RURETR,2020-06-10,193.2,193.2,193.2,193.2,
RURETR,2020-06-11,189.03,189.03,189.03,189.03,
RURETR,2020-06-15,188.32,188.32,188.32,188.32,
RURETR,2020-06-16,194.76,194.76,194.76,194.76,
RURETR,2020-06-17,194.2,194.2,194.2,194.2,
RURETR,2020-06-18,193.28,193.28,193.28,193.28,
RURETR,2020-06-19,199.02,199.02,199.02,199.02,
RURETR,2020-06-22,200.08,200.08,200.08,200.08,
RURETR,2020-06-23,205.5,205.5,205.5,205.5,
RURETR,2020-06-25,201.85,201.85,201.85,201.85,
RURETR,2020-06-26,201.48,201.48,201.48,201.48,
RURETR,2020-06-29,201.39,201.39,201.39,201.39,
RURETR,2020-06-30,197.27,197.27,197.27,197.27,
RURETR,2020-07-02,204.02,204.02,204.02,204.02,
RURETR,2020-07-03,200.26,200.26,200.26,200.26,
RURETR,2020-07-06,200.68,200.68,200.68,200.68,
RURETR,2020-07-07,199.36,199.36,199.36,199.36,
RURETR,2020-07-08,199.19,199.19,199.19,199.19,
RURETR,2020-07-09,196.89,196.89,196.89,196.89,
RURETR,2020-07-10,196.43,196.43,196.43,196.43,
RURETR,2020-07-13,194.65,194.65,194.65,194.65,
RURETR,2020-07-14,198.48,198.48,198.48,198.48,
RURETR,2020-07-15,199.83,199.83,199.83,199.83,
RURETR,2020-07-16,202.56,202.56,202.56,202.56,
RURETR,2020-07-17,201.61,201.61,201.61,201.61,
RURETR,2020-07-20,205.56,205.56,205.56,205.56,
RURETR,2020-07-21,213.38,213.38,213.38,213.38,
RURETR,2020-07-22,212.31,212.31,212.31,212.31,
RURETR,2020-07-23,209.36,209.36,209.36,209.36,
RURETR,2020-07-24,209.46,209.46,209.46,209.46,
RURETR,2020-07-27,212.72,212.72,212.72,212.72,
RURETR,2020-07-28,214.72,214.72,214.72,214.72,
RURETR,2020-07-29,219.11,219.11,219.11,219.11,
RURETR,2020-07-30,212.42,212.42,212.42,212.42,
RURETR,2020-07-31,209.83,209.83,209.83,209.83,
RURETR,2020-08-03,216.06,216.06,216.06,216.06,
RURETR,2020-08-04,218.69,218.69,218.69,218.69,
RURETR,2020-08-05,220.37,220.37,220.37,220.37,
RURETR,2020-08-06,218.38,218.38,218.38,218.38,
RURETR,2020-08-07,216.64,216.64,216.64,216.64,
RURETR,2020-08-10,216.51,216.51,216.51,216.51,
RURETR,2020-08-11,218.06,218.06,218.06,218.06,
RURETR,2020-08-12,217.89,217.89,217.89,217.89,
RURETR,2020-08-13,219.84,219.84,219.84,219.84,
RURETR,2020-08-14,222.17,222.17,222.17,222.17,
RURETR,2020-08-17,218.91,218.91,218.91,218.91,
RURETR,2020-08-18,219.98,219.98,219.98,219.98,
RURETR,2020-08-19,219.75,219.75,219.75,219.75,
RURETR,2020-08-20,215.38,215.38,215.38,215.38,
RURETR,2020-08-21,215.38,215.38,215.38,215.38,
RURETR,2020-08-24,215.52,215.52,215.52,215.52,
RURETR,2020-08-25,214.94,214.94,214.94,214.94,
RURETR,2020-08-26,215.34,215.34,215.34,215.34,
RURETR,2020-08-27,217.21,217.21,217.21,217.21,
RURETR,2020-08-28,219.02,219.02,219.02,219.02,
RURETR,2020-08-31,220.49,220.49,220.49,220.49,
RURETR,2020-09-01,227.45,227.45,227.45,227.45,
RURETR,2020-09-02,223.76,223.76,223.76,223.76,
RURETR,2020-09-03,224.61,224.61,224.61,224.61,
RURETR,2020-09-04,224.17,224.17,224.17,224.17,
RURETR,2020-09-07,227.84,227.84,227.84,227.84,
RURETR,2020-09-08,227.82,227.82,227.82,227.82,
RURETR,2020-09-09,232.55,232.55,232.55,232.55,
RURETR,2020-09-10,235.4,235.4,235.4,235.4,
RURETR,2020-09-11,235.34,235.34,235.34,235.34,
RURETR,2020-09-14,236.94,236.94,236.94,236.94,
RURETR,2020-09-15,240.15,240.15,240.15,240.15,
RURETR,2020-09-16,241.06,241.06,241.06,241.06,
RURETR,2020-09-17,237.11,237.11,237.11,237.11,
RURETR,2020-09-18,238.97,238.97,238.97,238.97,
RURETR,2020-09-21,231.43,231.43,231.43,231.43,
RURETR,2020-09-22,234.64,234.64,234.64,234.64,
RURETR,2020-09-23,234.43,234.43,234.43,234.43,
RURETR,2020-09-24,233.84,233.84,233.84,233.84,
RURETR,2020-09-25,229.12,229.12,229.12,229.12,
RURETR,2020-09-28,230.12,230.12,230.12,230.12,
RURETR,2020-09-29,230.09,230.09,230.09,230.09,
RURETR,2020-09-30,232.34,232.34,232.34,232.34,
RURETR,2020-10-01,233.89,233.89,233.89,233.89,
RURETR,2020-10-02,232.17,232.17,232.17,232.17,
RURETR,2020-10-05,232.96,232.96,232.96,232.96,
RURETR,2020-10-06,234.42,234.42,234.42,234.42,
RURETR,2020-10-07,233.35,233.35,233.35,233.35,
RURETR,2020-10-08,235.91,235.91,235.91,235.91,
RURETR,2020-10-09,236.35,236.35,236.35,236.35,
RURETR,2020-10-12,238.34,238.34,238.34,238.34,
RURETR,2020-10-13,237.97,237.97,237.97,237.97,
RURETR,2020-10-14,240.87,240.87,240.87,240.87,
RURETR,2020-10-15,239.05,239.05,239.05,239.05,
RURETR,2020-10-16,241.76,241.76,241.76,241.76,
