secid,tradedate,close,open,high,low,value,duration,yield,capitalization
RURPLRUBTR,2022-12-30,100.0,100.0,100.0,100.0,,,,
RURPLRUBTR,2023-01-03,101.41,101.41,101.41,101.41,,,,
RURPLRUBTR,2023-01-04,101.54,101.54,101.54,101.54,,,,
RURPLRUBTR,2023-01-05,101.62,101.62,101.62,101.62,,,,
RURPLRUBTR,2023-01-06,101.56,101.56,101.56,101.56,,,,
RURPLRUBTR,2023-01-09,101.4,101.4,101.4,101.4,,,,
RURPLRUBTR,2023-01-10,98.86,98.86,98.86,98.86,,,,
RURPLRUBTR,2023-01-11,97.48,97.48,97.48,97.48,,,,
RURPLRUBTR,2023-01-12,96.47,96.47,96.47,96.47,,,,
RURPLRUBTR,2023-01-13,95.73,95.73,95.73,95.73,,,,
RURPLRUBTR,2023-01-16,96.96,96.96,96.96,96.96,,,,
RURPLRUBTR,2023-01-17,96.88,96.88,96.88,96.88,,,,
RURPLRUBTR,2023-01-18,98.03,98.03,98.03,98.03,,,,
RURPLRUBTR,2023-01-19,97.6,97.6,97.6,97.6,,,,
RURPLRUBTR,2023-01-20,97.5,97.5,97.5,97.5,,,,
RURPLRUBTR,2023-01-23,97.54,97.54,97.54,97.54,,,,
RURPLRUBTR,2023-01-24,96.9,96.9,96.9,96.9,,,,
RURPLRUBTR,2023-01-25,97.02,97.02,97.02,97.02,,,,
RURPLRUBTR,2023-01-26,97.27,97.27,97.27,97.27,,,,
RURPLRUBTR,2023-01-27,97.36,97.36,97.36,97.36,,,,
RURPLRUBTR,2023-01-30,97.67,97.67,97.67,97.67,,,,
RURPLRUBTR,2023-01-31,98.01,98.01,98.01,98.01,,,,
RURPLRUBTR,2023-02-01,98.64,98.64,98.64,98.64,,,,
RURPLRUBTR,2023-02-02,98.01,98.01,98.01,98.01,,,,
RURPLRUBTR,2023-02-03,97.86,97.86,97.86,97.86,,,,
RURPLRUBTR,2023-02-06,97.87,97.87,97.87,97.87,,,,
RURPLRUBTR,2023-02-07,98.5,98.5,98.5,98.5,,,,
RURPLRUBTR,2023-02-08,99.25,99.25,99.25,99.25,,,,
RURPLRUBTR,2023-02-09,100.63,100.63,100.63,100.63,,,,
RURPLRUBTR,2023-02-10,102.04,102.04,102.04,102.04,,,,
RURPLRUBTR,2023-02-13,102.35,102.35,102.35,102.35,,,,
