secid,tradedate,close,open,high,low,value,duration,yield,capitalization
RUSFARIND,2018-01-09,1000.0,1000.0,1000.0,1000.0,,,,
RUSFARIND,2018-01-10,1000.21,1000.21,1000.21,1000.21,,,,
RUSFARIND,2018-01-11,1000.4,1000.4,1000.4,1000.4,,,,
RUSFARIND,2018-01-12,1000.6,1000.6,1000.6,1000.6,,,,
RUSFARIND,2018-01-15,1001.18,1001.18,1001.18,1001.18,,,,
RUSFARIND,2018-01-16,1001.38,1001.38,1001.38,1001.38,,,,
RUSFARIND,2018-01-17,1001.58,1001.58,1001.58,1001.58,,,,
RUSFARIND,2018-01-18,1001.78,1001.78,1001.78,1001.78,,,,
RUSFARIND,2018-01-19,1001.98,1001.98,1001.98,1001.98,,,,
RUSFARIND,2018-01-22,1002.58,1002.58,1002.58,1002.58,,,,
RUSFARIND,2018-01-23,1002.78,1002.78,1002.78,1002.78,,,,
RUSFARIND,2018-01-24,1002.97,1002.97,1002.97,1002.97,,,,
RUSFARIND,2018-01-25,1003.16,1003.16,1003.16,1003.16,,,,
RUSFARIND,2018-01-26,1003.35,1003.35,1003.35,1003.35,,,,
RUSFARIND,2018-01-29,1003.96,1003.96,1003.96,1003.96,,,,
RUSFARIND,2018-01-30,1004.16,1004.16,1004.16,1004.16,,,,
RUSFARIND,2018-01-31,1004.36,1004.36,1004.36,1004.36,,,,
RUSFARIND,2018-02-01,1004.57,1004.57,1004.57,1004.57,,,,
RUSFARIND,2018-02-02,1004.77,1004.77,1004.77,1004.77,,,,
RUSFARIND,2018-02-05,1005.37,1005.37,1005.37,1005.37,,,,
RUSFARIND,2018-02-06,1005.57,1005.57,1005.57,1005.57,,,,
RUSFARIND,2018-02-07,1005.77,1005.77,1005.77,1005.77,,,,
RUSFARIND,2018-02-08,1005.97,1005.97,1005.97,1005.97,,,,
RUSFARIND,2018-02-09,1006.17,1006.17,1006.17,1006.17,,,,
RUSFARIND,2018-02-12,1006.76,1006.76,1006.76,1006.76,,,,
RUSFARIND,2018-02-13,1006.95,1006.95,1006.95,1006.95,,,,
RUSFARIND,2018-02-14,1007.14,1007.14,1007.14,1007.14,,,,
RUSFARIND,2018-02-15,1007.34,1007.34,1007.34,1007.34,,,,
RUSFARIND,2018-02-16,1007.54,1007.54,1007.54,1007.54,,,,
RUSFARIND,2018-02-19,1008.15,1008.15,1008.15,1008.15,,,,
RUSFARIND,2018-02-20,1008.35,1008.35,1008.35,1008.35,,,,
RUSFARIND,2018-02-21,1008.55,1008.55,1008.55,1008.55,,,,
RUSFARIND,2018-02-22,1008.75,1008.75,1008.75,1008.75,,,,
RUSFARIND,2018-02-26,1009.55,1009.55,1009.55,1009.55,,,,
RUSFARIND,2018-02-27,1009.75,1009.75,1009.75,1009.75,,,,
RUSFARIND,2018-02-28,1009.95,1009.95,1009.95,1009.95,,,,
RUSFARIND,2018-03-01,1010.16,1010.16,1010.16,1010.16,,,,
RUSFARIND,2018-03-02,1010.36,1010.36,1010.36,1010.36,,,,
RUSFARIND,2018-03-05,1010.98,1010.98,1010.98,1010.98,,,,
RUSFARIND,2018-03-06,1011.18,1011.18,1011.18,1011.18,,,,
RUSFARIND,2018-03-07,1011.38,1011.38,1011.38,1011.38,,,,
RUSFARIND,2018-03-12,1012.39,1012.39,1012.39,1012.39,,,,
RUSFARIND,2018-03-13,1012.6,1012.6,1012.6,1012.6,,,,
RUSFARIND,2018-03-14,1012.81,1012.81,1012.81,1012.81,,,,
RUSFARIND,2018-03-15,1013.02,1013.02,1013.02,1013.02,,,,
RUSFARIND,2018-03-16,1013.23,1013.23,1013.23,1013.23,,,,
RUSFARIND,2018-03-19,1013.85,1013.85,1013.85,1013.85,,,,
RUSFARIND,2018-03-20,1014.05,1014.05,1014.05,1014.05,,,,
RUSFARIND,2018-03-21,1014.25,1014.25,1014.25,1014.25,,,,
RUSFARIND,2018-03-22,1014.45,1014.45,1014.45,1014.45,,,,
RUSFARIND,2018-03-23,1014.65,1014.65,1014.65,1014.65,,,,
RUSFARIND,2018-03-26,1015.25,1015.25,1015.25,1015.25,,,,
RUSFARIND,2018-03-27,1015.45,1015.45,1015.45,1015.45,,,,
RUSFARIND,2018-03-28,1015.65,1015.65,1015.65,1015.65,,,,
RUSFARIND,2018-03-29,1015.85,1015.85,1015.85,1015.85,,,,
