secid,tradedate,open,close,low,high,capitalization
RUTLTR,2013-12-30,,224.33,,,
RUTLTR,2014-01-06,,214.19,,,
RUTLTR,2014-01-08,,214.56,,,
RUTLTR,2014-01-09,,212.5,,,
RUTLTR,2014-01-10,,214.83,,,
RUTLTR,2014-01-13,,214.89,,,
RUTLTR,2014-01-14,,213.09,,,
RUTLTR,2014-01-15,,214.3,,,
RUTLTR,2014-01-16,,211.4,,,
RUTLTR,2014-01-17,,210.57,,,
RUTLTR,2014-01-20,,209.78,,,
RUTLTR,2014-01-21,,209.63,,,
RUTLTR,2014-01-22,,207.29,,,
RUTLTR,2014-01-23,,205.53,,,
RUTLTR,2014-01-24,,202.45,,,
RUTLTR,2014-01-27,,199.14,,,
RUTLTR,2014-01-28,,198.49,,,
RUTLTR,2014-01-29,,193.29,,,
RUTLTR,2014-01-30,,193.99,,,
RUTLTR,2014-01-31,,190.62,,,
RUTLTR,2014-02-03,,191.43,,,
RUTLTR,2014-02-04,,194.77,,,
RUTLTR,2014-02-05,,197.24,,,
RUTLTR,2014-02-06,,198.3,,,
RUTLTR,2014-02-07,,200.82,,,
RUTLTR,2014-02-10,,200.53,,,
RUTLTR,2014-02-11,,201.35,,,
RUTLTR,2014-02-12,,201.72,,,
RUTLTR,2014-02-13,,195.06,,,
RUTLTR,2014-02-14,,197.3,,,
RUTLTR,2014-02-17,,197.8,,,
RUTLTR,2014-02-18,,196.37,,,
RUTLTR,2014-02-19,,188.92,,,
RUTLTR,2014-02-20,,186.52,,,
RUTLTR,2014-02-21,,189.27,,,
RUTLTR,2014-02-24,,188.88,,,
RUTLTR,2014-02-25,,186.49,,,
RUTLTR,2014-02-26,,181.68,,,
RUTLTR,2014-02-27,,177.47,,,
RUTLTR,2014-02-28,,179.04,,,
RUTLTR,2014-03-03,,153.99,,,
RUTLTR,2014-03-04,,164.45,,,
RUTLTR,2014-03-05,,165.32,,,
RUTLTR,2014-03-06,,165.11,,,
RUTLTR,2014-03-07,,161.48,,,
RUTLTR,2014-03-11,,157.67,,,
RUTLTR,2014-03-12,,150.56,,,
RUTLTR,2014-03-13,,148.71,,,
RUTLTR,2014-03-14,,146.89,,,
RUTLTR,2014-03-17,,156.33,,,
RUTLTR,2014-03-18,,163.84,,,
RUTLTR,2014-03-19,,163.01,,,
RUTLTR,2014-03-20,,162.12,,,
RUTLTR,2014-03-21,,159.95,,,
RUTLTR,2014-03-24,,162.1,,,
RUTLTR,2014-03-25,,167.33,,,
RUTLTR,2014-03-26,,171.19,,,
RUTLTR,2014-03-27,,167.6,,,
RUTLTR,2014-03-28,,171.12,,,
RUTLTR,2014-03-31,,171.91,,,
RUTLTR,2014-04-01,,171.87,,,
RUTLTR,2014-04-02,,172.34,,,
RUTLTR,2014-04-03,,170.38,,,
RUTLTR,2014-04-04,,171.36,,,
RUTLTR,2014-04-07,,163.98,,,
RUTLTR,2014-04-08,,162.25,,,
RUTLTR,2014-04-09,,160.11,,,
RUTLTR,2014-04-10,,163.06,,,
RUTLTR,2014-04-11,,161.58,,,
RUTLTR,2014-04-14,,157.74,,,
RUTLTR,2014-04-15,,152.5,,,
RUTLTR,2014-04-16,,154.36,,,
RUTLTR,2014-04-17,,158.7,,,
RUTLTR,2014-04-18,,164.42,,,
RUTLTR,2014-04-21,,161.77,,,
RUTLTR,2014-04-22,,162.12,,,
RUTLTR,2014-04-23,,161.48,,,
RUTLTR,2014-04-24,,157.92,,,
RUTLTR,2014-04-25,,154.7,,,
RUTLTR,2014-04-28,,157.28,,,
RUTLTR,2014-04-29,,160.11,,,
RUTLTR,2014-04-30,,161.03,,,
RUTLTR,2014-05-02,,159.86,,,
RUTLTR,2014-05-05,,159.44,,,
RUTLTR,2014-05-06,,162.39,,,
RUTLTR,2014-05-07,,169.88,,,
RUTLTR,2014-05-08,,170.44,,,
RUTLTR,2014-05-12,,168.56,,,
RUTLTR,2014-05-13,,171.7,,,
RUTLTR,2014-05-14,,171.69,,,
RUTLTR,2014-05-15,,170.4,,,
RUTLTR,2014-05-16,,171.01,,,
RUTLTR,2014-05-19,,174.96,,,
RUTLTR,2014-05-20,,177.0,,,
RUTLTR,2014-05-21,,180.11,,,
RUTLTR,2014-05-22,,179.4,,,
RUTLTR,2014-05-23,,182.73,,,
RUTLTR,2014-05-26,,183.65,,,
RUTLTR,2014-05-27,,177.51,,,
RUTLTR,2014-05-28,,179.4,,,
RUTLTR,2014-05-29,,182.26,,,
RUTLTR,2014-05-30,,179.9,,,
RUTLTR,2014-06-02,,183.96,,,
RUTLTR,2014-06-03,,183.74,,,
RUTLTR,2014-06-04,,184.56,,,
RUTLTR,2014-06-05,,188.06,,,
RUTLTR,2014-06-06,,193.48,,,
RUTLTR,2014-06-09,,193.65,,,
RUTLTR,2014-06-10,,193.22,,,
RUTLTR,2014-06-11,,193.8,,,
RUTLTR,2014-06-16,,193.33,,,
RUTLTR,2014-06-17,,189.52,,,
RUTLTR,2014-06-18,,192.42,,,
RUTLTR,2014-06-19,,196.09,,,
RUTLTR,2014-06-20,,196.43,,,
RUTLTR,2014-06-23,,195.98,,,
RUTLTR,2014-06-24,,204.92,,,
RUTLTR,2014-06-25,,197.89,,,
RUTLTR,2014-06-26,,196.22,,,
RUTLTR,2014-06-27,,198.5,,,
RUTLTR,2014-06-30,,195.92,,,
RUTLTR,2014-07-01,,197.27,,,
RUTLTR,2014-07-02,,201.71,,,
RUTLTR,2014-07-03,,205.88,,,
RUTLTR,2014-07-04,,201.31,,,
RUTLTR,2014-07-07,,205.78,,,
RUTLTR,2014-07-08,,203.68,,,
RUTLTR,2014-07-09,,205.98,,,
RUTLTR,2014-07-10,,202.83,,,
RUTLTR,2014-07-11,,204.05,,,
RUTLTR,2014-07-14,,203.39,,,
RUTLTR,2014-07-15,,203.1,,,
RUTLTR,2014-07-16,,203.81,,,
RUTLTR,2014-07-17,,196.24,,,
RUTLTR,2014-07-18,,192.56,,,
RUTLTR,2014-07-21,,185.63,,,
RUTLTR,2014-07-22,,188.65,,,
RUTLTR,2014-07-23,,189.03,,,
RUTLTR,2014-07-24,,187.81,,,
RUTLTR,2014-07-25,,183.65,,,
RUTLTR,2014-07-28,,177.49,,,
RUTLTR,2014-07-29,,180.46,,,
RUTLTR,2014-07-30,,182.65,,,
RUTLTR,2014-07-31,,183.8,,,
