secid,tradedate,open,close,low,high,capitalization
RVI,2013-11-18,23.8,21.84,21.77,23.87,0.0
RVI,2013-11-19,21.83,22.49,20.98,22.74,0.0
RVI,2013-11-20,22.48,22.77,22.28,22.98,0.0
RVI,2013-11-21,22.75,21.89,21.77,23.0,0.0
RVI,2013-11-22,21.86,21.85,21.16,22.22,0.0
RVI,2013-11-25,21.85,21.64,21.57,22.51,0.0
RVI,2013-11-26,21.58,21.87,21.11,22.39,0.0
RVI,2013-11-27,21.86,23.41,21.17,23.41,0.0
RVI,2013-11-28,23.39,23.49,22.72,24.15,0.0
RVI,2013-11-29,23.5,23.8,23.07,24.43,0.0
RVI,2013-12-02,23.83,24.59,22.73,24.9,0.0
RVI,2013-12-03,24.59,25.24,24.1,26.49,0.0
RVI,2013-12-04,25.25,25.9,24.3,26.08,0.0
RVI,2013-12-05,25.89,26.15,24.26,26.26,0.0
RVI,2013-12-06,26.07,24.36,23.93,26.16,0.0
RVI,2013-12-09,24.35,23.85,23.01,25.82,0.0
RVI,2013-12-10,23.65,24.09,22.93,24.67,0.0
RVI,2013-12-11,24.09,23.56,22.5,24.79,0.0
RVI,2013-12-12,23.61,23.45,23.1,25.95,0.0
RVI,2013-12-13,23.45,22.64,22.0,24.84,0.0
RVI,2013-12-16,22.64,22.43,22.06,24.25,0.0
RVI,2013-12-17,22.42,19.99,19.72,22.55,0.0
RVI,2013-12-18,19.99,20.8,19.87,21.07,0.0
RVI,2013-12-19,20.82,19.47,19.28,22.48,0.0
RVI,2013-12-20,19.5,18.04,17.45,19.52,0.0
RVI,2013-12-23,17.93,18.36,17.5,19.29,0.0
RVI,2013-12-24,18.36,17.75,17.33,18.89,0.0
RVI,2013-12-25,17.7,18.94,17.61,19.37,0.0
RVI,2013-12-26,18.94,19.6,18.76,20.6,0.0
RVI,2013-12-27,19.6,19.36,18.97,20.58,0.0
RVI,2013-12-30,19.36,20.48,19.22,21.31,0.0
RVI,2014-01-06,20.47,22.7,20.36,23.05,0.0
RVI,2014-01-08,22.69,19.4,18.79,22.96,0.0
RVI,2014-01-09,19.53,18.85,18.51,23.19,0.0
RVI,2014-01-10,18.83,20.56,17.18,20.58,0.0
