ticker,tradedate,open,high,low,close,value,volume,boardid
ABRD,2014-06-09 00:00:00,132.72,134.05,132.7,133.3,586611,4400,TQBR
ABRD,2014-06-10 00:00:00,133.9,133.9,130.91,131.02,145628,1100,TQBR
ABRD,2014-06-11 00:00:00,132.5,133.89,130.5,133.89,937910,7100,TQBR
ABRD,2014-06-16 00:00:00,133.7,133.86,132.17,132.17,772449,5800,TQBR
ABRD,2014-06-17 00:00:00,131.88,131.88,131.11,131.11,223421,1700,TQBR
ABRD,2014-06-18 00:00:00,131.12,132.5,130.82,131.0,315092,2400,TQBR
ABRD,2014-06-19 00:00:00,131.01,132.8,131.01,132.55,1081176,8200,TQBR
ABRD,2014-06-20 00:00:00,132.08,132.08,131.18,131.6,447305,3400,TQBR
ABRD,2014-06-23 00:00:00,132.2,132.2,131.54,131.54,92326,700,TQBR
ABRD,2014-06-24 00:00:00,131.79,133.22,130.85,133.22,603771,4600,TQBR
ABRD,2014-06-25 00:00:00,132.0,134.12,131.92,134.12,225062,1700,TQBR
ABRD,2014-06-26 00:00:00,133.88,136.5,133.8,136.5,1103336,8200,TQBR
ABRD,2014-06-27 00:00:00,135.3,136.59,135.22,135.5,1046543,7700,TQBR
ABRD,2014-06-30 00:00:00,135.82,138.55,135.78,135.88,1232888,9000,TQBR
ABRD,2014-07-01 00:00:00,135.52,137.83,135.45,136.83,1121340,8200,TQBR
ABRD,2014-07-02 00:00:00,136.82,138.18,136.75,137.99,632353,4600,TQBR
ABRD,2014-07-03 00:00:00,138.37,139.23,138.29,138.9,527844,3800,TQBR
ABRD,2014-07-04 00:00:00,138.7,140.32,138.15,139.19,1503417,10800,TQBR
ABRD,2014-07-07 00:00:00,139.2,141.7,139.13,141.54,405719,2900,TQBR
ABRD,2014-07-08 00:00:00,141.6,144.98,140.75,144.98,854124,6000,TQBR
ABRD,2014-07-09 00:00:00,142.7,144.26,142.7,143.0,903798,6300,TQBR
ABRD,2014-07-10 00:00:00,143.13,143.8,143.13,143.8,86079,600,TQBR
ABRD,2014-07-11 00:00:00,143.5,143.66,142.54,143.3,514878,3600,TQBR
ABRD,2014-07-14 00:00:00,143.07,144.43,143.07,143.41,790722,5500,TQBR
ABRD,2014-07-15 00:00:00,143.13,144.8,143.13,144.8,114876,800,TQBR
ABRD,2014-07-16 00:00:00,145.69,145.7,143.0,143.65,851109,5900,TQBR
ABRD,2014-07-17 00:00:00,145.09,145.09,142.11,142.11,57146,400,TQBR
ABRD,2014-07-18 00:00:00,142.05,142.05,140.55,141.97,1003449,7100,TQBR
ABRD,2014-07-21 00:00:00,138.8,138.8,135.65,135.65,497569,3600,TQBR
ABRD,2014-07-22 00:00:00,137.29,138.53,137.22,137.22,979201,7100,TQBR
ABRD,2014-07-23 00:00:00,137.73,139.1,137.64,137.71,1092898,7900,TQBR
ABRD,2014-07-25 00:00:00,137.71,137.71,135.51,135.51,1055199,7700,TQBR
ABRD,2014-07-28 00:00:00,135.21,137.48,135.21,136.5,847284,6200,TQBR
ABRD,2014-07-29 00:00:00,136.9,139.1,135.12,139.1,646119,4700,TQBR
ABRD,2014-07-30 00:00:00,135.51,139.3,135.5,136.64,1316322,9600,TQBR
ABRD,2014-07-31 00:00:00,136.1,136.95,136.1,136.1,902340,6600,TQBR
ABRD,2014-08-01 00:00:00,130.69,137.14,130.69,136.79,625020,4600,TQBR
ABRD,2014-08-04 00:00:00,136.92,138.14,136.85,137.53,715199,5200,TQBR
ABRD,2014-08-05 00:00:00,137.2,138.03,137.2,138.03,206613,1500,TQBR
ABRD,2014-08-06 00:00:00,137.98,137.99,136.52,137.95,920238,6700,TQBR
ABRD,2014-08-07 00:00:00,137.04,137.12,135.73,136.99,1105779,8100,TQBR
ABRD,2014-08-08 00:00:00,137.02,138.69,135.2,138.6,1212582,8900,TQBR
ABRD,2014-08-11 00:00:00,139.5,139.5,128.75,138.89,3535572,25800,TQBR
ABRD,2014-08-12 00:00:00,135.0,135.0,134.99,135.0,94496,700,TQBR
ABRD,2014-08-13 00:00:00,134.59,140.2,132.14,140.2,986595,7300,TQBR
ABRD,2014-08-14 00:00:00,140.0,140.39,137.9,138.0,596411,4300,TQBR
ABRD,2014-08-15 00:00:00,138.0,138.0,137.2,138.0,370775,2700,TQBR
ABRD,2014-08-18 00:00:00,141.97,141.97,138.96,138.96,795968,5700,TQBR
ABRD,2014-08-19 00:00:00,139.05,139.69,138.57,139.69,569443,4100,TQBR
ABRD,2014-08-20 00:00:00,139.82,140.17,137.5,137.5,375187,2700,TQBR
ABRD,2014-08-21 00:00:00,137.1,137.9,137.0,137.0,275223,2000,TQBR
ABRD,2014-08-22 00:00:00,136.0,137.0,133.9,133.9,175911,1300,TQBR
ABRD,2014-08-25 00:00:00,135.3,135.3,130.21,134.03,903656,6800,TQBR
ABRD,2014-08-26 00:00:00,130.21,134.06,128.1,131.77,1457113,11200,TQBR
ABRD,2014-08-27 00:00:00,131.19,131.19,119.4,120.0,1407294,11200,TQBR
ABRD,2014-08-28 00:00:00,122.6,122.6,118.1,118.1,95910,800,TQBR
ABRD,2014-08-29 00:00:00,119.6,127.13,119.6,127.13,598670,4800,TQBR
ABRD,2014-09-01 00:00:00,123.9,123.9,110.9,114.9,2788371,23600,TQBR
ABRD,2014-09-02 00:00:00,116.0,116.0,114.0,114.0,262602,2300,TQBR
ABRD,2014-09-03 00:00:00,114.18,114.18,114.0,114.0,45651,400,TQBR
ABRD,2014-09-04 00:00:00,114.1,114.1,103.69,105.2,1290161,12200,TQBR
ABRD,2014-09-05 00:00:00,103.0,105.2,101.01,105.09,1708810,16500,TQBR
ABRD,2014-09-08 00:00:00,110.1,110.1,100.01,102.0,51215,500,TQBR
ABRD,2014-09-09 00:00:00,101.0,103.0,94.0,97.0,202946,2100,TQBR
ABRD,2014-09-10 00:00:00,99.16,104.99,99.16,104.99,30705,300,TQBR
ABRD,2014-09-11 00:00:00,107.0,114.09,106.5,114.09,536840,4900,TQBR
ABRD,2014-09-12 00:00:00,130.99,139.39,114.46,117.2,205704,1700,TQBR
ABRD,2014-09-15 00:00:00,122.98,122.98,122.98,122.98,12298,100,TQBR
ABRD,2014-09-17 00:00:00,115.15,118.99,115.0,118.99,609915,5300,TQBR
ABRD,2014-09-18 00:00:00,123.9,132.49,115.0,115.0,401099,3200,TQBR
ABRD,2014-09-19 00:00:00,115.02,119.97,115.0,115.0,253511,2200,TQBR
ABRD,2014-09-22 00:00:00,126.98,126.98,115.0,115.0,83004,700,TQBR
ABRD,2014-09-23 00:00:00,118.99,124.97,115.0,115.0,178399,1500,TQBR
ABRD,2014-09-24 00:00:00,115.4,135.5,110.0,126.0,907569,7600,TQBR
ABRD,2014-09-25 00:00:00,115.51,133.99,115.02,117.0,232174,1900,TQBR
ABRD,2014-09-26 00:00:00,115.52,124.78,115.51,120.61,145686,1200,TQBR
ABRD,2014-09-29 00:00:00,124.99,135.19,120.0,120.0,220483,1800,TQBR
ABRD,2014-09-30 00:00:00,120.0,120.0,114.0,115.01,705091,6100,TQBR
ABRD,2014-10-01 00:00:00,113.0,120.0,113.0,120.0,177050,1500,TQBR
ABRD,2014-10-02 00:00:00,115.5,115.5,115.0,115.0,34550,300,TQBR
ABRD,2014-10-03 00:00:00,118.5,119.0,115.0,115.0,70100,600,TQBR
ABRD,2014-10-06 00:00:00,119.5,123.0,119.5,123.0,60800,500,TQBR
ABRD,2014-10-07 00:00:00,116.5,116.5,116.0,116.0,603250,5200,TQBR
ABRD,2014-10-08 00:00:00,115.0,115.0,115.0,115.0,57500,500,TQBR
ABRD,2014-10-09 00:00:00,115.5,115.5,111.5,115.0,79550,700,TQBR
ABRD,2014-10-10 00:00:00,105.5,119.0,105.5,111.0,183100,1600,TQBR
ABRD,2014-10-13 00:00:00,112.5,116.0,111.0,116.0,239200,2100,TQBR
ABRD,2014-10-14 00:00:00,115.0,125.0,114.5,125.0,628950,5400,TQBR
ABRD,2014-10-15 00:00:00,115.0,116.0,115.0,115.5,265250,2300,TQBR
ABRD,2014-10-16 00:00:00,111.0,118.0,111.0,113.0,646050,5600,TQBR
ABRD,2014-10-17 00:00:00,112.5,113.0,112.5,113.0,618850,5500,TQBR
ABRD,2014-10-20 00:00:00,112.5,112.5,112.0,112.0,78500,700,TQBR
ABRD,2014-10-21 00:00:00,111.0,111.0,111.0,111.0,22200,200,TQBR
ABRD,2014-10-24 00:00:00,110.5,111.0,110.5,111.0,110800,1000,TQBR
ABRD,2014-10-27 00:00:00,111.5,111.5,111.5,111.5,11150,100,TQBR
ABRD,2014-10-28 00:00:00,111.0,111.0,111.0,111.0,33300,300,TQBR
ABRD,2014-10-29 00:00:00,112.5,113.5,112.0,112.5,688350,6100,TQBR
ABRD,2014-10-30 00:00:00,113.0,114.0,112.5,114.0,486950,4300,TQBR
ABRD,2014-10-31 00:00:00,113.0,113.0,111.0,111.0,810500,7200,TQBR
ABRD,2014-11-03 00:00:00,111.5,111.5,111.5,111.5,11150,100,TQBR
ABRD,2014-11-05 00:00:00,111.0,111.0,109.5,109.5,583150,5300,TQBR
ABRD,2014-11-06 00:00:00,108.5,111.0,108.0,111.0,121000,1100,TQBR
ABRD,2014-11-10 00:00:00,108.0,108.5,108.0,108.5,64850,600,TQBR
ABRD,2014-11-11 00:00:00,109.0,109.0,108.5,108.5,21750,200,TQBR
ABRD,2014-11-12 00:00:00,109.5,109.5,108.5,108.5,32650,300,TQBR
ABRD,2014-11-13 00:00:00,108.0,108.0,106.0,106.0,670450,6300,TQBR
ABRD,2014-11-14 00:00:00,106.0,106.0,102.0,102.0,714900,6800,TQBR
ABRD,2014-11-17 00:00:00,103.0,103.0,103.0,103.0,20600,200,TQBR
ABRD,2014-11-18 00:00:00,103.0,107.0,103.0,107.0,115200,1100,TQBR
ABRD,2014-11-19 00:00:00,107.0,107.0,107.0,107.0,10700,100,TQBR
ABRD,2014-11-24 00:00:00,107.0,107.0,107.0,107.0,10700,100,TQBR
ABRD,2014-11-27 00:00:00,108.5,108.5,108.5,108.5,10850,100,TQBR
ABRD,2014-12-02 00:00:00,104.5,107.0,104.5,107.0,31600,300,TQBR
ABRD,2014-12-03 00:00:00,106.5,106.5,106.5,106.5,10650,100,TQBR
ABRD,2014-12-08 00:00:00,103.0,103.0,90.0,97.0,2636400,26100,TQBR
ABRD,2014-12-09 00:00:00,95.0,95.0,92.0,95.0,3809200,40100,TQBR
ABRD,2014-12-10 00:00:00,100.0,100.0,95.0,95.0,105100,1100,TQBR
ABRD,2014-12-11 00:00:00,95.5,100.0,95.0,95.0,95600,1000,TQBR
ABRD,2014-12-12 00:00:00,99.0,99.0,99.0,99.0,19800,200,TQBR
ABRD,2014-12-15 00:00:00,95.5,95.5,95.0,95.0,123550,1300,TQBR
ABRD,2014-12-16 00:00:00,95.0,95.5,95.0,95.0,209050,2200,TQBR
ABRD,2014-12-17 00:00:00,105.0,105.0,105.0,105.0,10500,100,TQBR
ABRD,2014-12-18 00:00:00,98.5,100.0,95.0,95.5,106500,1100,TQBR
ABRD,2014-12-19 00:00:00,95.5,95.5,95.0,95.0,28550,300,TQBR
ABRD,2014-12-22 00:00:00,100.0,100.0,100.0,100.0,10000,100,TQBR
ABRD,2014-12-26 00:00:00,96.0,96.0,96.0,96.0,9600,100,TQBR
ABRD,2014-12-29 00:00:00,95.0,95.0,95.0,95.0,28500,300,TQBR
ABRD,2014-12-30 00:00:00,94.5,94.5,94.5,94.5,47250,500,TQBR
ABRD,2015-01-08 00:00:00,99.0,99.0,99.0,99.0,9900,100,TQBR
ABRD,2015-01-09 00:00:00,90.0,90.0,90.0,90.0,9000,100,TQBR
ABRD,2015-01-12 00:00:00,88.0,90.0,88.0,90.0,17800,200,TQBR
ABRD,2015-01-13 00:00:00,95.0,95.0,90.5,90.5,27600,300,TQBR
ABRD,2015-01-14 00:00:00,99.5,99.5,90.0,90.0,111850,1200,TQBR
ABRD,2015-01-15 00:00:00,90.0,94.5,88.0,94.5,91350,1000,TQBR
ABRD,2015-01-19 00:00:00,98.5,98.5,98.5,98.5,9850,100,TQBR
ABRD,2015-01-20 00:00:00,97.5,98.0,97.5,98.0,29350,300,TQBR
ABRD,2015-01-22 00:00:00,96.0,96.0,91.0,91.0,28300,300,TQBR
ABRD,2015-01-23 00:00:00,99.0,99.0,99.0,99.0,9900,100,TQBR
ABRD,2015-01-26 00:00:00,97.5,105.0,97.5,105.0,79200,800,TQBR
ABRD,2015-01-27 00:00:00,92.0,92.0,92.0,92.0,9200,100,TQBR
ABRD,2015-01-29 00:00:00,93.0,93.0,93.0,93.0,9300,100,TQBR
ABRD,2015-02-09 00:00:00,105.0,105.0,105.0,105.0,10500,100,TQBR
ABRD,2015-02-11 00:00:00,105.0,107.0,99.0,100.0,506050,4800,TQBR
ABRD,2015-02-12 00:00:00,100.0,104.5,97.0,104.5,30150,300,TQBR
ABRD,2015-02-13 00:00:00,105.0,111.0,105.0,110.0,170200,1600,TQBR
ABRD,2015-02-17 00:00:00,102.0,102.0,101.0,101.0,40500,400,TQBR
ABRD,2015-02-19 00:00:00,106.0,107.0,106.0,107.0,233300,2200,TQBR
ABRD,2015-02-20 00:00:00,97.0,108.0,97.0,108.0,30900,300,TQBR
ABRD,2015-02-26 00:00:00,98.0,98.0,98.0,98.0,9800,100,TQBR
ABRD,2015-02-27 00:00:00,100.5,100.5,100.5,100.5,10050,100,TQBR
ABRD,2015-03-03 00:00:00,98.5,98.5,98.5,98.5,29550,300,TQBR
ABRD,2015-03-04 00:00:00,100.0,100.0,100.0,100.0,10000,100,TQBR
ABRD,2015-03-05 00:00:00,100.0,100.0,100.0,100.0,10000,100,TQBR
ABRD,2015-03-06 00:00:00,106.0,106.0,106.0,106.0,21200,200,TQBR
ABRD,2015-03-11 00:00:00,107.0,107.0,106.0,106.0,42700,400,TQBR
ABRD,2015-03-12 00:00:00,100.5,100.5,100.5,100.5,30150,300,TQBR
ABRD,2015-03-13 00:00:00,100.0,106.0,100.0,100.0,40600,400,TQBR
ABRD,2015-03-17 00:00:00,105.5,107.0,99.0,99.0,144350,1400,TQBR
ABRD,2015-03-19 00:00:00,106.0,106.0,106.0,106.0,10600,100,TQBR
ABRD,2015-03-23 00:00:00,106.5,106.5,106.5,106.5,10650,100,TQBR
ABRD,2015-03-24 00:00:00,98.5,98.5,85.5,94.0,109950,1200,TQBR
ABRD,2015-03-25 00:00:00,98.0,99.5,93.5,93.5,29100,300,TQBR
ABRD,2015-03-26 00:00:00,95.5,95.5,92.5,92.5,18800,200,TQBR
ABRD,2015-03-27 00:00:00,91.0,95.0,91.0,95.0,18600,200,TQBR
ABRD,2015-03-30 00:00:00,89.5,89.5,89.5,89.5,8950,100,TQBR
ABRD,2015-03-31 00:00:00,99.0,99.0,99.0,99.0,19800,200,TQBR
ABRD,2015-04-06 00:00:00,90.5,94.0,90.0,94.0,164150,1800,TQBR
ABRD,2015-04-07 00:00:00,95.0,95.0,95.0,95.0,9500,100,TQBR
ABRD,2015-04-08 00:00:00,91.0,91.0,91.0,91.0,27300,300,TQBR
ABRD,2015-04-09 00:00:00,90.5,91.0,90.5,91.0,706050,7800,TQBR
ABRD,2015-04-10 00:00:00,89.0,90.0,89.0,90.0,17900,200,TQBR
ABRD,2015-04-13 00:00:00,95.5,95.5,95.5,95.5,9550,100,TQBR
ABRD,2015-04-14 00:00:00,95.0,95.0,94.5,95.0,28450,300,TQBR
ABRD,2015-04-20 00:00:00,95.0,95.0,95.0,95.0,9500,100,TQBR
ABRD,2015-04-21 00:00:00,89.0,89.0,80.0,86.0,529600,6300,TQBR
ABRD,2015-04-22 00:00:00,82.5,89.5,82.5,82.5,84000,1000,TQBR
ABRD,2015-04-23 00:00:00,82.0,94.0,81.0,82.0,523350,6100,TQBR
ABRD,2015-04-24 00:00:00,82.5,82.5,80.0,80.0,48700,600,TQBR
ABRD,2015-04-27 00:00:00,84.5,84.5,84.5,84.5,8450,100,TQBR
ABRD,2015-04-28 00:00:00,82.0,82.0,81.5,81.5,48950,600,TQBR
ABRD,2015-04-30 00:00:00,83.5,83.5,83.5,83.5,8350,100,TQBR
ABRD,2015-05-05 00:00:00,85.0,85.0,80.0,80.0,138050,1700,TQBR
ABRD,2015-05-06 00:00:00,79.0,79.0,79.0,79.0,55300,700,TQBR
ABRD,2015-05-07 00:00:00,81.5,85.0,80.5,85.0,74550,900,TQBR
ABRD,2015-05-08 00:00:00,81.0,83.0,81.0,83.0,32800,400,TQBR
ABRD,2015-05-12 00:00:00,85.0,85.0,82.0,82.0,16700,200,TQBR
ABRD,2015-05-13 00:00:00,83.5,84.0,81.0,84.0,90700,1100,TQBR
ABRD,2015-05-14 00:00:00,84.0,84.0,80.0,81.5,122150,1500,TQBR
ABRD,2015-05-15 00:00:00,80.5,83.0,78.5,79.0,119950,1500,TQBR
ABRD,2015-05-18 00:00:00,79.0,82.0,78.5,82.0,111550,1400,TQBR
ABRD,2015-05-19 00:00:00,84.0,88.0,82.5,82.5,243400,2900,TQBR
ABRD,2015-05-20 00:00:00,82.5,92.5,82.5,92.0,115600,1300,TQBR
ABRD,2015-05-22 00:00:00,91.5,91.5,83.5,83.5,68450,800,TQBR
ABRD,2015-05-26 00:00:00,94.5,94.5,81.0,88.0,111450,1300,TQBR
ABRD,2015-05-28 00:00:00,81.0,89.0,81.0,89.0,112500,1300,TQBR
ABRD,2015-06-01 00:00:00,82.0,88.0,82.0,83.0,25300,300,TQBR
ABRD,2015-06-02 00:00:00,88.0,90.0,84.0,84.0,70250,800,TQBR
ABRD,2015-06-03 00:00:00,89.0,89.0,87.5,87.5,26450,300,TQBR
ABRD,2015-06-04 00:00:00,86.5,88.0,86.0,88.0,52050,600,TQBR
ABRD,2015-06-05 00:00:00,88.0,94.0,88.0,88.0,89100,1000,TQBR
ABRD,2015-06-08 00:00:00,90.0,90.0,89.0,89.0,26900,300,TQBR
ABRD,2015-06-09 00:00:00,86.0,86.0,86.0,86.0,25800,300,TQBR
ABRD,2015-06-10 00:00:00,88.0,88.5,87.0,87.0,43750,500,TQBR
ABRD,2015-06-11 00:00:00,87.5,87.5,86.0,86.0,87200,1000,TQBR
ABRD,2015-06-15 00:00:00,88.0,88.0,87.5,87.5,35050,400,TQBR
ABRD,2015-06-16 00:00:00,87.5,87.5,87.5,87.5,8750,100,TQBR
ABRD,2015-06-17 00:00:00,88.0,88.0,88.0,88.0,8800,100,TQBR
ABRD,2015-06-18 00:00:00,89.0,98.0,88.5,97.0,127150,1400,TQBR
ABRD,2015-06-19 00:00:00,88.0,88.0,88.0,88.0,8800,100,TQBR
ABRD,2015-06-22 00:00:00,92.0,92.0,91.0,91.0,36700,400,TQBR
ABRD,2015-06-23 00:00:00,92.0,92.0,90.0,90.0,18200,200,TQBR
ABRD,2015-06-24 00:00:00,90.0,90.0,89.0,89.0,35800,400,TQBR
ABRD,2015-06-26 00:00:00,89.0,91.5,89.0,91.5,125450,1400,TQBR
ABRD,2015-06-29 00:00:00,92.5,93.0,92.5,93.0,27850,300,TQBR
ABRD,2015-06-30 00:00:00,94.0,94.0,94.0,94.0,9400,100,TQBR
