ticker,tradedate,open,high,low,close,value,volume,boardid
AFKS,2014-06-09 00:00:00,44.364,45.001,43.751,44.448,194674727.8,4380200,TQBR
AFKS,2014-06-10 00:00:00,44.44,45.596,44.117,45.499,522319645.4,11586400,TQBR
AFKS,2014-06-11 00:00:00,45.007,45.749,44.7,45.3,215501200.9,4757700,TQBR
AFKS,2014-06-16 00:00:00,45.913,46.37,44.514,45.999,822593112.0,17932600,TQBR
AFKS,2014-06-17 00:00:00,46.3,46.467,45.7,46.1,254605768.8,5544500,TQBR
AFKS,2014-06-18 00:00:00,45.823,46.677,45.823,46.6,297176053.4,6390200,TQBR
AFKS,2014-06-19 00:00:00,46.683,47.049,46.113,46.599,115783345.4,2484400,TQBR
AFKS,2014-06-20 00:00:00,46.743,46.763,45.26,46.0,209382805.4,4541800,TQBR
AFKS,2014-06-23 00:00:00,46.091,46.982,45.03,45.5,250177137.1,5511100,TQBR
AFKS,2014-06-24 00:00:00,45.582,46.45,45.261,46.45,384382421.5,8348800,TQBR
AFKS,2014-06-25 00:00:00,46.308,47.332,44.849,45.1,295804785.3,6537800,TQBR
AFKS,2014-06-26 00:00:00,45.497,45.497,44.137,45.2,123431090.5,2746400,TQBR
AFKS,2014-06-27 00:00:00,45.2,46.2,44.623,46.2,184268521.4,4036800,TQBR
AFKS,2014-06-30 00:00:00,46.199,46.338,45.518,45.6,282774751.9,6177400,TQBR
AFKS,2014-07-01 00:00:00,45.517,45.517,44.541,45.143,124835096.6,2769400,TQBR
AFKS,2014-07-02 00:00:00,45.674,45.9,45.121,45.9,266421883.5,5860100,TQBR
AFKS,2014-07-03 00:00:00,45.611,46.448,45.611,46.4,183896042.8,3985100,TQBR
AFKS,2014-07-04 00:00:00,46.395,46.897,46.16,46.6,137123750.9,2954300,TQBR
AFKS,2014-07-07 00:00:00,46.697,48.196,46.301,48.0,398112278.5,8342600,TQBR
AFKS,2014-07-08 00:00:00,48.296,48.729,47.55,47.79,489481769.8,10126900,TQBR
AFKS,2014-07-09 00:00:00,47.769,47.948,46.311,47.5,266102092.7,5683400,TQBR
AFKS,2014-07-10 00:00:00,47.309,47.935,45.003,46.44,325912232.1,7049700,TQBR
AFKS,2014-07-11 00:00:00,46.399,47.1,46.0,47.1,138376378.9,2969200,TQBR
AFKS,2014-07-14 00:00:00,47.1,47.474,46.666,46.998,168576569.9,3577000,TQBR
AFKS,2014-07-15 00:00:00,46.926,47.4,45.201,45.8,1056629891.0,22954500,TQBR
AFKS,2014-07-16 00:00:00,43.996,44.0,42.255,42.6,678530617.5,15876800,TQBR
AFKS,2014-07-17 00:00:00,42.55,42.55,40.0,40.851,450227364.8,10939300,TQBR
AFKS,2014-07-18 00:00:00,39.5,40.65,38.95,39.841,528277784.7,13384400,TQBR
AFKS,2014-07-21 00:00:00,39.62,39.65,38.45,38.6,269152131.6,6906100,TQBR
AFKS,2014-07-22 00:00:00,39.503,39.8,38.63,39.6,618906413.0,15877200,TQBR
