ticker,tradedate,open,high,low,close,value,volume,boardid
ASSB,2014-06-09 00:00:00,0.204,0.204,0.2006,0.2006,404.6,2000,TQBR
ASSB,2014-06-11 00:00:00,0.2004,0.2004,0.1977,0.1977,398.1,2000,TQBR
ASSB,2014-06-16 00:00:00,0.2,0.2,0.2,0.2,16200.0,81000,TQBR
ASSB,2014-06-17 00:00:00,0.2,0.2,0.2,0.2,3000.0,15000,TQBR
ASSB,2014-07-03 00:00:00,0.2198,0.2209,0.2198,0.2209,880.7,4000,TQBR
ASSB,2014-08-08 00:00:00,0.1915,0.1915,0.1909,0.1912,1529.4,8000,TQBR
ASSB,2014-08-11 00:00:00,0.1904,0.1904,0.1899,0.19,9310.5,49000,TQBR
ASSB,2014-08-25 00:00:00,0.1797,0.2355,0.1669,0.2355,2049.5,10000,TQBR
ASSB,2014-08-26 00:00:00,0.2484,0.25,0.2484,0.25,1244.6,5000,TQBR
ASSB,2014-08-27 00:00:00,0.1981,0.1981,0.1861,0.1861,2338.3,12000,TQBR
ASSB,2014-08-28 00:00:00,0.2449,0.259,0.2449,0.2493,1501.2,6000,TQBR
ASSB,2014-08-29 00:00:00,0.25,0.345,0.205,0.267,13434.3,52000,TQBR
ASSB,2014-09-01 00:00:00,0.2202,0.2496,0.2146,0.2496,3509.0,16000,TQBR
ASSB,2014-09-03 00:00:00,0.2489,0.2693,0.22,0.269,2025.0,8000,TQBR
ASSB,2014-09-08 00:00:00,0.2686,0.2999,0.2,0.24,4019.9,16000,TQBR
ASSB,2014-09-09 00:00:00,0.25,0.27,0.238,0.2698,1027.8,4000,TQBR
ASSB,2014-09-10 00:00:00,0.2698,0.2999,0.2208,0.26,46233.7,177000,TQBR
ASSB,2014-09-11 00:00:00,0.27,0.27,0.27,0.27,270.0,1000,TQBR
ASSB,2014-09-17 00:00:00,0.25,0.25,0.25,0.25,750.0,3000,TQBR
ASSB,2014-09-19 00:00:00,0.2694,0.2694,0.2694,0.2694,269.4,1000,TQBR
ASSB,2014-09-22 00:00:00,0.2256,0.2666,0.2255,0.2666,1876.7,8000,TQBR
