ticker,tradedate,open,high,low,close,value,volume,boardid
AVAN,2014-11-20 00:00:00,300,300,300,300,3000.0,10,TQBR
AVAN,2014-11-25 00:00:00,300,300,300,300,3000.0,10,TQBR
AVAN,2014-12-16 00:00:00,250,250,250,250,2500.0,10,TQBR
AVAN,2014-12-18 00:00:00,300,300,300,300,3000.0,10,TQBR
AVAN,2015-03-19 00:00:00,295,295,295,295,2950.0,10,TQBR
AVAN,2015-06-24 00:00:00,201,201,201,201,2010.0,10,TQBR
AVAN,2015-08-14 00:00:00,279,280,279,280,5590.0,20,TQBR
AVAN,2015-08-24 00:00:00,181,250,180,250,6110.0,30,TQBR
AVAN,2015-08-26 00:00:00,200,200,200,200,2000.0,10,TQBR
AVAN,2015-08-27 00:00:00,255,279,255,279,5340.0,20,TQBR
AVAN,2015-09-02 00:00:00,270,270,270,270,2700.0,10,TQBR
AVAN,2015-09-03 00:00:00,205,205,205,205,2050.0,10,TQBR
AVAN,2015-09-04 00:00:00,299,299,209,298,47940.0,190,TQBR
AVAN,2015-09-07 00:00:00,206,300,206,299,71260.0,270,TQBR
AVAN,2015-09-08 00:00:00,206,299,206,299,91290.0,340,TQBR
AVAN,2015-09-09 00:00:00,219,299,219,298,43680.0,160,TQBR
AVAN,2015-09-10 00:00:00,223,300,223,300,62230.0,210,TQBR
AVAN,2015-09-11 00:00:00,183,183,183,183,1830.0,10,TQBR
AVAN,2015-09-18 00:00:00,347,347,260,281,129210.0,420,TQBR
AVAN,2015-09-21 00:00:00,348,348,267,347,28240.0,90,TQBR
AVAN,2015-09-22 00:00:00,309,350,273,344,293480.0,890,TQBR
AVAN,2015-09-23 00:00:00,263,339,254,298,63680.0,220,TQBR
AVAN,2015-09-24 00:00:00,300,300,300,300,3000.0,10,TQBR
AVAN,2015-09-25 00:00:00,299,299,299,299,5980.0,20,TQBR
AVAN,2015-09-28 00:00:00,269,299,268,299,22700.0,80,TQBR
AVAN,2015-09-29 00:00:00,255,339,255,328,91900.0,320,TQBR
AVAN,2015-09-30 00:00:00,272,348,272,299,110100.0,360,TQBR
AVAN,2015-10-14 00:00:00,272,307,272,307,5790.0,20,TQBR
AVAN,2015-10-19 00:00:00,275,275,275,275,2750.0,10,TQBR
AVAN,2015-10-21 00:00:00,304,313,304,313,12290.0,40,TQBR
AVAN,2015-10-29 00:00:00,283,283,283,283,5660.0,20,TQBR
AVAN,2015-11-02 00:00:00,310,310,281,281,11820.0,40,TQBR
AVAN,2015-11-03 00:00:00,308,308,252,252,69900.0,240,TQBR
AVAN,2015-11-06 00:00:00,312,348,260,281,309250.0,1040,TQBR
AVAN,2015-11-10 00:00:00,337,337,292,292,84310.0,270,TQBR
AVAN,2015-11-12 00:00:00,294,294,294,294,2940.0,10,TQBR
AVAN,2015-11-19 00:00:00,293,293,272,272,5650.0,20,TQBR
AVAN,2015-11-23 00:00:00,280,280,280,280,11200.0,40,TQBR
AVAN,2015-12-02 00:00:00,281,281,260,260,11020.0,40,TQBR
AVAN,2016-01-05 00:00:00,292,292,290,290,5820.0,20,TQBR
AVAN,2016-02-03 00:00:00,300,300,300,300,3000.0,10,TQBR
AVAN,2016-02-05 00:00:00,303,303,303,303,6060.0,20,TQBR
AVAN,2016-03-10 00:00:00,310,315,305,305,9300.0,30,TQBR
AVAN,2016-03-24 00:00:00,314,323,314,323,6370.0,20,TQBR
AVAN,2016-04-14 00:00:00,343,343,343,343,3430.0,10,TQBR
AVAN,2016-05-20 00:00:00,310,310,310,310,3100.0,10,TQBR
AVAN,2016-05-24 00:00:00,348,348,348,348,3480.0,10,TQBR
AVAN,2016-08-11 00:00:00,267,274,267,274,5410.0,20,TQBR
AVAN,2016-08-16 00:00:00,275,275,275,275,2750.0,10,TQBR
AVAN,2016-09-22 00:00:00,377,402,333,402,38330.0,100,TQBR
AVAN,2016-09-23 00:00:00,562,562,549,562,22350.0,40,TQBR
AVAN,2016-09-26 00:00:00,785,785,337,394,82320.0,200,TQBR
AVAN,2016-09-27 00:00:00,543,543,260,350,117180.0,340,TQBR
AVAN,2016-09-28 00:00:00,481,483,265,400,78890.0,210,TQBR
AVAN,2016-09-29 00:00:00,400,439,400,439,8390.0,20,TQBR
AVAN,2016-10-04 00:00:00,437,437,305,352,21580.0,60,TQBR
AVAN,2016-10-05 00:00:00,400,400,314,330,10440.0,30,TQBR
AVAN,2016-10-07 00:00:00,385,385,291,291,33550.0,110,TQBR
AVAN,2016-10-10 00:00:00,297,355,297,349,10010.0,30,TQBR
AVAN,2016-10-11 00:00:00,377,377,377,377,3770.0,10,TQBR
AVAN,2016-10-12 00:00:00,319,380,292,380,23570.0,70,TQBR
AVAN,2016-10-14 00:00:00,340,357,340,357,6970.0,20,TQBR
AVAN,2016-10-19 00:00:00,358,381,358,379,14990.0,40,TQBR
AVAN,2016-10-24 00:00:00,345,345,345,345,3450.0,10,TQBR
AVAN,2016-10-28 00:00:00,370,370,370,370,3700.0,10,TQBR
AVAN,2016-11-10 00:00:00,320,344,320,344,13040.0,40,TQBR
AVAN,2016-11-14 00:00:00,337,337,337,337,3370.0,10,TQBR
AVAN,2016-11-16 00:00:00,363,363,363,363,3630.0,10,TQBR
AVAN,2016-11-17 00:00:00,362,362,362,362,3620.0,10,TQBR
AVAN,2016-11-18 00:00:00,362,408,362,373,46020.0,120,TQBR
AVAN,2016-11-21 00:00:00,375,384,375,384,7590.0,20,TQBR
AVAN,2016-11-22 00:00:00,394,394,394,394,3940.0,10,TQBR
AVAN,2016-11-23 00:00:00,390,390,351,351,18650.0,50,TQBR
AVAN,2016-11-24 00:00:00,366,392,366,392,11320.0,30,TQBR
AVAN,2016-11-25 00:00:00,371,377,370,377,11180.0,30,TQBR
AVAN,2016-11-30 00:00:00,378,378,378,378,3780.0,10,TQBR
AVAN,2016-12-01 00:00:00,394,414,316,384,44680.0,120,TQBR
AVAN,2016-12-05 00:00:00,377,388,362,388,14890.0,40,TQBR
AVAN,2016-12-06 00:00:00,390,500,390,426,57520.0,130,TQBR
AVAN,2016-12-07 00:00:00,442,484,442,484,18350.0,40,TQBR
AVAN,2016-12-08 00:00:00,475,512,475,512,14970.0,30,TQBR
AVAN,2016-12-09 00:00:00,494,618,489,525,94560.0,170,TQBR
AVAN,2016-12-12 00:00:00,495,495,431,448,31710.0,70,TQBR
AVAN,2016-12-13 00:00:00,440,468,440,468,45360.0,100,TQBR
AVAN,2016-12-14 00:00:00,410,493,410,493,13210.0,30,TQBR
AVAN,2016-12-21 00:00:00,422,425,422,425,12690.0,30,TQBR
AVAN,2016-12-22 00:00:00,428,428,428,428,4280.0,10,TQBR
AVAN,2016-12-26 00:00:00,361,400,361,400,11290.0,30,TQBR
AVAN,2017-01-05 00:00:00,401,406,306,400,19140.0,50,TQBR
AVAN,2017-01-11 00:00:00,398,398,398,398,3980.0,10,TQBR
AVAN,2017-01-12 00:00:00,345,418,345,418,25330.0,70,TQBR
AVAN,2017-01-13 00:00:00,492,492,492,492,4920.0,10,TQBR
AVAN,2017-01-23 00:00:00,361,480,361,480,8410.0,20,TQBR
AVAN,2017-01-26 00:00:00,415,415,415,415,8300.0,20,TQBR
AVAN,2017-01-31 00:00:00,503,580,370,500,261760.0,530,TQBR
AVAN,2017-02-01 00:00:00,472,654,471,654,177260.0,330,TQBR
AVAN,2017-02-02 00:00:00,520,520,480,480,119070.0,240,TQBR
AVAN,2017-02-03 00:00:00,480,480,470,470,14230.0,30,TQBR
AVAN,2017-02-06 00:00:00,470,470,461,461,13930.0,30,TQBR
AVAN,2017-02-07 00:00:00,465,465,461,461,9260.0,20,TQBR
AVAN,2017-02-08 00:00:00,460,460,430,430,8900.0,20,TQBR
AVAN,2017-02-14 00:00:00,488,488,488,488,4880.0,10,TQBR
AVAN,2017-02-15 00:00:00,456,456,456,456,4560.0,10,TQBR
AVAN,2017-03-01 00:00:00,468,468,468,468,4680.0,10,TQBR
AVAN,2017-03-22 00:00:00,420,494,382,485,30200.0,70,TQBR
AVAN,2017-03-23 00:00:00,485,485,325,480,34270.0,80,TQBR
AVAN,2017-03-30 00:00:00,415,477,355,463,205460.0,480,TQBR
AVAN,2017-04-03 00:00:00,415,415,403,403,12330.0,30,TQBR
AVAN,2017-04-04 00:00:00,450,450,450,450,4500.0,10,TQBR
AVAN,2017-04-17 00:00:00,410,410,406,406,12260.0,30,TQBR
AVAN,2017-04-19 00:00:00,406,406,406,406,4060.0,10,TQBR
AVAN,2017-04-21 00:00:00,353,437,353,437,7900.0,20,TQBR
AVAN,2017-05-04 00:00:00,398,398,398,398,3980.0,10,TQBR
AVAN,2017-05-05 00:00:00,430,430,430,430,43000.0,100,TQBR
AVAN,2017-05-12 00:00:00,278,389,277,389,41080.0,130,TQBR
AVAN,2017-05-16 00:00:00,387,387,387,387,3870.0,10,TQBR
AVAN,2017-05-17 00:00:00,406,407,406,407,8130.0,20,TQBR
AVAN,2017-05-18 00:00:00,419,419,419,419,4190.0,10,TQBR
AVAN,2017-05-19 00:00:00,350,350,350,350,3500.0,10,TQBR
AVAN,2017-05-22 00:00:00,351,351,350,350,10510.0,30,TQBR
AVAN,2017-05-26 00:00:00,311,311,311,311,3110.0,10,TQBR
AVAN,2017-05-29 00:00:00,310,385,310,385,26180.0,70,TQBR
AVAN,2017-05-30 00:00:00,330,440,330,440,7700.0,20,TQBR
AVAN,2017-06-07 00:00:00,379,379,379,379,3790.0,10,TQBR
AVAN,2017-06-23 00:00:00,300,440,300,439,20260.0,50,TQBR
AVAN,2017-06-30 00:00:00,434,434,434,434,4340.0,10,TQBR
AVAN,2017-07-18 00:00:00,350,350,350,350,17500.0,50,TQBR
AVAN,2017-07-24 00:00:00,377,377,377,377,3770.0,10,TQBR
AVAN,2017-08-04 00:00:00,313,313,313,313,3130.0,10,TQBR
AVAN,2017-08-07 00:00:00,369,369,369,369,3690.0,10,TQBR
AVAN,2017-08-08 00:00:00,369,371,369,371,11110.0,30,TQBR
AVAN,2017-08-10 00:00:00,352,352,352,352,3520.0,10,TQBR
AVAN,2017-08-14 00:00:00,351,351,351,351,3510.0,10,TQBR
AVAN,2017-08-17 00:00:00,375,375,375,375,7500.0,20,TQBR
AVAN,2017-08-18 00:00:00,427,427,352,352,11310.0,30,TQBR
AVAN,2017-08-21 00:00:00,356,492,356,492,173620.0,370,TQBR
AVAN,2017-08-22 00:00:00,509,509,394,400,91680.0,200,TQBR
AVAN,2017-08-23 00:00:00,359,489,358,444,21250.0,50,TQBR
AVAN,2017-08-24 00:00:00,381,580,381,447,473010.0,1020,TQBR
AVAN,2017-08-25 00:00:00,413,500,413,470,214720.0,450,TQBR
AVAN,2017-08-29 00:00:00,450,470,450,470,51500.0,110,TQBR
AVAN,2017-09-01 00:00:00,413,413,413,413,4130.0,10,TQBR
AVAN,2017-09-04 00:00:00,385,411,385,411,7960.0,20,TQBR
AVAN,2017-09-05 00:00:00,380,395,380,395,11550.0,30,TQBR
AVAN,2017-09-06 00:00:00,400,483,400,465,307940.0,670,TQBR
AVAN,2017-09-07 00:00:00,460,460,460,460,23000.0,50,TQBR
AVAN,2017-09-11 00:00:00,460,509,460,509,74310.0,160,TQBR
AVAN,2017-09-12 00:00:00,508,540,500,525,295120.0,580,TQBR
AVAN,2017-09-13 00:00:00,526,549,451,538,358770.0,680,TQBR
AVAN,2017-09-15 00:00:00,526,526,526,526,57860.0,110,TQBR
AVAN,2017-09-18 00:00:00,525,525,525,525,68250.0,130,TQBR
AVAN,2017-09-19 00:00:00,524,524,524,524,68120.0,130,TQBR
AVAN,2017-09-21 00:00:00,523,523,498,522,193020.0,370,TQBR
AVAN,2017-09-28 00:00:00,520,520,520,520,62400.0,120,TQBR
AVAN,2017-10-02 00:00:00,508,508,508,508,579120.0,1140,TQBR
AVAN,2017-10-03 00:00:00,323,503,323,503,771600.0,1810,TQBR
AVAN,2017-10-04 00:00:00,548,548,509,509,152660.0,280,TQBR
AVAN,2017-10-05 00:00:00,381,549,381,549,344220.0,780,TQBR
AVAN,2017-10-09 00:00:00,499,499,499,499,189620.0,380,TQBR
AVAN,2017-10-11 00:00:00,499,499,499,499,59880.0,120,TQBR
AVAN,2017-10-13 00:00:00,547,547,470,470,361100.0,670,TQBR
AVAN,2017-10-16 00:00:00,499,499,470,470,64580.0,130,TQBR
AVAN,2017-10-18 00:00:00,547,547,499,499,31860.0,60,TQBR
AVAN,2017-10-19 00:00:00,519,519,519,519,145320.0,280,TQBR
AVAN,2017-10-20 00:00:00,390,470,390,470,17100.0,40,TQBR
AVAN,2017-10-23 00:00:00,509,509,509,509,71260.0,140,TQBR
AVAN,2017-10-24 00:00:00,490,490,465,465,9550.0,20,TQBR
AVAN,2017-10-26 00:00:00,536,536,431,470,253580.0,480,TQBR
AVAN,2017-10-30 00:00:00,465,465,465,465,4650.0,10,TQBR
AVAN,2017-11-07 00:00:00,460,460,460,460,4600.0,10,TQBR
AVAN,2017-11-08 00:00:00,460,460,460,460,4600.0,10,TQBR
AVAN,2017-11-09 00:00:00,455,549,455,469,94580.0,190,TQBR
AVAN,2017-11-10 00:00:00,470,470,470,470,4700.0,10,TQBR
AVAN,2017-11-13 00:00:00,499,499,471,471,28540.0,60,TQBR
AVAN,2017-11-16 00:00:00,549,549,470,470,26660.0,50,TQBR
AVAN,2017-11-17 00:00:00,461,548,461,474,461900.0,860,TQBR
AVAN,2017-11-20 00:00:00,529,529,470,470,242550.0,460,TQBR
AVAN,2017-11-21 00:00:00,517,517,480,480,70530.0,140,TQBR
AVAN,2017-11-22 00:00:00,540,540,526,526,95060.0,180,TQBR
AVAN,2017-11-23 00:00:00,547,547,449,470,759850.0,1500,TQBR
AVAN,2017-11-24 00:00:00,400,470,400,470,79190.0,180,TQBR
AVAN,2017-11-27 00:00:00,527,527,489,489,223090.0,450,TQBR
AVAN,2017-11-28 00:00:00,504,504,490,490,176260.0,350,TQBR
