ticker,tradedate,open,high,low,close,value,volume,boardid
BISVP,2014-06-09 00:00:00,4.452,4.57,4.45,4.57,57974,13000,TQBR
BISVP,2014-06-10 00:00:00,4.498,4.5,4.36,4.449,506825,114000,TQBR
BISVP,2014-06-11 00:00:00,4.5,4.5,4.432,4.432,214084,48000,TQBR
BISVP,2014-06-16 00:00:00,4.98,5.0,4.432,4.689,766067,167000,TQBR
BISVP,2014-06-17 00:00:00,4.658,4.66,4.655,4.655,55898,12000,TQBR
BISVP,2014-06-18 00:00:00,4.655,4.799,4.52,4.795,519489,110000,TQBR
BISVP,2014-06-19 00:00:00,4.4,4.579,4.303,4.578,436281,99000,TQBR
BISVP,2014-06-20 00:00:00,4.547,4.555,4.225,4.39,26657,6000,TQBR
BISVP,2014-06-23 00:00:00,4.151,4.375,4.151,4.3,42132,10000,TQBR
BISVP,2014-06-24 00:00:00,4.39,4.39,4.202,4.35,146006,34000,TQBR
BISVP,2014-06-26 00:00:00,4.387,4.387,4.2,4.386,84377,20000,TQBR
BISVP,2014-06-27 00:00:00,4.3,4.542,4.3,4.542,44399,10000,TQBR
BISVP,2014-06-30 00:00:00,4.151,4.519,4.059,4.104,277646,66000,TQBR
BISVP,2014-07-01 00:00:00,4.013,4.499,4.013,4.499,34647,8000,TQBR
BISVP,2014-07-02 00:00:00,4.201,4.246,4.2,4.246,37852,9000,TQBR
BISVP,2014-07-03 00:00:00,4.5,4.5,4.206,4.211,29741,7000,TQBR
BISVP,2014-07-04 00:00:00,4.545,4.9,4.199,4.2,34645,8000,TQBR
BISVP,2014-07-07 00:00:00,4.495,4.794,3.719,4.399,160412,39000,TQBR
BISVP,2014-07-08 00:00:00,4.2,4.27,4.2,4.27,16870,4000,TQBR
BISVP,2014-07-09 00:00:00,4.39,4.39,4.39,4.39,8780,2000,TQBR
BISVP,2014-07-10 00:00:00,4.777,4.777,4.15,4.399,142822,34000,TQBR
BISVP,2014-07-11 00:00:00,4.271,4.393,4.153,4.33,33979,8000,TQBR
