ticker,tradedate,open,high,low,close,value,volume,boardid
BLNG,2014-06-09 00:00:00,3.227,3.5,3.13,3.318,414997.4,124500,TQBR
BLNG,2014-06-10 00:00:00,3.26,3.57,3.23,3.388,509237.8,153200,TQBR
BLNG,2014-06-11 00:00:00,3.398,3.499,3.344,3.432,299826.1,88300,TQBR
BLNG,2014-06-16 00:00:00,3.425,3.891,3.4,3.52,2003421.4,563000,TQBR
BLNG,2014-06-17 00:00:00,3.598,3.7,3.494,3.594,491585.4,136200,TQBR
BLNG,2014-06-18 00:00:00,3.125,3.794,3.125,3.48,650590.2,184000,TQBR
BLNG,2014-06-19 00:00:00,3.501,3.553,3.449,3.465,324780.3,93100,TQBR
BLNG,2014-06-20 00:00:00,3.468,3.476,3.139,3.457,115482.3,34700,TQBR
BLNG,2014-06-23 00:00:00,3.455,3.5,3.367,3.405,1749001.6,514400,TQBR
BLNG,2014-06-24 00:00:00,3.241,3.432,3.241,3.414,199600.6,58700,TQBR
BLNG,2014-06-25 00:00:00,3.42,3.45,3.327,3.36,241986.1,72100,TQBR
BLNG,2014-06-26 00:00:00,3.325,3.382,3.207,3.298,339386.9,102900,TQBR
BLNG,2014-06-27 00:00:00,3.297,3.32,3.149,3.149,1108190.8,344500,TQBR
BLNG,2014-06-30 00:00:00,3.16,3.263,3.16,3.179,1587343.4,496900,TQBR
BLNG,2014-07-01 00:00:00,3.2,3.22,3.162,3.22,280916.2,88200,TQBR
BLNG,2014-07-02 00:00:00,3.172,3.18,3.1,3.125,541862.2,171600,TQBR
BLNG,2014-07-03 00:00:00,3.105,3.169,3.1,3.169,149931.0,48100,TQBR
BLNG,2014-07-04 00:00:00,3.136,3.216,3.136,3.15,212751.7,67100,TQBR
BLNG,2014-07-07 00:00:00,3.199,3.199,3.12,3.15,451827.1,143700,TQBR
BLNG,2014-07-08 00:00:00,3.163,3.163,3.1,3.13,243804.5,78000,TQBR
BLNG,2014-07-09 00:00:00,3.158,3.16,3.07,3.139,101069.5,32600,TQBR
BLNG,2014-07-10 00:00:00,3.173,3.173,2.972,3.079,177715.6,58300,TQBR
BLNG,2014-07-11 00:00:00,3.099,3.099,2.984,2.998,303409.9,100800,TQBR
BLNG,2014-07-14 00:00:00,3.06,3.066,2.953,2.976,166432.3,55600,TQBR
BLNG,2014-07-15 00:00:00,2.987,2.99,2.954,2.974,53589.5,18100,TQBR
BLNG,2014-07-16 00:00:00,2.963,2.991,2.95,2.991,64499.3,21800,TQBR
BLNG,2014-07-17 00:00:00,2.991,3.005,2.92,2.97,120500.6,40800,TQBR
BLNG,2014-07-18 00:00:00,2.923,2.962,2.88,2.899,322311.0,110900,TQBR
BLNG,2014-07-21 00:00:00,3.05,3.147,2.87,2.888,204910.0,70700,TQBR
BLNG,2014-07-22 00:00:00,2.887,2.888,2.855,2.865,400898.1,140200,TQBR
BLNG,2014-07-23 00:00:00,2.849,2.902,2.849,2.899,59416.2,20500,TQBR
BLNG,2014-07-24 00:00:00,2.883,2.883,2.844,2.862,44167.7,15400,TQBR
BLNG,2014-07-25 00:00:00,2.893,2.895,2.822,2.859,61453.0,21500,TQBR
BLNG,2014-07-28 00:00:00,2.867,2.881,2.825,2.85,11433.3,4000,TQBR
BLNG,2014-07-29 00:00:00,2.779,2.9,2.779,2.895,85200.7,30300,TQBR
BLNG,2014-07-30 00:00:00,2.903,2.904,2.75,2.799,510852.1,180600,TQBR
BLNG,2014-07-31 00:00:00,2.808,2.9,2.8,2.899,257914.9,90900,TQBR
BLNG,2014-08-01 00:00:00,2.816,2.875,2.54,2.844,280353.7,103600,TQBR
BLNG,2014-08-04 00:00:00,2.824,2.824,2.783,2.8,156212.5,56000,TQBR
BLNG,2014-08-05 00:00:00,2.77,2.8,2.755,2.766,54540.6,19600,TQBR
BLNG,2014-08-06 00:00:00,2.75,2.785,2.746,2.78,65254.4,23500,TQBR
BLNG,2014-08-07 00:00:00,2.751,2.751,2.622,2.707,57280.6,21300,TQBR
BLNG,2014-08-08 00:00:00,2.667,2.742,2.663,2.7,86360.6,31900,TQBR
BLNG,2014-08-11 00:00:00,2.73,2.805,2.709,2.72,230200.6,84200,TQBR
BLNG,2014-08-12 00:00:00,2.722,2.75,2.705,2.744,91009.4,33400,TQBR
BLNG,2014-08-13 00:00:00,2.789,2.826,2.73,2.79,317157.0,113300,TQBR
BLNG,2014-08-14 00:00:00,2.779,2.788,2.72,2.72,320804.7,116400,TQBR
BLNG,2014-08-15 00:00:00,2.715,2.75,2.71,2.715,30712.8,11300,TQBR
BLNG,2014-08-18 00:00:00,2.74,2.75,2.703,2.72,110190.10000000002,40300,TQBR
BLNG,2014-08-19 00:00:00,2.711,2.882,2.708,2.8,789076.6,284200,TQBR
BLNG,2014-08-20 00:00:00,2.867,3.18,2.842,2.848,1406679.6,475400,TQBR
BLNG,2014-08-21 00:00:00,2.87,2.89,2.832,2.833,508321.9,178100,TQBR
BLNG,2014-08-22 00:00:00,2.849,2.849,2.79,2.82,409474.6,145700,TQBR
BLNG,2014-08-25 00:00:00,2.8,3.078,2.777,2.85,40774.8,14200,TQBR
BLNG,2014-08-26 00:00:00,2.899,2.9,2.81,2.85,63942.2,22300,TQBR
BLNG,2014-08-27 00:00:00,2.86,2.88,2.821,2.88,138288.9,48200,TQBR
BLNG,2014-08-28 00:00:00,2.85,2.85,2.78,2.85,199175.4,70200,TQBR
BLNG,2014-08-29 00:00:00,2.848,2.848,2.763,2.824,163394.3,58200,TQBR
BLNG,2014-09-01 00:00:00,2.855,3.025,2.77,2.82,222183.0,78200,TQBR
BLNG,2014-09-02 00:00:00,2.819,2.819,2.771,2.803,113388.1,40400,TQBR
BLNG,2014-09-03 00:00:00,2.781,2.88,2.77,2.88,450523.8,159000,TQBR
BLNG,2014-09-04 00:00:00,2.82,2.927,2.818,2.927,1242094.6,439200,TQBR
BLNG,2014-09-05 00:00:00,2.927,2.927,2.83,2.904,102528.3,35900,TQBR
BLNG,2014-09-08 00:00:00,2.831,2.889,2.816,2.889,203708.7,70800,TQBR
BLNG,2014-09-09 00:00:00,2.813,2.95,2.771,2.851,3053596.7,1053300,TQBR
BLNG,2014-09-10 00:00:00,2.815,2.929,2.812,2.865,57721.1,20000,TQBR
BLNG,2014-09-11 00:00:00,2.872,2.922,2.805,2.805,45067.7,15800,TQBR
BLNG,2014-09-12 00:00:00,2.8,2.818,2.764,2.809,67861.0,24300,TQBR
BLNG,2014-09-15 00:00:00,2.8,2.808,2.781,2.808,21230.3,7600,TQBR
BLNG,2014-09-16 00:00:00,2.884,2.885,2.785,2.85,110641.2,39100,TQBR
BLNG,2014-09-17 00:00:00,2.786,2.823,2.758,2.78,125132.7,45200,TQBR
BLNG,2014-09-18 00:00:00,2.776,2.788,2.769,2.784,22217.2,8000,TQBR
BLNG,2014-09-19 00:00:00,2.8,2.803,2.758,2.758,122017.5,43900,TQBR
BLNG,2014-09-22 00:00:00,2.826,2.826,2.785,2.79,3352.7,1200,TQBR
BLNG,2014-09-23 00:00:00,2.77,2.827,2.554,2.755,410591.9,152300,TQBR
BLNG,2014-09-24 00:00:00,2.685,2.827,2.683,2.809,151396.3,55500,TQBR
BLNG,2014-09-25 00:00:00,2.8,2.808,2.733,2.733,35280.1,12700,TQBR
BLNG,2014-09-26 00:00:00,2.684,2.785,2.682,2.735,47327.9,17300,TQBR
BLNG,2014-09-29 00:00:00,2.768,2.849,2.767,2.811,430579.5,153100,TQBR
BLNG,2014-09-30 00:00:00,2.802,2.877,2.779,2.845,77397.1,27400,TQBR
BLNG,2014-10-01 00:00:00,2.815,3.135,2.81,3.12,3215059.0,1062200,TQBR
BLNG,2014-10-02 00:00:00,3.125,3.15,2.89,2.93,460895.0,156000,TQBR
BLNG,2014-10-03 00:00:00,3.005,3.18,2.915,3.01,3801706.0,1231000,TQBR
BLNG,2014-10-06 00:00:00,3.13,3.155,2.94,2.95,523740.5,175900,TQBR
BLNG,2014-10-07 00:00:00,3.065,3.07,2.85,2.915,532544.5,184100,TQBR
BLNG,2014-10-08 00:00:00,2.865,3.05,2.865,2.99,660462.5,223500,TQBR
BLNG,2014-10-09 00:00:00,2.945,2.99,2.91,2.925,96781.5,32800,TQBR
BLNG,2014-10-10 00:00:00,2.945,2.945,2.71,2.815,554348.0,197400,TQBR
BLNG,2014-10-13 00:00:00,2.845,2.885,2.8,2.87,395043.0,137900,TQBR
BLNG,2014-10-14 00:00:00,2.88,2.92,2.795,2.88,441961.5,154900,TQBR
BLNG,2014-10-15 00:00:00,2.925,3.035,2.88,2.89,483892.5,162500,TQBR
BLNG,2014-10-16 00:00:00,2.89,2.9,2.615,2.825,946029.5,336800,TQBR
BLNG,2014-10-17 00:00:00,2.885,3.15,2.805,2.845,89039.5,31200,TQBR
BLNG,2014-10-20 00:00:00,2.835,2.9,2.78,2.9,136193.0,47700,TQBR
BLNG,2014-10-21 00:00:00,2.86,2.895,2.75,2.85,326636.5,115600,TQBR
BLNG,2014-10-22 00:00:00,2.825,2.9,2.805,2.805,25472.0,9000,TQBR
BLNG,2014-10-23 00:00:00,2.805,2.835,2.74,2.83,170142.0,60300,TQBR
BLNG,2014-10-24 00:00:00,2.845,3.12,2.815,2.86,362864.5,126300,TQBR
BLNG,2014-10-27 00:00:00,2.82,3.04,2.8,2.86,1252894.0,429000,TQBR
BLNG,2014-10-28 00:00:00,2.955,3.0,2.855,2.96,371804.0,124200,TQBR
BLNG,2014-10-29 00:00:00,2.84,3.04,2.8,3.0,1228018.0,415400,TQBR
BLNG,2014-10-30 00:00:00,2.95,3.09,2.87,3.09,883900.0,291400,TQBR
BLNG,2014-10-31 00:00:00,3.0,3.24,2.94,3.06,189829.0,62700,TQBR
BLNG,2014-11-03 00:00:00,2.955,3.345,2.93,3.265,1481898.0,461400,TQBR
BLNG,2014-11-05 00:00:00,3.36,4.59,3.13,4.19,8081482.0,2098200,TQBR
BLNG,2014-11-06 00:00:00,4.23,4.53,3.78,3.85,4757160.0,1170500,TQBR
BLNG,2014-11-07 00:00:00,3.885,4.3,3.665,4.11,8907261.0,2140800,TQBR
BLNG,2014-11-10 00:00:00,4.2,4.44,4.005,4.245,2997614.5,714300,TQBR
BLNG,2014-11-11 00:00:00,4.295,4.3,4.05,4.195,747134.5,181400,TQBR
BLNG,2014-11-12 00:00:00,4.235,4.51,4.005,4.395,6047165.0,1394300,TQBR
BLNG,2014-11-13 00:00:00,4.355,4.51,4.3,4.3,2016001.5,453700,TQBR
BLNG,2014-11-14 00:00:00,4.21,4.64,4.12,4.48,3345402.5,738400,TQBR
BLNG,2014-11-17 00:00:00,4.51,4.645,4.265,4.365,4520518.5,1006600,TQBR
BLNG,2014-11-18 00:00:00,4.37,4.51,4.24,4.3,5749480.5,1300400,TQBR
BLNG,2014-11-19 00:00:00,4.345,4.595,4.225,4.435,2883062.0,656200,TQBR
BLNG,2014-11-20 00:00:00,4.59,4.8,4.5,4.8,4631803.0,976700,TQBR
BLNG,2014-11-21 00:00:00,4.845,4.94,4.7,4.85,1387411.0,286500,TQBR
BLNG,2014-11-24 00:00:00,4.85,4.995,4.655,4.87,10393135.0,2124000,TQBR
BLNG,2014-11-25 00:00:00,4.935,5.18,4.9,5.1,5402757.5,1070200,TQBR
BLNG,2014-11-26 00:00:00,5.14,5.28,5.015,5.25,2351733.5,454400,TQBR
BLNG,2014-11-27 00:00:00,5.25,5.34,5.085,5.3,3495680.5,669300,TQBR
BLNG,2014-11-28 00:00:00,5.3,5.3,5.11,5.2,2093274.0,405600,TQBR
BLNG,2014-12-01 00:00:00,5.1,5.37,5.0,5.185,2425980.5,470100,TQBR
BLNG,2014-12-02 00:00:00,4.655,5.66,4.655,5.655,3906534.0,732600,TQBR
BLNG,2014-12-03 00:00:00,5.695,5.965,5.59,5.8,2229614.5,389300,TQBR
BLNG,2014-12-04 00:00:00,5.96,6.1,5.7,6.005,7292498.5,1229400,TQBR
BLNG,2014-12-05 00:00:00,6.05,6.105,5.085,5.295,1925275.5,335800,TQBR
BLNG,2014-12-08 00:00:00,5.53,5.53,5.0,5.05,3813286.0,727700,TQBR
BLNG,2014-12-09 00:00:00,5.16,5.16,4.315,4.77,4807046.5,1038200,TQBR
BLNG,2014-12-10 00:00:00,4.695,5.25,4.6,4.77,3017757.5,619000,TQBR
BLNG,2014-12-11 00:00:00,4.765,4.94,4.4,4.65,4713342.5,1003700,TQBR
BLNG,2014-12-12 00:00:00,4.59,4.9,4.2,4.4,12307897.5,2789300,TQBR
BLNG,2014-12-15 00:00:00,4.4,4.59,4.2,4.25,3884151.0,876200,TQBR
BLNG,2014-12-16 00:00:00,4.395,4.505,3.2,3.245,3795840.5,1039100,TQBR
BLNG,2014-12-17 00:00:00,3.415,3.8,3.1,3.6,1872624.0,568400,TQBR
BLNG,2014-12-18 00:00:00,3.75,3.98,2.935,3.2,8366602.0,2521000,TQBR
BLNG,2014-12-19 00:00:00,3.29,4.46,3.015,3.725,6818106.5,1845500,TQBR
BLNG,2014-12-22 00:00:00,3.755,4.145,3.695,3.85,3011057.5,772400,TQBR
BLNG,2014-12-23 00:00:00,3.785,3.85,3.38,3.58,2152340.5,609300,TQBR
BLNG,2014-12-24 00:00:00,3.715,3.715,3.35,3.41,1913114.5,557300,TQBR
BLNG,2014-12-25 00:00:00,3.335,3.66,3.285,3.51,1546318.0,460800,TQBR
BLNG,2014-12-26 00:00:00,3.625,3.67,3.3,3.38,2354479.0,688600,TQBR
BLNG,2014-12-29 00:00:00,3.37,3.62,3.245,3.295,2680435.0,795000,TQBR
BLNG,2014-12-30 00:00:00,3.255,3.39,2.995,3.365,3710433.5,1180100,TQBR
BLNG,2015-01-05 00:00:00,3.065,3.39,3.065,3.25,1061212.0,327300,TQBR
BLNG,2015-01-06 00:00:00,3.27,3.735,3.17,3.39,4356053.0,1303700,TQBR
BLNG,2015-01-08 00:00:00,3.415,3.61,3.4,3.52,2893383.0,829200,TQBR
BLNG,2015-01-09 00:00:00,3.585,3.67,3.35,3.515,1042337.5,303400,TQBR
BLNG,2015-01-12 00:00:00,3.5,3.51,3.355,3.42,289446.5,84800,TQBR
BLNG,2015-01-13 00:00:00,3.38,3.44,3.32,3.44,847547.0,250700,TQBR
BLNG,2015-01-14 00:00:00,3.39,3.42,3.35,3.415,618451.5,182400,TQBR
BLNG,2015-01-15 00:00:00,3.41,3.66,3.41,3.45,1153740.5,325700,TQBR
BLNG,2015-01-16 00:00:00,3.555,3.58,3.36,3.475,753544.5,217000,TQBR
BLNG,2015-01-19 00:00:00,3.46,3.615,3.395,3.5,297162.5,86000,TQBR
BLNG,2015-01-20 00:00:00,3.32,3.6,3.32,3.51,328012.0,93300,TQBR
BLNG,2015-01-21 00:00:00,3.53,3.53,3.405,3.48,397870.0,114800,TQBR
BLNG,2015-01-22 00:00:00,3.485,3.75,3.445,3.665,3508207.5,969000,TQBR
BLNG,2015-01-23 00:00:00,3.66,3.95,3.51,3.57,5055171.5,1358000,TQBR
BLNG,2015-01-26 00:00:00,3.51,3.605,3.375,3.5,2227308.0,642300,TQBR
BLNG,2015-01-27 00:00:00,3.57,3.775,3.39,3.7,3082345.5,844300,TQBR
BLNG,2015-01-28 00:00:00,3.7,4.0,3.635,3.72,3012154.5,786300,TQBR
BLNG,2015-01-29 00:00:00,3.72,3.885,3.635,3.74,2206713.0,580000,TQBR
BLNG,2015-01-30 00:00:00,3.825,3.995,3.725,3.995,3326716.0,857900,TQBR
BLNG,2015-02-02 00:00:00,3.985,4.28,3.8,3.975,3750174.5,925300,TQBR
BLNG,2015-02-03 00:00:00,3.915,4.065,3.8,3.88,1688821.0,429800,TQBR
BLNG,2015-02-04 00:00:00,3.905,3.94,3.8,3.9,1308219.0,341000,TQBR
BLNG,2015-02-05 00:00:00,3.84,4.095,3.745,4.05,3157253.5,798800,TQBR
BLNG,2015-02-06 00:00:00,4.05,4.245,3.945,4.165,5382583.0,1320300,TQBR
BLNG,2015-02-09 00:00:00,4.18,4.23,4.04,4.115,3862671.5,939400,TQBR
BLNG,2015-02-10 00:00:00,4.105,4.12,3.91,4.06,1630119.5,408000,TQBR
BLNG,2015-02-11 00:00:00,4.005,4.005,3.83,3.97,4378714.0,1117100,TQBR
BLNG,2015-02-12 00:00:00,3.95,3.98,3.82,3.935,2307983.5,592800,TQBR
BLNG,2015-02-13 00:00:00,3.92,4.19,3.91,4.05,4113615.0,1009300,TQBR
BLNG,2015-02-16 00:00:00,3.985,4.595,3.9,4.365,6591305.0,1533500,TQBR
BLNG,2015-02-17 00:00:00,4.395,4.48,4.115,4.335,5809101.0,1354500,TQBR
BLNG,2015-02-18 00:00:00,4.355,4.685,4.25,4.47,3358837.0,742400,TQBR
BLNG,2015-02-19 00:00:00,4.475,4.65,4.395,4.4,3486104.0,771500,TQBR
BLNG,2015-02-20 00:00:00,4.365,4.53,4.31,4.435,2240325.0,511100,TQBR
BLNG,2015-02-24 00:00:00,4.345,4.645,4.25,4.505,2511046.5,567000,TQBR
BLNG,2015-02-25 00:00:00,4.48,4.55,4.335,4.365,938244.5,212900,TQBR
BLNG,2015-02-26 00:00:00,4.39,4.635,4.39,4.635,2859742.5,629700,TQBR
BLNG,2015-02-27 00:00:00,4.64,4.835,4.5,4.64,4321126.5,923000,TQBR
BLNG,2015-03-02 00:00:00,4.685,4.78,4.65,4.765,2713496.5,574300,TQBR
BLNG,2015-03-03 00:00:00,4.83,5.2,4.75,5.2,8785723.5,1746500,TQBR
BLNG,2015-03-04 00:00:00,5.24,5.485,4.75,4.95,7135834.5,1369000,TQBR
BLNG,2015-03-05 00:00:00,4.95,5.145,4.735,5.09,3575663.0,722500,TQBR
BLNG,2015-03-06 00:00:00,5.09,5.17,4.71,4.875,1801524.5,363600,TQBR
BLNG,2015-03-10 00:00:00,4.825,4.825,4.305,4.455,6805933.5,1513600,TQBR
BLNG,2015-03-11 00:00:00,4.425,4.64,4.225,4.56,3729312.5,836000,TQBR
BLNG,2015-03-12 00:00:00,4.595,4.605,4.2,4.2,9248539.5,2135400,TQBR
BLNG,2015-03-13 00:00:00,4.205,4.3,3.87,3.9,5745902.5,1416600,TQBR
BLNG,2015-03-16 00:00:00,3.6,3.97,3.6,3.8,4926232.5,1305200,TQBR
BLNG,2015-03-17 00:00:00,3.85,3.98,3.7,3.98,2459020.0,640800,TQBR
BLNG,2015-03-18 00:00:00,4.0,4.195,3.9,4.14,3027551.0,738200,TQBR
BLNG,2015-03-19 00:00:00,4.2,4.415,4.065,4.09,1583541.5,375000,TQBR
BLNG,2015-03-20 00:00:00,3.96,4.19,3.85,3.985,1281064.5,322200,TQBR
BLNG,2015-03-23 00:00:00,3.935,4.245,3.925,3.94,1186994.0,290800,TQBR
BLNG,2015-03-24 00:00:00,4.005,4.005,3.75,3.915,995785.5,258900,TQBR
BLNG,2015-03-25 00:00:00,3.945,4.19,3.76,3.98,727030.5,183000,TQBR
BLNG,2015-03-26 00:00:00,3.845,4.11,3.79,3.93,1231685.0,317400,TQBR
BLNG,2015-03-27 00:00:00,3.835,3.91,3.7,3.825,481433.5,126600,TQBR
BLNG,2015-03-30 00:00:00,3.825,4.05,3.825,4.035,716671.5,180700,TQBR
BLNG,2015-03-31 00:00:00,4.045,4.17,3.85,4.095,974864.5,241200,TQBR
BLNG,2015-04-01 00:00:00,4.095,4.165,4.0,4.045,341777.0,83600,TQBR
BLNG,2015-04-02 00:00:00,4.145,4.25,4.05,4.125,1330809.5,318000,TQBR
BLNG,2015-04-03 00:00:00,4.205,4.21,4.095,4.14,177181.0,42800,TQBR
BLNG,2015-04-06 00:00:00,4.085,4.24,4.07,4.185,332014.0,80200,TQBR
BLNG,2015-04-07 00:00:00,4.2,4.22,4.045,4.045,358271.5,86900,TQBR
BLNG,2015-04-08 00:00:00,4.025,4.075,3.8,3.93,2860961.5,736200,TQBR
BLNG,2015-04-09 00:00:00,3.905,3.945,3.8,3.865,894044.0,232000,TQBR
BLNG,2015-04-10 00:00:00,3.84,4.05,3.75,3.85,1666969.0,428100,TQBR
BLNG,2015-04-13 00:00:00,3.85,3.99,3.85,3.9,877731.0,224200,TQBR
BLNG,2015-04-14 00:00:00,3.93,3.935,3.8,3.865,2418150.0,620800,TQBR
BLNG,2015-04-15 00:00:00,3.905,3.925,3.83,3.925,371145.0,95800,TQBR
BLNG,2015-04-16 00:00:00,3.925,4.045,3.88,3.9,927243.5,234300,TQBR
BLNG,2015-04-17 00:00:00,3.93,3.94,3.865,3.88,134956.5,34600,TQBR
BLNG,2015-04-20 00:00:00,3.91,3.945,3.8,3.9,387422.0,99600,TQBR
