ticker,tradedate,open,high,low,close,value,volume,boardid
BRZL,2014-06-09 00:00:00,330.0,330.0,330.0,330.0,3300,10,TQBR
BRZL,2014-06-17 00:00:00,344.9,344.9,344.9,344.9,3449,10,TQBR
BRZL,2014-06-20 00:00:00,310.0,361.5,310.0,361.5,135170,430,TQBR
BRZL,2014-06-23 00:00:00,355.0,355.0,355.0,355.0,35500,100,TQBR
BRZL,2014-06-27 00:00:00,312.0,312.0,311.8,311.8,6238,20,TQBR
BRZL,2014-07-03 00:00:00,315.0,315.0,306.6,306.6,15544,50,TQBR
BRZL,2014-07-17 00:00:00,305.4,339.2,305.3,339.2,19641,60,TQBR
BRZL,2014-07-18 00:00:00,339.2,339.2,339.2,339.2,10176,30,TQBR
BRZL,2014-07-21 00:00:00,309.8,309.8,309.8,309.8,6196,20,TQBR
BRZL,2014-07-24 00:00:00,309.9,310.0,309.9,310.0,9299,30,TQBR
BRZL,2014-07-29 00:00:00,307.0,307.0,306.0,306.0,6130,20,TQBR
BRZL,2014-07-30 00:00:00,354.4,354.4,354.4,354.4,3544,10,TQBR
BRZL,2014-07-31 00:00:00,392.5,392.5,335.0,335.0,46525,120,TQBR
BRZL,2014-08-01 00:00:00,334.7,348.9,334.7,348.9,6836,20,TQBR
BRZL,2014-08-05 00:00:00,307.5,325.0,307.5,325.0,19141,60,TQBR
BRZL,2014-08-14 00:00:00,325.0,325.0,325.0,325.0,3250,10,TQBR
BRZL,2014-08-15 00:00:00,335.0,335.0,335.0,335.0,13400,40,TQBR
BRZL,2014-08-18 00:00:00,307.1,307.1,300.0,300.5,180424,600,TQBR
BRZL,2014-08-22 00:00:00,300.1,300.3,300.0,300.0,30012,100,TQBR
BRZL,2014-08-25 00:00:00,326.9,326.9,326.9,326.9,3269,10,TQBR
BRZL,2014-08-26 00:00:00,292.7,320.0,292.7,320.0,6127,20,TQBR
BRZL,2014-08-27 00:00:00,320.0,320.0,319.7,320.0,28797,90,TQBR
BRZL,2014-08-28 00:00:00,301.0,314.5,300.0,314.5,39165,130,TQBR
BRZL,2014-09-01 00:00:00,356.8,356.8,295.0,295.0,13654,40,TQBR
BRZL,2014-09-02 00:00:00,286.4,314.8,286.0,314.8,23739,80,TQBR
BRZL,2014-09-03 00:00:00,309.9,342.1,309.9,342.1,22070,70,TQBR
BRZL,2014-09-05 00:00:00,315.0,317.0,300.6,317.0,53226,170,TQBR
BRZL,2014-09-10 00:00:00,315.0,315.0,315.0,315.0,3150,10,TQBR
BRZL,2014-09-11 00:00:00,331.0,331.0,308.0,308.0,6390,20,TQBR
BRZL,2014-09-17 00:00:00,301.5,301.5,301.0,301.0,9039,30,TQBR
BRZL,2014-09-25 00:00:00,347.1,347.1,329.8,329.9,13367,40,TQBR
BRZL,2014-09-29 00:00:00,296.7,319.9,296.6,319.9,12330,40,TQBR
BRZL,2014-09-30 00:00:00,319.9,328.8,319.9,328.8,9687,30,TQBR
BRZL,2014-10-10 00:00:00,305.0,305.0,304.0,305.0,12180,40,TQBR
BRZL,2014-10-13 00:00:00,319.0,325.0,319.0,320.0,74080,230,TQBR
BRZL,2014-10-16 00:00:00,311.0,311.0,310.0,310.0,49620,160,TQBR
BRZL,2014-10-28 00:00:00,301.0,301.0,301.0,301.0,3010,10,TQBR
BRZL,2014-10-29 00:00:00,309.0,310.0,309.0,310.0,96090,310,TQBR
BRZL,2014-11-03 00:00:00,330.0,337.0,330.0,337.0,13350,40,TQBR
BRZL,2014-11-13 00:00:00,335.0,340.0,335.0,340.0,10140,30,TQBR
BRZL,2014-11-14 00:00:00,347.0,388.0,347.0,388.0,431540,1220,TQBR
BRZL,2014-11-17 00:00:00,379.0,380.0,360.0,360.0,45330,120,TQBR
BRZL,2014-11-18 00:00:00,387.0,395.0,387.0,395.0,86660,220,TQBR
BRZL,2014-11-19 00:00:00,361.0,361.0,361.0,361.0,3610,10,TQBR
BRZL,2014-11-20 00:00:00,361.0,361.0,361.0,361.0,3610,10,TQBR
BRZL,2014-11-24 00:00:00,383.0,395.0,331.0,359.0,37190,100,TQBR
BRZL,2014-11-25 00:00:00,387.0,390.0,385.0,390.0,163670,420,TQBR
BRZL,2014-11-26 00:00:00,353.0,430.0,352.0,430.0,286040,690,TQBR
BRZL,2014-11-27 00:00:00,435.0,544.0,430.0,432.0,1452550,3170,TQBR
BRZL,2014-11-28 00:00:00,410.0,410.0,410.0,410.0,414100,1010,TQBR
BRZL,2014-12-01 00:00:00,410.0,477.0,410.0,477.0,21270,50,TQBR
BRZL,2014-12-02 00:00:00,475.0,475.0,420.0,430.0,30350,70,TQBR
BRZL,2014-12-04 00:00:00,391.0,431.0,391.0,431.0,20350,50,TQBR
BRZL,2014-12-05 00:00:00,472.0,491.0,415.0,480.0,87610,190,TQBR
BRZL,2014-12-08 00:00:00,408.0,497.0,408.0,450.0,115060,260,TQBR
BRZL,2014-12-09 00:00:00,496.0,496.0,456.0,456.0,32960,70,TQBR
BRZL,2014-12-10 00:00:00,480.0,527.0,480.0,509.0,229110,460,TQBR
BRZL,2014-12-12 00:00:00,524.0,524.0,524.0,524.0,5240,10,TQBR
BRZL,2014-12-15 00:00:00,440.0,500.0,440.0,500.0,46270,100,TQBR
BRZL,2014-12-16 00:00:00,334.0,473.0,333.0,473.0,134120,370,TQBR
BRZL,2014-12-18 00:00:00,401.0,430.0,400.0,411.0,73380,180,TQBR
BRZL,2014-12-22 00:00:00,490.0,492.0,430.0,492.0,14120,30,TQBR
BRZL,2014-12-23 00:00:00,386.0,493.0,356.0,422.0,45290,110,TQBR
BRZL,2014-12-24 00:00:00,348.0,450.0,348.0,450.0,16970,40,TQBR
BRZL,2014-12-26 00:00:00,361.0,474.0,361.0,474.0,34490,80,TQBR
BRZL,2014-12-29 00:00:00,435.0,435.0,425.0,425.0,312540,730,TQBR
BRZL,2014-12-30 00:00:00,540.0,540.0,470.0,509.0,522380,1030,TQBR
BRZL,2015-01-05 00:00:00,499.0,499.0,499.0,499.0,24950,50,TQBR
BRZL,2015-01-08 00:00:00,451.0,519.0,451.0,500.0,28790,60,TQBR
BRZL,2015-01-09 00:00:00,500.0,500.0,500.0,500.0,5000,10,TQBR
BRZL,2015-01-12 00:00:00,451.0,480.0,404.0,431.0,52110,120,TQBR
BRZL,2015-01-13 00:00:00,478.0,478.0,478.0,478.0,4780,10,TQBR
BRZL,2015-01-14 00:00:00,430.0,476.0,425.0,476.0,39390,90,TQBR
BRZL,2015-01-15 00:00:00,457.0,495.0,457.0,495.0,72160,150,TQBR
BRZL,2015-01-16 00:00:00,490.0,505.0,475.0,475.0,157040,320,TQBR
BRZL,2015-01-19 00:00:00,510.0,510.0,454.0,454.0,14740,30,TQBR
BRZL,2015-01-20 00:00:00,451.0,451.0,450.0,450.0,18030,40,TQBR
BRZL,2015-01-21 00:00:00,509.0,547.0,509.0,530.0,543810,1050,TQBR
BRZL,2015-01-22 00:00:00,529.0,530.0,529.0,529.0,270280,510,TQBR
BRZL,2015-01-23 00:00:00,544.0,558.0,490.0,490.0,60050,110,TQBR
BRZL,2015-01-26 00:00:00,635.0,635.0,565.0,565.0,155030,270,TQBR
BRZL,2015-01-27 00:00:00,569.0,599.0,569.0,598.0,220670,370,TQBR
