ticker,tradedate,open,high,low,close,value,volume,boardid
BSPB,2014-06-09 00:00:00,38.26,38.89,38.26,38.5,490141.7,12720,TQBR
BSPB,2014-06-10 00:00:00,38.33,39.43,38.16,38.79,2295639.7,59220,TQBR
BSPB,2014-06-11 00:00:00,38.7,39.79,38.57,39.49,5152521.1,132150,TQBR
BSPB,2014-06-16 00:00:00,39.21,40.39,38.79,40.39,3438277.4,86620,TQBR
BSPB,2014-06-17 00:00:00,40.02,40.2,40.0,40.0,4465415.6,111570,TQBR
BSPB,2014-06-18 00:00:00,39.89,40.09,39.89,40.05,1384926.3,34610,TQBR
BSPB,2014-06-19 00:00:00,40.16,40.49,40.16,40.25,832692.5,20650,TQBR
BSPB,2014-06-20 00:00:00,40.11,40.28,40.1,40.11,215134.1,5360,TQBR
BSPB,2014-06-23 00:00:00,40.03,40.21,40.0,40.05,207322.6,5180,TQBR
BSPB,2014-06-24 00:00:00,40.28,40.49,40.21,40.39,130687.6,3240,TQBR
BSPB,2014-06-25 00:00:00,40.14,40.2,39.9,40.1,686983.5,17160,TQBR
BSPB,2014-06-26 00:00:00,39.89,40.1,38.79,39.0,1340502.4,34120,TQBR
BSPB,2014-06-27 00:00:00,39.06,39.4,34.0,38.01,1847150.5,47820,TQBR
BSPB,2014-06-30 00:00:00,37.99,38.84,37.4,38.59,1590325.3,41660,TQBR
BSPB,2014-07-01 00:00:00,38.85,39.5,38.53,39.2,127757.9,3260,TQBR
BSPB,2014-07-02 00:00:00,39.01,39.01,38.42,38.85,717560.4,18570,TQBR
BSPB,2014-07-03 00:00:00,38.54,39.01,37.8,38.9,340171.2,8870,TQBR
BSPB,2014-07-04 00:00:00,38.63,39.9,38.63,39.35,789918.7,19970,TQBR
BSPB,2014-07-07 00:00:00,39.13,39.51,39.1,39.29,116672.9,2970,TQBR
BSPB,2014-07-08 00:00:00,35.98,39.74,35.98,39.23,659812.3,17040,TQBR
BSPB,2014-07-09 00:00:00,39.16,39.2,38.46,38.79,241288.7,6240,TQBR
BSPB,2014-07-10 00:00:00,38.73,38.84,37.42,38.0,535838.0,13970,TQBR
BSPB,2014-07-11 00:00:00,38.0,38.19,37.5,37.95,106943.8,2820,TQBR
BSPB,2014-07-14 00:00:00,38.18,38.2,36.75,37.1,435177.6,11680,TQBR
BSPB,2014-07-15 00:00:00,37.21,37.23,35.63,36.24,1479644.7,40520,TQBR
BSPB,2014-07-16 00:00:00,36.17,36.17,35.35,35.49,1233291.7,34490,TQBR
BSPB,2014-07-17 00:00:00,35.36,35.5,33.8,35.0,2878340.5,82960,TQBR
BSPB,2014-07-18 00:00:00,35.0,35.43,33.11,33.63,2679406.1,79630,TQBR
BSPB,2014-07-21 00:00:00,33.57,33.57,32.67,32.91,967122.8,29200,TQBR
BSPB,2014-07-22 00:00:00,32.98,34.4,32.95,34.02,2841652.0,84100,TQBR
BSPB,2014-07-23 00:00:00,33.83,36.07,33.27,34.22,2089456.7,61060,TQBR
BSPB,2014-07-24 00:00:00,34.04,34.39,33.75,33.9,434079.5,12770,TQBR
BSPB,2014-07-25 00:00:00,33.95,34.46,32.93,34.01,4086404.3,120120,TQBR
BSPB,2014-07-28 00:00:00,33.76,33.98,32.81,33.15,219330.5,6610,TQBR
BSPB,2014-07-29 00:00:00,33.21,33.51,32.93,33.4,807501.4,24230,TQBR
BSPB,2014-07-30 00:00:00,33.38,33.94,33.38,33.78,608923.4,18080,TQBR
BSPB,2014-07-31 00:00:00,33.5,34.56,33.41,34.01,2527804.4,74430,TQBR
BSPB,2014-08-01 00:00:00,34.19,35.15,33.5,35.0,4478958.0,130250,TQBR
BSPB,2014-08-04 00:00:00,34.99,35.58,34.05,34.9,2222463.9,63720,TQBR
BSPB,2014-08-05 00:00:00,34.27,34.4,33.86,34.35,818227.5,23960,TQBR
