ticker,tradedate,open,high,low,close,value,volume,boardid
CHGZ,2014-06-18 00:00:00,25.6,25.6,25.6,25.6,102400.0,4000,TQBR
CHGZ,2014-07-07 00:00:00,26.0,26.0,26.0,26.0,130000.0,5000,TQBR
CHGZ,2014-07-08 00:00:00,26.0,26.0,26.0,26.0,130000.0,5000,TQBR
CHGZ,2014-07-11 00:00:00,24.0,24.0,24.0,24.0,96000.0,4000,TQBR
CHGZ,2014-07-14 00:00:00,22.1,22.1,22.1,22.1,950300.0,43000,TQBR
CHGZ,2014-07-23 00:00:00,22.0,26.0,22.0,26.0,100000.0,4000,TQBR
CHGZ,2014-07-31 00:00:00,26.9,27.0,26.9,27.0,53900.0,2000,TQBR
CHGZ,2014-08-04 00:00:00,28.0,28.0,28.0,28.0,112000.0,4000,TQBR
CHGZ,2014-08-13 00:00:00,26.0,26.0,26.0,26.0,26000.0,1000,TQBR
CHGZ,2014-08-14 00:00:00,27.0,27.0,27.0,27.0,81000.0,3000,TQBR
CHGZ,2014-08-28 00:00:00,28.0,28.0,28.0,28.0,56000.0,2000,TQBR
CHGZ,2014-08-29 00:00:00,28.0,28.0,28.0,28.0,196000.0,7000,TQBR
CHGZ,2014-09-03 00:00:00,28.0,28.0,28.0,28.0,28000.0,1000,TQBR
CHGZ,2014-09-30 00:00:00,20.071,25.0,17.0,25.0,188362.0,9000,TQBR
CHGZ,2014-10-03 00:00:00,24.9,25.0,24.9,25.0,149900.0,6000,TQBR
CHGZ,2014-10-13 00:00:00,20.7,25.0,20.7,25.0,120600.0,5000,TQBR
CHGZ,2014-10-23 00:00:00,27.0,27.0,27.0,27.0,135000.0,5000,TQBR
CHGZ,2014-10-24 00:00:00,27.0,27.0,27.0,27.0,135000.0,5000,TQBR
CHGZ,2014-11-05 00:00:00,27.0,27.0,27.0,27.0,135000.0,5000,TQBR
CHGZ,2014-11-13 00:00:00,25.0,25.0,25.0,25.0,125000.0,5000,TQBR
CHGZ,2014-11-14 00:00:00,27.0,27.0,27.0,27.0,891000.0,33000,TQBR
CHGZ,2014-11-19 00:00:00,29.2,29.2,29.2,29.2,233600.0,8000,TQBR
CHGZ,2014-11-28 00:00:00,26.3,26.3,26.3,26.3,26300.0,1000,TQBR
CHGZ,2014-12-25 00:00:00,21.3,21.3,21.3,21.3,21300.0,1000,TQBR
CHGZ,2014-12-26 00:00:00,26.0,26.0,26.0,26.0,26000.0,1000,TQBR
CHGZ,2015-01-16 00:00:00,33.0,33.0,33.0,33.0,33000.0,1000,TQBR
CHGZ,2015-02-03 00:00:00,24.2,29.7,20.6,25.0,200500.0,8000,TQBR
CHGZ,2015-02-04 00:00:00,21.0,27.0,21.0,27.0,48000.0,2000,TQBR
CHGZ,2015-02-06 00:00:00,27.0,27.0,27.0,27.0,54000.0,2000,TQBR
CHGZ,2015-03-16 00:00:00,28.0,28.0,28.0,28.0,84000.0,3000,TQBR
CHGZ,2015-04-17 00:00:00,34.0,34.0,34.0,34.0,136000.0,4000,TQBR
CHGZ,2015-04-20 00:00:00,39.0,39.0,39.0,39.0,39000.0,1000,TQBR
CHGZ,2015-05-27 00:00:00,25.8,37.9,25.8,37.9,509600.0,16000,TQBR
CHGZ,2015-06-02 00:00:00,25.4,25.4,25.4,25.4,203200.0,8000,TQBR
CHGZ,2015-06-03 00:00:00,26.0,26.2,26.0,26.2,234200.0,9000,TQBR
CHGZ,2015-06-09 00:00:00,24.3,24.3,24.2,24.2,96900.0,4000,TQBR
CHGZ,2015-06-10 00:00:00,23.9,30.0,23.9,30.0,101700.0,4000,TQBR
CHGZ,2015-06-11 00:00:00,34.9,34.9,25.9,26.0,182600.0,6000,TQBR
CHGZ,2015-06-16 00:00:00,31.6,31.6,31.6,31.6,94800.0,3000,TQBR
CHGZ,2015-06-17 00:00:00,26.2,27.1,26.2,27.1,79500.0,3000,TQBR
CHGZ,2015-07-01 00:00:00,26.0,26.0,26.0,26.0,1014000.0,39000,TQBR
CHGZ,2015-07-06 00:00:00,26.0,26.0,26.0,26.0,468000.0,18000,TQBR
CHGZ,2015-07-28 00:00:00,25.5,26.0,25.5,26.0,154900.0,6000,TQBR
CHGZ,2015-07-31 00:00:00,26.1,26.1,26.1,26.1,26100.0,1000,TQBR
CHGZ,2015-08-19 00:00:00,26.0,26.0,26.0,26.0,208000.0,8000,TQBR
CHGZ,2015-08-26 00:00:00,26.0,28.3,26.0,28.3,1943500.0,69000,TQBR
CHGZ,2015-09-23 00:00:00,31.0,31.0,31.0,31.0,31000.0,1000,TQBR
CHGZ,2015-09-24 00:00:00,28.9,29.0,28.9,29.0,115900.0,4000,TQBR
CHGZ,2015-09-28 00:00:00,25.6,32.6,25.6,32.6,116400.0,4000,TQBR
CHGZ,2015-09-30 00:00:00,25.9,29.8,25.9,25.9,437800.0,16000,TQBR
CHGZ,2015-10-01 00:00:00,31.8,31.8,26.8,31.4,360000.0,12000,TQBR
CHGZ,2015-10-02 00:00:00,26.9,29.4,26.9,26.9,332800.0,12000,TQBR
CHGZ,2015-10-05 00:00:00,34.8,34.8,27.2,34.8,290400.0,9000,TQBR
CHGZ,2015-10-06 00:00:00,27.2,30.9,27.2,27.4,396600.0,14000,TQBR
CHGZ,2015-10-14 00:00:00,26.8,26.8,26.8,26.8,26800.0,1000,TQBR
CHGZ,2015-10-26 00:00:00,28.0,30.8,28.0,30.8,238000.0,8000,TQBR
CHGZ,2015-10-28 00:00:00,28.5,28.5,28.5,28.5,28500.0,1000,TQBR
CHGZ,2015-10-29 00:00:00,33.1,33.1,28.1,28.1,183700.0,6000,TQBR
CHGZ,2015-11-02 00:00:00,28.1,28.1,28.1,28.1,28100.0,1000,TQBR
CHGZ,2015-11-05 00:00:00,30.0,30.0,30.0,30.0,30000.0,1000,TQBR
CHGZ,2015-11-09 00:00:00,28.1,32.9,28.1,28.1,572300.0,19000,TQBR
CHGZ,2015-11-10 00:00:00,31.4,31.4,28.1,28.1,839600.0,28000,TQBR
CHGZ,2015-11-11 00:00:00,28.6,31.8,28.6,28.9,600000.0,20000,TQBR
CHGZ,2015-11-12 00:00:00,31.8,31.8,28.6,31.8,612400.0,20000,TQBR
CHGZ,2015-11-17 00:00:00,28.7,33.9,28.7,28.7,490400.0,16000,TQBR
CHGZ,2015-11-18 00:00:00,34.7,34.7,30.0,30.0,855200.0,26000,TQBR
CHGZ,2015-11-19 00:00:00,28.8,33.8,28.8,28.8,731200.0,24000,TQBR
CHGZ,2015-11-20 00:00:00,33.9,33.9,33.9,33.9,101700.0,3000,TQBR
CHGZ,2015-11-23 00:00:00,28.9,28.9,28.9,28.9,86700.0,3000,TQBR
CHGZ,2015-11-24 00:00:00,33.2,33.2,33.2,33.2,99600.0,3000,TQBR
CHGZ,2015-11-25 00:00:00,28.3,28.3,28.3,28.3,84900.0,3000,TQBR
CHGZ,2015-11-27 00:00:00,32.5,32.5,28.6,28.6,126100.0,4000,TQBR
