ticker,tradedate,open,high,low,close,value,volume,boardid
CHKZ,2014-06-09 00:00:00,1899.9,1899.9,1899.9,1899.9,1899.9,1,TQBR
CHKZ,2014-06-30 00:00:00,1850.4,1850.4,1850.4,1850.4,1850.4,1,TQBR
CHKZ,2014-07-04 00:00:00,1800.3,1800.3,1800.2,1800.2,9001.1,5,TQBR
CHKZ,2014-07-18 00:00:00,1850.0,1850.0,1850.0,1850.0,1850.0,1,TQBR
CHKZ,2014-07-21 00:00:00,1850.1,1900.0,1850.0,1900.0,63401.0,34,TQBR
CHKZ,2014-07-22 00:00:00,2000.0,2100.0,2000.0,2100.0,8105.0,4,TQBR
CHKZ,2014-08-11 00:00:00,1850.1,2000.0,1850.0,2000.0,102949.9,55,TQBR
CHKZ,2014-08-14 00:00:00,1851.1,2000.0,1851.0,2000.0,26636.8,14,TQBR
CHKZ,2014-08-20 00:00:00,1862.2,2000.0,1850.0,2000.0,107165.2,57,TQBR
CHKZ,2014-09-01 00:00:00,1900.0,1900.0,1900.0,1900.0,1900.0,1,TQBR
CHKZ,2014-09-10 00:00:00,1899.0,1899.0,1899.0,1899.0,1899.0,1,TQBR
CHKZ,2014-09-22 00:00:00,1890.0,1890.0,1890.0,1890.0,1890.0,1,TQBR
CHKZ,2014-09-24 00:00:00,1890.0,1890.0,1890.0,1890.0,1890.0,1,TQBR
CHKZ,2014-09-26 00:00:00,1880.0,1880.0,1880.0,1880.0,1880.0,1,TQBR
CHKZ,2014-09-30 00:00:00,1800.0,1880.0,1800.0,1880.0,101280.0,56,TQBR
CHKZ,2014-10-01 00:00:00,1800.0,1890.0,1620.0,1890.0,93510.0,52,TQBR
CHKZ,2014-10-06 00:00:00,1850.0,1850.0,1850.0,1850.0,1850.0,1,TQBR
CHKZ,2014-10-09 00:00:00,1800.0,1800.0,1800.0,1800.0,10800.0,6,TQBR
CHKZ,2014-10-10 00:00:00,1890.0,1920.0,1890.0,1920.0,17100.0,9,TQBR
CHKZ,2014-10-21 00:00:00,1700.0,1900.0,1700.0,1700.0,54600.0,32,TQBR
CHKZ,2014-10-22 00:00:00,1900.0,1900.0,1600.0,1800.0,157810.0,90,TQBR
CHKZ,2014-10-23 00:00:00,1650.0,1790.0,1620.0,1700.0,71390.0,42,TQBR
CHKZ,2014-10-24 00:00:00,1850.0,1850.0,1850.0,1850.0,1850.0,1,TQBR
CHKZ,2014-10-27 00:00:00,1700.0,1850.0,1700.0,1700.0,56390.0,33,TQBR
CHKZ,2014-10-28 00:00:00,1750.0,1900.0,1700.0,1700.0,64790.0,37,TQBR
CHKZ,2014-10-29 00:00:00,1770.0,1770.0,1770.0,1770.0,1770.0,1,TQBR
CHKZ,2014-11-12 00:00:00,1750.0,1870.0,1750.0,1870.0,143740.0,82,TQBR
CHKZ,2014-11-14 00:00:00,1940.0,1940.0,1700.0,1840.0,14120.0,8,TQBR
CHKZ,2014-11-18 00:00:00,1870.0,1900.0,1710.0,1710.0,24140.0,13,TQBR
CHKZ,2014-11-19 00:00:00,1700.0,1700.0,1700.0,1700.0,13600.0,8,TQBR
CHKZ,2014-11-20 00:00:00,1700.0,1750.0,1700.0,1750.0,69500.0,40,TQBR
CHKZ,2014-11-21 00:00:00,1780.0,1780.0,1780.0,1780.0,62300.0,35,TQBR
CHKZ,2014-11-24 00:00:00,1780.0,1900.0,1700.0,1830.0,199910.0,115,TQBR
CHKZ,2014-11-25 00:00:00,1700.0,1700.0,1680.0,1680.0,91780.0,54,TQBR
CHKZ,2014-12-02 00:00:00,1610.0,1610.0,1610.0,1610.0,8050.0,5,TQBR
CHKZ,2014-12-03 00:00:00,1600.0,1600.0,1600.0,1600.0,94400.0,59,TQBR
CHKZ,2014-12-04 00:00:00,1750.0,1800.0,1750.0,1800.0,91100.0,52,TQBR
CHKZ,2014-12-08 00:00:00,1610.0,1610.0,1610.0,1610.0,3220.0,2,TQBR
CHKZ,2014-12-19 00:00:00,1600.0,1820.0,1500.0,1820.0,21320.0,13,TQBR
CHKZ,2014-12-22 00:00:00,1600.0,1600.0,1600.0,1600.0,3200.0,2,TQBR
CHKZ,2014-12-24 00:00:00,1600.0,1800.0,1600.0,1800.0,15370.0,9,TQBR
CHKZ,2014-12-26 00:00:00,1600.0,1600.0,1600.0,1600.0,1600.0,1,TQBR
CHKZ,2014-12-29 00:00:00,1700.0,1840.0,1700.0,1840.0,52840.0,31,TQBR
CHKZ,2015-01-16 00:00:00,1570.0,1600.0,1550.0,1550.0,131980.0,84,TQBR
CHKZ,2015-01-19 00:00:00,1540.0,1550.0,1540.0,1550.0,16970.0,11,TQBR
CHKZ,2015-01-20 00:00:00,1630.0,1720.0,1630.0,1720.0,119340.0,73,TQBR
CHKZ,2015-01-21 00:00:00,1600.0,1640.0,1600.0,1640.0,3240.0,2,TQBR
CHKZ,2015-01-22 00:00:00,1600.0,1840.0,1600.0,1840.0,109600.0,64,TQBR
CHKZ,2015-01-29 00:00:00,1830.0,1830.0,1820.0,1820.0,3650.0,2,TQBR
CHKZ,2015-01-30 00:00:00,1700.0,1720.0,1700.0,1720.0,20620.0,12,TQBR
CHKZ,2015-02-04 00:00:00,1840.0,1950.0,1840.0,1950.0,59200.0,32,TQBR
CHKZ,2015-02-10 00:00:00,1810.0,1810.0,1810.0,1810.0,3620.0,2,TQBR
CHKZ,2015-02-17 00:00:00,1810.0,1970.0,1800.0,1970.0,37570.0,20,TQBR
CHKZ,2015-02-25 00:00:00,1980.0,2000.0,1980.0,2000.0,5980.0,3,TQBR
CHKZ,2015-02-26 00:00:00,1830.0,1830.0,1830.0,1830.0,1830.0,1,TQBR
CHKZ,2015-03-17 00:00:00,1820.0,1820.0,1820.0,1820.0,1820.0,1,TQBR
CHKZ,2015-03-18 00:00:00,1810.0,1810.0,1810.0,1810.0,9050.0,5,TQBR
CHKZ,2015-03-27 00:00:00,1970.0,2000.0,1970.0,2000.0,253550.0,127,TQBR
CHKZ,2015-03-30 00:00:00,2000.0,2450.0,2000.0,2450.0,83120.0,37,TQBR
CHKZ,2015-03-31 00:00:00,2050.0,2050.0,2050.0,2050.0,2050.0,1,TQBR
CHKZ,2015-04-01 00:00:00,1950.0,1950.0,1750.0,1750.0,39720.0,22,TQBR
CHKZ,2015-04-02 00:00:00,1850.0,2100.0,1850.0,2100.0,596960.0,314,TQBR
CHKZ,2015-04-08 00:00:00,2000.0,2100.0,1910.0,1910.0,8010.0,4,TQBR
CHKZ,2015-04-09 00:00:00,2000.0,2000.0,2000.0,2000.0,2000.0,1,TQBR
CHKZ,2015-04-15 00:00:00,1850.0,1850.0,1720.0,1720.0,5420.0,3,TQBR
CHKZ,2015-04-20 00:00:00,1930.0,1930.0,1930.0,1930.0,3860.0,2,TQBR
CHKZ,2015-05-12 00:00:00,1930.0,2110.0,1930.0,2110.0,177800.0,89,TQBR
CHKZ,2015-05-13 00:00:00,2090.0,2150.0,1960.0,1960.0,6200.0,3,TQBR
CHKZ,2015-05-15 00:00:00,1870.0,1870.0,1870.0,1870.0,1870.0,1,TQBR
CHKZ,2015-05-19 00:00:00,1860.0,1860.0,1860.0,1860.0,1860.0,1,TQBR
CHKZ,2015-05-20 00:00:00,1860.0,1860.0,1860.0,1860.0,1860.0,1,TQBR
CHKZ,2015-05-21 00:00:00,1990.0,2000.0,1990.0,2000.0,3990.0,2,TQBR
CHKZ,2015-05-22 00:00:00,1860.0,2080.0,1850.0,2080.0,9490.0,5,TQBR
CHKZ,2015-05-25 00:00:00,2090.0,2490.0,1960.0,2060.0,23230.0,11,TQBR
CHKZ,2015-05-29 00:00:00,2200.0,2200.0,2150.0,2150.0,4350.0,2,TQBR
CHKZ,2015-06-01 00:00:00,1870.0,1870.0,1870.0,1870.0,1870.0,1,TQBR
CHKZ,2015-06-02 00:00:00,1900.0,1900.0,1900.0,1900.0,1900.0,1,TQBR
CHKZ,2015-06-03 00:00:00,2000.0,2150.0,2000.0,2150.0,68150.0,34,TQBR
CHKZ,2015-06-05 00:00:00,2100.0,2100.0,2100.0,2100.0,2100.0,1,TQBR
CHKZ,2015-06-26 00:00:00,1920.0,1920.0,1920.0,1920.0,1920.0,1,TQBR
CHKZ,2015-07-02 00:00:00,1920.0,1950.0,1900.0,1950.0,29050.0,15,TQBR
CHKZ,2015-07-03 00:00:00,1950.0,2050.0,1950.0,2050.0,27400.0,14,TQBR
CHKZ,2015-07-06 00:00:00,1950.0,2040.0,1950.0,2040.0,31290.0,16,TQBR
CHKZ,2015-07-16 00:00:00,1900.0,1900.0,1900.0,1900.0,1900.0,1,TQBR
CHKZ,2015-08-18 00:00:00,1820.0,2030.0,1350.0,2030.0,36000.0,20,TQBR
CHKZ,2015-09-04 00:00:00,1830.0,1830.0,1830.0,1830.0,1830.0,1,TQBR
CHKZ,2015-09-08 00:00:00,1750.0,1750.0,1730.0,1730.0,3480.0,2,TQBR
CHKZ,2015-09-18 00:00:00,1810.0,1870.0,1810.0,1870.0,7390.0,4,TQBR
CHKZ,2015-09-21 00:00:00,1880.0,1880.0,1880.0,1880.0,1880.0,1,TQBR
CHKZ,2015-09-29 00:00:00,1910.0,1910.0,1910.0,1910.0,1910.0,1,TQBR
