ticker,tradedate,open,high,low,close,value,volume,boardid
CNTL,2014-06-09 00:00:00,11.399,11.399,11.399,11.399,1139.9,100,TQBR
CNTL,2014-06-10 00:00:00,11.3,11.3,11.3,11.3,1130.0,100,TQBR
CNTL,2014-06-11 00:00:00,11.28,11.28,11.0,11.001,9928.1,900,TQBR
CNTL,2014-06-19 00:00:00,11.003,11.4,11.0,11.4,12141.1,1100,TQBR
CNTL,2014-06-20 00:00:00,11.009,11.2,11.002,11.2,17784.7,1600,TQBR
CNTL,2014-06-23 00:00:00,11.0,11.001,11.0,11.001,51700.1,4700,TQBR
CNTL,2014-06-24 00:00:00,11.0,11.001,10.904,10.904,17476.5,1600,TQBR
CNTL,2014-06-25 00:00:00,10.901,10.901,10.802,10.802,13061.2,1200,TQBR
CNTL,2014-06-26 00:00:00,10.999,11.0,10.999,11.0,10999.3,1000,TQBR
CNTL,2014-06-27 00:00:00,10.999,11.0,10.801,10.81,53747.4,4900,TQBR
CNTL,2014-06-30 00:00:00,10.65,10.65,10.65,10.65,1065.0,100,TQBR
CNTL,2014-07-01 00:00:00,10.802,11.201,10.802,11.201,46219.7,4200,TQBR
CNTL,2014-07-02 00:00:00,11.199,11.2,11.199,11.2,3359.8,300,TQBR
CNTL,2014-07-07 00:00:00,11.0,11.2,11.0,11.15,538600.0,48200,TQBR
CNTL,2014-07-10 00:00:00,11.001,11.2,11.001,11.1,28836.4,2600,TQBR
CNTL,2014-07-11 00:00:00,11.15,11.291,11.15,11.291,8994.6,800,TQBR
CNTL,2014-07-14 00:00:00,11.11,11.11,11.0,11.0,6613.9,600,TQBR
CNTL,2014-07-16 00:00:00,11.0,11.0,11.0,11.0,11000.0,1000,TQBR
CNTL,2014-07-17 00:00:00,11.0,11.19,11.0,11.19,6620.0,600,TQBR
CNTL,2014-07-18 00:00:00,11.496,11.498,11.251,11.251,9173.3,800,TQBR
CNTL,2014-07-22 00:00:00,11.029,12.0,11.029,12.0,72753.0,6100,TQBR
CNTL,2014-07-28 00:00:00,11.5,11.7,11.4,11.4,3460.0,300,TQBR
CNTL,2014-08-01 00:00:00,11.2,11.2,11.2,11.2,1120.0,100,TQBR
CNTL,2014-08-06 00:00:00,11.5,11.5,11.0,11.0,17697.8,1600,TQBR
CNTL,2014-08-07 00:00:00,9.501,11.799,9.36,11.799,11537.8,1100,TQBR
CNTL,2014-08-08 00:00:00,9.506,11.4,9.506,11.0,62291.9,5700,TQBR
CNTL,2014-08-13 00:00:00,11.23,11.23,11.0,11.0,2223.0,200,TQBR
CNTL,2014-08-14 00:00:00,11.275,11.277,11.275,11.277,2255.2,200,TQBR
CNTL,2014-08-18 00:00:00,11.5,11.5,11.5,11.5,1150.0,100,TQBR
CNTL,2014-08-19 00:00:00,11.5,11.5,11.5,11.5,1150.0,100,TQBR
CNTL,2014-08-21 00:00:00,11.3,11.3,11.2,11.2,2250.0,200,TQBR
CNTL,2014-08-22 00:00:00,10.12,10.12,10.12,10.12,1012.0,100,TQBR
CNTL,2014-08-25 00:00:00,11.5,11.5,11.5,11.5,1150.0,100,TQBR
CNTL,2014-08-26 00:00:00,11.587,11.587,11.57,11.57,2315.7,200,TQBR
CNTL,2014-08-29 00:00:00,11.02,11.02,11.02,11.02,1102.0,100,TQBR
CNTL,2014-09-01 00:00:00,11.02,11.02,11.011,11.011,19823.4,1800,TQBR
CNTL,2014-09-03 00:00:00,11.59,11.601,11.59,11.601,4639.1,400,TQBR
CNTL,2014-09-05 00:00:00,11.003,11.739,11.003,11.739,4621.9,400,TQBR
CNTL,2014-09-08 00:00:00,11.3,11.635,11.3,11.635,3423.5,300,TQBR
CNTL,2014-09-09 00:00:00,11.735,11.799,10.6,11.0,38723.5,3500,TQBR
CNTL,2014-09-10 00:00:00,10.801,10.801,10.7,10.7,2150.1,200,TQBR
CNTL,2014-09-12 00:00:00,10.789,10.789,10.789,10.789,1078.9,100,TQBR
CNTL,2014-09-16 00:00:00,10.79,10.79,10.79,10.79,2158.0,200,TQBR
CNTL,2014-09-17 00:00:00,11.0,11.0,10.9,10.9,5476.0,500,TQBR
CNTL,2014-09-18 00:00:00,11.0,11.0,10.9,10.9,2190.0,200,TQBR
CNTL,2014-09-24 00:00:00,10.82,10.82,10.811,10.811,4325.4,400,TQBR
CNTL,2014-09-25 00:00:00,11.199,11.3,11.0,11.3,226950.3,20300,TQBR
CNTL,2014-09-26 00:00:00,11.001,11.3,10.93,11.3,15464.8,1400,TQBR
CNTL,2014-09-29 00:00:00,10.942,10.95,10.941,10.95,3283.3,300,TQBR
CNTL,2014-09-30 00:00:00,11.11,11.3,11.11,11.3,113749.0,10100,TQBR
CNTL,2014-10-01 00:00:00,11.0,11.0,10.95,10.95,18625.0,1700,TQBR
CNTL,2014-10-06 00:00:00,10.8,10.8,10.8,10.8,5400.0,500,TQBR
CNTL,2014-10-07 00:00:00,10.9,10.9,10.9,10.9,2180.0,200,TQBR
CNTL,2014-10-08 00:00:00,11.0,11.0,10.8,10.8,26075.0,2400,TQBR
CNTL,2014-10-10 00:00:00,10.7,10.7,10.65,10.65,45830.0,4300,TQBR
CNTL,2014-10-13 00:00:00,10.7,10.7,10.7,10.7,5350.0,500,TQBR
CNTL,2014-10-14 00:00:00,11.0,11.0,10.8,10.8,55145.0,5100,TQBR
CNTL,2014-10-15 00:00:00,11.0,11.0,11.0,11.0,1100.0,100,TQBR
CNTL,2014-10-16 00:00:00,10.7,10.7,10.3,10.3,68225.0,6500,TQBR
CNTL,2014-10-17 00:00:00,11.0,11.0,10.65,10.65,48380.0,4500,TQBR
CNTL,2014-10-21 00:00:00,11.0,11.0,11.0,11.0,1100.0,100,TQBR
CNTL,2014-10-22 00:00:00,11.25,11.5,11.0,11.2,71345.0,6300,TQBR
CNTL,2014-10-27 00:00:00,11.1,11.3,11.0,11.0,5570.0,500,TQBR
CNTL,2014-10-28 00:00:00,11.1,11.1,11.05,11.1,36570.0,3300,TQBR
