ticker,tradedate,open,high,low,close,value,volume,boardid
EELT,2017-09-07 00:00:00,9.515,12.999,9.33,10.2,4870270.8,490500,TQBR
EELT,2017-09-08 00:00:00,9.67,10.5,9.551,9.885,5291608.3,535800,TQBR
EELT,2017-09-11 00:00:00,10.0,10.5,9.895,10.329,4669833.5,457700,TQBR
EELT,2017-09-12 00:00:00,10.32,10.75,9.85,10.5,1400289.4,136000,TQBR
EELT,2017-09-13 00:00:00,10.55,10.55,10.076,10.499,5381923.4,523500,TQBR
EELT,2017-09-14 00:00:00,10.5,10.7,10.149,10.526,1980149.9,191500,TQBR
EELT,2017-09-15 00:00:00,10.199,10.549,9.973,10.447,3811837.8,371600,TQBR
EELT,2017-09-18 00:00:00,10.4,10.402,9.92,10.24,2513440.0,246700,TQBR
EELT,2017-09-19 00:00:00,10.248,10.489,9.976,10.475,3102775.5,304800,TQBR
EELT,2017-09-20 00:00:00,10.35,10.45,10.2,10.208,2323073.8,226000,TQBR
EELT,2017-09-21 00:00:00,10.131,10.3,9.7,10.291,1900211.7,190500,TQBR
EELT,2017-09-22 00:00:00,10.289,10.75,10.273,10.75,2304515.9,221600,TQBR
EELT,2017-09-25 00:00:00,10.7,10.786,10.107,10.57,5041881.9,488500,TQBR
EELT,2017-09-26 00:00:00,10.402,10.8,10.203,10.795,5586788.9,533900,TQBR
EELT,2017-09-27 00:00:00,10.45,10.888,10.3,10.886,5291405.9,498500,TQBR
EELT,2017-09-28 00:00:00,10.764,10.92,10.55,10.92,5170877.8,481900,TQBR
EELT,2017-09-29 00:00:00,10.85,11.05,10.718,11.017,5123146.6,468700,TQBR
EELT,2017-10-02 00:00:00,11.063,11.105,10.887,11.012,4371445.4,397200,TQBR
EELT,2017-10-03 00:00:00,11.099,11.129,10.999,10.999,2829512.2,255400,TQBR
EELT,2017-10-04 00:00:00,10.985,11.218,10.879,11.218,6148474.0,558500,TQBR
EELT,2017-10-05 00:00:00,11.084,11.23,11.007,11.05,5095164.8,458000,TQBR
