ticker,tradedate,open,high,low,close,value,volume,boardid
ELMT,2024-06-06 00:00:00,0.2236,0.2256,0.21498,0.21706,68068467.24,310579000,TQBR
ELMT,2024-06-07 00:00:00,0.2223,0.2235,0.216,0.21724,75278078.56,346501000,TQBR
ELMT,2024-06-10 00:00:00,0.21998,0.223,0.2076,0.21204,29149849.68,135729000,TQBR
ELMT,2024-06-11 00:00:00,0.212,0.215,0.209,0.21054,16288234.34,76984000,TQBR
ELMT,2024-06-13 00:00:00,0.2085,0.21054,0.20212,0.207,26123080.02,126489000,TQBR
ELMT,2024-06-14 00:00:00,0.20898,0.21,0.205,0.21,15698812.36,75682000,TQBR
ELMT,2024-06-17 00:00:00,0.21698,0.21698,0.20688,0.20748,16083221.46,77146000,TQBR
ELMT,2024-06-18 00:00:00,0.2084,0.214,0.203,0.20738,16665562.64,80459000,TQBR
ELMT,2024-06-19 00:00:00,0.2074,0.2076,0.20184,0.2028,9594059.92,46940000,TQBR
ELMT,2024-06-20 00:00:00,0.20644,0.20644,0.2003,0.20142,17318121.7,85738000,TQBR
ELMT,2024-06-21 00:00:00,0.20142,0.20296,0.1995,0.20028,18942088.18,94393000,TQBR
ELMT,2024-06-24 00:00:00,0.20028,0.2014,0.19806,0.19996,19340737.18,96606000,TQBR
ELMT,2024-06-25 00:00:00,0.2,0.2047,0.1973,0.20064,9373851.18,47059000,TQBR
ELMT,2024-06-26 00:00:00,0.20542,0.20542,0.1996,0.2,11166568.22,55750000,TQBR
ELMT,2024-06-27 00:00:00,0.202,0.2038,0.1994,0.2,16263904.34,81261000,TQBR
ELMT,2024-06-28 00:00:00,0.2027,0.205,0.19892,0.202,50157868.4,249963000,TQBR
ELMT,2024-07-01 00:00:00,0.21966,0.21966,0.1995,0.1995,15893248.16,79103000,TQBR
ELMT,2024-07-02 00:00:00,0.20076,0.2008,0.19068,0.19828,26909121.44,136757000,TQBR
ELMT,2024-07-03 00:00:00,0.19868,0.19868,0.1943,0.1949,13407463.96,68571000,TQBR
ELMT,2024-07-04 00:00:00,0.1951,0.1951,0.1868,0.18796,31161944.42,164298000,TQBR
ELMT,2024-07-05 00:00:00,0.188,0.18884,0.18214,0.1833,21067338.16,114932000,TQBR
ELMT,2024-07-08 00:00:00,0.1841,0.18598,0.18,0.18014,13196993.86,71910000,TQBR
ELMT,2024-07-09 00:00:00,0.18314,0.18314,0.1717,0.17374,18160568.26,102959000,TQBR
ELMT,2024-07-10 00:00:00,0.17374,0.17536,0.1639,0.16716,19926678.36,118650000,TQBR
ELMT,2024-07-11 00:00:00,0.16714,0.1761,0.16534,0.17542,23217342.32,134788000,TQBR
ELMT,2024-07-12 00:00:00,0.17766,0.17802,0.1752,0.17666,11275722.32,63825000,TQBR
ELMT,2024-07-15 00:00:00,0.17824,0.18262,0.1765,0.17954,19308721.38,107012000,TQBR
ELMT,2024-07-16 00:00:00,0.18002,0.18164,0.17778,0.18024,16338273.48,91426000,TQBR
ELMT,2024-07-17 00:00:00,0.1826,0.1852,0.17764,0.18076,21198186.28,118361000,TQBR
ELMT,2024-07-18 00:00:00,0.18076,0.18076,0.174,0.17704,18724471.54,105891000,TQBR
ELMT,2024-07-19 00:00:00,0.18076,0.18138,0.17454,0.17878,10996960.54,62434000,TQBR
ELMT,2024-07-22 00:00:00,0.17878,0.18198,0.17796,0.1798,12453680.88,69196000,TQBR
ELMT,2024-07-23 00:00:00,0.18,0.18184,0.17956,0.1812,10922907.76,60475000,TQBR
ELMT,2024-07-24 00:00:00,0.183,0.183,0.18,0.18124,12639833.78,70003000,TQBR
ELMT,2024-07-25 00:00:00,0.18124,0.18572,0.18,0.1832,14774192.48,80633000,TQBR
ELMT,2024-07-26 00:00:00,0.18324,0.18456,0.18174,0.1835,16901597.68,92112000,TQBR
ELMT,2024-07-29 00:00:00,0.1835,0.189,0.17422,0.17988,16974966.66,95631000,TQBR
ELMT,2024-07-30 00:00:00,0.18702,0.18702,0.17948,0.18096,9392094.12,52146000,TQBR
ELMT,2024-07-31 00:00:00,0.187,0.187,0.18064,0.18198,10713123.82,58853000,TQBR
ELMT,2024-08-01 00:00:00,0.1836,0.1862,0.175,0.1855,11920360.76,64989000,TQBR
ELMT,2024-08-02 00:00:00,0.18552,0.19168,0.18472,0.18834,15715140.98,83689000,TQBR
ELMT,2024-08-05 00:00:00,0.18838,0.18948,0.182,0.1839,16460481.06,89153000,TQBR
ELMT,2024-08-06 00:00:00,0.1839,0.18788,0.1826,0.1842,10965983.32,59513000,TQBR
ELMT,2024-08-07 00:00:00,0.187,0.187,0.17878,0.1845,6363556.54,34662000,TQBR
ELMT,2024-08-08 00:00:00,0.18472,0.185,0.18302,0.18426,4032113.66,21914000,TQBR
ELMT,2024-08-09 00:00:00,0.18366,0.18412,0.183,0.18398,3309457.12,18015000,TQBR
ELMT,2024-08-12 00:00:00,0.18398,0.18398,0.17998,0.18206,10942728.32,60272000,TQBR
ELMT,2024-08-13 00:00:00,0.18246,0.1846,0.18246,0.1843,6036074.24,32796000,TQBR
ELMT,2024-08-14 00:00:00,0.1843,0.18546,0.18,0.18186,15948685.28,87098000,TQBR
ELMT,2024-08-15 00:00:00,0.18376,0.18376,0.179,0.18216,6608418.1,36438000,TQBR
ELMT,2024-08-16 00:00:00,0.18222,0.185,0.18186,0.18298,9049603.64,49430000,TQBR
ELMT,2024-08-19 00:00:00,0.184,0.18402,0.18028,0.18102,9284118.76,51015000,TQBR
ELMT,2024-08-20 00:00:00,0.18104,0.1826,0.18026,0.1817,8409413.56,46399000,TQBR
ELMT,2024-08-21 00:00:00,0.183,0.18362,0.17948,0.1814,15087172.6,83039000,TQBR
ELMT,2024-08-22 00:00:00,0.18146,0.18172,0.17886,0.1791,10063359.38,55765000,TQBR
ELMT,2024-08-23 00:00:00,0.1801,0.1801,0.177,0.17894,13989469.4,78359000,TQBR
ELMT,2024-08-26 00:00:00,0.18012,0.1815,0.17954,0.1801,10418583.18,57796000,TQBR
ELMT,2024-08-27 00:00:00,0.18012,0.1806,0.1743,0.1777,13879005.98,77510000,TQBR
ELMT,2024-08-28 00:00:00,0.18,0.18,0.17478,0.1754,5995694.42,34075000,TQBR
ELMT,2024-08-29 00:00:00,0.17542,0.17886,0.1752,0.17778,13242169.86,74512000,TQBR
ELMT,2024-08-30 00:00:00,0.1778,0.1805,0.177,0.1781,21061408.28,117697000,TQBR
ELMT,2024-09-02 00:00:00,0.17812,0.17814,0.1713,0.1718,8712775.9,50126000,TQBR
ELMT,2024-09-03 00:00:00,0.171,0.1755,0.171,0.1724,11709673.56,67533000,TQBR
ELMT,2024-09-04 00:00:00,0.1724,0.17424,0.17238,0.1742,3967595.76,22832000,TQBR
ELMT,2024-09-05 00:00:00,0.176,0.17646,0.1748,0.175,9481702.66,54089000,TQBR
ELMT,2024-09-06 00:00:00,0.1757,0.176,0.1745,0.17526,3165285.96,18086000,TQBR
ELMT,2024-09-09 00:00:00,0.1745,0.17556,0.17446,0.17542,6175732.0,35303000,TQBR
ELMT,2024-09-10 00:00:00,0.176,0.1765,0.1745,0.17472,4094316.08,23323000,TQBR
ELMT,2024-09-11 00:00:00,0.17548,0.17548,0.17404,0.1744,2851405.84,16312000,TQBR
ELMT,2024-09-12 00:00:00,0.17442,0.17486,0.1721,0.17242,5237029.74,30249000,TQBR
ELMT,2024-09-13 00:00:00,0.1735,0.1735,0.1696,0.16996,31241118.0,183412000,TQBR
ELMT,2024-09-16 00:00:00,0.16996,0.1751,0.16996,0.17376,11233487.9,65128000,TQBR
ELMT,2024-09-17 00:00:00,0.17376,0.17634,0.17376,0.17628,9460833.3,53919000,TQBR
ELMT,2024-09-18 00:00:00,0.1765,0.17888,0.17614,0.17838,11547157.4,65020000,TQBR
ELMT,2024-09-19 00:00:00,0.18,0.18036,0.17642,0.17798,12242084.22,68829000,TQBR
ELMT,2024-09-20 00:00:00,0.178,0.18028,0.1746,0.17932,19590441.48,109807000,TQBR
ELMT,2024-09-23 00:00:00,0.18232,0.18232,0.17876,0.1799,32269666.6,179441000,TQBR
ELMT,2024-09-24 00:00:00,0.185,0.1878,0.1812,0.1829,22143603.66,120229000,TQBR
ELMT,2024-09-25 00:00:00,0.184,0.184,0.17484,0.17782,28542165.08,160377000,TQBR
ELMT,2024-09-26 00:00:00,0.17898,0.17898,0.17534,0.17608,10776179.74,61231000,TQBR
ELMT,2024-09-27 00:00:00,0.17708,0.17752,0.17632,0.17698,4387206.22,24786000,TQBR
ELMT,2024-09-30 00:00:00,0.17702,0.1818,0.17646,0.17744,20239355.2,114122000,TQBR
ELMT,2024-10-01 00:00:00,0.17778,0.17778,0.17338,0.1748,8896413.84,50613000,TQBR
ELMT,2024-10-02 00:00:00,0.1762,0.1762,0.17334,0.17398,3992550.04,22854000,TQBR
ELMT,2024-10-03 00:00:00,0.1752,0.17768,0.1726,0.17324,4554981.66,26224000,TQBR
ELMT,2024-10-04 00:00:00,0.1748,0.17492,0.17288,0.17316,2800705.1,16124000,TQBR
ELMT,2024-10-07 00:00:00,0.1735,0.17488,0.17236,0.17254,2628312.94,15193000,TQBR
ELMT,2024-10-08 00:00:00,0.17254,0.1738,0.1718,0.1721,2585918.5,15005000,TQBR
ELMT,2024-10-09 00:00:00,0.17254,0.173,0.1707,0.1714,3044485.16,17750000,TQBR
ELMT,2024-10-10 00:00:00,0.1721,0.17296,0.17074,0.17122,1520962.24,8870000,TQBR
ELMT,2024-10-11 00:00:00,0.17174,0.17252,0.1705,0.17106,1561191.88,9107000,TQBR
ELMT,2024-10-14 00:00:00,0.1709,0.173,0.1705,0.17204,5520607.52,32153000,TQBR
ELMT,2024-10-15 00:00:00,0.17204,0.1755,0.17202,0.17288,4931871.18,28377000,TQBR
ELMT,2024-10-16 00:00:00,0.173,0.175,0.17252,0.17252,3789613.08,21804000,TQBR
ELMT,2024-10-17 00:00:00,0.1729,0.17338,0.172,0.17258,5255710.7,30441000,TQBR
ELMT,2024-10-18 00:00:00,0.17262,0.17346,0.1699,0.16998,10752729.98,63212000,TQBR
ELMT,2024-10-21 00:00:00,0.17198,0.17198,0.16906,0.1702,4066882.78,23876000,TQBR
ELMT,2024-10-22 00:00:00,0.17198,0.17198,0.1693,0.16994,2095858.0,12303000,TQBR
ELMT,2024-10-23 00:00:00,0.17,0.17018,0.1689,0.16994,2522871.1,14901000,TQBR
ELMT,2024-10-24 00:00:00,0.16996,0.17038,0.16376,0.16782,10552401.58,62920000,TQBR
ELMT,2024-10-25 00:00:00,0.16894,0.1695,0.1653,0.16674,4941804.8,29563000,TQBR
ELMT,2024-10-28 00:00:00,0.16674,0.16674,0.158,0.15886,39291485.76,245316000,TQBR
ELMT,2024-10-29 00:00:00,0.164,0.164,0.1571,0.164,12627350.62,78802000,TQBR
ELMT,2024-10-30 00:00:00,0.1644,0.1673,0.16296,0.16514,8666907.28,52329000,TQBR
ELMT,2024-10-31 00:00:00,0.165,0.165,0.1608,0.16402,8774031.22,53872000,TQBR
ELMT,2024-11-01 00:00:00,0.1645,0.1645,0.1595,0.1599,7456910.4,46398000,TQBR
ELMT,2024-11-02 00:00:00,0.16495,0.16495,0.1566,0.16,4554413.7,28349000,TQBR
ELMT,2024-11-05 00:00:00,0.16,0.16115,0.159,0.1594,1635890.4,10239000,TQBR
ELMT,2024-11-06 00:00:00,0.16255,0.16695,0.1609,0.1613,5570113.85,34322000,TQBR
ELMT,2024-11-07 00:00:00,0.1613,0.163,0.16005,0.1612,4838693.4,30044000,TQBR
ELMT,2024-11-08 00:00:00,0.1613,0.16265,0.16045,0.16245,6992429.6,43191000,TQBR
ELMT,2024-11-11 00:00:00,0.16305,0.1684,0.163,0.168,12658305.4,76603000,TQBR
