ticker,tradedate,open,high,low,close,value,volume,boardid
FESH,2014-06-09 00:00:00,3.44,3.487,3.301,3.345,47537.1,14100,TQBR
FESH,2014-06-10 00:00:00,3.351,3.4,3.34,3.4,30817.6,9200,TQBR
FESH,2014-06-11 00:00:00,3.431,3.431,3.31,3.395,68458.9,20200,TQBR
FESH,2014-06-16 00:00:00,3.457,3.467,3.203,3.467,497261.0,147700,TQBR
FESH,2014-06-17 00:00:00,3.579,3.58,3.34,3.427,86309.4,25300,TQBR
FESH,2014-06-18 00:00:00,3.421,3.543,3.376,3.453,508310.1,145200,TQBR
FESH,2014-06-19 00:00:00,3.423,3.436,3.361,3.361,295913.5,87700,TQBR
FESH,2014-06-20 00:00:00,3.367,3.485,3.367,3.37,143836.5,41800,TQBR
FESH,2014-06-23 00:00:00,3.373,3.489,3.371,3.437,9815.6,2900,TQBR
FESH,2014-06-24 00:00:00,3.485,3.486,3.402,3.469,28237.3,8200,TQBR
FESH,2014-06-25 00:00:00,3.456,3.46,3.401,3.45,120188.0,35000,TQBR
FESH,2014-06-26 00:00:00,3.449,3.52,3.331,3.418,350944.5,102200,TQBR
FESH,2014-06-27 00:00:00,3.432,3.432,3.363,3.409,689057.5,201700,TQBR
FESH,2014-06-30 00:00:00,3.355,3.361,3.352,3.352,43332.5,12900,TQBR
FESH,2014-07-01 00:00:00,3.48,3.48,3.324,3.333,159807.2,46500,TQBR
FESH,2014-07-02 00:00:00,3.437,3.437,3.26,3.396,123411.5,37100,TQBR
FESH,2014-07-03 00:00:00,3.35,3.392,3.301,3.301,66689.9,19900,TQBR
FESH,2014-07-04 00:00:00,3.449,3.449,3.299,3.3,178153.0,53700,TQBR
FESH,2014-07-07 00:00:00,3.414,3.415,3.306,3.372,601609.2,178000,TQBR
FESH,2014-07-08 00:00:00,3.33,3.393,3.27,3.305,289549.5,87800,TQBR
FESH,2014-07-09 00:00:00,3.34,3.343,3.282,3.3,158986.3,48000,TQBR
FESH,2014-07-10 00:00:00,3.299,3.299,3.2,3.26,242279.3,74900,TQBR
FESH,2014-07-11 00:00:00,3.211,3.224,3.027,3.165,460769.7,148000,TQBR
FESH,2014-07-14 00:00:00,3.128,3.199,3.127,3.192,21514.8,6800,TQBR
FESH,2014-07-15 00:00:00,3.152,3.193,3.108,3.147,19666.0,6300,TQBR
FESH,2014-07-16 00:00:00,3.099,3.11,3.05,3.094,539505.8,175000,TQBR
FESH,2014-07-17 00:00:00,3.093,3.093,3.0,3.019,364977.8,121500,TQBR
FESH,2014-07-18 00:00:00,3.0,3.01,2.851,3.004,307723.3,102900,TQBR
FESH,2014-07-21 00:00:00,2.91,3.01,2.886,2.926,599157.6,203500,TQBR
FESH,2014-07-22 00:00:00,2.947,3.09,2.92,3.09,2016740.6,665200,TQBR
FESH,2014-07-23 00:00:00,3.012,3.175,3.01,3.17,1343603.8,426900,TQBR
FESH,2014-07-24 00:00:00,3.123,3.205,3.112,3.18,570105.8,180500,TQBR
FESH,2014-07-25 00:00:00,3.152,3.152,3.1,3.133,124364.5,39700,TQBR
FESH,2014-07-28 00:00:00,3.079,3.079,3.02,3.04,127968.0,42100,TQBR
FESH,2014-07-29 00:00:00,3.069,3.15,3.0,3.119,671178.9,217700,TQBR
FESH,2014-07-30 00:00:00,3.068,3.166,3.068,3.121,1906321.6,607100,TQBR
FESH,2014-07-31 00:00:00,3.12,3.2,3.12,3.181,825578.0,259800,TQBR
FESH,2014-08-01 00:00:00,3.181,3.19,3.18,3.18,169575.5,53300,TQBR
FESH,2014-08-04 00:00:00,3.151,3.19,3.151,3.185,236710.5,74300,TQBR
FESH,2014-08-05 00:00:00,3.129,3.196,3.129,3.19,611691.2,191700,TQBR
FESH,2014-08-06 00:00:00,3.19,3.196,3.105,3.17,621036.1,196000,TQBR
FESH,2014-08-07 00:00:00,3.1,3.16,3.059,3.147,1011847.7,320700,TQBR
FESH,2014-08-08 00:00:00,3.16,3.17,3.12,3.16,205769.4,65200,TQBR
FESH,2014-08-11 00:00:00,3.17,3.179,3.132,3.165,85130.0,26900,TQBR
FESH,2014-08-12 00:00:00,3.164,3.19,3.1,3.15,508336.5000000001,161500,TQBR
FESH,2014-08-13 00:00:00,3.147,3.147,3.144,3.145,38366.5,12200,TQBR
FESH,2014-08-14 00:00:00,3.099,3.15,3.099,3.15,56383.2,18100,TQBR
FESH,2014-08-15 00:00:00,3.103,3.14,3.1,3.14,67937.79999999999,21800,TQBR
FESH,2014-08-18 00:00:00,3.16,3.172,3.156,3.172,10433.6,3300,TQBR
FESH,2014-08-19 00:00:00,3.159,3.255,3.159,3.246,197753.9,61600,TQBR
FESH,2014-08-20 00:00:00,3.193,3.25,3.0,3.183,630953.7999999999,199300,TQBR
FESH,2014-08-21 00:00:00,3.238,3.238,3.123,3.169,62207.3,19600,TQBR
