ticker,tradedate,open,high,low,close,value,volume,boardid
INGR,2020-03-30 00:00:00,725,768,725,768,68890.0,91,TQBR
INGR,2020-03-31 00:00:00,750,796,740,796,613232.0,795,TQBR
INGR,2020-04-01 00:00:00,754,768,754,760,62637.0,82,TQBR
INGR,2020-04-02 00:00:00,760,764,754,754,43871.0,58,TQBR
INGR,2020-04-03 00:00:00,762,762,750,750,80262.0,107,TQBR
INGR,2020-04-06 00:00:00,735,787,735,770,85624.0,111,TQBR
INGR,2020-04-07 00:00:00,780,785,751,771,405872.0,521,TQBR
INGR,2020-04-08 00:00:00,760,760,760,760,13680.0,18,TQBR
INGR,2020-04-09 00:00:00,770,770,770,770,41580.0,54,TQBR
INGR,2020-04-10 00:00:00,754,758,754,755,31684.0,42,TQBR
INGR,2020-04-13 00:00:00,770,770,762,764,68238.0,89,TQBR
INGR,2020-04-14 00:00:00,766,770,766,766,37543.0,49,TQBR
INGR,2020-04-15 00:00:00,776,784,768,768,95542.0,123,TQBR
INGR,2020-04-16 00:00:00,755,784,755,764,130335.0,168,TQBR
INGR,2020-04-17 00:00:00,700,765,699,761,39185.0,52,TQBR
INGR,2020-04-20 00:00:00,786,786,770,770,92375.0,119,TQBR
INGR,2020-04-21 00:00:00,775,775,763,764,73216.0,95,TQBR
INGR,2020-04-22 00:00:00,761,787,752,777,66760.0,88,TQBR
INGR,2020-04-23 00:00:00,770,776,757,776,81017.0,106,TQBR
INGR,2020-04-24 00:00:00,743,761,730,757,123885.0,166,TQBR
INGR,2020-04-27 00:00:00,721,775,721,762,37338.0,49,TQBR
INGR,2020-04-28 00:00:00,750,768,750,768,119923.0,157,TQBR
INGR,2020-04-29 00:00:00,769,770,756,770,37267.0,49,TQBR
INGR,2020-04-30 00:00:00,750,770,750,765,19135.0,25,TQBR
INGR,2020-05-04 00:00:00,743,765,730,761,39433.0,53,TQBR
INGR,2020-05-05 00:00:00,763,765,763,765,22904.0,30,TQBR
INGR,2020-05-06 00:00:00,770,1063,752,752,32383568.0,37443,TQBR
