ticker,tradedate,open,high,low,close,value,volume,boardid
IVAT,2024-06-04 00:00:00,304.45,309.95,295.55,297.6,652652006.15,2174069,TQBR
IVAT,2024-06-05 00:00:00,298.85,301.0,288.0,288.0,177797440.15,596642,TQBR
IVAT,2024-06-06 00:00:00,294.1,299.0,294.1,297.65,167647901.6,561742,TQBR
IVAT,2024-06-07 00:00:00,298.5,303.0,297.7,302.25,229113254.3,763660,TQBR
IVAT,2024-06-10 00:00:00,303.0,305.0,297.65,299.0,103050127.85,341983,TQBR
IVAT,2024-06-11 00:00:00,299.95,301.25,291.95,293.5,76278096.3,257467,TQBR
IVAT,2024-06-13 00:00:00,291.0,299.5,288.0,293.8,113319924.8,385133,TQBR
IVAT,2024-06-14 00:00:00,296.0,299.0,295.5,299.0,54241147.7,182178,TQBR
IVAT,2024-06-17 00:00:00,300.3,301.25,297.0,298.0,56891059.9,190054,TQBR
IVAT,2024-06-18 00:00:00,298.0,299.35,294.0,294.8,21236971.45,71777,TQBR
IVAT,2024-06-19 00:00:00,297.0,297.8,291.8,293.1,38777262.8,131947,TQBR
IVAT,2024-06-20 00:00:00,294.8,297.65,291.95,292.0,58429735.25,198251,TQBR
IVAT,2024-06-21 00:00:00,294.0,295.5,291.0,292.2,21525186.15,73457,TQBR
IVAT,2024-06-24 00:00:00,294.0,295.0,292.5,292.5,20002555.75,68189,TQBR
IVAT,2024-06-25 00:00:00,294.0,296.8,292.5,294.2,13291523.6,45219,TQBR
IVAT,2024-06-26 00:00:00,294.2,297.75,294.0,294.85,16341594.65,55208,TQBR
IVAT,2024-06-27 00:00:00,297.0,297.6,293.0,294.95,21639431.3,73337,TQBR
IVAT,2024-06-28 00:00:00,295.5,296.95,289.5,289.9,50149961.3,171404,TQBR
IVAT,2024-07-01 00:00:00,291.0,291.95,289.5,290.0,16846584.15,57990,TQBR
IVAT,2024-07-02 00:00:00,291.0,293.95,283.0,293.3,43085519.85,148441,TQBR
IVAT,2024-07-03 00:00:00,294.0,297.45,289.5,291.0,74657570.15,253134,TQBR
IVAT,2024-07-04 00:00:00,290.95,291.5,283.7,283.7,15009284.25,52494,TQBR
IVAT,2024-07-05 00:00:00,284.8,284.8,274.55,277.0,15822418.75,56824,TQBR
IVAT,2024-07-08 00:00:00,280.0,280.0,258.0,268.0,20605300.9,76743,TQBR
IVAT,2024-07-09 00:00:00,267.9,269.8,252.25,259.25,23170823.0,90011,TQBR
IVAT,2024-07-10 00:00:00,259.25,263.05,241.55,249.45,64863160.05,257803,TQBR
IVAT,2024-07-11 00:00:00,248.8,262.0,246.8,262.0,24661083.85,96039,TQBR
IVAT,2024-07-12 00:00:00,262.0,262.0,259.45,260.8,9960511.6,38221,TQBR
IVAT,2024-07-15 00:00:00,260.8,261.95,257.4,257.4,15229394.85,58724,TQBR
IVAT,2024-07-16 00:00:00,257.3,259.4,255.15,257.1,12383426.4,48203,TQBR
IVAT,2024-07-17 00:00:00,257.1,259.4,252.45,253.9,30116509.1,117819,TQBR
IVAT,2024-07-18 00:00:00,254.0,254.0,246.6,248.45,32282662.5,129373,TQBR
IVAT,2024-07-19 00:00:00,248.5,253.95,247.7,249.9,58860310.55,234951,TQBR
IVAT,2024-07-22 00:00:00,250.0,252.95,246.6,248.0,43294770.85,173354,TQBR
IVAT,2024-07-23 00:00:00,248.65,248.65,245.55,247.85,10322133.2,41824,TQBR
IVAT,2024-07-24 00:00:00,247.85,257.2,247.85,251.85,52624827.6,208079,TQBR
IVAT,2024-07-25 00:00:00,251.9,252.95,248.75,249.65,19629542.05,78426,TQBR
IVAT,2024-07-26 00:00:00,249.7,254.05,240.0,246.55,64468015.5,258459,TQBR
IVAT,2024-07-29 00:00:00,247.55,247.55,232.05,235.6,47161746.75,197008,TQBR
IVAT,2024-07-30 00:00:00,235.6,237.9,235.05,236.9,7897306.15,33332,TQBR
IVAT,2024-07-31 00:00:00,236.9,238.95,235.95,238.0,9352817.2,39340,TQBR
IVAT,2024-08-01 00:00:00,238.2,245.4,238.0,242.75,64337009.75,265316,TQBR
IVAT,2024-08-02 00:00:00,243.1,245.4,240.0,242.2,16246033.7,67015,TQBR
