ticker,tradedate,open,high,low,close,value,volume,boardid
KAZTP,2014-06-09 00:00:00,54.0,54.0,54.0,54.0,5400.0,100,TQBR
KAZTP,2014-06-10 00:00:00,54.0,54.0,54.0,54.0,54000.0,1000,TQBR
KAZTP,2014-07-04 00:00:00,54.59,54.59,54.59,54.59,5459.0,100,TQBR
KAZTP,2014-07-16 00:00:00,54.0,55.0,54.0,55.0,570000.0,10400,TQBR
KAZTP,2014-08-14 00:00:00,42.111,50.0,42.111,50.0,309715.9,6700,TQBR
KAZTP,2014-08-15 00:00:00,50.0,50.0,46.0,49.0,61700.0,1300,TQBR
KAZTP,2014-08-21 00:00:00,51.0,51.0,51.0,51.0,15300.0,300,TQBR
KAZTP,2014-08-26 00:00:00,51.0,51.0,50.998,50.998,56098.2,1100,TQBR
KAZTP,2014-09-02 00:00:00,45.0,45.0,45.0,45.0,9000.0,200,TQBR
KAZTP,2014-09-04 00:00:00,50.999,50.999,50.998,50.998,15299.5,300,TQBR
KAZTP,2014-10-09 00:00:00,40.2,44.1,40.2,43.0,331110.0,7700,TQBR
KAZTP,2014-10-24 00:00:00,41.0,41.0,40.0,40.1,77380.0,1900,TQBR
KAZTP,2014-10-27 00:00:00,49.7,49.7,49.7,49.7,9940.0,200,TQBR
KAZTP,2014-11-05 00:00:00,50.0,50.0,50.0,50.0,5000.0,100,TQBR
KAZTP,2014-11-07 00:00:00,49.9,49.9,49.9,49.9,149700.0,3000,TQBR
KAZTP,2014-11-10 00:00:00,50.0,50.0,50.0,50.0,10000.0,200,TQBR
KAZTP,2014-11-11 00:00:00,49.0,49.0,49.0,49.0,147000.0,3000,TQBR
KAZTP,2014-11-13 00:00:00,49.9,49.9,49.9,49.9,4990.0,100,TQBR
KAZTP,2014-11-14 00:00:00,49.9,49.9,49.9,49.9,9980.0,200,TQBR
KAZTP,2014-11-17 00:00:00,50.0,50.0,50.0,50.0,140000.0,2800,TQBR
KAZTP,2014-11-18 00:00:00,50.0,50.0,50.0,50.0,235000.0,4700,TQBR
KAZTP,2014-11-20 00:00:00,51.0,51.0,51.0,51.0,25500.0,500,TQBR
KAZTP,2014-11-24 00:00:00,50.0,50.0,50.0,50.0,90000.0,1800,TQBR
KAZTP,2014-11-27 00:00:00,52.0,52.0,52.0,52.0,20800.0,400,TQBR
KAZTP,2014-12-08 00:00:00,53.4,53.4,53.4,53.4,5340.0,100,TQBR
KAZTP,2014-12-10 00:00:00,49.0,49.0,49.0,49.0,4900.0,100,TQBR
