ticker,tradedate,open,high,low,close,value,volume,boardid
KCHE,2014-06-09 00:00:00,0.05558,0.08495,0.05555,0.06013,3117.8,50000,TQBR
KCHE,2014-06-10 00:00:00,0.08397,0.084,0.08393,0.084,13434.7,160000,TQBR
KCHE,2014-06-11 00:00:00,0.086,0.086,0.06,0.06,9406.6,150000,TQBR
KCHE,2014-06-16 00:00:00,0.06131,0.08397,0.0562,0.08397,7566.4,120000,TQBR
KCHE,2014-06-17 00:00:00,0.06002,0.109,0.06002,0.07457,72797.4,1000000,TQBR
KCHE,2014-06-19 00:00:00,0.07457,0.07457,0.07457,0.07457,745.7,10000,TQBR
KCHE,2014-06-20 00:00:00,0.07466,0.10399,0.06202,0.07,6607.5,90000,TQBR
KCHE,2014-06-23 00:00:00,0.07398,0.07398,0.07398,0.07398,739.8,10000,TQBR
KCHE,2014-06-24 00:00:00,0.074,0.074,0.074,0.074,740.0,10000,TQBR
KCHE,2014-07-01 00:00:00,0.08198,0.08198,0.08198,0.08198,4099.0,50000,TQBR
KCHE,2014-07-09 00:00:00,0.06214,0.07479,0.058,0.07479,8558.1,140000,TQBR
KCHE,2014-07-24 00:00:00,0.05811,0.07463,0.0581,0.07463,2489.4,40000,TQBR
KCHE,2014-08-06 00:00:00,0.05816,0.05816,0.0535,0.0553,31612.4,570000,TQBR
KCHE,2014-08-07 00:00:00,0.065,0.065,0.065,0.065,17550.0,270000,TQBR
KCHE,2014-08-08 00:00:00,0.0536,0.06,0.05355,0.05355,14523.5,270000,TQBR
KCHE,2014-08-13 00:00:00,0.062,0.062,0.05373,0.05373,3926.7,70000,TQBR
KCHE,2014-08-14 00:00:00,0.06,0.06,0.06,0.06,1800.0,30000,TQBR
KCHE,2014-08-18 00:00:00,0.0684,0.0684,0.0684,0.0684,13680.0,200000,TQBR
KCHE,2014-08-20 00:00:00,0.06976,0.06976,0.06976,0.06976,697.6,10000,TQBR
KCHE,2014-08-28 00:00:00,0.06999,0.06999,0.06987,0.06987,4193.4,60000,TQBR
KCHE,2014-09-01 00:00:00,0.058,0.058,0.058,0.058,1160.0,20000,TQBR
KCHE,2014-09-03 00:00:00,0.05517,0.06896,0.05122,0.067,24373.1,410000,TQBR
KCHE,2014-09-05 00:00:00,0.06844,0.0685,0.06844,0.0685,3423.9,50000,TQBR
KCHE,2014-09-09 00:00:00,0.05121,0.06849,0.05121,0.06849,1197.0,20000,TQBR
KCHE,2014-09-18 00:00:00,0.05206,0.05206,0.05206,0.05206,520.6,10000,TQBR
KCHE,2014-09-19 00:00:00,0.068,0.07297,0.068,0.07297,1409.7,20000,TQBR
KCHE,2014-09-22 00:00:00,0.05322,0.05322,0.05322,0.05322,532.2,10000,TQBR
KCHE,2014-09-26 00:00:00,0.05438,0.06888,0.05438,0.06888,1232.6,20000,TQBR
KCHE,2014-10-06 00:00:00,0.0749,0.0749,0.0749,0.0749,749.0,10000,TQBR
KCHE,2014-10-07 00:00:00,0.075,0.075,0.075,0.075,750.0,10000,TQBR
KCHE,2014-10-08 00:00:00,0.0533,0.0779,0.0533,0.0779,1312.0,20000,TQBR
KCHE,2014-10-13 00:00:00,0.0778,0.0778,0.0778,0.0778,778.0,10000,TQBR
KCHE,2014-10-14 00:00:00,0.078,0.078,0.078,0.078,780.0,10000,TQBR
KCHE,2014-10-15 00:00:00,0.056,0.056,0.055,0.056,8325.0,150000,TQBR
KCHE,2014-10-16 00:00:00,0.06,0.06,0.06,0.06,600.0,10000,TQBR
KCHE,2014-10-20 00:00:00,0.0664,0.0664,0.0664,0.0664,664.0,10000,TQBR
KCHE,2014-10-22 00:00:00,0.07,0.07,0.07,0.07,4200.0,60000,TQBR
KCHE,2014-11-03 00:00:00,0.0679,0.0679,0.0679,0.0679,679.0,10000,TQBR
KCHE,2014-11-11 00:00:00,0.068,0.068,0.068,0.068,680.0,10000,TQBR
KCHE,2014-11-14 00:00:00,0.068,0.068,0.068,0.068,680.0,10000,TQBR
KCHE,2014-11-21 00:00:00,0.058,0.068,0.058,0.068,11455.0,170000,TQBR
KCHE,2014-12-04 00:00:00,0.058,0.058,0.058,0.058,580.0,10000,TQBR
KCHE,2014-12-05 00:00:00,0.0586,0.0586,0.058,0.058,6391.0,110000,TQBR
KCHE,2014-12-16 00:00:00,0.0577,0.0577,0.055,0.055,1127.0,20000,TQBR
KCHE,2014-12-19 00:00:00,0.0445,0.0668,0.0419,0.053,8379.0,170000,TQBR
KCHE,2014-12-22 00:00:00,0.0555,0.0555,0.0555,0.0555,1110.0,20000,TQBR
KCHE,2014-12-24 00:00:00,0.0659,0.0699,0.056,0.056,7434.0,110000,TQBR
