ticker,tradedate,open,high,low,close,value,volume,boardid
KGKC,2014-06-30 00:00:00,47.01,47.01,47.01,47.01,4701,100,TQBR
KGKC,2014-07-29 00:00:00,45.0,45.0,45.0,45.0,9900000,220000,TQBR
KGKC,2014-07-30 00:00:00,45.13,45.13,45.13,45.13,9928600,220000,TQBR
KGKC,2014-07-31 00:00:00,47.0,47.0,47.0,47.0,4700,100,TQBR
KGKC,2014-08-06 00:00:00,28.2,44.99,28.2,44.99,16729,500,TQBR
KGKC,2014-09-10 00:00:00,47.99,47.99,47.99,47.99,9598,200,TQBR
KGKC,2014-09-29 00:00:00,46.0,48.0,46.0,48.0,9400,200,TQBR
KGKC,2014-12-10 00:00:00,51.0,51.0,51.0,51.0,5100,100,TQBR
KGKC,2014-12-19 00:00:00,43.0,43.0,43.0,43.0,4300,100,TQBR
KGKC,2014-12-24 00:00:00,47.0,47.0,47.0,47.0,4700,100,TQBR
KGKC,2014-12-25 00:00:00,47.0,47.0,47.0,47.0,4700,100,TQBR
KGKC,2015-04-10 00:00:00,47.0,47.0,47.0,47.0,4700,100,TQBR
KGKC,2015-04-15 00:00:00,48.0,48.0,48.0,48.0,4800,100,TQBR
KGKC,2015-04-16 00:00:00,41.0,41.0,41.0,41.0,4100,100,TQBR
KGKC,2015-04-17 00:00:00,35.0,45.0,35.0,45.0,43550,1100,TQBR
KGKC,2015-04-20 00:00:00,40.0,45.0,40.0,41.0,61970,1500,TQBR
KGKC,2015-04-21 00:00:00,42.0,42.0,42.0,42.0,21000,500,TQBR
KGKC,2015-04-23 00:00:00,48.0,48.0,48.0,48.0,62400,1300,TQBR
KGKC,2015-04-27 00:00:00,49.0,49.0,49.0,49.0,4900,100,TQBR
KGKC,2015-05-12 00:00:00,50.2,50.2,50.1,50.1,150550,3000,TQBR
KGKC,2015-05-13 00:00:00,50.3,50.3,50.1,50.2,351450,7000,TQBR
KGKC,2015-05-14 00:00:00,50.2,50.2,50.2,50.2,60240,1200,TQBR
KGKC,2016-02-22 00:00:00,70.0,70.0,70.0,70.0,14000,200,TQBR
KGKC,2016-03-11 00:00:00,35.7,45.5,35.7,45.5,16300,400,TQBR
KGKC,2016-03-16 00:00:00,45.9,45.9,45.9,45.9,4590,100,TQBR
KGKC,2016-08-31 00:00:00,36.6,40.8,31.1,35.1,63890,1700,TQBR
KGKC,2016-09-01 00:00:00,35.6,35.6,28.5,28.5,27370,800,TQBR
KGKC,2016-09-02 00:00:00,35.9,35.9,30.2,30.7,9680,300,TQBR
KGKC,2016-09-05 00:00:00,35.9,35.9,35.9,35.9,3590,100,TQBR
KGKC,2016-09-06 00:00:00,33.5,36.4,33.5,36.4,6990,200,TQBR
KGKC,2016-09-07 00:00:00,39.2,39.2,39.2,39.2,3920,100,TQBR
KGKC,2016-09-08 00:00:00,35.5,36.2,35.5,36.2,7170,200,TQBR
KGKC,2016-09-13 00:00:00,36.8,36.8,32.5,32.5,17110,500,TQBR
KGKC,2016-09-14 00:00:00,30.7,45.4,26.3,45.4,97830,2700,TQBR
KGKC,2016-09-16 00:00:00,51.0,51.1,51.0,51.1,10210,200,TQBR
KGKC,2016-09-20 00:00:00,51.0,51.0,41.0,41.0,29600,600,TQBR
KGKC,2016-09-23 00:00:00,60.0,71.0,60.0,71.0,26090,400,TQBR
KGKC,2016-09-26 00:00:00,99.2,99.2,95.0,95.0,58680,600,TQBR
KGKC,2016-09-27 00:00:00,61.1,61.1,57.0,57.0,525470,9100,TQBR
KGKC,2016-09-28 00:00:00,57.0,57.0,52.0,52.0,53870,1000,TQBR
KGKC,2016-09-29 00:00:00,52.1,52.1,51.0,51.0,31060,600,TQBR
KGKC,2016-10-03 00:00:00,51.0,51.0,51.0,51.0,45900,900,TQBR
KGKC,2016-10-04 00:00:00,51.0,51.0,51.0,51.0,25500,500,TQBR
KGKC,2016-10-05 00:00:00,51.0,51.0,51.0,51.0,45900,900,TQBR
KGKC,2016-10-06 00:00:00,51.0,51.0,51.0,51.0,10200,200,TQBR
KGKC,2016-10-12 00:00:00,51.0,51.0,51.0,51.0,10200,200,TQBR
KGKC,2016-10-13 00:00:00,51.1,51.1,51.1,51.1,10220,200,TQBR
KGKC,2016-10-17 00:00:00,51.0,51.0,51.0,51.0,15300,300,TQBR
KGKC,2016-10-20 00:00:00,51.0,51.0,51.0,51.0,15300,300,TQBR
KGKC,2016-10-21 00:00:00,51.0,51.0,51.0,51.0,51000,1000,TQBR
KGKC,2016-10-25 00:00:00,53.9,53.9,53.9,53.9,10780,200,TQBR
KGKC,2016-10-26 00:00:00,51.0,51.0,51.0,51.0,10200,200,TQBR
KGKC,2016-10-28 00:00:00,51.0,51.0,51.0,51.0,10200,200,TQBR
KGKC,2016-11-01 00:00:00,56.9,57.0,56.9,57.0,62690,1100,TQBR
KGKC,2016-11-09 00:00:00,51.2,51.2,51.0,51.0,20440,400,TQBR
KGKC,2016-11-21 00:00:00,51.0,54.4,35.1,43.6,465580,9200,TQBR
KGKC,2016-11-22 00:00:00,51.1,51.1,51.0,51.0,10210,200,TQBR
KGKC,2016-11-23 00:00:00,51.0,51.0,51.0,51.0,20400,400,TQBR
KGKC,2016-11-28 00:00:00,51.1,51.1,51.0,51.0,209110,4100,TQBR
KGKC,2016-11-29 00:00:00,46.0,53.9,46.0,51.0,15090,300,TQBR
KGKC,2016-11-30 00:00:00,49.0,49.0,49.0,49.0,4900,100,TQBR
KGKC,2016-12-01 00:00:00,45.8,46.7,45.8,46.7,18410,400,TQBR
KGKC,2016-12-19 00:00:00,51.2,51.2,51.2,51.2,5120,100,TQBR
KGKC,2016-12-20 00:00:00,51.1,51.1,51.1,51.1,5110,100,TQBR
KGKC,2016-12-21 00:00:00,51.1,51.2,51.1,51.2,56310,1100,TQBR
KGKC,2016-12-22 00:00:00,51.2,51.2,51.2,51.2,81920,1600,TQBR
KGKC,2016-12-26 00:00:00,51.0,51.0,51.0,51.0,5100,100,TQBR
KGKC,2016-12-30 00:00:00,45.7,58.0,32.0,51.0,153030,3000,TQBR
KGKC,2017-01-03 00:00:00,51.0,51.0,51.0,51.0,5100,100,TQBR
KGKC,2017-01-30 00:00:00,51.0,51.0,51.0,51.0,5100,100,TQBR
KGKC,2017-02-22 00:00:00,51.0,51.0,51.0,51.0,5100,100,TQBR
KGKC,2017-02-28 00:00:00,56.9,71.0,56.9,65.0,19290,300,TQBR
KGKC,2017-03-01 00:00:00,70.0,73.8,70.0,73.8,35480,500,TQBR
KGKC,2017-03-02 00:00:00,51.5,51.5,51.5,51.5,5150,100,TQBR
KGKC,2017-03-22 00:00:00,51.1,51.1,51.1,51.1,5110,100,TQBR
KGKC,2017-03-27 00:00:00,51.0,51.0,51.0,51.0,30600,600,TQBR
KGKC,2017-04-03 00:00:00,56.6,56.6,56.6,56.6,5660,100,TQBR
KGKC,2017-04-20 00:00:00,56.8,56.8,56.8,56.8,5680,100,TQBR
KGKC,2017-04-21 00:00:00,51.0,51.0,51.0,51.0,5100,100,TQBR
KGKC,2017-04-24 00:00:00,51.0,51.0,51.0,51.0,5100,100,TQBR
KGKC,2017-04-25 00:00:00,51.0,51.0,51.0,51.0,5100,100,TQBR
KGKC,2017-04-26 00:00:00,56.9,56.9,56.9,56.9,5690,100,TQBR
KGKC,2017-05-11 00:00:00,51.0,51.0,51.0,51.0,10200,200,TQBR
KGKC,2017-05-29 00:00:00,51.0,51.0,51.0,51.0,306000,6000,TQBR
KGKC,2017-07-12 00:00:00,51.0,51.0,51.0,51.0,5100,100,TQBR
KGKC,2017-08-28 00:00:00,51.0,51.0,51.0,51.0,5100,100,TQBR
KGKC,2017-11-02 00:00:00,51.0,51.0,51.0,51.0,35700,700,TQBR
KGKC,2017-12-29 00:00:00,35.0,51.0,35.0,51.0,8600,200,TQBR
KGKC,2018-01-29 00:00:00,51.0,51.0,51.0,51.0,56100,1100,TQBR
KGKC,2018-03-28 00:00:00,51.0,51.0,51.0,51.0,20400,400,TQBR
KGKC,2018-06-08 00:00:00,51.0,51.0,51.0,51.0,5100,100,TQBR
KGKC,2019-01-04 00:00:00,32.0,37.0,32.0,37.0,6900,200,TQBR
KGKC,2019-01-08 00:00:00,51.0,51.0,51.0,51.0,5100,100,TQBR
KGKC,2019-01-15 00:00:00,51.0,51.0,51.0,51.0,5100,100,TQBR
KGKC,2019-06-25 00:00:00,51.0,51.0,51.0,51.0,5100,100,TQBR
KGKC,2019-09-02 00:00:00,51.0,52.0,51.0,52.0,1540,30,TQBR
KGKC,2019-09-05 00:00:00,65.0,72.0,65.0,72.0,12670,180,TQBR
KGKC,2019-09-06 00:00:00,100.0,100.0,72.0,76.0,599270,6740,TQBR
KGKC,2019-09-09 00:00:00,79.0,79.0,55.0,70.0,76550,1140,TQBR
KGKC,2019-09-10 00:00:00,76.0,97.0,71.0,76.0,401680,4790,TQBR
KGKC,2019-09-11 00:00:00,83.0,101.0,70.0,77.0,782990,10230,TQBR
KGKC,2019-09-12 00:00:00,72.0,76.0,70.0,75.0,283100,3880,TQBR
KGKC,2019-09-13 00:00:00,73.0,75.0,65.0,74.0,213020,2940,TQBR
KGKC,2019-09-16 00:00:00,72.0,74.0,62.0,70.0,53880,770,TQBR
KGKC,2019-09-17 00:00:00,69.0,71.0,42.0,65.0,75530,1200,TQBR
KGKC,2019-09-18 00:00:00,63.0,79.0,62.0,67.0,865260,12430,TQBR
KGKC,2019-09-19 00:00:00,67.0,71.0,66.0,68.0,101150,1450,TQBR
