ticker,tradedate,open,high,low,close,value,volume,boardid
KLSB,2014-06-24 00:00:00,5.254,5.254,5.254,5.254,525.4,100,TQBR
KLSB,2014-07-01 00:00:00,3.2,4.089,3.2,4.089,1048.9,300,TQBR
KLSB,2014-07-08 00:00:00,5.0,5.0,5.0,5.0,500.0,100,TQBR
KLSB,2014-07-22 00:00:00,4.5,4.5,4.5,4.5,450.0,100,TQBR
KLSB,2014-07-28 00:00:00,4.014,4.5,4.001,4.5,6054.7,1500,TQBR
KLSB,2014-07-29 00:00:00,4.5,4.987,4.5,4.987,948.7,200,TQBR
KLSB,2014-08-06 00:00:00,4.542,4.542,4.542,4.542,454.2,100,TQBR
KLSB,2014-08-11 00:00:00,4.001,4.001,4.001,4.001,400.1,100,TQBR
KLSB,2014-08-14 00:00:00,3.723,3.723,3.723,3.723,372.3,100,TQBR
KLSB,2014-08-19 00:00:00,4.839,5.63,4.839,5.63,36382.6,6600,TQBR
KLSB,2014-08-28 00:00:00,5.1,5.16,5.1,5.16,1026.0,200,TQBR
KLSB,2014-09-01 00:00:00,4.389,4.758,3.723,4.758,18348.4,4400,TQBR
KLSB,2014-09-02 00:00:00,4.062,4.569,3.523,4.569,17989.1,4700,TQBR
KLSB,2014-09-03 00:00:00,4.548,4.56,4.548,4.56,2733.7,600,TQBR
KLSB,2014-09-09 00:00:00,3.877,4.6,3.877,4.6,5296.1,1300,TQBR
KLSB,2014-09-16 00:00:00,4.0,4.5,4.0,4.5,1250.0,300,TQBR
KLSB,2014-09-17 00:00:00,3.9,3.905,3.9,3.905,2732.5,700,TQBR
KLSB,2014-09-18 00:00:00,4.146,4.146,4.146,4.146,829.2,200,TQBR
KLSB,2014-09-26 00:00:00,4.26,4.26,4.26,4.26,426.0,100,TQBR
KLSB,2014-10-27 00:00:00,3.87,3.87,3.65,3.65,3690.0,1000,TQBR
KLSB,2014-10-31 00:00:00,4.28,4.3,4.28,4.3,1287.0,300,TQBR
KLSB,2014-11-03 00:00:00,4.89,4.99,4.89,4.99,988.0,200,TQBR
KLSB,2014-11-10 00:00:00,4.28,4.28,4.28,4.28,428.0,100,TQBR
KLSB,2014-11-13 00:00:00,4.74,4.74,4.73,4.74,6161.0,1300,TQBR
KLSB,2014-11-21 00:00:00,4.05,4.12,4.04,4.12,1626.0,400,TQBR
KLSB,2014-11-24 00:00:00,4.1,4.12,4.1,4.12,6566.0,1600,TQBR
KLSB,2014-11-25 00:00:00,3.74,4.36,2.89,4.03,36414.0,10400,TQBR
KLSB,2014-11-27 00:00:00,4.27,4.27,4.27,4.27,854.0,200,TQBR
KLSB,2014-12-12 00:00:00,3.05,3.99,3.02,3.99,6757.0,2000,TQBR
KLSB,2014-12-17 00:00:00,3.4,4.5,3.38,4.5,9573.0,2300,TQBR
KLSB,2014-12-30 00:00:00,3.26,3.99,3.2,3.99,9083.0,2800,TQBR
KLSB,2015-01-05 00:00:00,3.96,3.99,3.96,3.99,1990.0,500,TQBR
KLSB,2015-01-06 00:00:00,3.99,3.99,3.99,3.99,1197.0,300,TQBR
KLSB,2015-01-08 00:00:00,3.99,4.98,3.99,4.24,13072.0,2700,TQBR
KLSB,2015-01-28 00:00:00,3.75,3.78,3.75,3.78,753.0,200,TQBR
KLSB,2015-02-10 00:00:00,4.09,4.14,4.09,4.14,1234.0,300,TQBR
KLSB,2015-02-12 00:00:00,4.58,4.9,4.28,4.28,2294.0,500,TQBR
KLSB,2015-02-16 00:00:00,4.78,4.78,4.78,4.78,478.0,100,TQBR
KLSB,2015-03-06 00:00:00,4.85,4.87,4.85,4.87,1459.0,300,TQBR
KLSB,2015-04-06 00:00:00,4.26,4.26,4.25,4.25,1701.0,400,TQBR
KLSB,2015-04-08 00:00:00,4.44,4.44,4.44,4.44,444.0,100,TQBR
KLSB,2015-04-10 00:00:00,5.0,5.0,5.0,5.0,500.0,100,TQBR
KLSB,2015-04-13 00:00:00,4.99,5.25,4.99,5.25,1024.0,200,TQBR
KLSB,2015-04-14 00:00:00,5.0,5.04,5.0,5.04,3524.0,700,TQBR
KLSB,2015-04-15 00:00:00,4.23,5.3,4.23,5.3,953.0,200,TQBR
KLSB,2015-04-16 00:00:00,4.16,4.16,4.16,4.16,416.0,100,TQBR
KLSB,2015-04-17 00:00:00,4.58,4.58,4.57,4.58,4121.0,900,TQBR
KLSB,2015-04-20 00:00:00,4.98,4.98,4.98,4.98,498.0,100,TQBR
KLSB,2015-05-18 00:00:00,4.51,4.87,4.5,4.87,5922.0,1300,TQBR
KLSB,2015-06-01 00:00:00,4.59,4.59,4.59,4.59,459.0,100,TQBR
KLSB,2015-06-04 00:00:00,4.56,4.56,4.56,4.56,456.0,100,TQBR
KLSB,2015-06-16 00:00:00,4.51,4.51,4.51,4.51,451.0,100,TQBR
KLSB,2015-06-17 00:00:00,4.5,4.5,2.79,3.79,33371.0,9200,TQBR
KLSB,2015-06-18 00:00:00,4.2,4.2,4.2,4.2,420.0,100,TQBR
KLSB,2015-06-19 00:00:00,4.32,4.32,4.32,4.32,432.0,100,TQBR
KLSB,2015-06-22 00:00:00,4.49,4.49,4.4,4.4,889.0,200,TQBR
KLSB,2015-06-24 00:00:00,4.15,4.45,3.74,4.45,1609.0,400,TQBR
KLSB,2015-06-25 00:00:00,4.04,4.4,4.04,4.4,844.0,200,TQBR
KLSB,2015-06-30 00:00:00,4.45,4.46,4.45,4.46,2229.0,500,TQBR
KLSB,2015-07-06 00:00:00,4.46,4.46,4.46,4.46,2230.0,500,TQBR
KLSB,2015-07-07 00:00:00,4.46,4.46,4.46,4.46,2230.0,500,TQBR
KLSB,2015-07-10 00:00:00,4.46,4.46,4.46,4.46,3568.0,800,TQBR
KLSB,2015-07-14 00:00:00,4.75,4.75,4.75,4.75,2850.0,600,TQBR
KLSB,2015-07-15 00:00:00,4.7,4.7,4.7,4.7,4700.0,1000,TQBR
KLSB,2015-07-20 00:00:00,4.59,4.59,4.59,4.59,918.0,200,TQBR
KLSB,2015-07-21 00:00:00,4.95,4.96,4.95,4.96,1982.0,400,TQBR
KLSB,2015-07-22 00:00:00,4.95,4.96,4.71,4.71,1462.0,300,TQBR
KLSB,2015-07-24 00:00:00,4.73,4.74,4.73,4.74,6623.0,1400,TQBR
KLSB,2015-07-27 00:00:00,4.77,4.77,4.77,4.77,954.0,200,TQBR
KLSB,2015-08-03 00:00:00,4.9,4.9,4.9,4.9,490.0,100,TQBR
KLSB,2015-08-13 00:00:00,5.09,5.12,5.0,5.0,2021.0,400,TQBR
KLSB,2015-08-14 00:00:00,5.0,5.0,5.0,5.0,500.0,100,TQBR
KLSB,2015-08-18 00:00:00,5.39,6.0,5.39,6.0,11277.0,1900,TQBR
KLSB,2015-08-19 00:00:00,5.3,5.3,5.3,5.3,530.0,100,TQBR
KLSB,2015-08-20 00:00:00,5.44,5.99,3.51,4.94,26498.0,5000,TQBR
KLSB,2015-08-21 00:00:00,4.54,5.3,4.5,5.1,6889.0,1400,TQBR
KLSB,2015-08-24 00:00:00,5.1,5.99,5.1,5.99,5105.0,900,TQBR
KLSB,2015-08-25 00:00:00,5.98,5.98,5.98,5.98,598.0,100,TQBR
KLSB,2015-08-26 00:00:00,5.23,8.36,5.23,5.95,116383.0,17400,TQBR
KLSB,2015-08-27 00:00:00,7.99,8.32,7.0,8.32,102399.0,12500,TQBR
KLSB,2015-08-28 00:00:00,11.5,11.5,8.4,9.47,11117.0,1200,TQBR
KLSB,2015-08-31 00:00:00,7.0,7.0,7.0,7.0,700.0,100,TQBR
KLSB,2015-09-02 00:00:00,7.5,8.99,6.0,7.85,15432.0,1900,TQBR
KLSB,2015-09-03 00:00:00,10.72,10.98,7.51,9.01,43761.0,4300,TQBR
KLSB,2015-09-04 00:00:00,11.49,12.4,11.0,12.4,41572.0,3500,TQBR
KLSB,2015-09-07 00:00:00,15.24,15.26,9.0,13.5,48216.0,3900,TQBR
KLSB,2015-09-10 00:00:00,13.37,13.37,13.37,13.37,2674.0,200,TQBR
KLSB,2015-09-16 00:00:00,9.01,13.94,9.01,13.94,18386.0,1400,TQBR
KLSB,2015-09-25 00:00:00,12.59,12.59,12.4,12.4,4979.0,400,TQBR
KLSB,2015-09-29 00:00:00,11.8,16.44,11.8,16.37,170880.0,12000,TQBR
KLSB,2015-09-30 00:00:00,13.95,17.29,13.95,15.0,311926.0,20100,TQBR
KLSB,2015-10-01 00:00:00,14.0,14.0,11.11,11.5,28397.0,2400,TQBR
KLSB,2015-10-06 00:00:00,12.5,14.0,12.5,13.95,27243.0,2000,TQBR
KLSB,2015-10-07 00:00:00,16.0,17.53,12.1,17.53,402760.0,26900,TQBR
KLSB,2015-10-08 00:00:00,16.22,21.51,14.01,21.2,1084254.0,54400,TQBR
KLSB,2015-10-09 00:00:00,27.0,27.78,17.45,26.99,360616.0,13600,TQBR
KLSB,2015-10-13 00:00:00,27.94,27.94,21.0,27.94,54960.0,2100,TQBR
KLSB,2015-10-14 00:00:00,26.0,28.0,26.0,28.0,88553.0,3200,TQBR
KLSB,2015-10-16 00:00:00,26.43,27.0,25.0,27.0,215819.0,8200,TQBR
KLSB,2015-10-19 00:00:00,26.99,27.4,26.99,27.4,67796.0,2500,TQBR
KLSB,2015-10-20 00:00:00,19.0,27.8,19.0,27.0,87268.0,3200,TQBR
KLSB,2015-10-21 00:00:00,21.03,26.5,21.03,22.34,19487.0,800,TQBR
KLSB,2015-10-22 00:00:00,22.61,27.5,22.09,26.39,116335.0,4400,TQBR
KLSB,2015-10-23 00:00:00,27.0,27.0,23.08,23.27,11953.0,500,TQBR
KLSB,2015-10-26 00:00:00,27.0,29.91,25.0,29.91,348788.0,12700,TQBR
KLSB,2015-10-27 00:00:00,25.01,27.17,25.01,27.17,75789.0,2900,TQBR
KLSB,2015-10-28 00:00:00,25.28,25.32,25.28,25.28,10120.0,400,TQBR
KLSB,2015-10-29 00:00:00,27.0,27.0,27.0,27.0,2700.0,100,TQBR
KLSB,2015-11-02 00:00:00,24.9,25.15,24.9,25.0,112520.0,4500,TQBR
KLSB,2015-11-03 00:00:00,26.55,28.05,25.05,27.0,267285.0,9900,TQBR
KLSB,2015-11-05 00:00:00,27.1,27.85,25.05,27.85,73605.0,2700,TQBR
KLSB,2015-11-06 00:00:00,27.85,27.95,24.7,27.85,74910.0,2800,TQBR
KLSB,2015-11-09 00:00:00,27.55,27.75,24.65,27.75,60980.0,2300,TQBR
KLSB,2015-11-10 00:00:00,27.75,27.75,23.3,26.75,10115.0,400,TQBR
KLSB,2015-11-11 00:00:00,23.15,26.6,23.15,24.3,17300.0,700,TQBR
KLSB,2015-11-12 00:00:00,25.45,25.45,24.15,25.35,47405.0,1900,TQBR
KLSB,2015-11-13 00:00:00,24.7,24.7,23.15,23.15,41025.0,1700,TQBR
KLSB,2015-11-16 00:00:00,17.75,25.15,17.75,20.05,181410.0,8800,TQBR
KLSB,2015-11-17 00:00:00,21.8,21.9,21.8,21.9,8735.0,400,TQBR
KLSB,2015-11-18 00:00:00,19.35,19.35,19.2,19.2,3855.0,200,TQBR
KLSB,2015-11-19 00:00:00,21.9,21.9,21.9,21.9,2190.0,100,TQBR
KLSB,2015-11-20 00:00:00,18.35,21.0,18.2,21.0,9685.0,500,TQBR
KLSB,2015-11-23 00:00:00,25.5,25.85,25.5,25.85,5135.0,200,TQBR
KLSB,2015-11-24 00:00:00,24.85,27.9,24.85,27.45,147225.0,5600,TQBR
KLSB,2015-11-27 00:00:00,16.65,27.4,16.65,22.45,47150.0,2500,TQBR
KLSB,2015-11-30 00:00:00,28.8,28.8,23.0,23.0,59445.0,2100,TQBR
KLSB,2015-12-01 00:00:00,26.9,32.15,24.2,32.0,1020875.0,34400,TQBR
KLSB,2015-12-02 00:00:00,27.2,39.15,27.2,39.1,1226405.0,37100,TQBR
KLSB,2015-12-03 00:00:00,53.95,53.95,34.05,49.5,42300.0,900,TQBR
KLSB,2015-12-04 00:00:00,34.1,38.4,29.8,33.9,256195.0,7500,TQBR
KLSB,2015-12-07 00:00:00,35.0,35.0,28.2,30.3,52450.0,1700,TQBR
KLSB,2015-12-08 00:00:00,28.9,31.2,26.15,31.05,73995.0,2500,TQBR
KLSB,2015-12-09 00:00:00,31.3,31.3,23.35,27.25,135240.0,5100,TQBR
KLSB,2015-12-10 00:00:00,26.1,29.95,25.85,28.9,52325.0,1800,TQBR
KLSB,2015-12-11 00:00:00,30.0,37.0,30.0,37.0,179790.0,5200,TQBR
KLSB,2015-12-14 00:00:00,34.7,34.7,27.8,30.3,124525.0,4200,TQBR
KLSB,2015-12-15 00:00:00,28.4,32.25,28.4,32.25,9165.0,300,TQBR
KLSB,2015-12-16 00:00:00,25.75,32.7,25.75,32.7,20400.0,700,TQBR
KLSB,2015-12-17 00:00:00,32.6,38.0,32.6,38.0,265195.0,7700,TQBR
KLSB,2015-12-18 00:00:00,34.7,45.0,33.15,45.0,439915.0,10700,TQBR
KLSB,2015-12-21 00:00:00,39.0,48.95,37.2,41.05,419420.0,9700,TQBR
KLSB,2015-12-22 00:00:00,43.3,48.5,43.3,48.35,500955.0,10700,TQBR
KLSB,2015-12-23 00:00:00,44.75,66.0,44.0,60.05,1098150.0,20700,TQBR
KLSB,2015-12-24 00:00:00,56.0,84.0,55.0,70.5,1234500.0,17900,TQBR
KLSB,2015-12-25 00:00:00,77.0,77.0,66.25,76.35,83915.0,1200,TQBR
KLSB,2015-12-28 00:00:00,67.25,82.4,45.65,65.7,2994315.0,50700,TQBR
KLSB,2015-12-29 00:00:00,64.0,65.55,50.15,50.3,677905.0,12700,TQBR
KLSB,2015-12-30 00:00:00,52.8,52.8,48.65,52.8,241740.0,4800,TQBR
KLSB,2016-01-04 00:00:00,48.7,49.0,48.65,49.0,19520.0,400,TQBR
KLSB,2016-01-05 00:00:00,48.85,48.85,44.0,44.0,43420.0,900,TQBR
KLSB,2016-01-06 00:00:00,42.1,43.0,40.5,40.5,41785.0,1000,TQBR
KLSB,2016-01-11 00:00:00,52.05,52.05,37.35,41.9,51400.0,1200,TQBR
KLSB,2016-01-12 00:00:00,43.9,50.05,43.9,49.95,225725.0,4600,TQBR
