ticker,tradedate,open,high,low,close,value,volume,boardid
KLVZ,2024-02-22 00:00:00,9.0,9.0,7.65,8.1,229173926.4,27831000,TQBR
KLVZ,2024-02-26 00:00:00,8.2,8.35,7.65,7.683,129810256.4,16546400,TQBR
KLVZ,2024-02-27 00:00:00,7.68,7.713,7.257,7.39,118829278.8,15955500,TQBR
KLVZ,2024-02-28 00:00:00,7.4,7.66,7.39,7.515,54744770.8,7297700,TQBR
KLVZ,2024-02-29 00:00:00,7.515,8.6,7.41,8.484,284678090.7,34725600,TQBR
KLVZ,2024-03-01 00:00:00,8.5,8.888,8.088,8.433,146578927.7,17195600,TQBR
KLVZ,2024-03-04 00:00:00,8.451,8.7,8.41,8.643,56122380.1,6587300,TQBR
KLVZ,2024-03-05 00:00:00,8.643,8.73,8.18,8.3,38021091.2,4508700,TQBR
KLVZ,2024-03-06 00:00:00,8.396,8.485,8.192,8.23,26247622.1,3168400,TQBR
KLVZ,2024-03-07 00:00:00,8.24,8.665,8.15,8.506,35912801.7,4272000,TQBR
KLVZ,2024-03-11 00:00:00,8.41,8.617,8.331,8.476,22503420.9,2668600,TQBR
KLVZ,2024-03-12 00:00:00,8.479,8.588,8.33,8.5,23230211.2,2747800,TQBR
KLVZ,2024-03-13 00:00:00,8.495,8.495,8.263,8.449,19483345.1,2326700,TQBR
KLVZ,2024-03-14 00:00:00,8.52,8.52,8.264,8.454,14387818.7,1714500,TQBR
KLVZ,2024-03-15 00:00:00,8.317,8.479,8.165,8.479,10763617.8,1280500,TQBR
KLVZ,2024-03-18 00:00:00,8.479,8.479,8.29,8.415,17370365.4,2070200,TQBR
KLVZ,2024-03-19 00:00:00,8.468,8.468,8.362,8.386,16735131.8,1989800,TQBR
KLVZ,2024-03-20 00:00:00,8.397,8.4,8.221,8.37,19254131.4,2311300,TQBR
KLVZ,2024-03-21 00:00:00,8.37,8.459,8.28,8.445,17305970.1,2067500,TQBR
KLVZ,2024-03-22 00:00:00,8.41,8.462,8.236,8.415,25841269.5,3098300,TQBR
KLVZ,2024-03-25 00:00:00,8.4,8.4,8.26,8.285,5936379.6,715200,TQBR
KLVZ,2024-03-26 00:00:00,8.287,8.3,8.111,8.128,14349003.7,1748300,TQBR
KLVZ,2024-03-27 00:00:00,8.167,8.167,7.889,7.931,18994533.5,2379700,TQBR
KLVZ,2024-03-28 00:00:00,7.95,8.23,7.94,7.991,16375600.8,2028500,TQBR
KLVZ,2024-03-29 00:00:00,8.001,8.07,7.969,8.012,7805437.5,974700,TQBR
KLVZ,2024-04-01 00:00:00,8.03,8.4,7.9,8.131,22985724.3,2819400,TQBR
KLVZ,2024-04-02 00:00:00,8.131,8.199,7.91,8.001,9587010.0,1194400,TQBR
KLVZ,2024-04-03 00:00:00,8.001,8.105,8.0,8.0,6197344.8,770700,TQBR
KLVZ,2024-04-04 00:00:00,8.001,8.069,8.001,8.046,4891108.6,608100,TQBR
KLVZ,2024-04-05 00:00:00,8.04,8.139,8.006,8.048,4650707.1,576000,TQBR
KLVZ,2024-04-08 00:00:00,8.048,8.131,8.0,8.015,6899325.7,855400,TQBR
KLVZ,2024-04-09 00:00:00,8.025,8.18,8.025,8.056,7092654.6,875700,TQBR
KLVZ,2024-04-10 00:00:00,8.057,8.074,8.001,8.049,4755522.0,591800,TQBR
KLVZ,2024-04-11 00:00:00,8.049,8.071,8.0,8.041,4912482.0,612100,TQBR
KLVZ,2024-04-12 00:00:00,8.043,8.043,7.991,8.001,5884750.2,734800,TQBR
KLVZ,2024-04-15 00:00:00,8.03,8.124,7.985,8.007,9908294.9,1234800,TQBR
KLVZ,2024-04-16 00:00:00,8.1,8.186,7.95,8.04,38552529.2,4769800,TQBR
KLVZ,2024-04-17 00:00:00,8.091,8.186,8.061,8.15,14411235.1,1768600,TQBR
KLVZ,2024-04-18 00:00:00,8.158,8.276,8.073,8.267,16628788.7,2030800,TQBR
KLVZ,2024-04-19 00:00:00,8.269,8.325,8.15,8.186,12774093.4,1550500,TQBR
KLVZ,2024-04-22 00:00:00,8.19,8.279,8.073,8.12,13284007.5,1631200,TQBR
KLVZ,2024-04-23 00:00:00,8.12,8.155,8.043,8.093,6614836.0,817600,TQBR
KLVZ,2024-04-24 00:00:00,8.14,8.165,8.0,8.018,8215264.1,1021100,TQBR
KLVZ,2024-04-25 00:00:00,8.019,8.064,7.997,8.037,7619364.9,950400,TQBR
KLVZ,2024-04-26 00:00:00,8.038,8.097,8.005,8.041,8286843.1,1029900,TQBR
KLVZ,2024-04-27 00:00:00,8.045,8.076,8.0,8.027,5454941.3,679000,TQBR
KLVZ,2024-04-29 00:00:00,8.028,8.089,7.981,8.051,4932750.5,615500,TQBR
KLVZ,2024-04-30 00:00:00,8.08,8.086,8.001,8.023,3057344.6,380800,TQBR
KLVZ,2024-05-02 00:00:00,8.03,8.042,7.916,7.972,6115367.8,764500,TQBR
KLVZ,2024-05-03 00:00:00,7.974,8.064,7.912,7.964,4001329.6,502500,TQBR
KLVZ,2024-05-06 00:00:00,7.95,7.95,7.68,7.738,14681516.4,1882000,TQBR
KLVZ,2024-05-07 00:00:00,7.752,7.93,7.654,7.818,8318688.2,1071200,TQBR
KLVZ,2024-05-08 00:00:00,7.84,7.84,7.7,7.726,5674277.0,733500,TQBR
KLVZ,2024-05-10 00:00:00,7.726,7.802,7.706,7.734,1874732.8,242400,TQBR
KLVZ,2024-05-13 00:00:00,7.738,7.836,7.726,7.766,4953715.0,637100,TQBR
KLVZ,2024-05-14 00:00:00,7.808,7.826,7.602,7.688,5646500.6,731300,TQBR
KLVZ,2024-05-15 00:00:00,7.688,7.734,7.53,7.576,7437685.6,974900,TQBR
KLVZ,2024-05-16 00:00:00,7.624,7.63,7.502,7.55,4909895.6,646700,TQBR
KLVZ,2024-05-17 00:00:00,7.55,7.588,7.49,7.49,6428830.2,855700,TQBR
KLVZ,2024-05-20 00:00:00,7.5,7.512,7.384,7.406,12302286.0,1653300,TQBR
KLVZ,2024-05-21 00:00:00,7.41,7.438,7.06,7.204,10269441.2,1408600,TQBR
KLVZ,2024-05-22 00:00:00,7.204,7.238,7.15,7.232,5052814.2,699500,TQBR
KLVZ,2024-05-23 00:00:00,7.232,7.328,7.15,7.224,4125673.0,572600,TQBR
KLVZ,2024-05-24 00:00:00,7.23,7.234,7.118,7.154,3183158.2,443300,TQBR
KLVZ,2024-05-27 00:00:00,7.32,7.32,7.0,7.014,7673164.4,1081300,TQBR
KLVZ,2024-05-28 00:00:00,7.15,7.15,6.688,6.794,14466598.6,2120300,TQBR
KLVZ,2024-05-29 00:00:00,6.796,6.818,6.55,6.75,6622328.8,990500,TQBR
KLVZ,2024-05-30 00:00:00,6.75,6.95,6.652,6.778,6772020.6,993100,TQBR
KLVZ,2024-05-31 00:00:00,6.608,6.718,6.45,6.45,7218513.8,1100200,TQBR
KLVZ,2024-06-03 00:00:00,6.45,6.652,5.852,6.278,9921449.8,1602100,TQBR
KLVZ,2024-06-04 00:00:00,6.28,6.56,6.216,6.55,6520245.8,1020100,TQBR
KLVZ,2024-06-05 00:00:00,6.596,6.842,6.56,6.752,3954578.2,585100,TQBR
KLVZ,2024-06-06 00:00:00,6.754,6.8,6.3,6.572,6102747.8,931200,TQBR
KLVZ,2024-06-07 00:00:00,6.572,7.09,6.328,6.756,8192461.0,1217800,TQBR
KLVZ,2024-06-10 00:00:00,6.95,6.96,6.75,6.756,1459362.4,213100,TQBR
KLVZ,2024-06-11 00:00:00,6.872,6.918,6.498,6.536,3884667.8,587200,TQBR
KLVZ,2024-06-13 00:00:00,6.436,6.696,6.02,6.412,9256228.2,1460500,TQBR
KLVZ,2024-06-14 00:00:00,6.414,6.498,6.382,6.402,1447492.8,225600,TQBR
KLVZ,2024-06-17 00:00:00,6.402,6.496,6.384,6.4,1633268.4,253200,TQBR
KLVZ,2024-06-18 00:00:00,6.44,6.494,6.27,6.402,6989040.2,1098000,TQBR
KLVZ,2024-06-19 00:00:00,6.402,6.46,6.272,6.382,2807724.4,443400,TQBR
KLVZ,2024-06-20 00:00:00,6.382,6.428,6.316,6.37,3029968.4,473900,TQBR
KLVZ,2024-06-21 00:00:00,6.37,6.73,6.332,6.668,4271602.6,659000,TQBR
KLVZ,2024-06-24 00:00:00,7.22,8.062,6.936,7.78,187255543.2,24779200,TQBR
KLVZ,2024-06-25 00:00:00,7.84,8.05,7.014,7.102,97004622.8,13198600,TQBR
KLVZ,2024-06-26 00:00:00,7.2,7.4,6.902,6.95,38795859.0,5405200,TQBR
KLVZ,2024-06-27 00:00:00,7.05,7.138,6.746,6.888,21279684.8,3076600,TQBR
KLVZ,2024-06-28 00:00:00,6.9,7.09,6.73,6.77,5471267.0,795700,TQBR
KLVZ,2024-07-01 00:00:00,6.814,6.888,6.666,6.776,7908636.2,1166800,TQBR
KLVZ,2024-07-02 00:00:00,6.8,7.25,6.8,6.944,31235000.2,4430000,TQBR
KLVZ,2024-07-03 00:00:00,6.944,7.2,6.802,6.878,19279455.8,2761000,TQBR
KLVZ,2024-07-04 00:00:00,6.878,6.93,6.52,6.726,11370608.2,1690000,TQBR
KLVZ,2024-07-05 00:00:00,6.72,6.74,6.4,6.506,7903428.0,1208400,TQBR
KLVZ,2024-07-08 00:00:00,6.508,6.52,6.4,6.426,2810492.6,435600,TQBR
KLVZ,2024-07-09 00:00:00,6.48,6.48,6.16,6.16,6679776.6,1067800,TQBR
KLVZ,2024-07-10 00:00:00,6.162,6.162,6.032,6.048,5039405.0,829600,TQBR
KLVZ,2024-07-11 00:00:00,6.048,6.34,6.0,6.31,5839301.4,951000,TQBR
KLVZ,2024-07-12 00:00:00,6.302,6.368,6.118,6.252,2292578.4,368000,TQBR
KLVZ,2024-07-15 00:00:00,6.252,6.256,6.04,6.128,2894143.8,474300,TQBR
KLVZ,2024-07-16 00:00:00,6.2,6.2,5.912,6.0,6567338.6,1097100,TQBR
KLVZ,2024-07-17 00:00:00,6.028,6.15,5.9,6.028,5201928.2,859700,TQBR
KLVZ,2024-07-18 00:00:00,6.036,6.12,6.022,6.116,2868938.8,470700,TQBR
KLVZ,2024-07-19 00:00:00,6.13,6.628,6.118,6.3,7676242.4,1211400,TQBR
KLVZ,2024-07-22 00:00:00,6.3,6.5,6.116,6.29,7250714.6,1149100,TQBR
KLVZ,2024-07-23 00:00:00,6.32,6.346,6.136,6.226,7679989.6,1236000,TQBR
KLVZ,2024-07-24 00:00:00,6.25,6.46,6.226,6.36,7706472.2,1214100,TQBR
KLVZ,2024-07-25 00:00:00,6.358,6.664,6.264,6.368,10045620.4,1561200,TQBR
KLVZ,2024-07-26 00:00:00,6.356,6.438,6.202,6.23,6047587.4,953800,TQBR
KLVZ,2024-07-29 00:00:00,6.23,6.308,6.032,6.106,3170163.0,516800,TQBR
KLVZ,2024-07-30 00:00:00,6.106,6.252,6.104,6.164,2119543.2,343400,TQBR
KLVZ,2024-07-31 00:00:00,6.168,6.302,6.166,6.288,1898568.4,304000,TQBR
KLVZ,2024-08-01 00:00:00,6.254,6.36,6.254,6.272,1656315.0,262900,TQBR
KLVZ,2024-08-02 00:00:00,6.262,6.294,6.23,6.258,1660736.0,265300,TQBR
KLVZ,2024-08-05 00:00:00,6.254,6.254,6.0,6.054,5079995.8,839200,TQBR
KLVZ,2024-08-06 00:00:00,6.052,6.118,6.052,6.118,2123579.6,348900,TQBR
KLVZ,2024-08-07 00:00:00,6.116,6.118,5.898,6.08,6663809.0,1108400,TQBR
KLVZ,2024-08-08 00:00:00,6.024,6.086,6.014,6.02,2080391.8,344500,TQBR
KLVZ,2024-08-09 00:00:00,6.042,6.044,6.0,6.032,1161089.6,192800,TQBR
KLVZ,2024-08-12 00:00:00,6.03,6.03,5.9,5.978,2783919.0,466900,TQBR
KLVZ,2024-08-13 00:00:00,5.978,6.14,5.96,6.052,5104917.0,844200,TQBR
KLVZ,2024-08-14 00:00:00,6.076,6.108,6.012,6.018,2173235.4,358900,TQBR
KLVZ,2024-08-15 00:00:00,6.018,6.074,5.992,6.036,2112441.4,350800,TQBR
KLVZ,2024-08-16 00:00:00,6.076,6.076,6.0,6.006,1000229.2,166200,TQBR
KLVZ,2024-08-19 00:00:00,6.01,6.012,5.928,5.952,2130423.4,356900,TQBR
KLVZ,2024-08-20 00:00:00,5.932,5.948,5.716,5.81,6009351.8,1026500,TQBR
KLVZ,2024-08-21 00:00:00,5.8,5.838,5.672,5.724,4175881.8,731000,TQBR
KLVZ,2024-08-22 00:00:00,5.738,5.738,5.302,5.34,11287666.2,2061800,TQBR
