ticker,tradedate,open,high,low,close,value,volume,boardid
KMAZ,2014-06-09 00:00:00,37.99,38.0,37.24,37.24,616220.0,16400,TQBR
KMAZ,2014-06-10 00:00:00,37.29,37.37,36.97,37.06,427535.0,11500,TQBR
KMAZ,2014-06-11 00:00:00,37.39,37.64,37.0,37.0,470213.0,12600,TQBR
KMAZ,2014-06-16 00:00:00,37.4,37.4,36.19,36.2,1574286.0,42700,TQBR
KMAZ,2014-06-17 00:00:00,37.0,37.0,36.1,36.4,517205.0,14200,TQBR
KMAZ,2014-06-18 00:00:00,37.37,37.37,36.33,36.52,424037.0,11600,TQBR
KMAZ,2014-06-19 00:00:00,36.64,37.21,36.52,37.05,602801.0,16300,TQBR
KMAZ,2014-06-20 00:00:00,36.94,37.2,36.94,37.09,371073.0,10000,TQBR
KMAZ,2014-06-23 00:00:00,36.93,36.95,36.76,36.91,228358.0,6200,TQBR
KMAZ,2014-06-24 00:00:00,36.63,37.69,36.53,37.58,870684.0,23300,TQBR
KMAZ,2014-06-25 00:00:00,37.75,38.57,37.02,37.03,624084.0,16600,TQBR
KMAZ,2014-06-26 00:00:00,37.08,37.76,36.9,37.71,321229.0,8600,TQBR
KMAZ,2014-06-27 00:00:00,37.89,38.34,37.21,37.26,277710.0,7400,TQBR
KMAZ,2014-06-30 00:00:00,38.24,38.25,37.34,37.48,161641.0,4300,TQBR
KMAZ,2014-07-01 00:00:00,37.5,37.59,37.32,37.48,299973.0,8000,TQBR
KMAZ,2014-07-02 00:00:00,37.78,37.8,37.5,37.7,255734.0,6800,TQBR
KMAZ,2014-07-03 00:00:00,37.73,37.74,37.07,37.6,465472.0,12400,TQBR
KMAZ,2014-07-04 00:00:00,37.67,37.94,37.1,37.11,621048.0,16600,TQBR
KMAZ,2014-07-07 00:00:00,37.13,37.13,35.92,36.92,815206.0,22200,TQBR
KMAZ,2014-07-08 00:00:00,36.77,37.65,36.73,36.85,507815.0,13700,TQBR
KMAZ,2014-07-09 00:00:00,37.0,37.0,36.52,36.52,157990.0,4300,TQBR
KMAZ,2014-07-10 00:00:00,36.52,36.97,36.5,36.79,10701324.0,290900,TQBR
KMAZ,2014-07-11 00:00:00,36.66,36.97,36.01,36.06,853502.0,23400,TQBR
KMAZ,2014-07-14 00:00:00,36.08,36.1,35.62,35.7,569702.0,15900,TQBR
KMAZ,2014-07-15 00:00:00,35.95,36.56,35.31,35.44,587321.0,16400,TQBR
KMAZ,2014-07-16 00:00:00,35.29,35.9,34.7,35.45,1008257.0,28600,TQBR
KMAZ,2014-07-17 00:00:00,35.22,35.23,33.67,34.02,2689559.0,78500,TQBR
KMAZ,2014-07-18 00:00:00,33.7,33.98,33.54,33.95,631842.0,18700,TQBR
KMAZ,2014-07-21 00:00:00,33.92,33.92,33.33,33.45,4561275.0,136100,TQBR
KMAZ,2014-07-22 00:00:00,33.5,33.91,33.2,33.64,1447685.0,43200,TQBR
KMAZ,2014-07-23 00:00:00,33.86,34.14,33.52,33.64,430749.0,12700,TQBR
KMAZ,2014-07-24 00:00:00,34.0,34.14,33.33,33.67,721094.0,21400,TQBR
KMAZ,2014-07-25 00:00:00,33.69,33.7,33.18,33.27,190648.0,5700,TQBR
KMAZ,2014-07-28 00:00:00,33.22,33.84,33.0,33.2,674565.0,20300,TQBR
KMAZ,2014-07-29 00:00:00,33.35,33.49,33.0,33.19,9383180.0,281800,TQBR
KMAZ,2014-07-30 00:00:00,33.11,33.11,32.01,33.0,810655.0,24700,TQBR
KMAZ,2014-07-31 00:00:00,33.2,33.28,32.7,32.84,706235.0,21400,TQBR
KMAZ,2014-08-01 00:00:00,33.02,33.3,32.45,32.93,543075.0,16500,TQBR
KMAZ,2014-08-04 00:00:00,32.93,33.29,32.54,32.84,639643.0,19400,TQBR
KMAZ,2014-08-05 00:00:00,32.76,33.0,32.72,33.0,1174663.0,35600,TQBR
KMAZ,2014-08-06 00:00:00,32.97,33.16,32.48,32.6,1014863.0,30800,TQBR
KMAZ,2014-08-07 00:00:00,32.24,32.89,32.05,32.5,968084.0,29900,TQBR
KMAZ,2014-08-08 00:00:00,32.39,32.76,32.02,32.75,794615.0,24500,TQBR
KMAZ,2014-08-11 00:00:00,32.81,33.77,32.81,33.63,741613.0,22300,TQBR
KMAZ,2014-08-12 00:00:00,33.5,33.6,33.03,33.03,943896.0,28200,TQBR
KMAZ,2014-08-13 00:00:00,33.29,33.49,32.61,32.99,1757927.0,53200,TQBR
KMAZ,2014-08-14 00:00:00,32.84,33.8,32.84,33.0,1378625.0,41600,TQBR
KMAZ,2014-08-15 00:00:00,33.01,33.01,32.05,32.1,3994452.0,123900,TQBR
KMAZ,2014-08-18 00:00:00,32.04,32.34,31.9,32.14,1796490.0,55900,TQBR
KMAZ,2014-08-19 00:00:00,32.18,35.9,32.12,34.1,22801423.0,664900,TQBR
KMAZ,2014-08-20 00:00:00,34.46,38.79,34.46,37.8,53903237.0,1445900,TQBR
KMAZ,2014-08-21 00:00:00,39.5,40.0,35.22,35.71,33008043.0,892400,TQBR
KMAZ,2014-08-22 00:00:00,35.7,36.61,34.21,35.01,10941582.0,311500,TQBR
KMAZ,2014-08-25 00:00:00,35.35,36.06,34.5,35.11,2991102.0,85200,TQBR
KMAZ,2014-08-26 00:00:00,34.69,35.29,34.55,34.75,1461134.0,41900,TQBR
KMAZ,2014-08-27 00:00:00,35.0,35.0,33.54,33.71,5219430.0,153200,TQBR
KMAZ,2014-08-28 00:00:00,33.61,35.49,32.81,34.99,9290607.0,273900,TQBR
KMAZ,2014-08-29 00:00:00,35.06,36.19,34.23,34.52,7029622.0,200100,TQBR
KMAZ,2014-09-01 00:00:00,34.8,34.8,34.3,34.32,247821.0,7200,TQBR
KMAZ,2014-09-02 00:00:00,34.44,35.0,33.83,34.67,928586.0,26900,TQBR
KMAZ,2014-09-03 00:00:00,34.5,35.2,34.5,34.52,2560746.0,73800,TQBR
KMAZ,2014-09-04 00:00:00,34.57,34.85,33.9,34.3,2406221.0,70200,TQBR
KMAZ,2014-09-05 00:00:00,34.68,35.0,33.99,34.5,1686663.0,49000,TQBR
KMAZ,2014-09-08 00:00:00,34.67,35.77,34.11,34.17,1745520.0,50200,TQBR
KMAZ,2014-09-09 00:00:00,35.85,35.85,34.39,34.42,1960362.0,56500,TQBR
KMAZ,2014-09-10 00:00:00,34.48,34.59,34.11,34.21,665523.0,19400,TQBR
KMAZ,2014-09-11 00:00:00,34.2,34.67,33.5,33.87,1943813.0,57100,TQBR
KMAZ,2014-09-12 00:00:00,34.05,36.0,34.01,34.7,3895370.0,111600,TQBR
KMAZ,2014-09-15 00:00:00,34.78,35.0,34.1,34.2,871513.0,25300,TQBR
KMAZ,2014-09-16 00:00:00,34.14,34.69,34.0,34.61,523553.0,15300,TQBR
