ticker,tradedate,open,high,low,close,value,volume,boardid
KMEZ,2014-06-09 00:00:00,420.0,500.0,420.0,430.0,2700.0,6,TQBR
KMEZ,2014-06-10 00:00:00,450.0,500.0,450.0,500.0,101246.5,204,TQBR
KMEZ,2014-06-16 00:00:00,500.0,500.0,485.0,494.0,2470.0,5,TQBR
KMEZ,2014-06-17 00:00:00,500.0,520.0,500.0,520.0,119360.0,230,TQBR
KMEZ,2014-06-19 00:00:00,525.0,525.0,525.0,525.0,525.0,1,TQBR
KMEZ,2014-06-27 00:00:00,500.0,500.0,500.0,500.0,500.0,1,TQBR
KMEZ,2014-07-01 00:00:00,450.0,450.0,450.0,450.0,450.0,1,TQBR
KMEZ,2014-07-02 00:00:00,458.7,458.7,458.7,458.7,3669.6,8,TQBR
KMEZ,2014-07-09 00:00:00,490.0,490.0,490.0,490.0,490.0,1,TQBR
KMEZ,2014-07-14 00:00:00,484.0,484.0,484.0,484.0,1452.0,3,TQBR
KMEZ,2014-07-15 00:00:00,484.0,484.0,484.0,484.0,9196.0,19,TQBR
KMEZ,2014-07-17 00:00:00,524.0,588.9,487.0,487.0,306059.4,611,TQBR
KMEZ,2014-07-21 00:00:00,490.0,490.0,490.0,490.0,3430.0,7,TQBR
KMEZ,2014-07-25 00:00:00,441.9,519.0,441.9,519.0,960.9,2,TQBR
KMEZ,2014-07-28 00:00:00,460.0,480.0,460.0,480.0,2340.5,5,TQBR
KMEZ,2014-07-29 00:00:00,470.0,480.0,470.0,480.0,6136.0,13,TQBR
KMEZ,2014-07-30 00:00:00,460.0,460.0,460.0,460.0,3220.0,7,TQBR
KMEZ,2014-08-01 00:00:00,479.0,490.0,479.0,490.0,10088.0,21,TQBR
KMEZ,2014-08-05 00:00:00,475.0,485.0,475.0,480.0,7170.0,15,TQBR
KMEZ,2014-08-06 00:00:00,475.1,475.1,475.1,475.1,475.1,1,TQBR
KMEZ,2014-08-07 00:00:00,475.0,475.0,475.0,475.0,14725.0,31,TQBR
KMEZ,2014-08-13 00:00:00,519.0,519.8,460.5,460.5,8256.7,16,TQBR
KMEZ,2014-08-19 00:00:00,455.0,455.0,450.0,450.0,20272.3,45,TQBR
KMEZ,2014-08-25 00:00:00,455.0,455.0,450.0,450.0,64423.7,143,TQBR
KMEZ,2014-08-28 00:00:00,498.0,498.0,498.0,498.0,14940.0,30,TQBR
KMEZ,2014-09-02 00:00:00,488.0,488.0,488.0,488.0,1464.0,3,TQBR
KMEZ,2014-09-05 00:00:00,499.8,525.0,480.0,480.0,4894.5,10,TQBR
KMEZ,2014-09-10 00:00:00,451.1,451.1,450.0,450.0,180006.3,400,TQBR
KMEZ,2014-09-16 00:00:00,460.0,460.0,450.0,450.0,20810.7,46,TQBR
KMEZ,2014-09-17 00:00:00,450.0,450.0,450.0,450.0,31050.0,69,TQBR
KMEZ,2014-09-22 00:00:00,451.1,451.1,451.1,451.1,902.2,2,TQBR
KMEZ,2014-09-23 00:00:00,450.0,450.0,450.0,450.0,54000.0,120,TQBR
KMEZ,2014-09-24 00:00:00,450.0,450.0,450.0,450.0,1800.0,4,TQBR
