ticker,tradedate,open,high,low,close,value,volume,boardid
KOGK,2014-06-09 00:00:00,46810,46820,46810,46820,93630,2,TQBR
KOGK,2014-06-10 00:00:00,45400,45990,45400,45990,591520,13,TQBR
KOGK,2014-06-11 00:00:00,45180,45180,45180,45180,45180,1,TQBR
KOGK,2014-06-16 00:00:00,45990,46100,45360,45360,229430,5,TQBR
KOGK,2014-06-17 00:00:00,46850,48000,46850,47500,427710,9,TQBR
KOGK,2014-06-18 00:00:00,47500,50000,47500,49500,488500,10,TQBR
KOGK,2014-06-19 00:00:00,50000,51000,50000,51000,151000,3,TQBR
KOGK,2014-06-20 00:00:00,51500,51500,50010,50010,153010,3,TQBR
KOGK,2014-06-23 00:00:00,51800,51800,51800,51800,103600,2,TQBR
KOGK,2014-06-26 00:00:00,49970,50000,49970,50000,249950,5,TQBR
KOGK,2014-06-30 00:00:00,48000,54000,48000,54000,792470,16,TQBR
KOGK,2014-07-01 00:00:00,50000,50000,50000,50000,100000,2,TQBR
KOGK,2014-07-02 00:00:00,48010,49970,48010,48210,195290,4,TQBR
KOGK,2014-07-03 00:00:00,47590,47590,47590,47590,47590,1,TQBR
KOGK,2014-07-08 00:00:00,48000,48000,48000,48000,48000,1,TQBR
KOGK,2014-07-15 00:00:00,46970,48990,46970,48990,385850,8,TQBR
KOGK,2014-07-16 00:00:00,48990,50000,47500,50000,1423450,29,TQBR
KOGK,2014-07-17 00:00:00,50000,53010,50000,52010,23754300,455,TQBR
KOGK,2014-07-18 00:00:00,55000,55000,55000,55000,550000,10,TQBR
KOGK,2014-07-21 00:00:00,52000,56490,52000,56490,759420,14,TQBR
KOGK,2014-07-22 00:00:00,53010,60000,53010,60000,2812970,49,TQBR
KOGK,2014-07-23 00:00:00,60840,60900,58000,60000,1419830,24,TQBR
KOGK,2014-07-24 00:00:00,59000,60000,58100,60000,1937170,33,TQBR
KOGK,2014-07-25 00:00:00,60000,60000,60000,60000,60000,1,TQBR
KOGK,2014-07-28 00:00:00,58500,58500,58100,58100,116600,2,TQBR
KOGK,2014-07-29 00:00:00,57000,57000,57000,57000,228000,4,TQBR
KOGK,2014-07-30 00:00:00,62000,62000,60020,60020,422120,7,TQBR
KOGK,2014-08-01 00:00:00,58040,58040,57500,57500,231540,4,TQBR
KOGK,2014-08-04 00:00:00,58000,58000,58000,58000,58000,1,TQBR
KOGK,2014-08-06 00:00:00,57000,57000,55000,55000,497040,9,TQBR
KOGK,2014-08-11 00:00:00,60000,60000,60000,60000,540000,9,TQBR
KOGK,2014-08-14 00:00:00,59900,60000,59900,60000,4979790,83,TQBR
KOGK,2014-08-20 00:00:00,59500,59500,59500,59500,59500,1,TQBR
KOGK,2014-08-21 00:00:00,60000,67000,58500,60000,3819000,64,TQBR
KOGK,2014-08-22 00:00:00,60000,60000,60000,60000,240000,4,TQBR
KOGK,2014-08-26 00:00:00,56100,60000,56000,57000,3172930,54,TQBR
KOGK,2014-08-27 00:00:00,56040,56900,56000,56900,562730,10,TQBR
KOGK,2014-08-28 00:00:00,56000,56000,55000,55000,222000,4,TQBR
KOGK,2014-09-01 00:00:00,55000,55000,55000,55000,55000,1,TQBR
KOGK,2014-09-02 00:00:00,54000,54000,54000,54000,162000,3,TQBR
KOGK,2014-09-03 00:00:00,59000,60000,55010,55510,817740,14,TQBR
KOGK,2014-09-09 00:00:00,54340,54340,54000,54000,810690,15,TQBR
KOGK,2014-09-10 00:00:00,54000,59760,54000,59760,1841780,33,TQBR
KOGK,2014-09-12 00:00:00,56000,56000,56000,56000,280000,5,TQBR
KOGK,2014-09-15 00:00:00,59380,59900,55360,55360,1782310,30,TQBR
KOGK,2014-09-22 00:00:00,54000,54870,52010,54870,1219390,23,TQBR
KOGK,2014-09-30 00:00:00,54990,59600,53310,59000,513640,9,TQBR
KOGK,2014-10-01 00:00:00,53100,54900,53100,54900,162100,3,TQBR
KOGK,2014-10-02 00:00:00,52000,54100,52000,54100,266300,5,TQBR
KOGK,2014-10-03 00:00:00,56900,57000,54000,54000,387200,7,TQBR
KOGK,2014-10-06 00:00:00,55000,60000,54800,58000,6535500,111,TQBR
KOGK,2014-10-07 00:00:00,58500,58500,58500,58500,58500,1,TQBR
KOGK,2014-10-08 00:00:00,60000,63000,59900,63000,1594200,26,TQBR
KOGK,2014-10-09 00:00:00,65000,68800,65000,67000,1405600,21,TQBR
KOGK,2014-10-10 00:00:00,70000,70000,65000,69500,1580700,23,TQBR
KOGK,2014-10-13 00:00:00,70000,70000,63300,65000,718400,11,TQBR
KOGK,2014-10-14 00:00:00,69900,70000,69600,69900,837500,12,TQBR
KOGK,2014-10-15 00:00:00,69000,69000,69000,69000,69000,1,TQBR
KOGK,2014-10-16 00:00:00,66000,70000,64100,67700,2308500,35,TQBR
KOGK,2014-10-17 00:00:00,69000,69000,63000,69000,1603100,24,TQBR
KOGK,2014-10-20 00:00:00,69500,69500,69000,69000,138500,2,TQBR
KOGK,2014-10-21 00:00:00,69900,69900,65000,65000,200900,3,TQBR
KOGK,2014-10-22 00:00:00,68000,68000,64900,64900,132900,2,TQBR
KOGK,2014-10-23 00:00:00,67500,68800,67500,68800,273900,4,TQBR
KOGK,2014-10-24 00:00:00,69400,69400,62400,63000,1450400,23,TQBR
KOGK,2014-10-27 00:00:00,68400,68400,68400,68400,68400,1,TQBR
KOGK,2014-10-28 00:00:00,67500,70000,65000,70000,202500,3,TQBR
KOGK,2014-10-29 00:00:00,69500,69500,65700,66700,270600,4,TQBR
KOGK,2014-10-30 00:00:00,68000,68000,63400,63500,448900,7,TQBR
KOGK,2014-10-31 00:00:00,66400,67000,66400,67000,334400,5,TQBR
KOGK,2014-11-03 00:00:00,66700,66700,66700,66700,66700,1,TQBR
KOGK,2014-11-05 00:00:00,68400,68400,68400,68400,68400,1,TQBR
KOGK,2014-11-06 00:00:00,68000,68000,68000,68000,68000,1,TQBR
KOGK,2014-11-07 00:00:00,68900,68900,68900,68900,68900,1,TQBR
KOGK,2014-11-10 00:00:00,67700,67700,67700,67700,67700,1,TQBR
KOGK,2014-11-11 00:00:00,68500,68500,65000,65000,133500,2,TQBR
KOGK,2014-11-12 00:00:00,67300,67300,67300,67300,67300,1,TQBR
KOGK,2014-11-13 00:00:00,68500,68500,68500,68500,68500,1,TQBR
KOGK,2014-11-14 00:00:00,68500,68500,66500,66500,600500,9,TQBR
KOGK,2014-11-17 00:00:00,69500,69500,64900,64900,329100,5,TQBR
KOGK,2014-11-18 00:00:00,64500,64500,64500,64500,64500,1,TQBR
KOGK,2014-11-19 00:00:00,67200,67200,57000,60000,184200,3,TQBR
KOGK,2014-11-20 00:00:00,67500,67500,63400,63400,130900,2,TQBR
KOGK,2014-11-21 00:00:00,63400,63400,63400,63400,63400,1,TQBR
KOGK,2014-11-24 00:00:00,63400,63400,63400,63400,63400,1,TQBR
KOGK,2014-11-25 00:00:00,63000,63000,63000,63000,63000,1,TQBR
KOGK,2014-11-26 00:00:00,59000,59000,59000,59000,118000,2,TQBR
KOGK,2014-11-28 00:00:00,64500,64500,64500,64500,64500,1,TQBR
KOGK,2014-12-01 00:00:00,65300,65300,65300,65300,65300,1,TQBR
KOGK,2014-12-03 00:00:00,65600,65600,65600,65600,65600,1,TQBR
KOGK,2014-12-04 00:00:00,66300,66300,63000,63000,129300,2,TQBR
KOGK,2014-12-05 00:00:00,67500,67500,67500,67500,67500,1,TQBR
KOGK,2014-12-08 00:00:00,66300,66300,64900,64900,131200,2,TQBR
KOGK,2014-12-09 00:00:00,66500,66500,63500,63500,130000,2,TQBR
KOGK,2014-12-10 00:00:00,63500,63500,54500,56800,1430300,26,TQBR
KOGK,2014-12-11 00:00:00,55000,55000,50000,50000,357600,7,TQBR
KOGK,2014-12-12 00:00:00,51800,51800,46300,49800,147900,3,TQBR
KOGK,2014-12-15 00:00:00,50000,58400,50000,51200,941900,17,TQBR
KOGK,2014-12-16 00:00:00,66200,66200,47000,54800,168000,3,TQBR
KOGK,2014-12-17 00:00:00,53000,64000,53000,64000,1268200,23,TQBR
KOGK,2014-12-18 00:00:00,62400,62400,60000,60000,122400,2,TQBR
KOGK,2014-12-19 00:00:00,65000,69000,65000,69000,199000,3,TQBR
KOGK,2014-12-22 00:00:00,69500,69500,61000,68500,900100,14,TQBR
