ticker,tradedate,open,high,low,close,value,volume,boardid
KRKN,2014-06-11 00:00:00,8179,8180,8179,8180,237210,29,TQBR
KRKN,2014-06-16 00:00:00,7953,8099,7952,8099,651463,81,TQBR
KRKN,2014-06-17 00:00:00,7984,8200,7984,8200,176080,22,TQBR
KRKN,2014-07-10 00:00:00,7775,8396,7774,8396,804610,103,TQBR
KRKN,2014-07-18 00:00:00,8086,8086,8075,8075,371670,46,TQBR
KRKN,2014-07-21 00:00:00,8056,8056,8056,8056,112784,14,TQBR
KRKN,2014-07-28 00:00:00,8124,8155,8118,8155,187043,23,TQBR
KRKN,2014-08-04 00:00:00,8214,8214,8214,8214,229992,28,TQBR
KRKN,2014-08-06 00:00:00,8322,8322,8322,8322,166440,20,TQBR
KRKN,2014-08-07 00:00:00,8799,8800,8799,8800,290399,33,TQBR
KRKN,2014-08-08 00:00:00,8800,8800,8800,8800,176000,20,TQBR
KRKN,2014-08-19 00:00:00,8800,9000,8800,9000,313500,35,TQBR
KRKN,2014-08-25 00:00:00,8306,8306,8306,8306,33224,4,TQBR
KRKN,2014-09-25 00:00:00,8993,8993,7005,8250,56595,7,TQBR
KRKN,2014-10-02 00:00:00,8130,8130,8120,8120,81210,10,TQBR
KRKN,2014-10-08 00:00:00,8120,8120,8120,8120,105560,13,TQBR
KRKN,2014-10-17 00:00:00,8490,8500,8490,8500,110490,13,TQBR
KRKN,2014-10-24 00:00:00,8120,8120,8120,8120,8120,1,TQBR
KRKN,2014-10-28 00:00:00,8120,8120,8120,8120,138040,17,TQBR
KRKN,2014-11-05 00:00:00,8270,8270,8270,8270,8270,1,TQBR
KRKN,2014-11-12 00:00:00,8780,8780,8780,8780,8780,1,TQBR
KRKN,2014-11-13 00:00:00,9000,11400,9000,11400,431010,41,TQBR
KRKN,2014-11-14 00:00:00,11400,11400,11400,11400,34200,3,TQBR
KRKN,2014-11-17 00:00:00,11380,11380,11380,11380,136560,12,TQBR
KRKN,2014-11-24 00:00:00,11300,11400,11300,11400,124840,11,TQBR
KRKN,2014-12-04 00:00:00,9070,10200,9050,10200,37390,4,TQBR
KRKN,2014-12-08 00:00:00,10310,11380,10310,11380,32010,3,TQBR
KRKN,2014-12-18 00:00:00,11000,11000,11000,11000,110000,10,TQBR
KRKN,2014-12-19 00:00:00,9200,9200,9200,9200,9200,1,TQBR
KRKN,2014-12-23 00:00:00,10180,10200,10180,10200,142750,14,TQBR
KRKN,2014-12-26 00:00:00,10000,10000,10000,10000,100000,10,TQBR
KRKN,2015-01-05 00:00:00,9130,9130,9130,9130,18260,2,TQBR
KRKN,2015-01-08 00:00:00,9110,10000,9110,9950,56470,6,TQBR
KRKN,2015-01-12 00:00:00,9000,9000,9000,9000,90000,10,TQBR
KRKN,2015-01-13 00:00:00,9010,9010,9000,9000,27010,3,TQBR
KRKN,2015-01-15 00:00:00,9010,9010,9010,9010,9010,1,TQBR
KRKN,2015-01-16 00:00:00,9010,9010,9000,9000,153010,17,TQBR
KRKN,2015-01-22 00:00:00,9000,9000,9000,9000,18000,2,TQBR
KRKN,2015-01-26 00:00:00,9010,9010,9010,9010,9010,1,TQBR
KRKN,2015-01-27 00:00:00,8010,8870,8010,8870,24890,3,TQBR
KRKN,2015-01-29 00:00:00,9000,9000,9000,9000,36000,4,TQBR
KRKN,2015-01-30 00:00:00,9000,9000,9000,9000,9000,1,TQBR
KRKN,2015-02-05 00:00:00,9000,9900,9000,9900,47690,5,TQBR
KRKN,2015-02-09 00:00:00,9980,10000,9980,10000,39970,4,TQBR
KRKN,2015-02-12 00:00:00,10300,10300,10300,10300,20600,2,TQBR
KRKN,2015-02-13 00:00:00,11190,11400,11190,11400,224950,20,TQBR
KRKN,2015-02-16 00:00:00,11400,11400,11400,11400,11400,1,TQBR
KRKN,2015-02-17 00:00:00,10000,11380,8600,11380,29980,3,TQBR
KRKN,2015-03-04 00:00:00,11100,11100,11100,11100,11100,1,TQBR
KRKN,2015-03-05 00:00:00,10000,10000,10000,10000,10000,1,TQBR
KRKN,2015-03-11 00:00:00,10000,10000,10000,10000,10000,1,TQBR
KRKN,2015-03-19 00:00:00,10000,10000,10000,10000,10000,1,TQBR
KRKN,2015-03-20 00:00:00,9500,9500,9500,9500,57000,6,TQBR
KRKN,2015-04-14 00:00:00,10000,10000,10000,10000,200000,20,TQBR
KRKN,2015-04-16 00:00:00,10290,10290,10290,10290,10290,1,TQBR
KRKN,2015-04-24 00:00:00,10500,11000,10500,11000,346380,32,TQBR
KRKN,2015-05-06 00:00:00,10980,10980,10980,10980,461160,42,TQBR
KRKN,2015-05-08 00:00:00,10980,11020,10980,11000,516720,47,TQBR
KRKN,2015-05-12 00:00:00,12500,12500,12500,12500,12500,1,TQBR
KRKN,2015-05-18 00:00:00,12490,12490,10010,10010,300320,26,TQBR
KRKN,2015-05-27 00:00:00,9020,12460,9020,12340,1794740,173,TQBR
KRKN,2015-06-02 00:00:00,12190,12190,11900,11900,596150,49,TQBR
KRKN,2015-06-03 00:00:00,9160,12260,9160,10200,996090,93,TQBR
KRKN,2015-06-05 00:00:00,9380,11590,9380,11590,579130,59,TQBR
KRKN,2015-06-09 00:00:00,12190,12190,9670,11940,495360,42,TQBR
KRKN,2015-06-10 00:00:00,10010,10010,10010,10010,10010,1,TQBR
KRKN,2015-06-11 00:00:00,9300,10750,9300,10750,419950,45,TQBR
KRKN,2015-06-19 00:00:00,9550,9550,9550,9550,9550,1,TQBR
KRKN,2015-06-22 00:00:00,10000,10000,10000,10000,70000,7,TQBR
KRKN,2015-06-25 00:00:00,10000,10000,10000,10000,10000,1,TQBR
KRKN,2015-06-26 00:00:00,9990,11500,9990,10300,1178660,111,TQBR
KRKN,2015-07-24 00:00:00,10240,10240,10240,10240,10240,1,TQBR
KRKN,2015-07-27 00:00:00,10000,10200,10000,10000,150610,15,TQBR
KRKN,2015-07-28 00:00:00,10200,10200,10200,10200,20400,2,TQBR
KRKN,2015-08-05 00:00:00,10200,10200,10200,10200,10200,1,TQBR
