ticker,tradedate,open,high,low,close,value,volume,boardid
KROTP,2014-06-10 00:00:00,101.35,101.35,101.35,101.35,1013.5,10,TQBR
KROTP,2014-06-16 00:00:00,103.87,103.87,103.87,103.87,841347.0,8100,TQBR
KROTP,2014-06-18 00:00:00,103.84,103.84,103.84,103.84,215987.2,2080,TQBR
KROTP,2014-06-24 00:00:00,103.84,103.84,103.83,103.83,341601.3,3290,TQBR
KROTP,2014-06-25 00:00:00,103.77,103.77,102.97,102.97,133071.3,1290,TQBR
KROTP,2014-06-27 00:00:00,95.5,97.0,95.0,95.0,130520.0,1370,TQBR
KROTP,2014-06-30 00:00:00,96.0,96.0,96.0,96.0,960.0,10,TQBR
KROTP,2014-07-04 00:00:00,96.0,96.0,96.0,96.0,960.0,10,TQBR
KROTP,2014-07-07 00:00:00,91.01,96.0,91.01,94.5,137085.9,1450,TQBR
KROTP,2014-07-08 00:00:00,95.5,95.5,92.0,95.5,77506.3,840,TQBR
KROTP,2014-07-09 00:00:00,94.25,94.25,88.88,91.0,254343.3,2740,TQBR
KROTP,2014-07-10 00:00:00,95.0,95.0,93.0,93.0,103525.0,1110,TQBR
KROTP,2014-07-15 00:00:00,88.01,88.01,88.01,88.01,1760.2,20,TQBR
KROTP,2014-07-16 00:00:00,95.0,95.0,95.0,95.0,20900.0,220,TQBR
KROTP,2014-07-17 00:00:00,92.5,92.5,92.0,92.0,101475.0,1100,TQBR
KROTP,2014-07-18 00:00:00,91.5,91.5,91.0,91.0,100375.0,1100,TQBR
KROTP,2014-07-21 00:00:00,89.01,92.0,89.01,92.0,4510.3,50,TQBR
KROTP,2014-07-23 00:00:00,89.2,89.2,89.2,89.2,892.0,10,TQBR
KROTP,2014-07-24 00:00:00,89.22,90.5,89.22,90.0,98341.6,1090,TQBR
KROTP,2014-07-25 00:00:00,90.5,90.5,90.5,90.5,8145.0,90,TQBR
KROTP,2014-07-29 00:00:00,86.0,86.0,85.0,85.0,5960.0,70,TQBR
KROTP,2014-07-30 00:00:00,85.01,85.01,85.0,85.0,17851.1,210,TQBR
KROTP,2014-07-31 00:00:00,89.0,89.0,89.0,89.0,4450.0,50,TQBR
KROTP,2014-08-05 00:00:00,83.1,83.1,82.0,82.0,19011.0,230,TQBR
KROTP,2014-08-06 00:00:00,81.12,81.12,76.0,78.5,98439.7,1270,TQBR
KROTP,2014-08-07 00:00:00,79.99,80.0,79.99,80.0,16799.9,210,TQBR
KROTP,2014-08-08 00:00:00,78.0,80.98,75.1,80.98,159369.8,2070,TQBR
KROTP,2014-08-11 00:00:00,77.01,80.0,75.45,79.99,179233.19999999998,2360,TQBR
KROTP,2014-08-12 00:00:00,79.99,79.99,75.46,79.99,185169.2,2450,TQBR
KROTP,2014-08-14 00:00:00,70.28,77.0,70.28,77.0,5163.4,70,TQBR
KROTP,2014-08-20 00:00:00,73.06,79.95,73.06,79.95,33679.5,460,TQBR
KROTP,2014-08-22 00:00:00,72.01,73.0,70.0,73.0,186321.2,2660,TQBR
KROTP,2014-08-25 00:00:00,74.0,74.0,74.0,74.0,1480.0,20,TQBR
KROTP,2014-08-26 00:00:00,73.3,73.3,72.01,73.18,3648.5,50,TQBR
KROTP,2014-08-27 00:00:00,80.41,83.08,71.51,71.51,20262.2,250,TQBR
KROTP,2014-08-29 00:00:00,77.0,77.0,74.0,74.0,12623.8,170,TQBR
KROTP,2014-09-04 00:00:00,82.0,82.0,82.0,82.0,1640.0,20,TQBR
KROTP,2014-09-05 00:00:00,81.99,81.99,81.99,81.99,33615.9,410,TQBR
KROTP,2014-09-11 00:00:00,80.99,80.99,80.99,80.99,29966.3,370,TQBR
KROTP,2014-09-15 00:00:00,73.03,77.0,58.23,74.67,79459.3,1190,TQBR
KROTP,2014-09-16 00:00:00,65.0,72.49,61.15,72.49,42391.5,620,TQBR
KROTP,2014-09-25 00:00:00,74.49,74.49,74.49,74.49,30540.9,410,TQBR
KROTP,2014-09-30 00:00:00,62.58,62.58,62.58,62.58,625.8,10,TQBR
KROTP,2014-10-02 00:00:00,65.0,65.0,65.0,65.0,1300.0,20,TQBR
KROTP,2014-10-08 00:00:00,70.0,74.0,70.0,74.0,2180.0,30,TQBR
KROTP,2014-10-10 00:00:00,77.0,77.0,77.0,77.0,1540.0,20,TQBR
KROTP,2014-10-20 00:00:00,76.0,77.0,76.0,77.0,35200.0,460,TQBR
