ticker,tradedate,open,high,low,close,value,volume,boardid
KRSB,2014-06-10 00:00:00,2.888,3.49,2.888,2.9,35264.0,11000,TQBR
KRSB,2014-06-16 00:00:00,2.6,2.6,2.6,2.6,72800.0,28000,TQBR
KRSB,2014-06-20 00:00:00,2.521,2.521,2.5,2.5,27561.0,11000,TQBR
KRSB,2014-06-26 00:00:00,2.5,2.5,2.5,2.5,10000.0,4000,TQBR
KRSB,2014-07-01 00:00:00,2.4,2.4,2.3,2.3,4700.0,2000,TQBR
KRSB,2014-07-02 00:00:00,2.504,2.504,2.503,2.503,5007.0,2000,TQBR
KRSB,2014-07-10 00:00:00,2.979,2.979,2.979,2.979,2979.0,1000,TQBR
KRSB,2014-07-18 00:00:00,2.111,2.111,2.111,2.111,2111.0,1000,TQBR
KRSB,2014-07-21 00:00:00,2.232,2.232,2.232,2.232,2232.0,1000,TQBR
KRSB,2014-07-22 00:00:00,2.301,2.301,2.299,2.3,128810.0,56000,TQBR
KRSB,2014-07-29 00:00:00,2.297,2.297,2.111,2.2,41538.0,19000,TQBR
KRSB,2014-08-04 00:00:00,2.28,2.3,2.28,2.3,16000.0,7000,TQBR
KRSB,2014-08-06 00:00:00,2.111,2.111,1.621,1.621,20514.0,10000,TQBR
KRSB,2014-08-07 00:00:00,2.014,2.014,2.014,2.014,2014.0,1000,TQBR
KRSB,2014-08-13 00:00:00,2.01,2.01,2.01,2.01,2010.0,1000,TQBR
KRSB,2014-08-14 00:00:00,2.01,2.01,2.01,2.01,2010.0,1000,TQBR
KRSB,2014-08-18 00:00:00,2.2,2.285,2.2,2.285,13608.0,6000,TQBR
KRSB,2014-08-19 00:00:00,2.285,2.285,2.285,2.285,11425.0,5000,TQBR
KRSB,2014-08-20 00:00:00,2.288,2.3,2.277,2.277,29747.0,13000,TQBR
KRSB,2014-08-27 00:00:00,2.2,2.2,2.111,2.111,4311.0,2000,TQBR
KRSB,2014-08-29 00:00:00,2.2,2.2,2.2,2.2,2200.0,1000,TQBR
KRSB,2014-09-08 00:00:00,2.034,2.217,2.033,2.217,14599.0,7000,TQBR
KRSB,2014-09-10 00:00:00,2.14,2.14,2.14,2.14,2140.0,1000,TQBR
KRSB,2014-09-12 00:00:00,2.1,2.1,2.1,2.1,27300.0,13000,TQBR
KRSB,2014-09-19 00:00:00,2.297,2.297,2.012,2.012,4309.0,2000,TQBR
KRSB,2014-09-24 00:00:00,2.009,2.009,2.0,2.0,34135.0,17000,TQBR
KRSB,2014-09-29 00:00:00,2.143,2.143,2.143,2.143,2143.0,1000,TQBR
KRSB,2014-10-03 00:00:00,2.1,2.1,2.1,2.1,10500.0,5000,TQBR
KRSB,2014-10-08 00:00:00,2.1,2.1,2.1,2.1,4200.0,2000,TQBR
KRSB,2014-10-10 00:00:00,2.0,2.0,2.0,2.0,2000.0,1000,TQBR
KRSB,2014-10-15 00:00:00,1.95,2.0,1.95,2.0,25500.0,13000,TQBR
KRSB,2014-10-16 00:00:00,1.85,1.85,1.85,1.85,1850.0,1000,TQBR
KRSB,2014-10-22 00:00:00,1.85,1.85,1.85,1.85,1850.0,1000,TQBR
KRSB,2014-10-29 00:00:00,1.89,1.9,1.85,1.85,20750.0,11000,TQBR
KRSB,2014-10-31 00:00:00,1.93,2.0,1.86,1.86,13510.0,7000,TQBR
KRSB,2014-11-06 00:00:00,1.89,1.89,1.88,1.88,5650.0,3000,TQBR
KRSB,2014-11-11 00:00:00,1.98,2.0,1.89,1.9,25350.0,13000,TQBR
KRSB,2014-11-12 00:00:00,2.0,2.46,1.99,2.0,156730.0,72000,TQBR
KRSB,2014-11-13 00:00:00,2.19,2.2,2.1,2.1,8590.0,4000,TQBR
KRSB,2014-11-17 00:00:00,2.01,2.01,2.0,2.0,8010.0,4000,TQBR
KRSB,2014-12-03 00:00:00,2.0,2.0,2.0,2.0,2000.0,1000,TQBR
KRSB,2014-12-08 00:00:00,1.77,1.8,1.76,1.8,21170.0,12000,TQBR
KRSB,2014-12-09 00:00:00,1.8,1.8,1.8,1.8,1800.0,1000,TQBR
KRSB,2014-12-10 00:00:00,1.8,1.8,1.8,1.8,9000.0,5000,TQBR
KRSB,2014-12-11 00:00:00,1.76,1.76,1.76,1.76,1760.0,1000,TQBR
KRSB,2014-12-12 00:00:00,1.75,1.8,1.53,1.53,40960.0,25000,TQBR
KRSB,2014-12-15 00:00:00,1.61,1.7,1.61,1.7,35870.0,22000,TQBR
KRSB,2014-12-16 00:00:00,1.53,1.7,1.41,1.7,63410.0,44000,TQBR
KRSB,2014-12-18 00:00:00,1.64,1.64,1.5,1.59,17150.0,11000,TQBR
KRSB,2014-12-23 00:00:00,1.5,1.7,1.5,1.7,7900.0,5000,TQBR
KRSB,2014-12-24 00:00:00,1.68,1.68,1.68,1.68,8400.0,5000,TQBR
KRSB,2014-12-25 00:00:00,1.67,1.67,1.67,1.67,5010.0,3000,TQBR
KRSB,2014-12-26 00:00:00,1.67,1.67,1.67,1.67,16700.0,10000,TQBR
KRSB,2015-01-09 00:00:00,1.38,1.38,1.38,1.38,1380.0,1000,TQBR
KRSB,2015-01-14 00:00:00,1.64,1.73,1.64,1.7,46110.0,27000,TQBR
KRSB,2015-01-19 00:00:00,1.72,1.73,1.72,1.73,8640.0,5000,TQBR
KRSB,2015-01-21 00:00:00,1.6,1.71,1.54,1.71,4850.0,3000,TQBR
KRSB,2015-01-22 00:00:00,1.7,1.7,1.7,1.7,1700.0,1000,TQBR
KRSB,2015-01-23 00:00:00,1.71,1.71,1.71,1.71,5130.0,3000,TQBR
KRSB,2015-01-26 00:00:00,1.6,1.6,1.5,1.5,21480.0,14000,TQBR
KRSB,2015-01-27 00:00:00,1.72,1.73,1.56,1.56,53480.0,32000,TQBR
KRSB,2015-01-28 00:00:00,1.55,1.55,1.55,1.55,1550.0,1000,TQBR
KRSB,2015-01-29 00:00:00,1.79,1.96,1.76,1.8,66810.0,35000,TQBR
KRSB,2015-02-02 00:00:00,1.76,1.76,1.76,1.76,3520.0,2000,TQBR
KRSB,2015-02-03 00:00:00,1.8,1.8,1.8,1.8,1800.0,1000,TQBR
KRSB,2015-02-04 00:00:00,1.77,1.77,1.76,1.76,17610.0,10000,TQBR
KRSB,2015-02-09 00:00:00,1.9,1.9,1.9,1.9,11400.0,6000,TQBR
KRSB,2015-02-12 00:00:00,2.06,2.06,2.06,2.06,2060.0,1000,TQBR
KRSB,2015-02-18 00:00:00,1.94,1.96,1.94,1.96,15660.0,8000,TQBR
KRSB,2015-02-19 00:00:00,1.95,1.95,1.9,1.9,5800.0,3000,TQBR
KRSB,2015-02-20 00:00:00,1.96,1.96,1.87,1.87,7570.0,4000,TQBR
KRSB,2015-02-24 00:00:00,1.8,1.96,1.8,1.96,13400.0,7000,TQBR
KRSB,2015-02-25 00:00:00,2.15,2.15,2.15,2.15,38700.0,18000,TQBR
KRSB,2015-03-03 00:00:00,1.99,1.99,1.99,1.99,1990.0,1000,TQBR
KRSB,2015-03-13 00:00:00,1.9,1.9,1.9,1.9,1900.0,1000,TQBR
KRSB,2015-03-16 00:00:00,1.88,1.88,1.85,1.85,11170.0,6000,TQBR
KRSB,2015-03-27 00:00:00,1.76,1.76,1.76,1.76,17600.0,10000,TQBR
KRSB,2015-04-17 00:00:00,1.79,1.79,1.76,1.76,19450.0,11000,TQBR
KRSB,2015-04-30 00:00:00,1.76,1.86,1.26,1.83,84340.0,56000,TQBR
KRSB,2015-05-05 00:00:00,1.44,1.8,1.44,1.8,5030.0,3000,TQBR
KRSB,2015-05-06 00:00:00,1.8,1.8,1.8,1.8,1800.0,1000,TQBR
KRSB,2015-05-12 00:00:00,1.8,1.8,1.7,1.7,3500.0,2000,TQBR
KRSB,2015-05-15 00:00:00,1.72,1.83,1.72,1.83,30670.0,17000,TQBR
KRSB,2015-05-19 00:00:00,1.8,1.8,1.8,1.8,10800.0,6000,TQBR
KRSB,2015-05-20 00:00:00,1.6,1.6,1.6,1.6,4800.0,3000,TQBR
KRSB,2015-05-28 00:00:00,1.52,1.59,1.4,1.59,46380.0,31000,TQBR
KRSB,2015-06-02 00:00:00,1.36,1.36,1.36,1.36,1360.0,1000,TQBR
KRSB,2015-06-08 00:00:00,1.4,1.44,1.4,1.44,67720.0,48000,TQBR
KRSB,2015-06-09 00:00:00,1.51,1.51,1.51,1.51,1510.0,1000,TQBR
KRSB,2015-06-10 00:00:00,1.51,1.51,1.5,1.5,15090.0,10000,TQBR
KRSB,2015-06-16 00:00:00,1.65,1.65,1.6,1.6,11500.0,7000,TQBR
KRSB,2015-06-17 00:00:00,1.5,1.63,1.5,1.63,4710.0,3000,TQBR
KRSB,2015-06-19 00:00:00,1.56,1.61,1.5,1.54,23190.0,15000,TQBR
KRSB,2015-06-22 00:00:00,1.61,1.61,1.61,1.61,19320.0,12000,TQBR
KRSB,2015-07-06 00:00:00,1.43,1.53,1.4,1.53,16290.0,11000,TQBR
KRSB,2015-07-08 00:00:00,1.55,1.56,1.55,1.56,10860.0,7000,TQBR
KRSB,2015-07-09 00:00:00,1.65,1.67,1.65,1.67,29800.0,18000,TQBR
KRSB,2015-07-13 00:00:00,1.65,1.65,1.65,1.65,8250.0,5000,TQBR
KRSB,2015-07-15 00:00:00,1.76,1.9,1.76,1.9,101140.0,55000,TQBR
KRSB,2015-07-16 00:00:00,1.76,1.76,1.75,1.75,28060.0,16000,TQBR
KRSB,2015-07-17 00:00:00,1.7,1.7,1.7,1.7,18700.0,11000,TQBR
KRSB,2015-07-20 00:00:00,1.95,1.99,1.95,1.99,43200.0,22000,TQBR
KRSB,2015-07-23 00:00:00,2.0,2.23,1.9,1.9,101640.0,48000,TQBR
KRSB,2015-07-24 00:00:00,2.07,2.07,2.07,2.07,2070.0,1000,TQBR
KRSB,2015-07-27 00:00:00,1.96,1.96,1.96,1.96,1960.0,1000,TQBR
KRSB,2015-07-29 00:00:00,2.0,2.0,2.0,2.0,58000.0,29000,TQBR
KRSB,2015-07-31 00:00:00,2.0,2.0,2.0,2.0,2000.0,1000,TQBR
KRSB,2015-08-03 00:00:00,2.01,2.01,1.94,1.94,5890.0,3000,TQBR
KRSB,2015-08-04 00:00:00,1.93,1.93,1.93,1.93,1930.0,1000,TQBR
KRSB,2015-08-05 00:00:00,2.0,2.0,2.0,2.0,2000.0,1000,TQBR
KRSB,2015-08-07 00:00:00,2.0,2.4,2.0,2.4,22140.0,10000,TQBR
KRSB,2015-08-10 00:00:00,2.42,2.46,1.83,1.83,27850.0,13000,TQBR
KRSB,2015-08-11 00:00:00,2.0,2.0,2.0,2.0,8000.0,4000,TQBR
KRSB,2015-08-12 00:00:00,2.39,2.48,2.38,2.48,68060.0,28000,TQBR
KRSB,2015-08-13 00:00:00,2.49,2.7,2.49,2.55,125280.0,49000,TQBR
KRSB,2015-08-14 00:00:00,2.49,2.7,2.45,2.7,46790.0,18000,TQBR
KRSB,2015-08-17 00:00:00,2.7,2.79,2.7,2.79,5490.0,2000,TQBR
KRSB,2015-08-19 00:00:00,2.8,2.8,2.59,2.6,47980.0,18000,TQBR
KRSB,2015-08-20 00:00:00,2.6,2.64,2.52,2.52,23460.0,9000,TQBR
KRSB,2015-08-21 00:00:00,2.69,2.7,2.69,2.7,26980.0,10000,TQBR
KRSB,2015-08-24 00:00:00,2.6,2.6,2.5,2.5,7700.0,3000,TQBR
KRSB,2015-08-25 00:00:00,2.6,2.6,2.51,2.51,18000.0,7000,TQBR
KRSB,2015-08-26 00:00:00,2.5,2.55,2.45,2.45,42510.0,17000,TQBR
KRSB,2015-08-27 00:00:00,2.6,2.6,2.6,2.6,2600.0,1000,TQBR
KRSB,2015-09-01 00:00:00,2.59,2.95,2.59,2.6,336670.0,128000,TQBR
KRSB,2015-09-02 00:00:00,2.79,2.9,2.79,2.9,168180.0,60000,TQBR
KRSB,2015-09-03 00:00:00,2.9,2.9,2.9,2.9,2900.0,1000,TQBR
KRSB,2015-09-04 00:00:00,2.98,2.98,2.8,2.8,95430.0,34000,TQBR
KRSB,2015-09-07 00:00:00,2.83,2.87,2.7,2.79,121640.0,44000,TQBR
