ticker,tradedate,open,high,low,close,value,volume,boardid
KRSBP,2014-06-10 00:00:00,2.9659,2.9659,2.9659,2.9659,23727.2,8000,TQBR
KRSBP,2014-06-11 00:00:00,2.8901,2.8901,2.89,2.89,5780.1,2000,TQBR
KRSBP,2014-06-16 00:00:00,2.9638,2.9638,2.7045,2.76,44611.4,16000,TQBR
KRSBP,2014-06-17 00:00:00,2.74,2.74,2.7001,2.74,32820.1,12000,TQBR
KRSBP,2014-06-18 00:00:00,2.7489,2.749,2.7,2.749,8197.9,3000,TQBR
KRSBP,2014-06-20 00:00:00,2.7,2.7,2.7,2.7,16200.0,6000,TQBR
KRSBP,2014-06-23 00:00:00,2.5602,2.5602,2.5602,2.5602,2560.2,1000,TQBR
KRSBP,2014-06-25 00:00:00,2.5601,2.5601,2.5601,2.5601,2560.1,1000,TQBR
KRSBP,2014-06-26 00:00:00,2.6999,2.6999,2.6999,2.6999,2699.9,1000,TQBR
KRSBP,2014-07-01 00:00:00,2.5603,2.5603,2.55,2.55,206580.5,81000,TQBR
KRSBP,2014-07-02 00:00:00,2.551,2.551,2.551,2.551,2551.0,1000,TQBR
KRSBP,2014-07-03 00:00:00,2.5501,2.551,2.55,2.551,81604.6,32000,TQBR
KRSBP,2014-07-09 00:00:00,2.532,2.532,2.5,2.51,55056.0,22000,TQBR
KRSBP,2014-07-10 00:00:00,2.71,2.71,2.71,2.71,2710.0,1000,TQBR
KRSBP,2014-07-17 00:00:00,2.387,2.691,2.387,2.649,10184.0,4000,TQBR
KRSBP,2014-07-18 00:00:00,2.5061,2.5061,2.5,2.5,27518.2,11000,TQBR
KRSBP,2014-07-21 00:00:00,2.4983,2.5001,2.4983,2.5001,37483.5,15000,TQBR
KRSBP,2014-07-22 00:00:00,2.5001,2.5001,2.5,2.5,47500.3,19000,TQBR
KRSBP,2014-07-23 00:00:00,2.51,2.5105,2.5001,2.5015,20034.0,8000,TQBR
KRSBP,2014-07-29 00:00:00,2.422,2.5,2.422,2.5,14782.2,6000,TQBR
KRSBP,2014-07-30 00:00:00,2.5,2.5,2.5,2.5,15000.0,6000,TQBR
KRSBP,2014-08-08 00:00:00,2.5,2.5,2.5,2.5,2500.0,1000,TQBR
KRSBP,2014-08-15 00:00:00,2.6,2.6,2.6,2.6,2600.0,1000,TQBR
KRSBP,2014-08-18 00:00:00,2.414,2.414,2.413,2.413,16894.0,7000,TQBR
KRSBP,2014-08-19 00:00:00,2.43,2.43,2.407,2.407,12096.2,5000,TQBR
KRSBP,2014-08-20 00:00:00,2.3618,2.3618,2.354,2.354,30670.1,13000,TQBR
KRSBP,2014-08-29 00:00:00,2.328,2.328,2.3,2.3,13876.0,6000,TQBR
KRSBP,2014-09-01 00:00:00,2.224,2.224,2.224,2.224,2224.0,1000,TQBR
KRSBP,2014-09-05 00:00:00,2.2999,2.2999,2.2999,2.2999,2299.9,1000,TQBR
KRSBP,2014-09-08 00:00:00,2.2241,2.3,2.0,2.0,32929.0,15000,TQBR
KRSBP,2014-09-11 00:00:00,2.002,2.002,2.002,2.002,2002.0,1000,TQBR
KRSBP,2014-09-15 00:00:00,2.001,2.001,2.001,2.001,2001.0,1000,TQBR
KRSBP,2014-09-18 00:00:00,2.0999,2.1001,2.0999,2.1001,44100.9,21000,TQBR
KRSBP,2014-09-29 00:00:00,1.9911,2.1999,1.9911,2.1999,6182.1,3000,TQBR
KRSBP,2014-10-08 00:00:00,2.1,2.1,2.08,2.1,37710.0,18000,TQBR
KRSBP,2014-10-14 00:00:00,2.04,2.1,1.55,2.09,60060.0,30000,TQBR
KRSBP,2014-10-15 00:00:00,2.03,2.03,2.02,2.02,6080.0,3000,TQBR
KRSBP,2014-10-29 00:00:00,2.01,2.01,2.01,2.01,2010.0,1000,TQBR
KRSBP,2014-10-30 00:00:00,2.01,2.02,2.0,2.0,30110.0,15000,TQBR
KRSBP,2014-10-31 00:00:00,1.96,1.96,1.89,1.9,40130.0,21000,TQBR
KRSBP,2014-11-05 00:00:00,1.9,1.9,1.9,1.9,45600.0,24000,TQBR
KRSBP,2014-11-06 00:00:00,1.94,2.0,1.94,2.0,17640.0,9000,TQBR
KRSBP,2014-11-11 00:00:00,2.4,2.4,2.0,2.4,69200.0,29000,TQBR
KRSBP,2014-11-12 00:00:00,2.3,2.3,2.3,2.3,23000.0,10000,TQBR
KRSBP,2014-11-18 00:00:00,2.01,2.01,2.0,2.0,128010.0,64000,TQBR
