ticker,tradedate,open,high,low,close,value,volume,boardid
KZOS,2014-06-09 00:00:00,6.4502,6.9986,6.45,6.45,188695.7,29000,TQBR
KZOS,2014-06-10 00:00:00,6.45,6.45,6.45,6.45,58050.0,9000,TQBR
KZOS,2014-06-11 00:00:00,6.6999,6.6999,6.3718,6.3718,86770.6,13000,TQBR
KZOS,2014-06-16 00:00:00,6.5,6.51,6.3505,6.3505,1160551.7,179000,TQBR
KZOS,2014-06-17 00:00:00,6.3102,6.3102,6.2501,6.2501,1305270.5,207000,TQBR
KZOS,2014-06-20 00:00:00,6.6998,6.7,6.4,6.4,197999.3,30000,TQBR
KZOS,2014-06-24 00:00:00,6.6935,6.6935,6.3526,6.3526,13046.1,2000,TQBR
KZOS,2014-06-27 00:00:00,6.6997,6.6997,6.6997,6.6997,66997.0,10000,TQBR
KZOS,2014-06-30 00:00:00,6.321,6.321,6.2501,6.2501,12571.1,2000,TQBR
KZOS,2014-07-01 00:00:00,6.2222,6.2222,6.2,6.2,49702.5,8000,TQBR
KZOS,2014-07-02 00:00:00,6.52,6.6997,6.5,6.6997,243707.6,37000,TQBR
KZOS,2014-07-04 00:00:00,6.4997,6.55,6.47,6.47,1168936.5,180000,TQBR
KZOS,2014-07-07 00:00:00,6.5,6.55,6.5,6.5499,78099.9,12000,TQBR
KZOS,2014-07-08 00:00:00,6.5,6.5,6.5,6.5,123500.0,19000,TQBR
KZOS,2014-07-09 00:00:00,6.5,6.55,6.5,6.55,65150.0,10000,TQBR
KZOS,2014-07-10 00:00:00,6.5,6.5,6.5,6.5,455000.0,70000,TQBR
KZOS,2014-07-16 00:00:00,6.5,6.5012,6.5,6.5011,227533.8,35000,TQBR
KZOS,2014-07-17 00:00:00,6.5011,6.7284,6.5011,6.578,263533.4,40000,TQBR
KZOS,2014-07-18 00:00:00,6.5995,6.5995,6.5995,6.5995,6599.5,1000,TQBR
KZOS,2014-07-21 00:00:00,6.5012,6.5996,6.5,6.5996,227630.7,35000,TQBR
KZOS,2014-07-22 00:00:00,6.597,6.5997,6.597,6.5997,257376.6,39000,TQBR
KZOS,2014-07-25 00:00:00,6.7,6.7,6.7,6.7,536000.0,80000,TQBR
KZOS,2014-07-29 00:00:00,6.599,7.12,6.25,6.6,1085737.4,161000,TQBR
KZOS,2014-07-30 00:00:00,6.7,7.0997,6.7,6.7001,391777.9,58000,TQBR
KZOS,2014-07-31 00:00:00,6.7875,6.7875,6.5001,6.5001,111326.5,17000,TQBR
KZOS,2014-08-04 00:00:00,7.1098,7.1098,6.75,6.75,2167361.0,321000,TQBR
KZOS,2014-08-05 00:00:00,6.75,7.13,6.75,7.1099,106009.1,15000,TQBR
KZOS,2014-08-06 00:00:00,6.4013,6.4013,6.401,6.401,32006.1,5000,TQBR
KZOS,2014-08-07 00:00:00,6.7,6.7,6.7,6.7,13400.0,2000,TQBR
KZOS,2014-08-08 00:00:00,6.6497,6.6497,6.6497,6.6497,53197.6,8000,TQBR
KZOS,2014-08-11 00:00:00,6.4011,6.91,6.0,6.3013,2453312.2,383000,TQBR
KZOS,2014-08-13 00:00:00,6.296,6.45,6.296,6.45,19046.0,3000,TQBR
KZOS,2014-08-14 00:00:00,6.5494,6.5497,6.35,6.3999,378612.70000000007,59000,TQBR
KZOS,2014-08-15 00:00:00,6.4201,6.4201,6.42,6.42,25680.1,4000,TQBR
KZOS,2014-08-19 00:00:00,6.41,6.41,6.4,6.4,25610.0,4000,TQBR
KZOS,2014-08-20 00:00:00,6.5,6.6997,6.4999,6.5997,1010354.2,153000,TQBR
KZOS,2014-08-21 00:00:00,6.5497,6.5497,6.5496,6.5496,72046.5,11000,TQBR
KZOS,2014-08-22 00:00:00,6.4998,6.4998,6.3502,6.3511,32041.2,5000,TQBR
KZOS,2014-08-25 00:00:00,6.3651,6.3999,6.36,6.3999,368943.4,58000,TQBR
KZOS,2014-08-26 00:00:00,6.54,6.6497,6.46,6.5997,810822.2000000001,123000,TQBR
KZOS,2014-08-27 00:00:00,6.6997,6.7999,6.6496,6.7999,47047.9,7000,TQBR
KZOS,2014-08-28 00:00:00,6.7998,6.7998,6.45,6.45,2983950.0,461000,TQBR
KZOS,2014-08-29 00:00:00,6.45,6.55,6.45,6.5012,2701302.5,413000,TQBR
KZOS,2014-09-01 00:00:00,6.5,6.5,6.5,6.5,351000.0,54000,TQBR
KZOS,2014-09-02 00:00:00,6.4501,6.9999,6.45,6.9999,2713695.0,420000,TQBR
KZOS,2014-09-05 00:00:00,6.5055,6.5055,6.5055,6.5055,6505.5,1000,TQBR
KZOS,2014-09-10 00:00:00,6.9995,7.0,6.7,6.701,2521624.7,371000,TQBR
KZOS,2014-09-11 00:00:00,6.9998,7.0,6.7,6.7,3308620.3,490000,TQBR
KZOS,2014-09-12 00:00:00,7.2,7.5,6.804,6.9,506070.0,69000,TQBR
KZOS,2014-09-15 00:00:00,6.67,6.9999,6.67,6.9999,550125.1,80000,TQBR
KZOS,2014-09-16 00:00:00,7.0,7.05,7.0,7.0,98200.0,14000,TQBR
KZOS,2014-09-18 00:00:00,6.85,6.9999,6.85,6.9999,34849.6,5000,TQBR
KZOS,2014-09-22 00:00:00,6.999,6.999,6.999,6.999,6999.0,1000,TQBR
KZOS,2014-09-23 00:00:00,7.1,7.1,6.75,7.1,813599.7,118000,TQBR
KZOS,2014-09-24 00:00:00,7.1167,7.6,7.05,7.25,14157685.4,1919000,TQBR
KZOS,2014-09-25 00:00:00,7.2499,7.25,7.2,7.25,101360.0,14000,TQBR
KZOS,2014-09-26 00:00:00,7.25,7.25,7.2,7.23,65180.0,9000,TQBR
KZOS,2014-09-29 00:00:00,7.25,7.25,7.1002,7.1002,122300.6,17000,TQBR
KZOS,2014-09-30 00:00:00,7.1005,7.1005,7.1002,7.1002,710025.7,100000,TQBR
KZOS,2014-10-01 00:00:00,7.0,7.0,7.0,7.0,49000.0,7000,TQBR
KZOS,2014-10-02 00:00:00,7.05,7.05,7.0,7.0,49050.0,7000,TQBR
KZOS,2014-10-03 00:00:00,7.0,7.2,6.9,7.1,599500.0,84000,TQBR
KZOS,2014-10-06 00:00:00,7.1,7.1,7.1,7.1,603500.0,85000,TQBR
KZOS,2014-10-07 00:00:00,7.1,7.1,7.0,7.1,2867020.0,409000,TQBR
KZOS,2014-10-08 00:00:00,7.01,7.33,7.0,7.05,3145050.0,448000,TQBR
KZOS,2014-10-09 00:00:00,7.1,7.1,7.0,7.0,2061630.0,294000,TQBR
KZOS,2014-10-10 00:00:00,7.03,7.03,7.03,7.03,217930.0,31000,TQBR
KZOS,2014-10-13 00:00:00,7.1,7.2,7.1,7.2,450300.0,63000,TQBR
KZOS,2014-10-14 00:00:00,7.2,8.0,7.2,8.0,12618740.0,1696000,TQBR
KZOS,2014-10-15 00:00:00,7.75,8.0,7.31,8.0,675070.0,88000,TQBR
KZOS,2014-10-16 00:00:00,7.65,7.9,7.55,7.6,521460.0,68000,TQBR
KZOS,2014-10-17 00:00:00,7.8,8.99,7.8,8.16,3094780.0,378000,TQBR
KZOS,2014-10-20 00:00:00,8.45,8.8,8.45,8.8,691210.0,81000,TQBR
KZOS,2014-10-21 00:00:00,8.95,8.95,8.95,8.95,89500.0,10000,TQBR
KZOS,2014-10-22 00:00:00,8.79,9.0,8.79,9.0,606890.0,68000,TQBR
KZOS,2014-10-24 00:00:00,8.15,8.99,8.15,8.99,1240810.0,139000,TQBR
KZOS,2014-10-27 00:00:00,8.99,9.2,8.99,9.2,81390.0,9000,TQBR
KZOS,2014-10-29 00:00:00,9.2,9.25,8.46,9.25,63260.0,7000,TQBR
KZOS,2014-10-30 00:00:00,8.78,9.48,8.75,9.48,1695380.0,189000,TQBR
KZOS,2014-11-03 00:00:00,9.2,9.25,9.2,9.25,1521150.0,165000,TQBR
KZOS,2014-11-06 00:00:00,9.0,9.37,9.0,9.37,1640240.0,178000,TQBR
KZOS,2014-11-07 00:00:00,9.3,9.5,9.0,9.0,1839120.0,204000,TQBR
KZOS,2014-11-10 00:00:00,9.37,9.48,9.0,9.1,693800.0,76000,TQBR
KZOS,2014-11-11 00:00:00,9.2,9.29,8.81,9.29,310430.0,34000,TQBR
KZOS,2014-11-13 00:00:00,9.0,9.0,9.0,9.0,81000.0,9000,TQBR
KZOS,2014-11-17 00:00:00,8.91,9.43,8.82,9.37,3830630.0,428000,TQBR
KZOS,2014-11-18 00:00:00,9.01,9.42,8.97,9.4,539770.0,59000,TQBR
KZOS,2014-11-19 00:00:00,9.4,9.4,9.4,9.4,9400.0,1000,TQBR
KZOS,2014-11-20 00:00:00,9.3,9.4,9.3,9.4,18700.0,2000,TQBR
KZOS,2014-11-21 00:00:00,9.02,9.49,9.01,9.48,131620.0,14000,TQBR
KZOS,2014-11-25 00:00:00,9.03,9.5,9.0,9.5,527240.0,57000,TQBR
KZOS,2014-11-26 00:00:00,9.25,9.3,9.25,9.3,55750.0,6000,TQBR
