ticker,tradedate,open,high,low,close,value,volume,boardid
KZOSP,2014-06-09 00:00:00,2.9592,2.9592,2.9592,2.9592,2959.2,1000,TQBR
KZOSP,2014-06-19 00:00:00,2.959,2.959,2.9589,2.9589,5917.9,2000,TQBR
KZOSP,2014-06-20 00:00:00,2.95,2.95,2.95,2.95,2950.0,1000,TQBR
KZOSP,2014-06-24 00:00:00,2.958,2.958,2.9579,2.9579,5915.9,2000,TQBR
KZOSP,2014-06-26 00:00:00,2.85,2.85,2.85,2.85,5700.0,2000,TQBR
KZOSP,2014-06-30 00:00:00,3.1623,3.1624,3.1623,3.1624,9487.1,3000,TQBR
KZOSP,2014-07-07 00:00:00,3.11,3.11,2.964,2.989,104582.6,35000,TQBR
KZOSP,2014-07-08 00:00:00,2.9421,2.9999,2.9,2.9539,173518.1,59000,TQBR
KZOSP,2014-07-09 00:00:00,2.9307,2.9307,2.9307,2.9307,2930.7,1000,TQBR
KZOSP,2014-07-10 00:00:00,2.9211,2.9211,2.9209,2.9209,67180.9,23000,TQBR
KZOSP,2014-07-11 00:00:00,2.901,2.901,2.901,2.901,2901.0,1000,TQBR
KZOSP,2014-07-14 00:00:00,3.05,3.05,3.05,3.05,3050.0,1000,TQBR
KZOSP,2014-07-15 00:00:00,2.9421,2.9421,2.9126,2.9126,5854.7,2000,TQBR
KZOSP,2014-07-17 00:00:00,2.9012,2.9012,2.901,2.901,40614.3,14000,TQBR
KZOSP,2014-07-18 00:00:00,2.91,2.91,2.91,2.91,2910.0,1000,TQBR
KZOSP,2014-07-21 00:00:00,2.9077,2.9949,2.88,2.9949,14572.6,5000,TQBR
KZOSP,2014-07-22 00:00:00,2.93,2.9499,2.93,2.9499,5879.9,2000,TQBR
KZOSP,2014-07-25 00:00:00,2.9146,2.9146,2.8855,2.8855,5800.1,2000,TQBR
KZOSP,2014-07-28 00:00:00,2.89,2.89,2.85,2.8652,207040.5,72000,TQBR
KZOSP,2014-07-29 00:00:00,2.9,2.9,2.9,2.9,2900.0,1000,TQBR
KZOSP,2014-07-30 00:00:00,2.9077,2.9077,2.9077,2.9077,2907.7,1000,TQBR
KZOSP,2014-07-31 00:00:00,2.8002,2.8749,2.8002,2.8498,224177.2,79000,TQBR
KZOSP,2014-08-01 00:00:00,2.87,2.87,2.87,2.87,31570.0,11000,TQBR
KZOSP,2014-08-04 00:00:00,2.8501,2.8501,2.8501,2.8501,2850.1,1000,TQBR
KZOSP,2014-08-05 00:00:00,2.84,2.84,2.84,2.84,99400.0,35000,TQBR
KZOSP,2014-08-06 00:00:00,2.8211,2.8211,2.802,2.802,28039.2,10000,TQBR
KZOSP,2014-08-07 00:00:00,2.8101,2.8497,2.81,2.8497,172942.0,61000,TQBR
KZOSP,2014-08-08 00:00:00,2.808,2.808,2.808,2.808,2808.0,1000,TQBR
KZOSP,2014-08-11 00:00:00,3.0856,3.0885,2.85,2.85,75051.4,25000,TQBR
KZOSP,2014-08-13 00:00:00,2.8571,2.8571,2.8498,2.85,153906.4,54000,TQBR
KZOSP,2014-08-15 00:00:00,2.8501,2.8501,2.85,2.85,133950.8,47000,TQBR
KZOSP,2014-08-18 00:00:00,2.8667,2.8667,2.8667,2.8667,2866.7,1000,TQBR
KZOSP,2014-08-22 00:00:00,2.8667,2.8667,2.8667,2.8667,2866.7,1000,TQBR
KZOSP,2014-08-25 00:00:00,2.867,2.867,2.867,2.867,2867.0,1000,TQBR
KZOSP,2014-08-26 00:00:00,3.0,3.0998,3.0,3.0549,99506.6,33000,TQBR
KZOSP,2014-08-28 00:00:00,2.91,2.91,2.91,2.91,5820.0,2000,TQBR
KZOSP,2014-08-29 00:00:00,2.905,2.905,2.8421,2.8998,358458.8,124000,TQBR
KZOSP,2014-09-01 00:00:00,2.9,2.9,2.9,2.9,133400.0,46000,TQBR
KZOSP,2014-09-02 00:00:00,2.9,2.9,2.87,2.87,17370.0,6000,TQBR
KZOSP,2014-09-04 00:00:00,2.9,2.9,2.9,2.9,55100.0,19000,TQBR
KZOSP,2014-09-09 00:00:00,2.9,2.93,2.8952,2.8952,66668.8,23000,TQBR
KZOSP,2014-09-10 00:00:00,2.9,2.9,2.9,2.9,5800.0,2000,TQBR
