ticker,tradedate,open,high,low,close,value,volume,boardid
LMBZ,2024-10-30 00:00:00,430.0,473.4,401.0,426.0,10202382.75,23981,TQBR
LMBZ,2024-10-31 00:00:00,428.2,428.2,415.15,424.9,2556063.05,6024,TQBR
LMBZ,2024-11-01 00:00:00,425.95,428.0,415.25,427.0,778365.8,1830,TQBR
LMBZ,2024-11-02 00:00:00,428.0,440.0,420.0,426.3,605456.55,1418,TQBR
LMBZ,2024-11-05 00:00:00,426.25,450.0,422.5,425.2,230087.45,538,TQBR
LMBZ,2024-11-06 00:00:00,425.2,432.95,422.05,424.0,2339178.85,5450,TQBR
LMBZ,2024-11-07 00:00:00,424.0,435.1,416.0,425.55,1968860.6,4590,TQBR
LMBZ,2024-11-08 00:00:00,425.55,430.0,422.0,422.3,546530.2,1286,TQBR
LMBZ,2024-11-11 00:00:00,422.15,425.55,420.0,424.35,310830.05,737,TQBR
LMBZ,2024-11-12 00:00:00,421.35,425.8,421.25,425.0,142671.5,336,TQBR
LMBZ,2024-11-13 00:00:00,425.05,428.5,421.95,425.0,783137.95,1846,TQBR
LMBZ,2024-11-14 00:00:00,422.05,425.95,422.0,422.15,297178.6,703,TQBR
LMBZ,2024-11-15 00:00:00,422.05,425.5,421.5,425.5,886731.9,2087,TQBR
LMBZ,2024-11-18 00:00:00,426.0,430.05,421.3,426.9,2519382.75,5899,TQBR
LMBZ,2024-11-19 00:00:00,423.7,427.95,422.3,425.9,1917899.25,4491,TQBR
LMBZ,2024-11-20 00:00:00,420.55,427.3,420.05,422.05,2797001.4,6561,TQBR
LMBZ,2024-11-21 00:00:00,420.7,423.9,420.0,423.7,200505.0,477,TQBR
LMBZ,2024-11-22 00:00:00,421.25,430.0,421.25,426.7,743448.55,1740,TQBR
LMBZ,2024-11-25 00:00:00,426.7,430.1,422.15,428.2,2532679.4,5909,TQBR
LMBZ,2024-11-26 00:00:00,430.0,438.2,420.0,428.5,2034817.8,4764,TQBR
LMBZ,2024-11-27 00:00:00,422.25,430.0,420.15,424.55,1313812.45,3067,TQBR
