ticker,tradedate,open,high,low,close,value,volume,boardid
LPSB,2014-08-15 00:00:00,1.6,1.6,1.6,1.6,1600.0,1000,TQBR
LPSB,2014-08-21 00:00:00,1.6,1.6,1.6,1.6,1600.0,1000,TQBR
LPSB,2014-11-05 00:00:00,1.6,1.6,1.6,1.6,3200.0,2000,TQBR
LPSB,2014-12-15 00:00:00,3.35,3.35,3.35,3.35,3350.0,1000,TQBR
LPSB,2015-04-01 00:00:00,3.5,3.5,3.5,3.5,3500.0,1000,TQBR
LPSB,2015-05-05 00:00:00,2.34,2.34,2.34,2.34,2340.0,1000,TQBR
LPSB,2015-05-08 00:00:00,3.88,8.96,3.88,8.96,12840.0,2000,TQBR
LPSB,2015-06-05 00:00:00,3.24,5.95,3.24,5.95,59710.0,12000,TQBR
LPSB,2015-06-18 00:00:00,4.44,6.81,4.44,6.81,44340.0,7000,TQBR
LPSB,2015-06-22 00:00:00,7.4,8.76,7.4,8.76,16160.0,2000,TQBR
LPSB,2015-06-23 00:00:00,9.97,9.97,6.2,9.93,26100.0,3000,TQBR
LPSB,2015-06-25 00:00:00,5.87,5.87,5.0,5.33,16200.0,3000,TQBR
LPSB,2015-06-26 00:00:00,5.5,5.5,5.5,5.5,5500.0,1000,TQBR
LPSB,2015-07-01 00:00:00,5.27,5.27,5.22,5.22,10490.0,2000,TQBR
LPSB,2015-07-30 00:00:00,5.22,5.22,5.22,5.22,5220.0,1000,TQBR
LPSB,2015-09-15 00:00:00,5.0,5.22,5.0,5.22,15220.0,3000,TQBR
LPSB,2015-12-07 00:00:00,5.02,5.02,5.02,5.02,5020.0,1000,TQBR
LPSB,2016-01-12 00:00:00,4.64,4.76,4.64,4.76,27960.0,6000,TQBR
LPSB,2016-01-13 00:00:00,4.65,4.65,4.65,4.65,4650.0,1000,TQBR
LPSB,2016-01-14 00:00:00,4.64,4.64,4.64,4.64,4640.0,1000,TQBR
LPSB,2016-01-18 00:00:00,3.41,3.82,3.41,3.82,14460.0,4000,TQBR
LPSB,2016-01-19 00:00:00,3.71,3.71,3.71,3.71,7420.0,2000,TQBR
LPSB,2016-01-20 00:00:00,3.42,3.42,3.41,3.41,6830.0,2000,TQBR
LPSB,2016-01-26 00:00:00,3.41,3.41,3.41,3.41,3410.0,1000,TQBR
LPSB,2016-01-28 00:00:00,3.54,3.7,3.54,3.7,7240.0,2000,TQBR
LPSB,2016-02-01 00:00:00,3.3,4.78,3.3,4.47,35960.0,9000,TQBR
LPSB,2016-02-04 00:00:00,5.45,5.45,5.45,5.45,5450.0,1000,TQBR
LPSB,2016-02-16 00:00:00,4.0,4.0,4.0,4.0,4000.0,1000,TQBR
LPSB,2016-02-24 00:00:00,3.85,3.85,3.85,3.85,3850.0,1000,TQBR
LPSB,2016-02-26 00:00:00,3.81,3.81,3.81,3.81,22860.0,6000,TQBR
LPSB,2016-03-04 00:00:00,3.93,3.93,3.92,3.92,7850.0,2000,TQBR
LPSB,2016-03-09 00:00:00,4.04,4.05,4.04,4.05,8090.0,2000,TQBR
LPSB,2016-03-11 00:00:00,4.18,4.18,4.18,4.18,4180.0,1000,TQBR
LPSB,2016-03-15 00:00:00,4.07,4.07,4.07,4.07,4070.0,1000,TQBR
LPSB,2016-03-21 00:00:00,4.24,5.41,4.24,5.2,66360.0,13000,TQBR
LPSB,2016-03-23 00:00:00,4.56,4.84,4.08,4.73,67990.0,15000,TQBR
LPSB,2016-03-28 00:00:00,4.41,4.41,4.41,4.41,4410.0,1000,TQBR
