ticker,tradedate,open,high,low,close,value,volume,boardid
LVHK,2014-06-09 00:00:00,10.82,10.82,10.67,10.79,736221.8,68200,TQBR
LVHK,2014-06-10 00:00:00,10.78,10.79,10.47,10.79,476136.6,44200,TQBR
LVHK,2014-06-11 00:00:00,10.55,11.0,10.32,10.703,350134.4,33200,TQBR
LVHK,2014-06-16 00:00:00,10.749,10.75,10.36,10.36,308454.9,28800,TQBR
LVHK,2014-06-17 00:00:00,10.4,10.4,10.1,10.1,149108.3,14400,TQBR
LVHK,2014-06-18 00:00:00,10.3,10.3,10.1,10.15,32451.1,3200,TQBR
LVHK,2014-06-19 00:00:00,10.642,10.642,10.1,10.11,347884.9,33800,TQBR
LVHK,2014-06-20 00:00:00,10.05,10.05,10.02,10.02,11034.6,1100,TQBR
LVHK,2014-06-23 00:00:00,10.0,10.4,10.0,10.245,450317.0,44100,TQBR
LVHK,2014-06-24 00:00:00,10.255,10.398,10.255,10.387,340712.0,33200,TQBR
LVHK,2014-06-25 00:00:00,10.35,10.4,10.301,10.4,334763.1,32300,TQBR
LVHK,2014-06-26 00:00:00,10.42,10.45,10.41,10.45,178440.0,17100,TQBR
LVHK,2014-06-27 00:00:00,10.35,10.499,10.32,10.32,189134.9,18300,TQBR
LVHK,2014-06-30 00:00:00,10.5,10.5,10.45,10.45,289194.9,27600,TQBR
LVHK,2014-07-01 00:00:00,10.55,10.55,10.5,10.55,433934.9,41200,TQBR
LVHK,2014-07-02 00:00:00,10.49,10.5,10.4,10.48,258983.7,24700,TQBR
LVHK,2014-07-03 00:00:00,10.495,10.533,10.495,10.5,343301.3,32700,TQBR
LVHK,2014-07-04 00:00:00,10.45,10.777,10.45,10.49,529924.6,50500,TQBR
LVHK,2014-07-07 00:00:00,10.55,10.57,10.51,10.51,444718.0,42200,TQBR
LVHK,2014-07-08 00:00:00,10.5,10.5,10.5,10.5,478800.0,45600,TQBR
LVHK,2014-07-09 00:00:00,10.5,10.5,10.5,10.5,316050.0,30100,TQBR
LVHK,2014-07-10 00:00:00,11.149,11.149,10.502,10.6,389155.0,36700,TQBR
LVHK,2014-07-11 00:00:00,10.55,10.55,10.419,10.55,296395.8,28100,TQBR
LVHK,2014-07-14 00:00:00,10.45,10.47,10.45,10.47,415293.0,39700,TQBR
LVHK,2014-07-15 00:00:00,10.47,10.55,10.47,10.55,280829.0,26700,TQBR
LVHK,2014-07-16 00:00:00,10.55,10.55,10.55,10.55,74905.0,7100,TQBR
LVHK,2014-07-17 00:00:00,10.45,10.47,10.45,10.47,260525.0,24900,TQBR
LVHK,2014-07-18 00:00:00,10.4,10.47,10.4,10.44,863782.0,82600,TQBR
LVHK,2014-07-21 00:00:00,10.41,10.549,10.4,10.4,529497.5,50900,TQBR
LVHK,2014-07-22 00:00:00,10.42,10.43,10.4,10.4,474777.0,45600,TQBR
LVHK,2014-07-23 00:00:00,10.41,10.42,10.41,10.42,571979.0,54900,TQBR
LVHK,2014-07-24 00:00:00,10.43,10.44,10.43,10.44,677459.0,64900,TQBR
