ticker,tradedate,open,high,low,close,value,volume,boardid
MFGS,2014-06-10 00:00:00,529.6,529.6,501.1,501.1,201042.0,400,TQBR
MFGS,2014-06-11 00:00:00,506.1,506.1,502.0,502.0,20181.0,40,TQBR
MFGS,2014-06-16 00:00:00,517.8,517.8,517.6,517.6,15532.0,30,TQBR
MFGS,2014-06-17 00:00:00,516.0,545.0,510.0,529.9,311357.0,590,TQBR
MFGS,2014-06-18 00:00:00,541.4,541.7,541.4,541.7,162503.0,300,TQBR
MFGS,2014-06-19 00:00:00,535.0,540.0,515.0,528.1,374560.0,700,TQBR
MFGS,2014-06-23 00:00:00,525.1,555.0,525.0,550.0,197528.0,360,TQBR
MFGS,2014-06-24 00:00:00,530.1,530.2,530.0,530.2,206706.0,390,TQBR
MFGS,2014-06-26 00:00:00,513.0,513.0,513.0,513.0,10260.0,20,TQBR
MFGS,2014-06-27 00:00:00,513.1,539.7,510.0,539.7,51489.0,100,TQBR
MFGS,2014-07-02 00:00:00,534.9,534.9,530.5,533.2,42511.0,80,TQBR
MFGS,2014-07-04 00:00:00,530.0,559.5,504.0,528.2,283012.0,540,TQBR
MFGS,2014-07-08 00:00:00,510.1,525.0,510.1,520.9,15560.0,30,TQBR
MFGS,2014-07-15 00:00:00,529.9,530.0,517.9,530.0,111057.0,210,TQBR
MFGS,2014-07-16 00:00:00,539.7,569.0,539.7,560.0,1034101.0,1850,TQBR
MFGS,2014-07-17 00:00:00,560.0,560.0,550.0,551.0,476011.0,860,TQBR
MFGS,2014-07-18 00:00:00,545.6,548.1,545.5,548.1,311042.0,570,TQBR
MFGS,2014-07-21 00:00:00,545.0,560.0,545.0,560.0,460368.0,830,TQBR
MFGS,2014-07-22 00:00:00,560.0,580.0,560.0,560.0,966600.0,1690,TQBR
MFGS,2014-07-23 00:00:00,560.0,560.0,560.0,560.0,168000.0,300,TQBR
MFGS,2014-07-24 00:00:00,553.1,553.1,553.0,553.0,82953.0,150,TQBR
MFGS,2014-07-25 00:00:00,560.0,560.0,560.0,560.0,56000.0,100,TQBR
MFGS,2014-07-29 00:00:00,564.8,565.0,564.8,565.0,299442.0,530,TQBR
MFGS,2014-07-30 00:00:00,567.4,570.0,567.4,570.0,125243.0,220,TQBR
MFGS,2014-07-31 00:00:00,566.0,567.0,566.0,567.0,101920.0,180,TQBR
MFGS,2014-08-04 00:00:00,575.0,575.0,551.0,551.0,156690.0,280,TQBR
MFGS,2014-08-05 00:00:00,570.0,583.7,570.0,579.9,1007102.0,1740,TQBR
MFGS,2014-08-06 00:00:00,579.9,587.0,579.9,587.0,203066.0,350,TQBR
MFGS,2014-08-12 00:00:00,599.7,600.0,599.7,600.0,113995.0,190,TQBR
MFGS,2014-08-13 00:00:00,571.1,571.1,571.0,571.0,22841.0,40,TQBR
MFGS,2014-08-14 00:00:00,599.9,615.0,583.1,583.1,583111.0,980,TQBR
MFGS,2014-08-19 00:00:00,584.8,585.0,584.8,585.0,70187.0,120,TQBR
MFGS,2014-08-20 00:00:00,593.0,625.0,593.0,625.0,211579.0,350,TQBR
MFGS,2014-08-21 00:00:00,625.0,637.7,615.2,615.2,50080.0,80,TQBR
MFGS,2014-08-25 00:00:00,634.9,634.9,615.6,615.6,50113.0,80,TQBR
