ticker,tradedate,open,high,low,close,value,volume,boardid
MSRS,2009-02-19 00:00:00,0.95,1.11,0.915,1.05,9987306.2,9269200,TQBR
MSRS,2009-02-20 00:00:00,1.05,1.1,0.95,1.045,5355247.4,5112400,TQBR
MSRS,2009-02-24 00:00:00,0.955,1.04,0.955,1.0,201347.9,204100,TQBR
MSRS,2009-02-25 00:00:00,0.999,1.039,0.94,0.997,531074.1,542600,TQBR
MSRS,2009-02-26 00:00:00,0.999,1.007,0.95,0.995,182462.6,183700,TQBR
MSRS,2009-02-27 00:00:00,0.965,0.994,0.964,0.981,1257834.6,1302500,TQBR
MSRS,2009-03-02 00:00:00,0.994,0.994,0.93,0.959,332985.1,355300,TQBR
MSRS,2009-03-03 00:00:00,0.96,0.974,0.921,0.96,596231.5,627100,TQBR
MSRS,2009-03-04 00:00:00,0.957,0.97,0.94,0.962,883944.6,923100,TQBR
MSRS,2009-03-05 00:00:00,0.976,0.99,0.934,0.975,937643.5,949300,TQBR
MSRS,2009-03-06 00:00:00,0.97,0.979,0.922,0.974,258785.8,271200,TQBR
MSRS,2009-03-10 00:00:00,0.93,1.26,0.915,1.034,11615513.0,10603400,TQBR
MSRS,2009-03-11 00:00:00,1.002,1.1,0.995,1.061,4243315.2,3954200,TQBR
MSRS,2009-03-12 00:00:00,1.056,1.056,0.987,0.998,788989.7,768600,TQBR
MSRS,2009-03-13 00:00:00,1.0,1.04,0.973,1.019,337014.9,334500,TQBR
MSRS,2009-03-16 00:00:00,1.02,1.049,0.97,0.97,328527.7,336700,TQBR
MSRS,2009-03-17 00:00:00,0.997,1.017,0.955,0.979,615379.1,633600,TQBR
MSRS,2009-03-18 00:00:00,0.991,1.024,0.964,0.99,4861456.9,4924400,TQBR
MSRS,2009-03-19 00:00:00,0.99,0.997,0.975,0.996,223122.9,227700,TQBR
MSRS,2009-03-20 00:00:00,0.989,0.989,0.937,0.965,526463.7,549300,TQBR
MSRS,2009-03-23 00:00:00,0.971,0.998,0.942,0.96,667285.1,681400,TQBR
MSRS,2009-03-24 00:00:00,0.951,0.975,0.921,0.938,175665.9,187600,TQBR
MSRS,2009-03-25 00:00:00,0.941,0.969,0.912,0.929,143408.0,155900,TQBR
MSRS,2009-03-26 00:00:00,0.93,0.935,0.902,0.91,530102.1,576800,TQBR
MSRS,2009-03-27 00:00:00,0.929,0.945,0.88,0.896,1173975.9,1308300,TQBR
MSRS,2009-03-30 00:00:00,0.9,0.9,0.802,0.815,3791138.4,4573100,TQBR
MSRS,2009-03-31 00:00:00,0.81,0.85,0.8,0.829,2693118.6,3248900,TQBR
MSRS,2009-04-01 00:00:00,0.848,0.889,0.83,0.879,295045.3,342300,TQBR
MSRS,2009-04-02 00:00:00,0.897,0.898,0.86,0.894,177119.3,201000,TQBR
MSRS,2009-04-03 00:00:00,0.868,0.878,0.835,0.85,3294098.8,3888200,TQBR
MSRS,2009-04-06 00:00:00,0.891,0.891,0.85,0.853,1461616.9,1711000,TQBR
MSRS,2009-04-07 00:00:00,0.85,0.859,0.844,0.859,65344.1,77000,TQBR
MSRS,2009-04-08 00:00:00,0.857,0.864,0.842,0.85,1721735.1,2024600,TQBR
MSRS,2009-04-09 00:00:00,0.855,0.867,0.83,0.837,4074057.3,4854600,TQBR
MSRS,2009-04-10 00:00:00,0.835,0.924,0.828,0.915,11381144.1,12776500,TQBR
MSRS,2009-04-13 00:00:00,0.915,0.975,0.906,0.972,19853897.1,20844400,TQBR
MSRS,2009-04-14 00:00:00,0.974,1.0,0.93,0.93,12504726.7,12711500,TQBR
MSRS,2009-04-15 00:00:00,0.95,0.98,0.925,0.972,4716481.8,4990000,TQBR
MSRS,2009-04-16 00:00:00,0.965,0.975,0.93,0.957,1944453.5,2051300,TQBR
MSRS,2009-04-17 00:00:00,0.969,0.97,0.933,0.938,2071861.6,2182200,TQBR
MSRS,2009-04-20 00:00:00,0.941,0.95,0.901,0.903,4011941.0,4324200,TQBR
MSRS,2009-04-21 00:00:00,0.902,0.92,0.85,0.88,2484011.1,2841900,TQBR
