ticker,tradedate,open,high,low,close,value,volume,boardid
MVID,2014-06-09 00:00:00,259.5,262.7,245.11,254.45,16373111.6,63820,TQBR
MVID,2014-06-10 00:00:00,255.99,260.0,251.51,256.0,18453277.8,72120,TQBR
MVID,2014-06-11 00:00:00,258.42,258.83,253.0,258.64,20511923.3,80100,TQBR
MVID,2014-06-16 00:00:00,259.99,272.12,253.0,265.0,78152684.9,295000,TQBR
MVID,2014-06-17 00:00:00,265.99,270.0,260.0,263.2,15192947.0,57790,TQBR
MVID,2014-06-18 00:00:00,260.77,285.0,260.61,270.0,52238436.1,193370,TQBR
MVID,2014-06-19 00:00:00,274.89,278.0,269.5,274.6,19001885.8,69640,TQBR
MVID,2014-06-20 00:00:00,276.41,278.0,272.17,273.8,40159929.9,146170,TQBR
MVID,2014-06-23 00:00:00,275.09,275.3,269.3,270.4,6182145.0,22690,TQBR
MVID,2014-06-24 00:00:00,263.64,278.89,263.64,269.99,18941393.0,70180,TQBR
MVID,2014-06-25 00:00:00,271.81,272.96,265.01,268.0,13273870.9,49350,TQBR
MVID,2014-06-26 00:00:00,268.62,270.9,268.19,269.13,12652574.8,46950,TQBR
MVID,2014-06-27 00:00:00,270.74,270.74,266.0,266.84,18780122.7,70250,TQBR
MVID,2014-06-30 00:00:00,266.84,272.46,261.71,269.92,23184641.6,87810,TQBR
MVID,2014-07-01 00:00:00,265.01,268.8,263.03,267.0,34206228.7,128320,TQBR
MVID,2014-07-02 00:00:00,264.02,273.45,264.02,268.98,36315402.0,134900,TQBR
MVID,2014-07-03 00:00:00,253.69,256.36,252.0,255.5,56312554.1,221270,TQBR
MVID,2014-07-04 00:00:00,255.33,257.49,254.65,254.65,13171085.8,51400,TQBR
MVID,2014-07-07 00:00:00,255.08,257.02,253.6,256.74,22602497.1,88030,TQBR
MVID,2014-07-08 00:00:00,255.71,257.0,255.19,256.1,16385542.0,63930,TQBR
MVID,2014-07-09 00:00:00,256.0,256.99,255.0,255.99,10627685.6,41580,TQBR
MVID,2014-07-10 00:00:00,256.8,256.8,248.53,249.21,40559166.6,160810,TQBR
MVID,2014-07-11 00:00:00,250.85,251.39,245.95,245.95,15271378.8,61370,TQBR
MVID,2014-07-14 00:00:00,247.5,253.5,246.01,252.83,11086532.8,44150,TQBR
MVID,2014-07-15 00:00:00,252.61,257.2,248.68,250.54,19339606.7,77050,TQBR
