ticker,tradedate,open,high,low,close,value,volume,boardid
NFAZ,2014-06-16 00:00:00,119.0,119.0,119.0,119.0,11900,100,TQBR
NFAZ,2014-06-20 00:00:00,120.0,120.0,120.0,120.0,24000,200,TQBR
NFAZ,2014-06-26 00:00:00,129.0,129.0,129.0,129.0,38700,300,TQBR
NFAZ,2014-06-27 00:00:00,130.0,130.0,130.0,130.0,39000,300,TQBR
NFAZ,2014-07-03 00:00:00,134.0,134.0,134.0,134.0,29480,220,TQBR
NFAZ,2014-07-10 00:00:00,134.0,134.0,134.0,134.0,2680,20,TQBR
NFAZ,2014-07-11 00:00:00,134.0,134.0,134.0,134.0,13400,100,TQBR
NFAZ,2014-07-22 00:00:00,133.0,133.0,133.0,133.0,13300,100,TQBR
NFAZ,2014-10-31 00:00:00,105.0,105.0,104.5,104.5,26240,250,TQBR
NFAZ,2014-11-03 00:00:00,100.0,105.0,94.5,105.0,144160,1500,TQBR
NFAZ,2014-11-06 00:00:00,105.0,107.0,105.0,107.0,13710,130,TQBR
NFAZ,2014-11-14 00:00:00,107.0,117.0,107.0,117.0,61110,530,TQBR
NFAZ,2014-11-17 00:00:00,129.0,137.0,129.0,137.0,2660,20,TQBR
NFAZ,2014-11-27 00:00:00,139.0,139.0,139.0,139.0,2780,20,TQBR
NFAZ,2014-12-02 00:00:00,139.0,139.0,94.5,139.0,57935,420,TQBR
NFAZ,2014-12-04 00:00:00,96.0,96.0,96.0,96.0,960,10,TQBR
NFAZ,2014-12-05 00:00:00,100.0,100.5,100.0,100.0,44005,440,TQBR
NFAZ,2014-12-09 00:00:00,95.0,95.0,95.0,95.0,76000,800,TQBR
NFAZ,2014-12-10 00:00:00,100.0,100.0,100.0,100.0,30000,300,TQBR
NFAZ,2014-12-11 00:00:00,112.5,113.0,112.5,113.0,3385,30,TQBR
NFAZ,2014-12-19 00:00:00,100.0,100.0,100.0,100.0,20000,200,TQBR
NFAZ,2014-12-25 00:00:00,100.0,100.0,100.0,100.0,3000,30,TQBR
NFAZ,2014-12-26 00:00:00,100.0,100.0,100.0,100.0,50000,500,TQBR
NFAZ,2015-01-05 00:00:00,90.5,119.0,85.5,88.5,10395,100,TQBR
NFAZ,2015-01-06 00:00:00,113.5,113.5,111.0,113.5,6735,60,TQBR
