ticker,tradedate,open,high,low,close,value,volume,boardid
NKNC,2014-06-09 00:00:00,23.234,23.234,21.515,22.0,1505378.8,68000,TQBR
NKNC,2014-06-10 00:00:00,21.697,22.0,21.499,21.969,1748604.0,81200,TQBR
NKNC,2014-06-11 00:00:00,21.9,22.101,21.501,22.101,1075208.5,49400,TQBR
NKNC,2014-06-16 00:00:00,21.715,22.187,21.712,22.168,61460.4,2800,TQBR
NKNC,2014-06-17 00:00:00,21.756,22.17,21.501,22.001,351681.0,16000,TQBR
NKNC,2014-06-18 00:00:00,22.745,22.76,22.745,22.747,370779.0,16300,TQBR
NKNC,2014-06-19 00:00:00,22.719,22.997,22.452,22.46,143925.5,6300,TQBR
NKNC,2014-06-20 00:00:00,22.995,22.997,22.611,22.611,391462.1,17100,TQBR
NKNC,2014-06-23 00:00:00,22.231,22.231,21.985,21.992,37695.1,1700,TQBR
NKNC,2014-06-24 00:00:00,22.941,22.941,21.751,22.737,674138.0,30400,TQBR
NKNC,2014-06-25 00:00:00,22.64,22.64,21.982,22.1,1213812.9,54900,TQBR
NKNC,2014-06-26 00:00:00,21.899,22.495,21.516,21.516,556373.2,25500,TQBR
NKNC,2014-06-27 00:00:00,21.912,22.0,21.912,22.0,81264.3,3700,TQBR
NKNC,2014-06-30 00:00:00,21.999,21.999,21.999,21.999,2199.9,100,TQBR
NKNC,2014-07-01 00:00:00,21.811,21.879,21.501,21.862,396452.2,18400,TQBR
NKNC,2014-07-02 00:00:00,21.94,21.94,21.356,21.5,557201.7,25900,TQBR
NKNC,2014-07-03 00:00:00,21.5,21.79,21.395,21.6,184758.8,8600,TQBR
NKNC,2014-07-04 00:00:00,21.611,21.816,21.562,21.562,49880.7,2300,TQBR
NKNC,2014-07-07 00:00:00,21.35,21.99,21.35,21.699,89862.9,4100,TQBR
NKNC,2014-07-08 00:00:00,22.06,22.097,22.06,22.097,4415.7,200,TQBR
NKNC,2014-07-10 00:00:00,22.0,22.0,22.0,22.0,13200.0,600,TQBR
NKNC,2014-07-11 00:00:00,21.522,21.522,21.247,21.5,68792.5,3200,TQBR
NKNC,2014-07-14 00:00:00,21.499,21.5,20.999,21.004,1027992.2,48900,TQBR
NKNC,2014-07-15 00:00:00,21.053,21.342,21.053,21.342,35902.1,1700,TQBR
NKNC,2014-07-16 00:00:00,21.041,21.997,21.0,21.8,1214449.7,55400,TQBR
NKNC,2014-07-17 00:00:00,21.52,21.52,21.519,21.519,6455.8,300,TQBR
NKNC,2014-07-18 00:00:00,21.043,21.3,21.043,21.3,23292.0,1100,TQBR
NKNC,2014-07-21 00:00:00,21.062,21.297,20.714,20.85,31493.3,1500,TQBR
NKNC,2014-07-22 00:00:00,21.075,21.078,20.8,21.0,383129.9,18300,TQBR
NKNC,2014-07-23 00:00:00,20.708,20.708,20.706,20.706,8282.6,400,TQBR
NKNC,2014-07-24 00:00:00,21.833,21.85,20.72,21.1,2803590.5,131500,TQBR
NKNC,2014-07-25 00:00:00,22.218,22.218,21.0,21.0,500709.0,23700,TQBR
NKNC,2014-07-28 00:00:00,21.151,21.151,21.151,21.151,10575.5,500,TQBR
NKNC,2014-07-29 00:00:00,20.753,21.54,20.753,21.54,39915.1,1900,TQBR
NKNC,2014-07-30 00:00:00,21.07,21.69,21.07,21.69,95022.4,4500,TQBR
NKNC,2014-07-31 00:00:00,21.399,21.399,21.0,21.239,21064.1,1000,TQBR
NKNC,2014-08-01 00:00:00,21.325,21.325,20.92,21.199,25379.8,1200,TQBR
NKNC,2014-08-04 00:00:00,21.0,21.0,20.6,20.6,72638.4,3500,TQBR
NKNC,2014-08-05 00:00:00,22.097,22.097,20.592,20.592,216309.8,10400,TQBR
NKNC,2014-08-06 00:00:00,20.5,20.5,20.5,20.5,14350.0,700,TQBR
NKNC,2014-08-07 00:00:00,21.5,21.59,20.25,20.252,2672545.8,125800,TQBR
NKNC,2014-08-08 00:00:00,20.219,20.782,20.219,20.782,16520.3,800,TQBR
NKNC,2014-08-11 00:00:00,20.8,20.8,20.301,20.301,42889.4,2100,TQBR
NKNC,2014-08-12 00:00:00,20.751,21.0,20.694,20.898,114882.3,5500,TQBR
NKNC,2014-08-13 00:00:00,21.234,21.75,21.0,21.0,355800.7,16700,TQBR
NKNC,2014-08-14 00:00:00,20.897,21.3,20.7,21.3,136808.5,6500,TQBR
NKNC,2014-08-15 00:00:00,20.689,21.45,20.682,21.45,116124.5,5500,TQBR
NKNC,2014-08-19 00:00:00,20.717,21.443,20.63,20.761,1048353.2,50600,TQBR
NKNC,2014-08-20 00:00:00,21.0,21.0,20.747,20.747,22872.3,1100,TQBR
NKNC,2014-08-21 00:00:00,20.8,20.8,20.712,20.712,8293.6,400,TQBR
NKNC,2014-08-22 00:00:00,21.01,21.375,20.3,20.3,405099.0,19900,TQBR
NKNC,2014-08-25 00:00:00,21.539,21.539,20.216,20.499,221497.6,10800,TQBR
