ticker,tradedate,open,high,low,close,value,volume,boardid
NKSH,2014-06-09 00:00:00,10.336,10.336,9.5,9.5,12319.6,1200,TQBR
NKSH,2014-06-11 00:00:00,10.015,10.015,10.015,10.015,1001.5,100,TQBR
NKSH,2014-06-16 00:00:00,10.26,10.44,10.26,10.44,3096.0,300,TQBR
NKSH,2014-06-17 00:00:00,10.0,10.0,9.575,9.575,9665.4,1000,TQBR
NKSH,2014-06-19 00:00:00,10.0,10.0,9.999,10.0,10999.9,1100,TQBR
NKSH,2014-06-20 00:00:00,10.298,10.75,9.522,10.0,57698.8,5400,TQBR
NKSH,2014-06-23 00:00:00,10.0,10.399,10.0,10.399,2039.9,200,TQBR
NKSH,2014-06-24 00:00:00,10.398,10.399,9.81,9.81,34217.3,3300,TQBR
NKSH,2014-06-26 00:00:00,10.57,10.57,10.57,10.57,3171.0,300,TQBR
NKSH,2014-07-01 00:00:00,9.756,9.756,9.756,9.756,975.6,100,TQBR
NKSH,2014-07-02 00:00:00,10.499,13.2,10.0,10.011,513599.7,48800,TQBR
NKSH,2014-07-03 00:00:00,10.1,10.1,9.98,9.98,41284.7,4100,TQBR
NKSH,2014-07-04 00:00:00,10.1,10.1,10.099,10.1,31309.9,3100,TQBR
NKSH,2014-07-07 00:00:00,9.98,9.98,9.98,9.98,22954.0,2300,TQBR
NKSH,2014-07-09 00:00:00,10.24,10.241,10.24,10.241,13312.5,1300,TQBR
NKSH,2014-07-18 00:00:00,9.84,9.84,9.84,9.84,984.0,100,TQBR
NKSH,2014-07-21 00:00:00,9.834,9.834,9.833,9.833,4916.6,500,TQBR
NKSH,2014-07-24 00:00:00,9.833,9.833,8.581,8.581,10415.0,1100,TQBR
NKSH,2014-07-25 00:00:00,9.015,9.015,9.015,9.015,901.5,100,TQBR
NKSH,2014-07-29 00:00:00,9.98,9.98,9.98,9.98,998.0,100,TQBR
NKSH,2014-07-30 00:00:00,8.734,9.98,8.721,8.783,68224.2,7500,TQBR
NKSH,2014-08-01 00:00:00,9.494,10.525,9.494,10.525,10014.4,1000,TQBR
NKSH,2014-08-05 00:00:00,9.5,11.777,9.5,11.777,36217.0,3500,TQBR
NKSH,2014-08-07 00:00:00,11.707,11.707,8.878,10.999,41346.8,4300,TQBR
NKSH,2014-08-08 00:00:00,10.0,10.001,10.0,10.001,2000.1,200,TQBR
NKSH,2014-08-11 00:00:00,11.5,11.5,9.983,9.984,13283.9,1300,TQBR
NKSH,2014-08-13 00:00:00,9.139,9.986,8.556,9.6,170326.70000000004,19000,TQBR
NKSH,2014-08-15 00:00:00,9.499,9.999,9.499,9.999,115029.6,12100,TQBR
NKSH,2014-08-18 00:00:00,9.511,10.366,9.51,10.366,10546.7,1100,TQBR
NKSH,2014-08-19 00:00:00,9.1,10.695,8.64,10.695,35438.8,3700,TQBR
NKSH,2014-08-20 00:00:00,10.656,10.656,9.521,9.521,2017.7,200,TQBR
NKSH,2014-08-21 00:00:00,10.485,10.485,10.485,10.485,1048.5,100,TQBR
NKSH,2014-08-22 00:00:00,10.657,10.657,10.657,10.657,1065.7,100,TQBR
NKSH,2014-08-26 00:00:00,9.61,11.467,9.61,11.467,35440.8,3400,TQBR
NKSH,2014-09-01 00:00:00,9.601,9.601,9.601,9.601,960.1,100,TQBR
NKSH,2014-09-04 00:00:00,11.0,11.0,9.8,10.962,3176.2,300,TQBR
NKSH,2014-09-09 00:00:00,9.55,9.7,9.55,9.7,2885.0,300,TQBR
NKSH,2014-09-10 00:00:00,10.799,10.799,10.799,10.799,1079.9,100,TQBR
NKSH,2014-09-12 00:00:00,10.8,10.8,10.8,10.8,1080.0,100,TQBR
NKSH,2014-09-15 00:00:00,9.7,10.886,9.7,10.886,2058.6,200,TQBR
NKSH,2014-09-19 00:00:00,10.0,10.985,10.0,10.985,2098.5,200,TQBR
NKSH,2014-09-22 00:00:00,11.0,11.3,11.0,11.3,3330.0,300,TQBR
NKSH,2014-09-25 00:00:00,9.607,11.0,9.607,11.0,2060.7,200,TQBR
NKSH,2014-09-26 00:00:00,11.299,11.299,9.661,9.88,8984.4,900,TQBR
NKSH,2014-09-29 00:00:00,9.701,10.465,9.701,10.465,2016.6,200,TQBR
