ticker,tradedate,open,high,low,close,value,volume,boardid
NNSBP,2014-06-09 00:00:00,695.4,704.0,695.4,704.0,1399.4,2,TQBR
NNSBP,2014-06-10 00:00:00,705.0,705.0,705.0,705.0,7050.0,10,TQBR
NNSBP,2014-06-11 00:00:00,702.0,702.0,702.0,702.0,3510.0,5,TQBR
NNSBP,2014-06-16 00:00:00,700.0,700.0,700.0,700.0,2100.0,3,TQBR
NNSBP,2014-06-17 00:00:00,700.0,700.0,700.0,700.0,49700.0,71,TQBR
NNSBP,2014-06-19 00:00:00,699.9,700.0,620.1,699.7,15079.4,22,TQBR
NNSBP,2014-06-20 00:00:00,630.1,697.8,630.0,697.8,2587.9,4,TQBR
NNSBP,2014-06-23 00:00:00,699.0,699.0,699.0,699.0,1398.0,2,TQBR
NNSBP,2014-06-24 00:00:00,699.9,703.0,699.9,703.0,156927.8,224,TQBR
NNSBP,2014-06-25 00:00:00,700.0,711.0,700.0,711.0,361558.0,513,TQBR
NNSBP,2014-06-26 00:00:00,711.0,718.0,700.0,718.0,249875.9,352,TQBR
NNSBP,2014-06-30 00:00:00,717.2,717.2,717.2,717.2,717.2,1,TQBR
NNSBP,2014-07-01 00:00:00,716.7,716.7,660.2,716.7,2093.6,3,TQBR
NNSBP,2014-07-09 00:00:00,707.0,707.0,707.0,707.0,7070.0,10,TQBR
NNSBP,2014-07-10 00:00:00,690.1,690.1,670.0,690.0,6110.3,9,TQBR
NNSBP,2014-07-14 00:00:00,670.0,670.0,649.9,650.0,24194.6,37,TQBR
NNSBP,2014-07-15 00:00:00,645.0,645.0,645.0,645.0,7740.0,12,TQBR
NNSBP,2014-07-17 00:00:00,695.0,695.0,695.0,695.0,6950.0,10,TQBR
NNSBP,2014-07-18 00:00:00,640.0,650.0,640.0,650.0,7050.0,11,TQBR
NNSBP,2014-07-21 00:00:00,620.6,663.2,616.0,663.2,20510.3,33,TQBR
NNSBP,2014-07-25 00:00:00,650.0,650.0,650.0,650.0,6500.0,10,TQBR
NNSBP,2014-07-28 00:00:00,600.1,649.5,600.0,649.5,4285.7,7,TQBR
NNSBP,2014-08-01 00:00:00,562.6,644.6,560.2,644.6,32241.9,54,TQBR
NNSBP,2014-08-05 00:00:00,639.7,639.7,639.7,639.7,639.7,1,TQBR
NNSBP,2014-08-07 00:00:00,600.2,600.2,542.0,580.0,112066.9,199,TQBR
NNSBP,2014-08-08 00:00:00,585.0,598.8,542.0,550.0,242270.2,440,TQBR
NNSBP,2014-08-11 00:00:00,550.0,579.9,543.1,579.9,246188.1,445,TQBR
NNSBP,2014-08-12 00:00:00,555.1,594.8,550.0,594.8,33616.8,61,TQBR
NNSBP,2014-08-14 00:00:00,570.3,597.9,550.6,575.0,53514.2,94,TQBR
