ticker,tradedate,open,high,low,close,value,volume,boardid
OGKB,2009-11-12 00:00:00,0.95,0.95,0.926,0.928,30152740.2,32430100,TQBR
OGKB,2009-11-13 00:00:00,0.921,0.934,0.911,0.924,57600702.0,62240300,TQBR
OGKB,2009-11-16 00:00:00,0.939,0.965,0.925,0.962,83084757.1,87213200,TQBR
OGKB,2009-11-17 00:00:00,0.962,0.963,0.932,0.945,34485808.5,36437500,TQBR
OGKB,2009-11-18 00:00:00,0.947,0.966,0.942,0.948,42329688.8,44332100,TQBR
OGKB,2009-11-19 00:00:00,0.95,0.955,0.908,0.918,78746423.4,84208300,TQBR
OGKB,2009-11-20 00:00:00,0.928,0.937,0.909,0.917,30570340.7,33220800,TQBR
OGKB,2009-11-23 00:00:00,0.923,0.93,0.901,0.919,21412433.7,23281500,TQBR
OGKB,2009-11-24 00:00:00,0.919,0.923,0.895,0.903,38614167.7,42797500,TQBR
OGKB,2009-11-25 00:00:00,0.909,0.909,0.873,0.882,32302015.9,36525100,TQBR
OGKB,2009-11-26 00:00:00,0.881,0.881,0.824,0.847,50429662.3,59344100,TQBR
OGKB,2009-11-27 00:00:00,0.831,0.835,0.78,0.83,55294364.8,68214300,TQBR
OGKB,2009-11-30 00:00:00,0.835,0.86,0.804,0.815,55038107.2,67378400,TQBR
OGKB,2009-12-01 00:00:00,0.82,0.828,0.81,0.818,66236874.3,81101300,TQBR
OGKB,2009-12-02 00:00:00,0.82,0.83,0.815,0.82,36697203.2,44710000,TQBR
OGKB,2009-12-03 00:00:00,0.821,0.877,0.818,0.846,112608500.1,132596400,TQBR
OGKB,2009-12-04 00:00:00,0.85,0.862,0.828,0.858,55294912.1,65466300,TQBR
OGKB,2009-12-07 00:00:00,0.858,0.858,0.837,0.848,28860558.4,34080000,TQBR
OGKB,2009-12-08 00:00:00,0.834,0.86,0.828,0.842,31528997.0,37291800,TQBR
OGKB,2009-12-09 00:00:00,0.844,0.868,0.841,0.863,59012404.8,68516800,TQBR
OGKB,2009-12-10 00:00:00,0.785,0.88,0.785,0.877,162420400.4,186641500,TQBR
OGKB,2009-12-11 00:00:00,0.88,0.929,0.88,0.905,53809135.9,59163600,TQBR
OGKB,2009-12-14 00:00:00,0.91,0.931,0.905,0.927,44140822.3,47990400,TQBR
OGKB,2009-12-15 00:00:00,0.953,0.953,0.927,0.94,30930354.7,33009300,TQBR
OGKB,2009-12-16 00:00:00,0.94,0.955,0.931,0.95,60633630.1,64166400,TQBR
OGKB,2009-12-17 00:00:00,0.945,0.957,0.93,0.946,90395475.5,95537100,TQBR
OGKB,2009-12-18 00:00:00,0.943,0.964,0.943,0.951,60345811.7,63178600,TQBR
OGKB,2009-12-21 00:00:00,0.975,0.975,0.93,0.942,28518938.4,30280000,TQBR
OGKB,2009-12-22 00:00:00,0.931,0.949,0.931,0.945,19172927.6,20446400,TQBR
OGKB,2009-12-23 00:00:00,0.941,0.956,0.933,0.943,25842946.1,27369600,TQBR
OGKB,2009-12-24 00:00:00,0.949,0.949,0.916,0.923,33261121.5,35899300,TQBR
OGKB,2009-12-25 00:00:00,0.923,0.925,0.905,0.922,8595169.0,9397300,TQBR
OGKB,2009-12-28 00:00:00,0.929,0.93,0.907,0.913,20077355.2,21869300,TQBR
OGKB,2009-12-29 00:00:00,0.914,0.924,0.908,0.924,22714625.4,24799200,TQBR
OGKB,2009-12-30 00:00:00,0.917,0.928,0.914,0.92,12473233.6,13547800,TQBR
OGKB,2009-12-31 00:00:00,0.918,0.927,0.913,0.919,5448822.5,5934500,TQBR
OGKB,2010-01-11 00:00:00,0.945,0.973,0.936,0.958,28258447.1,29594700,TQBR
OGKB,2010-01-12 00:00:00,0.95,0.958,0.945,0.95,19589469.1,20551400,TQBR
OGKB,2010-01-13 00:00:00,0.921,0.961,0.921,0.96,36785419.0,38505700,TQBR
OGKB,2010-01-14 00:00:00,0.962,0.999,0.961,0.98,62138982.9,63315600,TQBR
OGKB,2010-01-15 00:00:00,0.98,1.03,0.977,1.012,119671245.6,119447800,TQBR
OGKB,2010-01-18 00:00:00,1.011,1.015,0.999,1.008,52687689.3,52365600,TQBR
OGKB,2010-01-19 00:00:00,1.008,1.035,0.996,1.028,65898115.1,65415200,TQBR
OGKB,2010-01-20 00:00:00,1.04,1.059,1.015,1.026,81653780.0,78283200,TQBR
OGKB,2010-01-21 00:00:00,1.064,1.064,0.998,1.009,64906138.3,63477600,TQBR
OGKB,2010-01-22 00:00:00,0.999,1.001,0.955,0.981,69610966.4,70891300,TQBR
OGKB,2010-01-25 00:00:00,0.973,0.997,0.961,0.982,48138522.8,49184100,TQBR
OGKB,2010-01-26 00:00:00,0.972,0.979,0.944,0.956,31976623.6,33412100,TQBR
OGKB,2010-01-27 00:00:00,0.918,1.008,0.918,0.988,59441112.2,60258800,TQBR
OGKB,2010-01-28 00:00:00,1.0,1.025,0.985,0.999,52433977.9,51924300,TQBR
OGKB,2010-01-29 00:00:00,0.987,1.033,0.985,1.028,47731310.5,47367700,TQBR
OGKB,2010-02-01 00:00:00,1.002,1.025,0.999,1.009,45016872.3,44775300,TQBR
OGKB,2010-02-02 00:00:00,1.012,1.022,1.002,1.022,49603528.5,48977800,TQBR
OGKB,2010-02-03 00:00:00,1.022,1.039,1.015,1.038,47885325.2,46450500,TQBR
OGKB,2010-02-04 00:00:00,1.038,1.046,0.985,0.99,67452077.6,66858600,TQBR
OGKB,2010-02-05 00:00:00,0.959,0.971,0.939,0.967,63226951.7,66280800,TQBR
OGKB,2010-02-08 00:00:00,0.967,0.984,0.932,0.937,37312873.3,38954700,TQBR
OGKB,2010-02-09 00:00:00,0.945,0.955,0.922,0.933,34834547.7,37283700,TQBR
OGKB,2010-02-10 00:00:00,0.945,0.947,0.922,0.93,57778577.4,61698300,TQBR
OGKB,2010-02-11 00:00:00,0.944,0.952,0.932,0.941,65926898.0,69937400,TQBR
OGKB,2010-02-12 00:00:00,0.945,0.952,0.913,0.929,47872028.5,51031800,TQBR
OGKB,2010-02-15 00:00:00,0.929,0.945,0.925,0.945,16869727.3,18065200,TQBR
OGKB,2010-02-16 00:00:00,0.944,0.958,0.943,0.957,29752771.3,31222200,TQBR
OGKB,2010-02-17 00:00:00,0.958,0.973,0.951,0.964,31516177.5,32865600,TQBR
OGKB,2010-02-18 00:00:00,0.961,0.967,0.944,0.95,24258285.5,25498100,TQBR
OGKB,2010-02-19 00:00:00,0.94,0.965,0.932,0.954,26054315.6,27489600,TQBR
OGKB,2010-02-24 00:00:00,0.949,0.975,0.937,0.96,26550960.1,27814700,TQBR
OGKB,2010-02-25 00:00:00,0.956,0.979,0.94,0.951,34154736.3,35694600,TQBR
OGKB,2010-02-26 00:00:00,0.959,1.023,0.955,1.023,81542002.3,82235000,TQBR
OGKB,2010-02-27 00:00:00,1.026,1.043,1.003,1.016,36572731.4,35628400,TQBR
OGKB,2010-03-01 00:00:00,1.019,1.065,1.019,1.063,109013835.5,104661800,TQBR
OGKB,2010-03-02 00:00:00,1.062,1.113,1.048,1.107,111477305.2,102866400,TQBR
OGKB,2010-03-03 00:00:00,1.114,1.16,1.056,1.159,192290655.6,171120800,TQBR
OGKB,2010-03-04 00:00:00,1.16,1.23,1.135,1.189,250491222.7,208709300,TQBR
OGKB,2010-03-05 00:00:00,1.2,1.25,1.182,1.238,100044604.8,82247100,TQBR
OGKB,2010-03-09 00:00:00,1.238,1.29,1.192,1.281,142889624.6,115847000,TQBR
OGKB,2010-03-10 00:00:00,1.29,1.321,1.254,1.28,172651581.0,133548200,TQBR
OGKB,2010-03-11 00:00:00,1.274,1.294,1.245,1.292,107039012.5,84478600,TQBR
OGKB,2010-03-12 00:00:00,1.3,1.31,1.27,1.283,52269171.6,40394700,TQBR
OGKB,2010-03-15 00:00:00,1.26,1.303,1.26,1.275,37230131.2,28958700,TQBR
OGKB,2010-03-16 00:00:00,1.277,1.385,1.272,1.385,149277284.9,111195500,TQBR
OGKB,2010-03-17 00:00:00,1.387,1.445,1.382,1.435,205423969.4,145984500,TQBR
OGKB,2010-03-18 00:00:00,1.415,1.47,1.4,1.425,147598588.1,102027600,TQBR
OGKB,2010-03-19 00:00:00,1.425,1.528,1.42,1.49,204947940.5,139159500,TQBR
OGKB,2010-03-22 00:00:00,1.487,1.53,1.401,1.437,205594995.3,142692400,TQBR
OGKB,2010-03-23 00:00:00,1.456,1.477,1.41,1.419,68492427.5,47903600,TQBR
OGKB,2010-03-24 00:00:00,1.421,1.43,1.364,1.408,126048581.8,89819400,TQBR
OGKB,2010-03-25 00:00:00,1.399,1.439,1.397,1.432,59205155.4,41689100,TQBR
OGKB,2010-03-26 00:00:00,1.432,1.487,1.418,1.487,159673928.4,109007900,TQBR
OGKB,2010-03-29 00:00:00,1.487,1.744,1.475,1.609,282021801.1,174611600,TQBR
OGKB,2010-03-30 00:00:00,1.647,1.715,1.618,1.66,171428941.2,102934200,TQBR
OGKB,2010-03-31 00:00:00,1.66,1.77,1.652,1.724,199292223.1,114717700,TQBR
OGKB,2010-04-01 00:00:00,1.728,1.81,1.728,1.777,264168015.8,149798700,TQBR
OGKB,2010-04-02 00:00:00,1.823,1.953,1.784,1.946,386821912.1,206888100,TQBR
OGKB,2010-04-05 00:00:00,1.981,2.05,1.914,1.963,271359852.0,137354600,TQBR
OGKB,2010-04-06 00:00:00,1.97,1.981,1.855,1.91,273364840.1,143485000,TQBR
OGKB,2010-04-07 00:00:00,1.91,1.939,1.72,1.73,373495815.9,210820800,TQBR
OGKB,2010-04-08 00:00:00,1.713,1.846,1.652,1.77,338014159.4,190480600,TQBR
OGKB,2010-04-09 00:00:00,1.799,1.878,1.791,1.849,222484947.4,121425900,TQBR
