ticker,tradedate,open,high,low,close,value,volume,boardid
OKEY,2020-12-14 00:00:00,68.0,69.0,66.5,67.9,115147001.0,1697230,TQBR
OKEY,2020-12-15 00:00:00,67.98,68.51,66.88,67.8,21178261.9,312080,TQBR
OKEY,2020-12-16 00:00:00,68.4,68.55,66.6,66.87,35003528.4,520890,TQBR
OKEY,2020-12-17 00:00:00,66.9,67.7,65.5,65.8,15548566.6,234120,TQBR
OKEY,2020-12-18 00:00:00,65.01,66.49,65.0,65.51,5550536.8,84620,TQBR
OKEY,2020-12-21 00:00:00,65.8,66.4,64.1,64.5,11564623.0,177480,TQBR
OKEY,2020-12-22 00:00:00,64.36,65.9,63.48,63.51,8337086.3,129830,TQBR
OKEY,2020-12-23 00:00:00,63.55,64.9,62.55,64.49,4885447.1,75950,TQBR
OKEY,2020-12-24 00:00:00,64.5,64.51,61.9,62.75,23071177.3,367690,TQBR
OKEY,2020-12-25 00:00:00,62.51,64.4,62.51,64.25,8719531.6,137800,TQBR
OKEY,2020-12-28 00:00:00,64.4,64.4,62.26,62.42,22277839.5,354980,TQBR
OKEY,2020-12-29 00:00:00,62.66,63.9,62.36,63.39,4891622.8,77400,TQBR
OKEY,2020-12-30 00:00:00,63.12,64.0,62.47,63.99,2960387.0,46530,TQBR
OKEY,2021-01-04 00:00:00,63.33,65.23,63.3,64.01,5143983.2,80030,TQBR
OKEY,2021-01-05 00:00:00,64.02,64.96,63.9,64.93,4265563.2,66130,TQBR
OKEY,2021-01-06 00:00:00,64.96,66.35,64.0,64.41,6418248.4,98320,TQBR
OKEY,2021-01-08 00:00:00,64.13,65.0,63.9,64.32,4135798.4,63960,TQBR
OKEY,2021-01-11 00:00:00,65.0,65.88,62.99,64.88,15332203.4,239230,TQBR
OKEY,2021-01-12 00:00:00,64.4,66.3,64.4,65.67,7467477.0,113320,TQBR
OKEY,2021-01-13 00:00:00,66.0,66.6,65.52,65.97,3432995.7,51900,TQBR
OKEY,2021-01-14 00:00:00,66.61,67.4,65.51,66.77,4190489.6,62920,TQBR
OKEY,2021-01-15 00:00:00,66.26,67.5,64.87,64.98,6180007.0,93320,TQBR
OKEY,2021-01-18 00:00:00,65.36,67.5,64.24,65.88,6144792.6,92910,TQBR
OKEY,2021-01-19 00:00:00,65.6,65.9,65.0,65.4,1655982.7,25260,TQBR
OKEY,2021-01-20 00:00:00,65.64,65.64,64.5,64.96,3184526.9,48960,TQBR
OKEY,2021-01-21 00:00:00,64.82,65.46,63.6,64.07,6472422.7,100560,TQBR
OKEY,2021-01-22 00:00:00,64.19,65.3,63.71,64.49,3240051.2,50400,TQBR
OKEY,2021-01-25 00:00:00,65.15,65.3,64.08,64.7,5620052.2,86850,TQBR
OKEY,2021-01-26 00:00:00,64.65,65.39,64.63,64.8,2696984.4,41440,TQBR
OKEY,2021-01-27 00:00:00,65.4,66.0,64.63,64.64,5043722.0,77160,TQBR
OKEY,2021-01-28 00:00:00,65.89,66.06,64.63,64.74,2342896.2,36070,TQBR
OKEY,2021-01-29 00:00:00,64.95,65.78,64.3,65.03,2648061.2,40820,TQBR
OKEY,2021-02-01 00:00:00,65.04,65.36,64.51,64.98,1366787.1,21080,TQBR
OKEY,2021-02-02 00:00:00,64.68,65.9,64.68,65.6,2498290.7,38260,TQBR
OKEY,2021-02-03 00:00:00,65.8,65.99,64.79,65.02,2212762.2,33990,TQBR
OKEY,2021-02-04 00:00:00,65.64,65.64,63.55,64.25,7478667.5,116340,TQBR
OKEY,2021-02-05 00:00:00,64.86,65.0,64.0,64.19,3547995.8,55250,TQBR
OKEY,2021-02-08 00:00:00,64.19,64.95,63.75,63.99,5389885.9,83940,TQBR
OKEY,2021-02-09 00:00:00,63.86,64.7,62.89,62.99,9904853.3,156030,TQBR
OKEY,2021-02-10 00:00:00,63.96,63.96,61.92,62.09,16874636.3,270170,TQBR
OKEY,2021-02-11 00:00:00,62.09,62.49,59.74,60.0,39253679.1,649440,TQBR
OKEY,2021-02-12 00:00:00,60.28,60.55,57.5,59.54,21900360.6,371610,TQBR
OKEY,2021-02-15 00:00:00,59.98,61.1,59.24,60.45,17820555.3,294540,TQBR
OKEY,2021-02-16 00:00:00,61.0,61.09,59.5,59.97,12322872.2,204580,TQBR
OKEY,2021-02-17 00:00:00,59.92,60.35,59.24,59.49,5747963.8,96190,TQBR
OKEY,2021-02-18 00:00:00,60.18,61.11,56.71,57.0,20975324.1,360910,TQBR
OKEY,2021-02-19 00:00:00,57.49,58.3,55.64,56.67,17055918.2,302570,TQBR
OKEY,2021-02-20 00:00:00,56.82,59.0,56.82,58.0,12318740.2,211130,TQBR
OKEY,2021-02-22 00:00:00,58.1,59.0,56.67,58.37,6637555.5,114310,TQBR
OKEY,2021-02-24 00:00:00,58.68,58.86,57.51,57.52,3518245.0,60470,TQBR
OKEY,2021-02-25 00:00:00,57.98,58.09,57.5,57.92,3973710.5,68710,TQBR
OKEY,2021-02-26 00:00:00,57.92,58.0,55.53,57.5,3927370.6,68450,TQBR
OKEY,2021-03-01 00:00:00,57.5,58.2,57.05,57.52,2538088.0,43880,TQBR
OKEY,2021-03-02 00:00:00,57.5,57.79,56.86,57.17,3936584.5,68820,TQBR
OKEY,2021-03-03 00:00:00,57.1,58.0,56.91,57.57,4126733.0,71600,TQBR
OKEY,2021-03-04 00:00:00,57.82,57.82,57.02,57.5,4119808.0,71650,TQBR
OKEY,2021-03-05 00:00:00,57.99,57.99,57.01,57.3,1993865.7,34820,TQBR
OKEY,2021-03-09 00:00:00,57.97,57.97,57.01,57.39,3668771.6,63920,TQBR
OKEY,2021-03-10 00:00:00,57.35,57.81,56.93,57.62,4872135.1,85080,TQBR
OKEY,2021-03-11 00:00:00,57.84,57.84,57.41,57.63,2170357.6,37690,TQBR
OKEY,2021-03-12 00:00:00,57.84,57.89,57.1,57.12,2389371.1,41750,TQBR
OKEY,2021-03-15 00:00:00,57.15,59.0,57.15,57.81,6313643.0,109170,TQBR
OKEY,2021-03-16 00:00:00,57.52,58.48,57.21,57.69,2789964.4,48180,TQBR
OKEY,2021-03-17 00:00:00,57.92,58.19,57.2,57.3,2468842.1,42970,TQBR
OKEY,2021-03-18 00:00:00,57.31,58.39,57.29,58.05,3192069.7,55160,TQBR
OKEY,2021-03-19 00:00:00,58.05,58.13,57.31,57.84,2484143.7,43040,TQBR
OKEY,2021-03-22 00:00:00,58.0,58.39,57.31,57.55,3430606.3,59330,TQBR
OKEY,2021-03-23 00:00:00,58.35,58.38,57.32,57.59,4847787.1,84360,TQBR
OKEY,2021-03-24 00:00:00,57.62,58.32,57.01,57.6,3720984.2,64950,TQBR
OKEY,2021-03-25 00:00:00,57.95,58.05,57.26,57.56,2287895.4,39720,TQBR
OKEY,2021-03-26 00:00:00,57.56,58.1,57.23,57.4,1811284.2,31480,TQBR
OKEY,2021-03-29 00:00:00,57.5,58.29,57.1,57.66,3610768.6,62680,TQBR
OKEY,2021-03-30 00:00:00,58.12,58.16,57.6,57.89,2788553.1,48250,TQBR
OKEY,2021-03-31 00:00:00,58.25,58.87,57.15,57.2,11995626.1,208570,TQBR
OKEY,2021-04-01 00:00:00,57.28,58.0,57.12,57.42,4035708.8,70360,TQBR
OKEY,2021-04-02 00:00:00,57.63,57.9,57.23,57.85,3617639.7,62810,TQBR
OKEY,2021-04-05 00:00:00,57.86,58.39,57.7,58.1,4708187.6,81230,TQBR
