ticker,tradedate,open,high,low,close,value,volume,boardid
PLZL,2014-06-09 00:00:00,51.470000000000006,51.49,51.010000000000005,51.16,3933795.4,7686,TQBR
PLZL,2014-06-10 00:00:00,51.33,51.39,50.4,50.7,5790432.0,11410,TQBR
PLZL,2014-06-11 00:00:00,50.8,52.5,50.7,51.28,12618711.9,24528,TQBR
PLZL,2014-06-16 00:00:00,47.760000000000005,52.5,47.760000000000005,51.7,6805242.2,13178,TQBR
PLZL,2014-06-17 00:00:00,54.9,54.9,51.2,51.31,3858260.2,7502,TQBR
PLZL,2014-06-18 00:00:00,51.31,51.33,50.74,51.12,7013016.3,13739,TQBR
PLZL,2014-06-19 00:00:00,51.15,51.5,50.25,50.25,18970931.2,37300,TQBR
PLZL,2014-06-20 00:00:00,50.5,51.3,50.1,50.46,20630603.2,40861,TQBR
PLZL,2014-06-23 00:00:00,50.5,50.89,50.1,50.2,6087352.6,12107,TQBR
PLZL,2014-06-24 00:00:00,50.9,50.9,49.3,49.97,13332993.8,26728,TQBR
PLZL,2014-06-25 00:00:00,50.2,50.2,48.11,48.48,21042474.1,43112,TQBR
PLZL,2014-06-26 00:00:00,48.48,48.99,47.33,47.89,21249359.5,44231,TQBR
PLZL,2014-06-27 00:00:00,47.98,48.8,47.78,48.3,6581844.5,13604,TQBR
PLZL,2014-06-30 00:00:00,48.71,48.71,47.71,48.2,2429914.7,5049,TQBR
PLZL,2014-07-01 00:00:00,47.88,48.74,47.88,48.52,9035803.4,18706,TQBR
PLZL,2014-07-02 00:00:00,49.31,49.31,48.0,48.2,5247358.4,10889,TQBR
PLZL,2014-07-03 00:00:00,48.32,48.48,47.8,47.97,5157767.7,10749,TQBR
PLZL,2014-07-04 00:00:00,47.81,48.17,47.5,47.8,4135852.1,8652,TQBR
PLZL,2014-07-07 00:00:00,48.07,48.14,47.53,48.13,3410760.0,7128,TQBR
PLZL,2014-07-08 00:00:00,48.28,48.4,47.93,48.010000000000005,5051535.0,10475,TQBR
PLZL,2014-07-09 00:00:00,48.06,48.16,47.62,48.12,2002796.7,4176,TQBR
PLZL,2014-07-10 00:00:00,48.04,48.19,47.64,47.72,5697389.1,11920,TQBR
PLZL,2014-07-11 00:00:00,47.85,47.96,47.66,47.72,1492196.8,3126,TQBR
PLZL,2014-07-14 00:00:00,52.73,52.73,47.2,47.3,4595228.0,9688,TQBR
PLZL,2014-07-15 00:00:00,47.21,47.45,45.4,46.59,15749480.7,34082,TQBR
PLZL,2014-07-16 00:00:00,46.28,50.65,46.22,50.6,40969980.8,85087,TQBR
PLZL,2014-07-17 00:00:00,50.010000000000005,52.4,48.11,52.4,31437805.8,62470,TQBR
PLZL,2014-07-18 00:00:00,52.17999999999999,54.15,51.3,51.99,25217116.1,47762,TQBR
PLZL,2014-07-21 00:00:00,51.64,52.88,49.5,49.6,11772299.5,22948,TQBR
PLZL,2014-07-22 00:00:00,50.510000000000005,50.510000000000005,49.0,50.47,4923547.7,9839,TQBR
PLZL,2014-07-23 00:00:00,50.760000000000005,51.5,50.45,51.5,7772607.9,15225,TQBR
PLZL,2014-07-24 00:00:00,51.17,51.5,49.010000000000005,50.08,6437275.0,12757,TQBR
PLZL,2014-07-25 00:00:00,50.38,50.48,49.75,50.05,1671977.2,3343,TQBR
PLZL,2014-07-28 00:00:00,49.33,50.84,48.94,49.04,5415483.5,10875,TQBR
PLZL,2014-07-29 00:00:00,49.36,49.36,48.0,48.97,3973644.1,8208,TQBR
PLZL,2014-07-30 00:00:00,48.99,49.16,48.02,48.12,2380665.8,4902,TQBR
PLZL,2014-07-31 00:00:00,48.16,48.79,47.8,48.21,3059855.0,6359,TQBR
PLZL,2014-08-01 00:00:00,48.0,48.37,47.84,48.15,3866342.2,8050,TQBR
PLZL,2014-08-04 00:00:00,48.02,48.78,48.0,48.55,2093194.0,4330,TQBR
PLZL,2014-08-05 00:00:00,49.0,49.0,48.25,48.8,1437825.2,2959,TQBR
PLZL,2014-08-06 00:00:00,48.56,49.8,48.0,49.65,3119073.8,6395,TQBR
PLZL,2014-08-07 00:00:00,49.62,49.88,48.0,48.56,6242902.7,12848,TQBR
PLZL,2014-08-08 00:00:00,48.79,49.2,48.5,48.91,2435936.0,4971,TQBR
PLZL,2014-08-11 00:00:00,49.0,50.49,49.0,49.54,2950902.8000000003,5930,TQBR
PLZL,2014-08-12 00:00:00,49.6,49.6,49.0,49.15,1254366.9999999995,2556,TQBR
PLZL,2014-08-13 00:00:00,48.91,49.74,48.91,49.57,2053807.200000001,4152,TQBR
PLZL,2014-08-14 00:00:00,49.65,49.65,49.13,49.58,1661405.1000000003,3364,TQBR
PLZL,2014-08-15 00:00:00,49.59,49.6,49.010000000000005,49.46,4010829.000000001,8122,TQBR
PLZL,2014-08-18 00:00:00,49.48,49.59,48.81,48.9,1114657.2999999998,2271,TQBR
PLZL,2014-08-19 00:00:00,48.91,49.25,48.7,49.03,1771492.5000000002,3620,TQBR
PLZL,2014-08-20 00:00:00,49.07,49.48,49.0,49.45,2027065.7,4119,TQBR
PLZL,2014-08-21 00:00:00,49.59,49.66,49.15,49.4,2495866.7000000007,5053,TQBR
PLZL,2014-08-22 00:00:00,49.14,50.3,49.02,49.5,2988782.6,6020,TQBR
PLZL,2014-08-25 00:00:00,49.78,49.98,48.6,49.4,3652608.6,7429,TQBR
PLZL,2014-08-26 00:00:00,49.35,49.59,48.82,49.010000000000005,1785487.2999999996,3641,TQBR
PLZL,2014-08-27 00:00:00,49.46,49.85,49.11,49.85,2654128.7,5362,TQBR
PLZL,2014-08-28 00:00:00,50.5,51.14,49.41,50.0,7602097.8,15165,TQBR
PLZL,2014-08-29 00:00:00,50.1,50.2,49.43,49.8,2894463.0,5808,TQBR
PLZL,2014-09-01 00:00:00,49.8,50.88,49.8,50.2,2269341.5,4517,TQBR
PLZL,2014-09-02 00:00:00,50.49,50.55,49.61,49.95,1704300.3,3404,TQBR
PLZL,2014-09-03 00:00:00,50.09,50.19,49.61,50.05,2543834.4,5091,TQBR
PLZL,2014-09-04 00:00:00,51.4,51.4,49.4,49.93,3635546.9,7285,TQBR
PLZL,2014-09-05 00:00:00,50.0,50.2,49.8,49.92,2700768.6,5393,TQBR
PLZL,2014-09-08 00:00:00,49.47,51.5,49.47,50.0,2878486.0,5713,TQBR
PLZL,2014-09-09 00:00:00,50.19,50.36,49.81,49.94,1453043.1,2908,TQBR
PLZL,2014-09-10 00:00:00,49.92,50.2,49.83,49.89,1369249.1,2743,TQBR
PLZL,2014-09-11 00:00:00,50.2,50.2,49.69,49.88,1634341.1,3276,TQBR
PLZL,2014-09-12 00:00:00,49.75,50.08,49.5,49.89,2789329.2,5608,TQBR
PLZL,2014-09-15 00:00:00,49.68,50.0,49.5,49.56,1202677.3,2420,TQBR
PLZL,2014-09-16 00:00:00,49.61,49.77,49.1,49.65,2330925.7,4713,TQBR
PLZL,2014-09-17 00:00:00,49.5,49.5,48.55,49.010000000000005,4736135.7,9673,TQBR
PLZL,2014-09-18 00:00:00,49.5,49.5,48.3,48.75,2605694.4,5357,TQBR
PLZL,2014-09-19 00:00:00,48.510000000000005,50.9,48.45,50.9,6211639.9,12501,TQBR
PLZL,2014-09-22 00:00:00,50.13,50.29,49.02,49.39,5209801.1,10505,TQBR
PLZL,2014-09-23 00:00:00,49.4,50.4,49.1,49.61,7616372.9,15230,TQBR
PLZL,2014-09-24 00:00:00,49.7,50.29,49.52,50.2,4203790.0,8405,TQBR
PLZL,2014-09-25 00:00:00,50.3,50.3,49.68,49.91,1979008.1,3960,TQBR
PLZL,2014-09-26 00:00:00,49.9,50.21,49.17,49.7,2117722.2,4261,TQBR
PLZL,2014-09-29 00:00:00,49.52,49.89,49.47,49.68,1654932.4,3334,TQBR
PLZL,2014-09-30 00:00:00,49.87,49.87,49.1,49.39,1780736.8,3605,TQBR
PLZL,2014-10-01 00:00:00,49.4,49.7,49.1,49.25,1696077.5,3441,TQBR
PLZL,2014-10-02 00:00:00,49.1,49.4,49.0,49.15,1968974.5,4008,TQBR
PLZL,2014-10-03 00:00:00,49.15,49.5,48.9,49.4,917252.0,1862,TQBR
PLZL,2014-10-06 00:00:00,49.35,49.5,49.1,49.4,1472526.5,2987,TQBR
PLZL,2014-10-07 00:00:00,49.6,49.6,48.9,49.0,1241845.5,2532,TQBR
PLZL,2014-10-08 00:00:00,48.95,50.0,48.35,48.75,3492779.0,7099,TQBR
PLZL,2014-10-09 00:00:00,49.3,49.3,48.95,49.0,780797.5,1590,TQBR
PLZL,2014-10-10 00:00:00,49.05,49.2,47.55,48.35,2500515.0,5128,TQBR
PLZL,2014-10-13 00:00:00,48.3,48.5,47.9,48.4,2346540.5,4871,TQBR
PLZL,2014-10-14 00:00:00,48.3,48.6,47.95,47.95,1761424.0,3661,TQBR
PLZL,2014-10-15 00:00:00,47.9,48.15,47.25,47.5,2370621.5,4983,TQBR
PLZL,2014-10-16 00:00:00,47.8,47.95,46.0,47.1,2596352.0,5521,TQBR
PLZL,2014-10-17 00:00:00,47.1,47.4,46.9,47.1,1289036.0,2734,TQBR
PLZL,2014-10-20 00:00:00,47.2,47.65,46.65,46.95,8995464.0,19140,TQBR
PLZL,2014-10-21 00:00:00,46.85,47.2,46.6,47.0,1689327.0,3597,TQBR
PLZL,2014-10-22 00:00:00,48.3,48.3,46.3,46.7,1670012.5,3570,TQBR
PLZL,2014-10-23 00:00:00,46.45,46.8,46.0,46.15,2570283.0,5560,TQBR
PLZL,2014-10-24 00:00:00,46.2,46.45,45.9,46.1,801993.5,1738,TQBR
PLZL,2014-10-27 00:00:00,46.1,46.5,45.6,45.9,1794953.5,3897,TQBR
PLZL,2014-10-28 00:00:00,45.9,46.3,45.75,46.1,3535451.5,7672,TQBR
PLZL,2014-10-29 00:00:00,46.55,47.3,46.05,46.8,4227899.0,9049,TQBR
PLZL,2014-10-30 00:00:00,46.8,47.0,46.45,46.9,4489910.0,9595,TQBR
PLZL,2014-10-31 00:00:00,47.2,48.0,46.85,47.8,4361520.0,9199,TQBR
PLZL,2014-11-03 00:00:00,48.1,48.1,47.05,47.6,267017.0,564,TQBR
PLZL,2014-11-05 00:00:00,47.5,47.8,47.05,47.5,4423955.5,9319,TQBR
PLZL,2014-11-06 00:00:00,47.55,48.95,46.5,47.75,14311697.5,29811,TQBR
PLZL,2014-11-07 00:00:00,47.4,48.2,47.3,47.75,2912352.5,6106,TQBR
PLZL,2014-11-10 00:00:00,47.8,48.6,47.4,48.3,4652840.5,9702,TQBR
PLZL,2014-11-11 00:00:00,48.3,48.7,47.55,47.8,2741542.5,5729,TQBR
PLZL,2014-11-12 00:00:00,47.8,47.95,47.05,47.25,4058091.0,8560,TQBR
PLZL,2014-11-13 00:00:00,47.15,47.8,46.9,47.15,3401762.5,7183,TQBR
PLZL,2014-11-14 00:00:00,47.1,47.35,46.15,47.35,4668922.5,9976,TQBR
PLZL,2014-11-17 00:00:00,47.45,47.5,46.8,47.0,1724249.5,3660,TQBR
PLZL,2014-11-18 00:00:00,46.75,48.4,46.75,48.2,8293483.5,17314,TQBR
PLZL,2014-11-19 00:00:00,48.2,53.9,48.2,52.9,51958114.0,100288,TQBR
PLZL,2014-11-20 00:00:00,53.0,54.4,51.5,52.35,24550106.5,46554,TQBR
PLZL,2014-11-21 00:00:00,53.05,53.25,52.0,52.95,13277722.0,25161,TQBR
PLZL,2014-11-24 00:00:00,52.95,58.0,52.95,58.0,38494373.0,68694,TQBR
PLZL,2014-11-25 00:00:00,58.0,66.2,57.05,65.65,105034157.5,167846,TQBR
PLZL,2014-11-26 00:00:00,66.2,78.4,65.7,75.9,288808119.5,390869,TQBR
PLZL,2014-11-27 00:00:00,75.7,79.5,70.3,74.0,157187296.0,212457,TQBR
PLZL,2014-11-28 00:00:00,73.7,75.7,68.1,70.6,69285133.0,96366,TQBR
PLZL,2014-12-01 00:00:00,62.35,77.8,62.35,75.55,132941565.5,185873,TQBR
PLZL,2014-12-02 00:00:00,76.0,87.9,75.5,87.9,184452864.5,218716,TQBR
PLZL,2014-12-03 00:00:00,88.5,104.0,85.1,104.0,308936455.0,323768,TQBR
PLZL,2014-12-04 00:00:00,104.5,128.75,104.5,120.9,431024783.5,364439,TQBR
PLZL,2014-12-05 00:00:00,122.0,130.0,98.0,105.5,283926210.5,240480,TQBR
PLZL,2014-12-08 00:00:00,102.05,110.6,91.1,107.0,191195762.5,187333,TQBR
PLZL,2014-12-09 00:00:00,108.05,118.9,107.1,116.6,171991004.5,150212,TQBR
PLZL,2014-12-10 00:00:00,119.5,124.0,112.0,114.35,118883732.0,102144,TQBR
PLZL,2014-12-11 00:00:00,117.0,118.0,102.4,107.0,80492302.0,73991,TQBR
PLZL,2014-12-12 00:00:00,107.5,109.1,100.1,105.2,54024405.0,51003,TQBR
PLZL,2014-12-15 00:00:00,105.2,105.2,96.15,99.9,74602106.0,74629,TQBR
PLZL,2014-12-16 00:00:00,98.95,100.8,80.0,100.0,98190753.5,102695,TQBR
