ticker,tradedate,open,high,low,close,value,volume,boardid
PMSB,2014-06-10 00:00:00,53.48,53.48,53.48,53.48,534.8,10,TQBR
PMSB,2014-06-17 00:00:00,53.51,53.51,52.0,52.0,20880.9,400,TQBR
PMSB,2014-06-20 00:00:00,51.61,51.61,50.5,50.5,92585.0,1830,TQBR
PMSB,2014-06-24 00:00:00,51.42,51.5,51.42,51.5,1543.4,30,TQBR
PMSB,2014-06-25 00:00:00,52.0,52.0,52.0,52.0,520.0,10,TQBR
PMSB,2014-06-26 00:00:00,50.6,51.44,50.57,51.44,19739.9,390,TQBR
PMSB,2014-06-27 00:00:00,52.0,52.0,52.0,52.0,520.0,10,TQBR
PMSB,2014-07-02 00:00:00,52.0,52.0,52.0,52.0,4160.0,80,TQBR
PMSB,2014-07-03 00:00:00,51.12,51.12,51.05,51.05,17358.3,340,TQBR
PMSB,2014-07-04 00:00:00,51.5,51.79,51.5,51.78,2067.3,40,TQBR
PMSB,2014-07-07 00:00:00,50.58,52.05,50.0,52.05,14415.7,280,TQBR
PMSB,2014-07-08 00:00:00,50.01,51.3,50.0,51.3,1513.1,30,TQBR
PMSB,2014-07-09 00:00:00,50.07,51.49,50.04,51.49,16051.3,320,TQBR
PMSB,2014-07-10 00:00:00,50.15,50.55,50.0,50.54,5519.5,110,TQBR
PMSB,2014-07-11 00:00:00,49.61,50.51,49.61,50.51,1497.3,30,TQBR
PMSB,2014-07-14 00:00:00,50.48,50.5,50.48,50.48,3029.0,60,TQBR
PMSB,2014-07-17 00:00:00,49.54,50.49,49.51,50.49,1990.8,40,TQBR
PMSB,2014-07-18 00:00:00,48.63,50.43,47.0,50.43,91824.2,1920,TQBR
PMSB,2014-07-21 00:00:00,48.98,48.98,48.87,48.87,978.5,20,TQBR
PMSB,2014-07-22 00:00:00,48.02,50.0,48.02,50.0,104096.2,2100,TQBR
PMSB,2014-07-23 00:00:00,49.04,49.04,49.04,49.04,490.4,10,TQBR
PMSB,2014-07-25 00:00:00,49.04,49.04,49.0,49.0,40677.7,830,TQBR
PMSB,2014-07-30 00:00:00,49.2,49.2,49.2,49.2,492.0,10,TQBR
PMSB,2014-08-01 00:00:00,47.39,47.4,47.39,47.4,75832.0,1600,TQBR
PMSB,2014-08-08 00:00:00,48.99,48.99,48.99,48.99,979.8,20,TQBR
PMSB,2014-08-12 00:00:00,49.0,49.0,48.29,48.29,972.9,20,TQBR
PMSB,2014-08-14 00:00:00,48.03,49.5,48.03,49.0,30412.0,620,TQBR
PMSB,2014-08-15 00:00:00,48.99,48.99,48.99,48.99,489.9,10,TQBR
PMSB,2014-08-19 00:00:00,48.9,48.9,48.9,48.9,1467.0,30,TQBR
PMSB,2014-08-20 00:00:00,48.26,48.69,47.51,48.69,8614.9,180,TQBR
PMSB,2014-08-21 00:00:00,48.5,48.5,47.81,47.81,1441.2,30,TQBR
PMSB,2014-08-27 00:00:00,47.82,47.82,47.82,47.82,478.2,10,TQBR
PMSB,2014-09-02 00:00:00,47.4,47.4,47.39,47.39,947.9,20,TQBR
PMSB,2014-09-03 00:00:00,48.5,49.42,48.01,49.42,23068.2,480,TQBR
PMSB,2014-09-05 00:00:00,48.96,49.33,48.11,48.77,11160.6,230,TQBR
PMSB,2014-09-08 00:00:00,48.85,48.88,48.85,48.88,20529.0,420,TQBR
PMSB,2014-09-10 00:00:00,48.12,48.12,48.12,48.12,481.2,10,TQBR
PMSB,2014-09-16 00:00:00,48.05,48.05,48.03,48.03,960.8,20,TQBR
PMSB,2014-09-18 00:00:00,47.31,48.0,47.26,47.26,7578.7,160,TQBR
PMSB,2014-09-19 00:00:00,48.75,48.75,48.47,48.48,6304.9,130,TQBR
