ticker,tradedate,open,high,low,close,value,volume,boardid
PMSBP,2014-06-09 00:00:00,53.89,53.9,53.89,53.9,2694.8,50,TQBR
PMSBP,2014-06-11 00:00:00,53.01,53.01,53.01,53.01,5301.0,100,TQBR
PMSBP,2014-06-16 00:00:00,53.28,53.49,53.28,53.49,5881.2,110,TQBR
PMSBP,2014-06-18 00:00:00,53.5,53.5,52.0,52.0,10463.7,200,TQBR
PMSBP,2014-06-19 00:00:00,52.01,52.01,51.3,51.3,25436.6,490,TQBR
PMSBP,2014-06-20 00:00:00,51.94,51.94,51.0,51.0,36752.6,720,TQBR
PMSBP,2014-06-23 00:00:00,53.4,53.4,53.4,53.4,534.0,10,TQBR
PMSBP,2014-06-24 00:00:00,52.7,52.73,52.7,52.73,1581.4,30,TQBR
PMSBP,2014-06-25 00:00:00,52.02,52.5,51.99,51.99,17685.0,340,TQBR
PMSBP,2014-06-26 00:00:00,51.96,52.0,51.96,52.0,12998.1,250,TQBR
PMSBP,2014-06-27 00:00:00,52.0,52.0,52.0,52.0,25480.0,490,TQBR
PMSBP,2014-06-30 00:00:00,51.1,51.15,50.07,50.07,63168.8,1250,TQBR
PMSBP,2014-07-03 00:00:00,52.95,52.95,50.51,50.51,11161.6,220,TQBR
PMSBP,2014-07-04 00:00:00,52.41,52.41,52.36,52.36,2094.9,40,TQBR
PMSBP,2014-07-07 00:00:00,50.11,50.25,50.0,50.04,100128.2,2000,TQBR
PMSBP,2014-07-10 00:00:00,50.91,50.91,50.9,50.9,3054.1,60,TQBR
PMSBP,2014-07-14 00:00:00,50.6,50.6,50.6,50.6,10120.0,200,TQBR
PMSBP,2014-07-15 00:00:00,50.55,50.55,50.55,50.55,4044.0,80,TQBR
PMSBP,2014-07-17 00:00:00,50.0,50.0,49.3,49.3,3475.1,70,TQBR
PMSBP,2014-07-18 00:00:00,49.31,49.98,48.99,49.98,35324.7,720,TQBR
PMSBP,2014-07-21 00:00:00,48.24,50.47,48.0,49.0,18844.6,390,TQBR
PMSBP,2014-07-22 00:00:00,49.99,50.0,49.01,50.0,42481.1,850,TQBR
PMSBP,2014-07-23 00:00:00,48.4,48.4,48.4,48.4,484.0,10,TQBR
PMSBP,2014-07-29 00:00:00,50.2,50.2,50.2,50.2,502.0,10,TQBR
PMSBP,2014-07-30 00:00:00,49.5,49.5,49.5,49.5,495.0,10,TQBR
PMSBP,2014-07-31 00:00:00,49.02,49.02,49.0,49.0,26461.6,540,TQBR
PMSBP,2014-08-01 00:00:00,49.4,50.0,48.11,50.0,25028.6,510,TQBR
PMSBP,2014-08-04 00:00:00,49.01,49.99,49.0,49.01,50976.2,1040,TQBR
PMSBP,2014-08-05 00:00:00,49.96,49.97,49.0,49.0,171749.1,3500,TQBR
PMSBP,2014-08-06 00:00:00,49.96,49.96,49.96,49.96,499.6,10,TQBR
PMSBP,2014-08-07 00:00:00,48.22,48.86,46.33,48.48,123548.3,2640,TQBR
PMSBP,2014-08-08 00:00:00,46.88,49.48,46.88,49.48,5865.5,120,TQBR
PMSBP,2014-08-11 00:00:00,49.0,49.0,47.0,47.0,105066.0,2150,TQBR
PMSBP,2014-08-12 00:00:00,47.55,49.0,47.55,47.55,203125.4,4150,TQBR
PMSBP,2014-08-14 00:00:00,49.18,49.18,49.18,49.18,491.8,10,TQBR
PMSBP,2014-08-15 00:00:00,47.73,49.0,47.0,49.0,97716.8,2060,TQBR
PMSBP,2014-08-18 00:00:00,49.26,49.26,47.5,47.5,19572.7,410,TQBR
PMSBP,2014-08-20 00:00:00,48.5,48.5,47.72,48.25,31558.2,660,TQBR
PMSBP,2014-08-21 00:00:00,48.99,49.0,48.99,49.0,24989.9,510,TQBR
PMSBP,2014-08-25 00:00:00,48.99,48.99,48.99,48.99,3429.3,70,TQBR
PMSBP,2014-08-27 00:00:00,48.99,49.0,48.99,49.0,139158.4,2840,TQBR
PMSBP,2014-08-29 00:00:00,48.01,48.01,47.0,47.0,20819.1,440,TQBR
PMSBP,2014-09-01 00:00:00,48.98,48.99,48.98,48.99,979.7,20,TQBR
PMSBP,2014-09-02 00:00:00,48.99,48.99,48.99,48.99,979.8,20,TQBR
PMSBP,2014-09-03 00:00:00,48.0,49.0,48.0,49.0,143949.0,2940,TQBR
PMSBP,2014-09-04 00:00:00,48.02,48.02,48.02,48.02,480.2,10,TQBR
PMSBP,2014-09-05 00:00:00,49.28,49.36,49.28,49.36,2957.7,60,TQBR
PMSBP,2014-09-09 00:00:00,48.09,48.09,47.0,47.0,57199.4,1200,TQBR
PMSBP,2014-09-11 00:00:00,48.89,48.89,48.89,48.89,1955.6,40,TQBR
PMSBP,2014-09-15 00:00:00,47.07,47.07,47.02,47.02,2352.4,50,TQBR
PMSBP,2014-09-16 00:00:00,47.01,48.99,47.0,48.99,16563.2,350,TQBR
PMSBP,2014-09-17 00:00:00,47.72,48.0,47.7,48.0,54651.3,1140,TQBR
PMSBP,2014-09-18 00:00:00,48.0,48.0,45.55,46.94,161147.9,3460,TQBR
PMSBP,2014-09-19 00:00:00,46.86,46.86,46.5,46.5,37213.9,800,TQBR
PMSBP,2014-09-22 00:00:00,46.04,47.46,45.0,47.46,64908.4,1400,TQBR
PMSBP,2014-09-23 00:00:00,46.13,47.0,46.13,47.0,130605.0,2830,TQBR
PMSBP,2014-09-24 00:00:00,47.76,47.76,46.9,46.9,27688.4,590,TQBR
PMSBP,2014-09-29 00:00:00,46.85,46.85,46.85,46.85,2342.5,50,TQBR
PMSBP,2014-09-30 00:00:00,46.01,46.8,46.01,46.8,928.1,20,TQBR
PMSBP,2014-10-01 00:00:00,49.0,49.0,47.8,48.0,6727.0,140,TQBR
PMSBP,2014-10-02 00:00:00,47.1,47.1,46.3,46.3,3284.0,70,TQBR
PMSBP,2014-10-03 00:00:00,46.4,47.5,46.3,47.4,5129.0,110,TQBR
PMSBP,2014-10-06 00:00:00,46.1,46.1,44.5,46.1,367843.0,8170,TQBR
PMSBP,2014-10-07 00:00:00,46.1,47.0,46.1,46.4,48683.0,1040,TQBR
PMSBP,2014-10-09 00:00:00,46.3,46.3,42.9,44.0,357188.0,8130,TQBR
PMSBP,2014-10-10 00:00:00,44.1,44.9,44.0,44.9,31250.0,710,TQBR
PMSBP,2014-10-13 00:00:00,44.5,44.5,44.5,44.5,2225.0,50,TQBR
PMSBP,2014-10-14 00:00:00,44.3,44.8,44.3,44.3,1334.0,30,TQBR
PMSBP,2014-10-15 00:00:00,45.4,46.5,45.4,46.5,32038.0,700,TQBR
PMSBP,2014-10-16 00:00:00,44.8,47.0,44.7,46.4,6470.0,140,TQBR
PMSBP,2014-10-17 00:00:00,44.5,44.5,41.9,42.0,562407.0,13310,TQBR
PMSBP,2014-10-20 00:00:00,43.3,43.8,42.8,42.9,32732.0,760,TQBR
PMSBP,2014-10-21 00:00:00,43.6,43.8,43.2,43.5,16047.0,370,TQBR
PMSBP,2014-10-23 00:00:00,42.8,43.2,42.3,42.5,148728.0,3450,TQBR
PMSBP,2014-10-24 00:00:00,42.6,43.1,42.2,43.1,22850.0,540,TQBR
PMSBP,2014-10-27 00:00:00,43.0,43.3,43.0,43.3,3873.0,90,TQBR
PMSBP,2014-10-28 00:00:00,43.4,43.8,43.4,43.8,26106.0,600,TQBR
PMSBP,2014-10-29 00:00:00,41.8,43.7,41.8,43.5,357563.0,8220,TQBR
PMSBP,2014-10-30 00:00:00,43.0,43.7,43.0,43.7,44013.0,1020,TQBR
PMSBP,2014-10-31 00:00:00,42.7,43.6,42.7,43.4,80900.0,1870,TQBR
PMSBP,2014-11-03 00:00:00,43.8,43.8,43.8,43.8,438.0,10,TQBR
PMSBP,2014-11-05 00:00:00,43.8,43.8,43.8,43.8,876.0,20,TQBR
