ticker,tradedate,open,high,low,close,value,volume,boardid
RASP,2014-06-09 00:00:00,21.35,21.75,20.91,20.98,39210576.4,1838580,TQBR
RASP,2014-06-10 00:00:00,20.99,21.2,20.71,20.93,17466966.9,834270,TQBR
RASP,2014-06-11 00:00:00,20.94,21.17,20.61,20.83,23021238.7,1105020,TQBR
RASP,2014-06-16 00:00:00,20.1,20.7,20.04,20.41,30978606.0,1518880,TQBR
RASP,2014-06-17 00:00:00,20.32,20.85,20.1,20.15,33872696.1,1653990,TQBR
RASP,2014-06-18 00:00:00,20.22,20.61,20.18,20.45,17133596.3,837000,TQBR
RASP,2014-06-19 00:00:00,20.66,21.29,20.28,20.3,54922547.0,2637120,TQBR
RASP,2014-06-20 00:00:00,20.4,20.56,20.02,20.1,27804622.4,1370390,TQBR
RASP,2014-06-23 00:00:00,20.11,20.37,19.7,19.93,40325135.7,2015530,TQBR
RASP,2014-06-24 00:00:00,20.0,20.38,19.97,20.16,48728857.4,2412110,TQBR
RASP,2014-06-25 00:00:00,20.02,20.2,19.5,19.7,31219057.2,1571540,TQBR
RASP,2014-06-26 00:00:00,19.8,20.0,19.63,19.65,26227003.5,1325680,TQBR
RASP,2014-06-27 00:00:00,19.7,19.97,19.6,19.7,23434416.4,1185980,TQBR
RASP,2014-06-30 00:00:00,19.79,19.85,19.6,19.62,15141502.9,768510,TQBR
RASP,2014-07-01 00:00:00,19.7,19.72,19.26,19.4,31580308.2,1617900,TQBR
RASP,2014-07-02 00:00:00,19.5,19.52,18.89,19.0,82949702.5,4338200,TQBR
RASP,2014-07-03 00:00:00,19.42,19.42,19.0,19.02,29966303.6,1566260,TQBR
RASP,2014-07-04 00:00:00,19.13,20.58,19.05,19.8,133184275.6,6675640,TQBR
RASP,2014-07-07 00:00:00,19.8,20.42,19.71,20.13,48733214.6,2420580,TQBR
RASP,2014-07-08 00:00:00,20.0,20.33,19.74,19.78,40091758.4,2005690,TQBR
